"time","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc.is[1]","aimc.is[2]","cRun.v","cStart.v","loadInertia.phi","loadInertia.w"
0,0,0,0,0,0,0,0,0,0,0
5.0000000000000002e-05,8.5864726169940761e-16,-1.6710353906010434e-11,5.2053617975778338e-13,-8.1843231686853172e-09,-8.1594538350623359e-10,1.1106434348620207e-05,1.7910736746825296e-08,1.7818250705557555e-08,9.3733944946973167e-30,3.6350052391331852e-25
0.0001,1.36582812493525e-14,-6.6828557296064967e-11,4.1473555642041727e-12,-1.6399366579054299e-08,-6.4906790580571365e-09,2.2213184850873082e-05,7.1464844377656457e-08,7.1279896618885622e-08,1.1955642163668971e-27,2.3176703320214605e-23
0.00015000000000000001,1.1305844139544221e-13,-1.6579590890309762e-10,1.8320275042278208e-11,-2.4654514673300572e-08,-2.8591558102719927e-08,3.3318512128444614e-05,1.7703423800130894e-07,1.7675711411368216e-07,7.4689762636191788e-26,7.3013791293186955e-22
0.00020000000000000001,2.1671660579708175e-13,-2.671436372879692e-10,3.3010170161906341e-11,-3.291161495694334e-08,-5.1497636438143964e-08,4.4423769612924887e-05,2.8513823417164643e-07,2.8476894815478042e-07,1.5174868816901073e-25,1.4708142578857591e-21
0.00025000000000000001,4.9353008891681021e-13,-4.1421170184656371e-10,6.2553687768544204e-11,-4.1197598225711987e-08,-9.7461437263136409e-08,5.5519771684472143e-05,4.4177665260902046e-07,4.4131566583209995e-07,7.9487221134808594e-25,7.0691530970455956e-21
0.00030000000000000003,7.8852009720584075e-13,-5.6607913871068719e-10,9.3656425415254904e-11,-4.9486613410046338e-08,-1.4584566199587771e-07,6.6614802193335843e-05,6.035098446545365e-07,6.0295720554858085e-07,1.4974168801364369e-24,1.3177412308525396e-20
0.00035,1.3615407331730003e-12,-7.610886695941862e-10,1.4340629868737478e-10,-5.7795610661131971e-08,-2.2308439838232566e-07,7.7694760004954483e-05,8.1084821872642745e-07,8.102045337574766e-07,4.4254317537042176e-24,3.5784000844316128e-20
0.00040000000000000002,1.9809538776092069e-12,-9.6329693961977484e-10,1.9626765433339612e-10,-6.6107942142725713e-08,-3.0513783157914937e-07,8.877220276907487e-05,1.0257963256218559e-06,1.0250616959855269e-06,7.7247911305199113e-24,6.1143519477395642e-20
0.00045000000000000004,2.8444210178402597e-12,-1.1875484074871457e-09,2.6178865427399582e-10,-7.4421098952801435e-08,-4.0669688132746873e-07,9.9831565843620982e-05,1.263870881901861e-06,1.2630457833222092e-06,1.6881913204923469e-23,1.2169597714429337e-19
0.00050000000000000001,3.9565220606176933e-12,-1.4342567348955966e-09,3.4020686884760627e-10,-8.2735096579437779e-08,-5.281275891856423e-07,0.00011087250994591861,1.5255058775174383e-06,1.5245907946459366e-06,3.2006724498872376e-23,2.1810180301996451e-19
0.00055000000000000003,5.2798052287021252e-12,-1.7000392403507099e-09,4.2957958789082211e-10,-9.1049808370258724e-08,-6.66436683096691e-07,0.00012189780952964676,1.8071523985167061e-06,1.8061477430016736e-06,5.220031072515445e-23,3.4496039668071568e-19
0.00060000000000000006,6.8142705220935564e-12,-1.9848959238524854e-09,5.2990681140364324e-10,-9.9365234325264257e-08,-8.2162416306058804e-07,0.00013290746459480537,2.108810444899664e-06,2.1077166283894191e-06,7.7462671883769663e-23,5.0227175812654676e-19
0.00065000000000000008,8.8168275456874009e-12,-2.2950543702611522e-09,6.4931179682086073e-10,-1.0767553683351152e-07,-1.0060539678256324e-06,0.00014389153969265319,2.4366856812591806e-06,2.4355034042703376e-06,1.2673308409734519e-22,7.8024305314073309e-19
0.00069999999999999999,1.1262328384523633e-11,-2.6299049847173226e-09,7.8699938902458143e-10,-1.1598128731677986e-07,-1.2185158379297277e-06,0.00015485100736689937,2.7901706584283959e-06,2.7889005932013368e-06,1.9815765285878346e-22,1.1700442415430874e-18
0.00075000000000000002,1.40688645516202e-11,-2.9874622748776445e-09,9.4037971315932698e-10,-1.2428434693506803e-07,-1.4550678751460692e-06,0.00016578903525922935,3.1672868727319542e-06,3.1659295994094345e-06,2.856981163741303e-22,1.6429152757392207e-18
