"Time","tank.level","tank.medium.T","timeTable.a","timeTable.b","timeTable.last","timeTable.nextEvent"
0,0.001,293.14999,0,0,2,10
1.1135643e-07,0.00099999993,293.14999,0,0,2,10
1.1135643e-07,0.00099999993,293.14999,0,0,2,10
0.02,0.00099999993,293.14999,0,0,2,10
0.039999999,0.00099999993,293.14999,0,0,2,10
0.059999999,0.00099999993,293.14999,0,0,2,10
0.079999998,0.00099999993,293.14999,0,0,2,10
0.1,0.00099999993,293.14999,0,0,2,10
0.12,0.00099999993,293.14999,0,0,2,10
0.14,0.00099999993,293.14999,0,0,2,10
0.16,0.00099999993,293.14999,0,0,2,10
0.18000001,0.00099999993,293.14999,0,0,2,10
0.2,0.00099999993,293.14999,0,0,2,10
0.22,0.00099999993,293.14999,0,0,2,10
0.23999999,0.00099999993,293.14999,0,0,2,10
0.25999999,0.00099999993,293.14999,0,0,2,10
0.28,0.00099999993,293.14999,0,0,2,10
0.30000001,0.00099999993,293.14999,0,0,2,10
0.31999999,0.00099999993,293.14999,0,0,2,10
0.34,0.00099999993,293.14999,0,0,2,10
0.36000001,0.00099999993,293.14999,0,0,2,10
0.38,0.00099999993,293.14999,0,0,2,10
0.40000001,0.00099999993,293.14999,0,0,2,10
0.41999999,0.00099999993,293.14999,0,0,2,10
0.44,0.00099999993,293.14999,0,0,2,10
0.46000001,0.00099999993,293.14999,0,0,2,10
0.47999999,0.00099999993,293.14999,0,0,2,10
0.5,0.00099999993,293.14999,0,0,2,10
0.51999998,0.00099999993,293.14999,0,0,2,10
0.54000002,0.00099999993,293.14999,0,0,2,10
0.56,0.00099999993,293.14999,0,0,2,10
0.57999998,0.00099999993,293.14999,0,0,2,10
0.60000002,0.00099999993,293.14999,0,0,2,10
0.62,0.00099999993,293.14999,0,0,2,10
0.63999999,0.00099999993,293.14999,0,0,2,10
0.66000003,0.00099999993,293.14999,0,0,2,10
0.68000001,0.00099999993,293.14999,0,0,2,10
0.69999999,0.00099999993,293.14999,0,0,2,10
0.72000003,0.00099999993,293.14999,0,0,2,10
0.74000001,0.00099999993,293.14999,0,0,2,10
