"time","clutch.phi_rel","clutch.w_rel","damper.phi_rel","damper.w_rel","elastoBacklash.phi_rel","elastoBacklash.w_rel","inertia5.phi","inertia5.w","oneWayClutch.phi_rel","oneWayClutch.w_rel","springDamper.phi_rel","springDamper.w_rel","bearingFriction.mode","bearingFriction.startBackward","bearingFriction.startForward","brake.mode","brake.startBackward","brake.startForward","clutch.mode","clutch.startBackward","clutch.startForward","lossyGear.mode","oneWayClutch.startForward","oneWayClutch.stuck"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1
7.9577472045927306e-12,2.3134238024250369e-66,4.6268476048492527e-59,6.2499953516951497e-24,1.2499990703392823e-16,-3.1250742382142689e-30,-6.2501484764263931e-23,7.711417001979564e-67,1.5422834003961708e-59,0,0,-6.2499922266226735e-24,-1.249998445324156e-16,0,0,0,2,0,0,2,0,0,0,0,1
7.9577472045927306e-12,2.3134238024250369e-66,4.6268476048492527e-59,6.2499953516951497e-24,1.2499990703392823e-16,-3.1250742382142689e-30,-6.2501484764263931e-23,7.711417001979564e-67,1.5422834003961708e-59,0,0,-6.2499922266226735e-24,-1.249998445324156e-16,0,0,0,1,0,0,1,0,0,0,0,1
5.3053416194505907e-11,-2.1254208771422419e-25,-4.2508424308266274e-18,4.167928701941317e-23,8.3347311405667219e-16,-2.084296987626831e-29,-4.1680308298882363e-22,-2.1254208771421854e-25,-4.2508424308266274e-18,0,0,-4.1679266176445872e-23,-8.3347269725356894e-16,0,0,0,1,0,0,1,0,0,0,0,1
5.3053416194505907e-11,-2.1254208771422419e-25,-4.2508424308266274e-18,4.167928701941317e-23,8.3347311405667219e-16,-2.084296987626831e-29,-4.1680308298882363e-22,-2.1254208771421854e-25,-4.2508424308266274e-18,0,0,-4.1679266176445872e-23,-8.3347269725356894e-16,0,0,0,0,0,0,0,0,0,0,1,1
1.5915494309162951e-06,-6.9777424176985243e-24,-4.2508424308266274e-18,2.6114274808713461e-16,4.008206013244967e-10,-1.6068778249949685e-21,-2.612214600174688e-15,-6.9777424176043701e-24,-4.2508424306732872e-18,-9.414972072104815e-35,-1.5334013739799524e-28,-2.6114114120930911e-16,-4.0081798910989654e-10,0,0,0,0,0,0,0,0,0,0,1,1
1.5915494309162951e-06,-6.9777424176985243e-24,-4.2508424308266274e-18,2.6114274808713461e-16,4.008206013244967e-10,-1.6068778249949685e-21,-2.612214600174688e-15,-6.9777424176043701e-24,-4.2508424306732872e-18,-9.414972072104815e-35,-1.5334013739799524e-28,-2.6114114120930911e-16,-4.0081798910989654e-10,0,0,0,0,0,0,0,0,0,0,0,1
5.0000000000000002e-05,-2.1275443810733296e-22,-4.2508424308266274e-18,7.7497820342685185e-12,3.925915359094777e-07,-1.4012080347940141e-15,-7.817844516067961e-11,-2.1275443809981577e-22,-4.2508424306732872e-18,-7.5171081822084042e-33,-1.5334013739799524e-28,-7.7483808262342866e-12,-3.9251335746434088e-07,0,0,0,0,0,0,0,0,0,0,0,1
0.0001,-4.2529655964866441e-22,-4.2508424308266274e-18,6.2102804618062685e-11,1.5698624821612118e-06,-2.2687326635068386e-14,-6.3195300773435752e-10,-4.2529655963348013e-22,-4.2508424306732872e-18,-1.5184115052108168e-32,-1.5334013739799524e-28,-6.2080117291429692e-11,-1.5692305291535167e-06,0,0,0,0,0,0,0,0,0,0,0,1
0.00015000000000000001,-6.3783868118999587e-22,-4.2508424308266274e-18,2.2465899930869005e-10,3.5308526868741114e-06,-1.4458960942792701e-13,-2.3152171177326965e-09,-6.3783868116714454e-22,-4.2508424306732872e-18,-2.2851121922007931e-32,-1.5334013739799524e-28,-2.2451440969926606e-10,-3.5285374697564263e-06,0,0,0,0,0,0,0,0,0,0,0,1
