"Time","loadInertia.phi","multiSensor.i[2]","multiSensor.v[2]","loadInertia.w","multiSensor.i[3]","currentQuasiRMSSensor.i[2]","rootMeanSquare.mean.x","multiSensor.v[1]","currentQuasiRMSSensor.i[1]","harmonic.mean1.x","rootMeanSquare.y","multiSensor.i[1]","multiSensor.v[3]","multiSensor.power[1]","harmonic.mean2.x","multiSensor.powerTotal","multiSensor.power[3]","voltageSensor.v[1]","voltageSensor.v[3]","voltageSensor.v[2]","currentQuasiRMSSensor.i[3]","softStartControl.vRef","multiSensor.power[2]"
2.5,88.052361,-0.0021574874,37.163692,109.43682,529.87537,-0.0021574874,0,0.0052987318,-529.87323,0,51.043682,-529.87323,70.705376,-2.807656,0,37462.152,37465.039,2.7216016e-12,70.710678,-70.710678,529.87537,0.6498189,-0.080180198
2.5002,88.074249,-0.0022001902,36.874958,109.45492,536.75732,-0.0022001902,0.0017629286,5.1321921,-536.75513,0.00072905247,51.043682,-536.75513,68.002365,-2754.7302,3.0487023e-05,33745.957,36500.77,5.1268244,68.007736,-73.13456,536.75732,0.64985389,-0.081131928
2.5004001,88.096138,-0.0022333995,36.400166,109.47347,539.8006,-0.0022333995,0.014018148,10.238813,-539.7984,0.0028927897,51.043682,-539.7984,65.030998,-5526.895,0.00024261017,29576.797,35103.773,10.233416,65.036392,-75.269814,539.8006,0.64988887,-0.081296109
2.5006001,88.118034,-0.0022570628,35.745132,109.49202,539.00677,-0.0022570628,0.047090795,15.30501,-539.00452,0.0064601661,51.043682,-539.00452,61.802998,-8249.4697,0.00081520638,25062.684,33312.234,15.299621,61.808388,-77.108009,539.00677,0.64992386,-0.080679007
2.5007999,88.139938,-0.0022718024,34.948227,109.51007,534.39996,-0.0022718024,0.11097343,20.310789,-534.39771,0.011374898,51.043682,-534.39771,58.331104,-10854.038,0.0019213548,20318.023,31172.141,20.305445,58.336449,-78.641891,534.39996,0.64995885,-0.079395473
2.5009301,88.154182,-0.0022765493,34.354328,109.52132,529.37622,-0.0022765493,0.17357756,23.524134,-529.3739,0.015257884,51.043682,-529.3739,55.949009,-12453.063,0.0030054275,17164.932,29618.074,23.518841,55.9543,-79.473145,529.37622,0.64998162,-0.078209326
2.5009999,88.161842,-0.0022775405,34.011608,109.52717,526.01917,-0.0022775405,0.21517286,25.236393,-526.01685,0.017559469,51.043682,-526.01685,54.629025,-13274.768,0.0037257231,15461.067,28735.912,25.231133,54.634285,-79.865417,526.01917,0.6499939,-0.077462807
2.5012,88.183746,-0.0022742799,32.94025,109.54288,513.91779,-0.0022742799,0.3685596,30.062384,-513.91547,0.024916349,51.043682,-513.91547,50.711365,-15449.524,0.0063819611,10611.872,26061.471,30.057243,50.716503,-80.77375,513.91779,0.65002888,-0.074915357
2.5013199,88.196892,-0.002268031,32.235695,109.55145,504.90024,-0.002268031,0.48758346,32.90176,-504.89795,0.029844809,51.043682,-504.89795,48.264095,-16612.033,0.0084431814,7756.4463,24368.553,32.896713,48.269142,-81.165855,504.90024,0.65004987,-0.073111556
2.5013199,88.196892,-0.002268031,-81.165855,109.55145,504.90024,-0.002268031,0.48758346,32.90176,-504.89795,0.029844809,51.043682,-504.89795,48.264095,-16612.033,0.0084431814,7756.7036,24368.553,32.896713,48.269142,-81.165855,504.90024,0.65004987,0.18408668
2.5014,88.205658,-28.339401,-81.363014,109.55692,512.33246,-28.339401,0.57923216,34.769573,-483.99307,0.03332942,51.043682,-483.99307,46.593445,-16828.232,0.010030352,9348.8809,23871.334,34.764732,46.598568,-81.363304,512.33246,0.65006387,2305.7791
2.5016,88.22757,-97.722992,-81.630775,109.57042,527.71289,-97.722992,0.85437143,39.339321,-429.9899,0.042666037,51.043682,-429.9899,42.291451,-16915.512,0.014795318,13379.436,22317.744,39.335022,42.29673,-81.631752,527.71289,0.65009886,7977.2036
2.5018001,88.249481,-164.86238,-81.576385,109.58382,538.53796,-164.86238,1.2001474,43.753811,-373.67557,0.05277906,51.043682,-373.67557,37.822578,-16349.73,0.020783756,17468.041,20368.895,43.750076,37.827961,-81.578041,538.53796,0.65013385,13448.878
2.5020001,88.2714,-229.53551,-81.200081,109.59726,544.83368,-229.53551,1.6216221,47.995617,-315.29819,0.06350895,51.043682,-315.29819,33.20446,-15132.931,0.028083364,21596.279,18090.908,47.992466,33.209908,-81.20237,544.83368,0.6501689,18638.301
2.5021999,88.29332,-291.53079,-80.503326,109.61084,546.64233,-291.53079,2.1226621,52.048,-255.11151,0.074686468,51.043682,-255.11151,28.455322,-13278.045,0.036761135,25746.035,15554.883,52.045452,28.460789,-80.506241,546.64233,0.65020388,23469.197
2.5022831,88.302429,-316.43628,-80.120499,109.61655,546.0882,-316.43628,2.3547277,53.671062,-229.65193,0.079417288,51.043682,-229.65193,26.449438,-12325.663,0.040780447,27471.096,14443.727,53.668766,26.454899,-80.123665,546.0882,0.65021843,25353.033
2.5023999,88.315247,-350.64786,-79.488876,109.62467,544.02209,-350.64786,2.7058773,55.89497,-193.37422,0.086135358,51.043682,-193.37422,23.593906,-10808.646,0.046862304,29899.566,12835.606,55.893036,23.599348,-79.492386,544.02209,0.65023887,27872.605
2.5026,88.337173,-406.69827,-78.160744,109.63889,537.04706,-406.69827,3.372582,59.521343,-130.34882,0.097675093,51.043682,-130.34882,18.6394,-7758.5366,0.058409642,34039.535,10010.235,59.520039,18.64477,-78.16481,537.04706,0.65027386,31787.838
2.5028,88.3591,-459.50595,-76.524162,109.65356,525.8067,-459.50595,4.1227736,62.912807,-66.300728,0.1091237,51.043682,-66.300728,13.611353,-4171.1646,0.071403138,38149.082,7156.9404,62.912144,13.616611,-76.528755,525.8067,0.65030891,35163.309
2.503,88.381035,-508.90808,-74.585587,109.66882,510.4054,-508.90808,4.9551339,66.055977,-1.4973089,0.12030064,51.043682,-1.4973089,8.5296097,-98.906197,0.085819967,42211.859,4353.5586,66.055962,8.5347137,-74.590675,510.4054,0.65034389,37957.207
2.5030046,88.381538,-510.00311,-74.537498,109.66918,510.00311,-510.00311,4.9752278,66.125252,4.0731442e-07,0.12055311,51.043682,4.0731442e-07,8.4122505,2.6933769e-05,0.086167999,42304.633,4290.2739,66.125252,8.4173508,-74.542603,510.00311,0.65034467,38014.355
2.5030046,88.381538,-510.00311,-74.537498,109.66918,510.00311,-510.00311,4.9752278,66.104881,4.0731442e-07,0.12055311,51.043682,4.0731442e-07,8.4122505,2.6925472e-05,0.086167999,42304.633,4290.2739,66.125252,8.4173508,-74.542603,510.00311,0.65034467,38014.355
