"Time","aimc.is[1]","aimc.is[2]","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","vfController.x","mass.s","mass.v"
0.25,95.803596,239.27071,-0.34965855,-0.29824516,0.13431388,0.28167784,9.8174772,0.057715394,0.63840348
0.25099999,69.578308,256.01447,-0.33234602,-0.32039174,0.12651238,0.2916165,9.8961735,0.058358222,0.64733785
0.252,42.979931,271.1163,-0.31326994,-0.34129912,0.11823307,0.30105522,9.9751854,0.059010234,0.65676415
0.25299999,16.181324,284.44952,-0.29251781,-0.36082157,0.10950293,0.30996653,10.05451,0.059671909,0.66666484
0.25400001,-10.637771,295.89661,-0.27019045,-0.37881902,0.10035081,0.3183248,10.13415,0.060343716,0.67701954
0.255,-37.294357,305.35205,-0.2463998,-0.39515841,0.090806954,0.32610592,10.214103,0.061026093,0.68780607
0.25600001,-63.601143,312.72214,-0.22127058,-0.40971461,0.08090318,0.33328789,10.294371,0.061719462,0.69899964
0.257,-89.37059,317.9274,-0.19493754,-0.42237136,0.070672348,0.33985049,10.374952,0.06242422,0.71057403
0.25799999,-114.41376,320.90228,-0.16754718,-0.43302262,0.060148511,0.34577575,10.455849,0.063140735,0.72250092
0.259,-138.54469,321.59747,-0.13925472,-0.44157305,0.049366452,0.35104761,10.537059,0.063869335,0.73475099
0.25999999,-161.57909,319.9794,-0.11022566,-0.44793954,0.038361724,0.3556523,10.618583,0.064610332,0.74729347
0.26100001,-183.33894,316.03198,-0.080632627,-0.45205137,0.02717028,0.35957807,10.700421,0.065364011,0.76009691
0.26199999,-203.65115,309.75623,-0.050656591,-0.45385194,0.015828421,0.36281553,10.782575,0.066130608,0.77312905
0.26300001,-222.35184,301.17133,-0.020483887,-0.45329854,0.0043725586,0.36535728,10.865041,0.066910341,0.7863574
0.264,-239.28555,290.31439,0.009693291,-0.45036399,-0.0071609677,0.36719817,10.947822,0.067703381,0.79974931
0.26499999,-254.30864,277.24075,0.039679345,-0.44503647,-0.018735997,0.3683351,11.030917,0.068509884,0.81327242
0.266,-267.28918,262.02374,0.06927561,-0.43732065,-0.030316776,0.36876702,11.114326,0.069329962,0.82689452
0.26699999,-278.10938,244.75435,0.098282292,-0.42723766,-0.041868031,0.36849496,11.19805,0.070163697,0.84058422
0.26800001,-286.66611,225.54097,0.12649956,-0.41482568,-0.053355154,0.36752176,11.282087,0.071011148,0.85431093
0.26899999,-292.87213,204.50859,0.15372899,-0.40014014,-0.064744309,0.36585218,11.366439,0.071872324,0.86804497
0.27000001,-296.65747,181.79813,0.1797753,-0.38325354,-0.076002523,0.36349276,11.451105,0.072747231,0.88175809
0.271,-297.96951,157.56561,0.2044474,-0.36425591,-0.087097816,0.36045173,11.536085,0.073635831,0.89542323
0.27200001,-296.7746,131.9808,0.22756055,-0.34325394,-0.097999245,0.35673887,11.62138,0.07453806,0.90901488
0.273,-293.05756,105.22675,0.24893723,-0.32037169,-0.10867703,0.35236552,11.706988,0.075453833,0.92250913
0.27399999,-286.82318,77.497314,0.26840934,-0.29574868,-0.11910254,0.3473444,11.792911,0.076383039,0.93588382
0.27500001,-278.09537,48.997478,0.2858192,-0.26954117,-0.12924843,0.34168962,11.879148,0.077325553,0.94911855
0.27599999,-266.91818,19.939665,0.30102146,-0.24191937,-0.13908859,0.33541647,11.965698,0.078281224,0.9621945
0.27700001,-253.35512,-9.45504,0.31388432,-0.21306872,-0.14859825,0.32854137,12.052563,0.079249889,0.97509509
0.278,-237.48918,-38.96159,0.32429111,-0.18318672,-0.15775394,0.32108182,12.139742,0.080231354,0.98780531
0.27900001,-219.4225,-68.349762,0.33214158,-0.15248372,-0.16653357,0.31305638,12.227236,0.081225432,1.0003121
0.28,-199.27559,-97.388947,0.33735305,-0.12117957,-0.1749163,0.30448446,12.315043,0.082231909,1.012604
0.28099999,-177.18695,-125.84719,0.33986187,-0.089503974,-0.1828827,0.29538628,12.403165,0.083250567,1.0246713
0.28200001,-153.31201,-153.49477,0.33962411,-0.057693791,-0.19041459,0.28578299,12.491601,0.084281176,1.0365061
0.28299999,-127.82218,-180.10503,0.33661672,-0.025991894,-0.19749521,0.27569631,12.580351,0.085323498,1.0481021
0.28400001,-100.90424,-205.45599,0.33083844,0.005354635,-0.204109,0.26514852,12.669415,0.0863773,1.0594548
0.285,-72.758057,-229.33359,0.32230985,0.036096998,-0.21024172,0.25416264,12.758793,0.087442331,1.0705609
0.28600001,-43.597088,-251.53094,0.31107488,0.065985717,-0.21588041,0.24276207,12.848486,0.088518336,1.0814189
0.287,-13.644319,-271.85367,0.29719955,0.09477406,-0.22101326,0.23097084,12.938492,0.089605086,1.0920281
0.28799999,16.86607,-290.11765,0.28077406,0.12221881,-0.22562972,0.21881342,13.028813,0.09070231,1.1023896
0.289,47.693977,-306.15451,0.26191026,0.14808367,-0.22972037,0.20631467,13.119448,0.091809779,1.112505
