"Time","rectifier.thyristor_p1.off","rectifier.thyristor_p2.off","rectifier.thyristor_n1.off","rectifier.thyristor_n2.off","meanVoltage.y","meanVoltage.x","rootMeanSquareVoltage.mean.y","rootMeanSquareVoltage.mean.x","meanCurrent.y","meanCurrent.x","pulse2.twoPulse.timerPositive[1].entryTime","pulse2.twoPulse.timerNegative[1].entryTime","pulse2.twoPulse.filter[1].firstOrder.y","pulse2.twoPulse.filter[1].transferFunction[1].x_scaled[1]","pulse2.twoPulse.filter[1].transferFunction[2].x_scaled[1]","inductor.i","dcpm.inertiaRotor.phi","dcpm.inertiaRotor.w","lMains.i"
2.45,0,1,1,0,96.426491,0.96427023,12079.016,120.7905,99.900299,0.99885267,2.440042,2.4300418,62.582581,14.693975,-15.678823,100.62776,349.53937,143.70544,100.62777
2.45,0,1,1,0,96.427017,0,12079.05,0,99.885269,0,2.440042,2.4300418,62.582581,14.693975,-15.678823,100.62776,349.53937,143.70544,100.62777
2.4500084,0,1,1,0,96.427017,1.736185e-06,12079.05,6.0134255e-07,99.885269,0.00085018476,2.440042,2.4300418,62.252254,14.708726,-15.684181,100.57844,349.54056,143.70546,100.57844
2.450042,0,1,1,0,96.427017,-2.5624193e-05,12079.05,3.3094759e-05,99.885269,0.0042108279,2.440042,2.4300418,60.940666,14.766054,-15.704279,100.38115,349.54538,143.70554,100.38112
2.450042,0,1,1,0,96.427017,-2.5624193e-05,12079.05,3.3094759e-05,99.885269,0.0042108279,2.440042,2.450042,60.940666,14.766054,-15.704279,100.38115,349.54538,143.70554,100.38112
2.450042,0,1,1,0,96.427017,-2.5624195e-05,12079.05,3.3094762e-05,99.885269,0.0042108279,2.440042,2.450042,60.940666,14.766054,-15.704279,100.38115,349.54538,143.70554,100.38112
2.450042,0,0,0,0,96.427017,-2.5624195e-05,12079.05,3.3094762e-05,99.885269,0.0042108279,2.440042,2.450042,60.940666,14.766054,-15.704279,100.38115,349.54538,143.70554,100.38112
2.4502001,0,0,0,0,96.427017,-2.578217e-05,12079.05,3.3094919e-05,99.885269,0.020008324,2.440042,2.450042,55.177776,15.015425,-15.776469,99.45665,349.56808,143.70547,93.856567
2.4504001,0,0,0,0,96.427017,-2.5979914e-05,12079.05,3.3095115e-05,99.885269,0.039782755,2.440042,2.450042,48.662018,15.283897,-15.818479,98.287804,349.59683,143.70451,74.404335
2.4505999,0,0,0,0,96.427017,-2.6175321e-05,12079.05,3.3095308e-05,99.885269,0.059323493,2.440042,2.450042,42.915634,15.505787,-15.811989,97.119667,349.62558,143.70258,42.58839
2.4507999,0,0,0,0,96.427017,-2.6368394e-05,12079.05,3.3095494e-05,99.885269,0.078630671,2.440042,2.450042,37.847805,15.6867,-15.763258,95.952271,349.65433,143.69963,-1.3895427
