"Time","smpmM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smpm3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smpmM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","vfController3.x","smpm3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smpmM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smpmM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smpm3.is[1]","smpm3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","loadInertiaM.phi","vfController.x","smpmM.is[2]","smpm3.is[2]","smpm3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smpmM.is[3]","smpmM.is[1]","loadInertia3.w","loadInertiaM.w","smpmM.is[4]","loadInertia3.phi"
1.2,0.0042072763,0.0027324467,0.0027324467,219.91148,0.0042072763,0.45053503,-0.46436387,-3.7913494,-0.46436387,109.1702,219.91148,24.029203,39.430557,0.45053503,17.125675,-2.2748096,156.9989,156.9989,-13.444955,109.1702
1.2000999,-0.009945523,0.0027356346,0.0027356346,219.9429,-0.009945523,0.45044276,-0.46436307,-5.1268225,-0.46436307,109.18589,219.9429,23.703651,39.980003,0.45044276,17.725756,-3.0760934,156.96664,156.96664,-12.748531,109.18589
1.2002,-0.024088135,0.0027387214,0.0027387214,219.97432,-0.024088135,0.44990596,-0.46436223,-6.4515347,-0.46436223,109.20159,219.97432,23.356844,40.488785,0.44990596,18.306244,-3.8709209,156.9344,156.9344,-12.042962,109.20159
1.2003,-0.038207173,0.0027416872,0.0027416872,220.00574,-0.038207173,0.44892523,-0.46436143,-7.7630506,-0.46436143,109.21728,220.00574,22.989668,40.956345,0.44892523,18.866226,-4.6578302,156.90216,156.90216,-11.329699,109.21728
1.2004,-0.052288584,0.0027445084,0.0027445084,220.03716,-0.052288584,0.44750151,-0.46436059,-9.0605021,-0.46436059,109.23297,220.03716,22.602762,41.382969,0.44750151,19.405577,-5.4363008,156.86993,156.86993,-10.609456,109.23297
1.2005,-0.066318259,0.0027471641,0.0027471641,220.06857,-0.066318259,0.44563633,-0.46435976,-10.34328,-0.46435976,109.24866,220.06857,22.196583,41.768879,0.44563633,19.924212,-6.2059679,156.83772,156.83772,-9.8827438,109.24866
1.2006,-0.080282323,0.0027496349,0.0027496349,220.09998,-0.080282323,0.44333157,-0.46435893,-11.610385,-0.46435893,109.26434,220.09998,21.771717,42.114178,0.44333157,20.421892,-6.9662309,156.80551,156.80551,-9.1502943,109.26434
1.2007,-0.094166897,0.0027519008,0.0027519008,220.13139,-0.094166897,0.44058946,-0.46435809,-12.861038,-0.46435809,109.28001,220.13139,21.328886,42.419361,0.44058946,20.8986,-7.7166228,156.77333,156.77333,-8.4128408,109.28001
1.2007999,-0.10795826,0.0027539437,0.0027539437,220.16281,-0.10795826,0.43741265,-0.46435723,-14.094328,-0.46435723,109.29569,220.16281,20.868855,42.684872,0.43741265,21.354258,-8.4565964,156.74115,156.74115,-7.6711969,109.29569
1.2009,-0.12164279,0.0027557451,0.0027557451,220.19423,-0.12164279,0.43380421,-0.46435639,-15.309364,-0.46435639,109.31136,220.19423,20.392418,42.911221,0.43380421,21.788826,-9.1856184,156.70898,156.70898,-6.9261827,109.31136
1.201,-0.13520703,0.0027572874,0.0027572874,220.22565,-0.13520703,0.42976791,-0.46435553,-16.505178,-0.46435553,109.32703,220.22565,19.900005,43.098301,0.42976791,22.201986,-9.9031076,156.67685,156.67685,-6.1784225,109.32703
1.2011,-0.14863753,0.0027585526,0.0027585526,220.25706,-0.14863753,0.42530757,-0.46435466,-17.68107,-0.46435466,109.3427,220.25706,19.392551,43.24699,0.42530757,22.593899,-10.608642,156.64473,156.64473,-5.4287548,109.3427
1.2012,-0.16192104,0.0027595235,0.0027595235,220.28848,-0.16192104,0.42042756,-0.4643538,-18.836294,-0.4643538,109.35836,220.28848,18.870722,43.357712,0.42042756,22.964523,-11.301777,156.61263,156.61263,-4.6778655,109.35836
1.2013,-0.17504449,0.0027601824,0.0027601824,220.31989,-0.17504449,0.41513285,-0.46435294,-19.96999,-0.46435294,109.37402,220.31989,18.335108,43.430695,0.41513285,23.313715,-11.981995,156.58055,156.58055,-3.9264402,109.37402
1.2014,-0.1879949,0.0027605123,0.0027605123,220.3513,-0.1879949,0.40942854,-0.46435207,-21.081566,-0.46435207,109.38968,220.3513,17.786535,43.466721,0.40942854,23.641623,-12.648939,156.54849,156.54849,-3.1752086,109.38968
1.2015001,-0.20075943,0.0027604958,0.0027604958,220.38272,-0.20075943,0.40332022,-0.46435118,-22.170477,-0.46435118,109.40533,220.38272,17.225737,43.466484,0.40332022,23.948376,-13.302285,156.51646,156.51646,-2.4248259,109.40533
1.2016,-0.21332559,0.0027601169,0.0027601169,220.41414,-0.21332559,0.39681408,-0.46435031,-23.235912,-0.46435031,109.42098,220.41414,16.653196,43.430088,0.39681408,24.233789,-13.941547,156.48447,156.48447,-1.6758914,109.42098
1.2017,-0.22568089,0.0027593593,0.0027593593,220.44556,-0.22568089,0.3899166,-0.46434942,-24.277494,-0.46434942,109.43663,220.44556,16.069521,43.358147,0.3899166,24.498007,-14.566496,156.45248,156.45248,-0.92892027,109.43663
1.2018,-0.23781307,0.0027582068,0.0027582068,220.47697,-0.23781307,0.38263473,-0.46434852,-25.294874,-0.46434852,109.45227,220.47697,15.475178,43.25111,0.38263473,24.74111,-15.176924,156.42053,156.42053,-0.18433096,109.45227
1.2019,-0.24971034,0.0027566438,0.0027566438,220.50839,-0.24971034,0.37497547,-0.4643476,-26.287199,-0.4643476,109.46791,220.50839,14.871153,43.109798,0.37497547,24.963198,-15.772319,156.38861,156.38861,0.55695152,109.46791
1.202,-0.26136082,0.0027546545,0.0027546545,220.53981,-0.26136082,0.36694652,-0.46434668,-27.254267,-0.46434668,109.48355,220.53981,14.25789,42.934734,0.36694652,25.164421,-16.35256,156.35672,156.35672,1.2945775,109.48355
1.2021,-0.27275294,0.002752224,0.002752224,220.57121,-0.27275294,0.35855588,-0.46434575,-28.195911,-0.46434575,109.49918,220.57121,13.63587,42.726513,0.35855588,25.344978,-16.917547,156.32486,156.32486,2.028188,109.49918
1.2022001,-0.28387567,0.0027493378,0.0027493378,220.60263,-0.28387567,0.34981176,-0.46434483,-29.111347,-0.46434483,109.51482,220.60263,13.005924,42.485783,0.34981176,25.504911,-17.466808,156.29305,156.29305,2.756978,109.51482
1.2023,-0.29471794,0.0027459811,0.0027459811,220.63405,-0.29471794,0.34072289,-0.46434388,-30.00042,-0.46434388,109.53044,220.63405,12.368554,42.213188,0.34072289,25.64444,-18.000252,156.26125,156.26125,3.480581,109.53044
1.2024,-0.30526891,0.0027421401,0.0027421401,220.66547,-0.30526891,0.33129835,-0.46434292,-30.863111,-0.46434292,109.54607,220.66547,11.724195,41.90937,0.33129835,25.763817,-18.517866,156.22949,156.22949,4.1987205,109.54607
1.2025,-0.31551841,0.0027378008,0.0027378008,220.69688,-0.31551841,0.32154733,-0.46434194,-31.698801,-0.46434194,109.56169,220.69688,11.07364,41.57505,0.32154733,25.863167,-19.019281,156.19777,156.19777,4.9106765,109.56169
1.2026,-0.32545626,0.0027329493,0.0027329493,220.7283,-0.32545626,0.31147951,-0.46434096,-32.50732,-0.46434096,109.57731,220.7283,10.417423,41.210907,0.31147951,25.942715,-19.504393,156.16609,156.16609,5.6160555,109.57731
1.2027,-0.33507255,0.0027275728,0.0027275728,220.75972,-0.33507255,0.30110496,-0.46433994,-33.288754,-0.46433994,109.59292,220.75972,9.7559319,40.817593,0.30110496,26.002748,-19.973251,156.13445,156.13445,6.314651,109.59292
1.2028,-0.34435794,0.0027216577,0.0027216577,220.79114,-0.34435794,0.29043385,-0.46433893,-34.042675,-0.46433893,109.60854,220.79114,9.0898762,40.395859,0.29043385,26.043459,-20.425606,156.10284,156.10284,7.0058665,109.60854
1.2029001,-0.35330328,0.0027151911,0.0027151911,220.82254,-0.35330328,0.27947673,-0.46433789,-34.768917,-0.46433789,109.62414,220.82254,8.4198093,39.946404,0.27947673,26.065079,-20.861351,156.07129,156.07129,7.6892948,109.62414
1.2029999,-0.36189967,0.0027081603,0.0027081603,220.85396,-0.36189967,0.26824453,-0.46433684,-35.46764,-0.46433684,109.63975,220.85396,7.746058,39.46986,0.26824453,26.067913,-21.280584,156.03976,156.03976,8.3647976,109.63975
1.2031,-0.37013867,0.0027005528,0.0027005528,220.88538,-0.37013867,0.25674838,-0.46433577,-36.138695,-0.46433577,109.65535,220.88538,7.0691838,38.966949,0.25674838,26.052212,-21.683216,156.00829,156.00829,9.0319691,109.65535
1.2032,-0.37801221,0.0026923569,0.0026923569,220.91679,-0.37801221,0.24499954,-0.4643347,-36.781918,-0.4643347,109.67095,220.91679,6.3897505,38.438412,0.24499954,26.018234,-22.069151,155.97685,155.97685,9.690402,109.67095
1.2033,-0.38551247,0.0026835601,0.0026835601,220.94821,-0.38551247,0.23300977,-0.46433356,-37.397411,-0.46433356,109.68655,220.94821,5.708118,37.884869,0.23300977,25.966257,-22.438448,155.94547,155.94547,10.339911,109.68655
