"Time","smeeM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smeeM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re"
0.11,0.0074909111,-0.44986978
0.111,-0.13188176,-0.43014273
0.112,-0.25833631,-0.36831999
0.113,-0.35949847,-0.27045298
0.114,-0.42546925,-0.14612044
0.115,-0.44979364,-0.0074911145
0.116,-0.43009245,0.13186727
0.117,-0.36829528,0.25831577
0.118,-0.27045155,0.35947913
0.119,-0.14613849,0.42545685
0.12,-0.0075238133,0.44979239
0.121,0.13182522,0.43010488
0.122,0.25826967,0.36832228
0.123,0.35943392,0.27049258
0.124,0.4254168,0.14619184
0.125,0.44976085,0.0075868126
0.126,0.43008417,-0.1317558
0.127,0.36831364,-0.25819734
0.12800001,0.27049622,-0.35936219
0.12899999,0.14620702,-0.42534891
0.13,0.0076120235,-0.44969958
0.131,-0.1317227,-0.43003172
0.132,-0.25815892,-0.36827147
0.133,-0.35932115,-0.27046499
0.134,-0.42530805,-0.14618662
0.13500001,-0.4496614,-0.0076016905
0.13600001,-0.42999843,0.13172436
0.13699999,-0.36824471,0.2581538
0.138,-0.27044585,0.35931143
0.139,-0.14617558,0.42529607
0.14,-0.007598517,0.44964951
0.141,0.13172047,0.42998871
0.142,0.25814414,0.36823896
0.14300001,0.35929775,0.27044535
0.14399999,0.42528033,0.14618105
0.145,0.44963372,0.0076101255
0.146,0.42997482,-0.13170315
0.147,0.3682287,-0.25812212
0.148,0.27044004,-0.35927239
0.149,0.14618152,-0.42525333
0.15000001,0.0076166638,-0.44960696
0.15099999,-0.13169083,-0.42995012
0.152,-0.2581048,-0.36820769
0.153,-0.35925135,-0.27042407
0.154,-0.42523018,-0.14617147
0.155,-0.44958344,-0.0076128757
0.156,-0.42992803,0.13168854
0.15700001,-0.36818868,0.25809711
0.15800001,-0.27040949,0.35923946
0.15899999,-0.14616229,0.42521557
0.16,-0.0076095411,0.44956788
0.161,0.13168612,0.42991328
