"Time","smpmM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smpmM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smpmM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smpmE.idq_sr[1]","loadInertiaM.phi","loadInertiaE.phi","loadInertiaM.w","smpmE.is[2]","vfController.x","smpmE.idq_sr[2]","smpmM.is[2]","smpmE.is[1]","smpmM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smpmM.is[1]","smpmE.idq_dr[1]","smpmE.idq_rr[2]","loadInertiaE.w"
1.2023,-0.29471672,-0.46434391,0.3407217,-43.412651,109.53044,109.53044,156.26123,42.219688,220.63405,-1.8262651,42.216522,-30.004705,0.0027462468,-30.004713,0.24407189,-0.89965463,156.26123
1.2024,-0.3052676,-0.46434295,0.33129722,-43.417194,109.54607,109.54607,156.22948,41.915798,220.66547,-1.6792841,41.912571,-30.867691,0.0027424123,-30.867584,0.24708454,-1.0221893,156.22948
1.2025,-0.31551692,-0.46434197,0.32154635,-43.422024,109.56169,109.56168,156.19775,41.581387,220.69688,-1.5277456,41.57811,-31.703794,0.0027380807,-31.703558,0.25033045,-1.1481842,156.19775
1.2026,-0.32545453,-0.46434096,0.3114787,-43.427162,109.57731,109.57731,156.16608,41.217136,220.7283,-1.3717041,41.213806,-32.512794,0.0027332383,-32.51247,0.25382972,-1.2775803,156.16608
1.2027,-0.3350707,-0.46433994,0.30110425,-43.432632,109.59292,109.59292,156.13443,40.823738,220.75972,-1.2112129,40.820358,-33.294502,0.0027278713,-33.294117,0.25760263,-1.4103198,156.13443
1.2028,-0.34435594,-0.4643389,0.29043329,-43.438465,109.60854,109.60854,156.10283,40.40189,220.79114,-1.0463239,40.398457,-34.048756,0.0027219672,-34.048325,0.26166973,-1.5463464,156.10283
1.2029001,-0.35330108,-0.46433786,0.27947634,-43.444683,109.62415,109.62414,156.07126,39.952282,220.82254,-0.87708783,39.948799,-34.775425,0.0027155126,-34.774956,0.2660518,-1.6856049,156.07126
1.2029999,-0.36189732,-0.46433678,0.2682443,-43.451313,109.63975,109.63975,156.03975,39.475616,220.85396,-0.70355397,39.47208,-35.474403,0.0027084951,-35.473904,0.27076986,-1.8280414,156.03975
1.2031,-0.3701362,-0.46433571,0.25674823,-43.458378,109.65535,109.65535,156.00827,38.972595,220.88538,-0.52577055,38.969006,-36.145618,0.0027009018,-36.145073,0.27584505,-1.9736035,156.00827
1.2032,-0.37800965,-0.46433461,0.24499954,-43.465908,109.67095,109.67095,155.97684,38.443913,220.91679,-0.34378436,38.440277,-36.789017,0.0026927204,-36.788425,0.28129867,-2.1222398,155.97684
1.2033,-0.38550988,-0.46433347,0.23300983,-43.473927,109.68655,109.68655,155.94543,37.89027,220.94821,-0.15764099,37.886581,-37.404575,0.0026839387,-37.403927,0.28715211,-2.2739003,155.94545
1.2034,-0.39262953,-0.46433231,0.22079098,-43.482464,109.70214,109.70214,155.91409,37.312359,220.97963,0.032615252,37.308628,-37.99229,0.0026745445,-37.991577,0.29342681,-2.4285362,155.91409
1.2035,-0.39936161,-0.46433115,0.20835507,-43.491543,109.71773,109.71773,155.8828,36.710869,221.01105,0.22694129,36.707092,-38.552177,0.002664526,-38.551399,0.30014434,-2.5860999,155.8828
1.2036,-0.40569949,-0.46432993,0.1957144,-43.501194,109.73331,109.73331,155.85155,36.086483,221.04247,0.42529523,36.082676,-39.084282,0.0026538717,-39.083447,0.30732617,-2.7465453,155.85156
1.2036999,-0.41163695,-0.46432868,0.18288146,-43.511444,109.7489,109.74889,155.82036,35.43988,221.07387,0.62763649,35.436069,-39.588661,0.0026425698,-39.587776,0.31499377,-2.9098272,155.82036
1.2038,-0.41716814,-0.46432742,0.16986896,-43.522316,109.76448,109.76448,155.7892,34.771729,221.10529,0.8339256,34.767948,-40.065388,0.0026306093,-40.064476,0.32316861,-3.0759017,155.78922
1.2039,-0.4222877,-0.46432611,0.15668973,-43.53384,109.78006,109.78005,155.7581,34.082691,221.1367,1.0441244,34.078983,-40.514561,0.002617979,-40.51363,0.33187196,-3.2447262,155.75812
1.204,-0.42699054,-0.46432477,0.14335684,-43.546047,109.79563,109.79563,155.72705,33.373421,221.16812,1.2581959,33.369831,-40.936287,0.0026046678,-40.935345,0.34112513,-3.4162588,155.72707
1.2041,-0.43127206,-0.4643234,0.12988345,-43.558956,109.8112,109.8112,155.69606,32.644566,221.19954,1.4761039,32.641136,-41.330692,0.0025906651,-41.329811,0.35094923,-3.5904596,155.69608
1.2042,-0.43512812,-0.46432197,0.11628292,-43.572601,109.82677,109.82677,155.66512,31.896748,221.23096,1.6978141,31.893507,-41.69791,0.0025759598,-41.697136,0.3613652,-3.7672892,155.66513
1.2043,-0.43855491,-0.46432051,0.10256867,-43.587006,109.84234,109.84233,155.63423,31.130594,221.26237,1.9232928,31.127529,-42.038097,0.002560542,-42.037441,0.37239376,-3.9467092,155.63425
1.2043999,-0.44154915,-0.46431899,0.088754296,-43.602192,109.85789,109.85789,155.60341,30.346714,221.29379,2.1525075,30.34375,-42.351402,0.002544401,-42.350849,0.38405541,-4.1286831,155.60341
1.2045,-0.44410786,-0.46431744,0.074853413,-43.618195,109.87346,109.87345,155.57263,29.545704,221.3252,2.385427,29.542875,-42.638,0.0025275268,-42.637608,0.3963705,-4.3131738,155.57265
1.2046,-0.44622859,-0.46431583,0.06087973,-43.635036,109.88902,109.88901,155.54192,28.728148,221.35661,2.6220205,28.72555,-42.898064,0.0025099094,-42.897926,0.40935901,-4.5001478,155.54193
1.2047,-0.4479093,-0.46431416,0.046847083,-43.65274,109.90456,109.90456,155.51126,27.894613,221.38803,2.8622591,27.892248,-43.131783,0.0024915391,-43.131905,0.42304066,-4.68957,155.51128
1.2048,-0.44914842,-0.46431243,0.032769337,-43.671337,109.92011,109.92011,155.48065,27.04566,221.41945,3.1061149,27.043499,-43.33934,0.0024724058,-43.33968,0.43743479,-4.8814077,155.48067
1.2049,-0.44994476,-0.46431068,0.018660398,-43.690845,109.93566,109.93566,155.45012,26.181831,221.45087,3.3535602,26.1798,-43.520935,0.0024525004,-43.52137,0.45256045,-5.0756297,155.45013
1.205,-0.45029753,-0.46430883,0.004534191,-43.711296,109.9512,109.9512,155.41965,25.303654,221.48228,3.604569,25.301872,-43.676762,0.0024318127,-43.677505,0.46843666,-5.2722044,155.41966
1.2051001,-0.45020643,-0.46430692,-0.0095953252,-43.732712,109.96674,109.96674,155.38922,24.411642,221.5137,3.8591161,24.410107,-43.807022,0.0024103338,-43.808083,0.48508161,-5.4711022,155.38924
1.2052,-0.44967169,-0.46430492,-0.023714196,-43.755119,109.98228,109.98228,155.35887,23.506298,221.54512,4.117177,23.504974,-43.911919,0.0023880543,-43.913254,0.50251323,-5.6722937,155.35889
1.2053,-0.4486939,-0.46430287,-0.037808478,-43.778534,109.99782,109.99782,155.32858,22.588102,221.57652,4.3787289,22.586908,-43.991653,0.0023649652,-43.993145,0.52074903,-5.8757505,155.3286
1.2054,-0.44727406,-0.46430075,-0.051864259,-43.80299,110.01334,110.01334,155.29836,21.65753,221.60794,4.6437488,21.656441,-44.046429,0.0023410572,-44.048054,0.53980619,-6.0814457,155.29837
1.2055,-0.4454135,-0.46429855,-0.065867685,-43.828503,110.02888,110.02888,155.2682,20.715034,221.63936,4.9122157,20.714146,-44.076447,0.0023163215,-44.078365,0.55970162,-6.2893524,155.26822
1.2056,-0.44311422,-0.46429625,-0.079804927,-43.855099,110.0444,110.0444,155.23811,19.761059,221.67078,5.1841078,19.760351,-44.081902,0.0022907495,-44.084095,0.58045137,-6.4994454,155.23813
1.2057,-0.44037858,-0.46429387,-0.093662232,-43.882797,110.05992,110.05992,155.20808,18.79603,221.70219,5.4594064,18.795458,-44.062996,0.002264332,-44.065384,0.60207111,-6.7117,155.2081
1.2058001,-0.43720937,-0.46429142,-0.10742593,-43.911625,110.07544,110.07544,155.17812,17.82036,221.73361,5.7380919,17.819832,-44.019913,0.0022370608,-44.022335,0.62457615,-6.9260912,155.17813
1.2059,-0.4336096,-0.46428886,-0.12108244,-43.941593,110.09096,110.09096,155.14824,16.834452,221.76503,6.0201459,16.834049,-43.952847,0.0022089272,-43.955482,0.64798152,-7.1425962,155.14825
1.206,-0.42958298,-0.46428621,-0.1346183,-43.972733,110.10648,110.10647,155.11841,15.838688,221.79645,6.3055511,15.838429,-43.861977,0.0021799228,-43.864868,0.67230129,-7.3611927,155.11842
1.2061,-0.42513356,-0.46428344,-0.14802016,-44.005058,110.12199,110.12198,155.08867,14.833445,221.82785,6.5942903,14.83331,-43.747478,0.0021500394,-43.750599,0.69754922,-7.5818586,155.08868
1.2062,-0.42026582,-0.46428061,-0.16127482,-44.038586,110.13749,110.13749,155.05899,13.819081,221.85927,6.8863473,13.819023,-43.609528,0.0021192683,-43.612766,0.72373837,-7.8045721,155.05901
1.2063,-0.41498458,-0.46427763,-0.1743692,-44.073341,110.15299,110.15299,155.02937,12.795948,221.89069,7.1817069,12.795927,-43.44828,0.0020876019,-43.451569,0.75088149,-8.0293131,155.02939
1.2064,-0.40929505,-0.46427456,-0.1872904,-44.109341,110.1685,110.1685,154.99985,11.764381,221.9221,7.4803543,11.764471,-43.263893,0.0020550317,-43.267433,0.77899086,-8.2560616,154.99986
1.2065001,-0.40320295,-0.46427137,-0.20002569,-44.146599,110.184,110.18399,154.97038,10.724708,221.95352,7.7822752,10.724901,-43.056519,0.00202155,-43.060307,0.80807781,-8.4847984,154.9704
1.2066,-0.39671439,-0.46426806,-0.21256253,-44.185135,110.19949,110.19949,154.94099,9.6772423,221.98494,8.0874557,9.6775188,-42.82629,0.0019871485,-42.830273,0.83815324,-8.7155046,154.94101
1.2067,-0.38983586,-0.46426463,-0.22488858,-44.224964,110.21498,110.21498,154.91168,8.6222925,222.01636,8.3958836,8.6226034,-42.573345,0.0019518199,-42.577377,0.86922753,-8.9481621,154.91171
1.2068,-0.38257411,-0.46426108,-0.23699167,-44.266102,110.23047,110.23047,154.88245,7.5601554,222.04778,8.7075453,7.5605202,-42.297798,0.0019155559,-42.301987,0.90131056,-9.1827526,154.88248
1.2069,-0.37493637,-0.46425739,-0.24885991,-44.308563,110.24596,110.24596,154.8533,6.4911189,222.07918,9.0224295,6.491559,-41.999771,0.001878349,-42.004211,0.93441159,-9.41926,154.85332
1.207,-0.36693028,-0.46425357,-0.26048163,-44.352364,110.26144,110.26144,154.82422,5.4154654,222.1106,9.3405237,5.4159698,-41.679359,0.0018401917,-41.684032,0.968539,-9.6576662,154.82423
1.2071,-0.35856381,-0.46424961,-0.27184537,-44.397518,110.27692,110.27692,154.79521,4.3334689,222.14201,9.6618185,4.3340163,-41.336666,0.0018010761,-41.34148,1.0037009,-9.8979559,154.79523
1.2072001,-0.34984532,-0.4642455,-0.28294,-44.444035,110.2924,110.2924,154.7663,3.2453988,222.17343,9.9863014,3.2459607,-40.971771,0.0017609949,-40.976593,1.0399044,-10.140113,154.76631
1.2072999,-0.3407833,-0.46424124,-0.29375455,-44.491928,110.30788,110.30788,154.73746,2.1515186,222.20485,10.313964,2.1521165,-40.584751,0.0017199407,-40.589809,1.0771567,-10.384122,154.73747
1.2074,-0.33138686,-0.46423683,-0.3042784,-44.54121,110.32335,110.32335,154.70869,1.0520877,222.23627,10.644794,1.0527139,-40.175674,0.0016779061,-40.180962,1.1154637,-10.629967,154.70871
1.2075,-0.32166532,-0.46423227,-0.31450126,-44.591896,110.33882,110.33882,154.68001,-0.052637517,222.26768,10.978785,-0.051991746,-39.744602,0.0016348837,-39.750069,1.1548311,-10.877634,154.68002
