"Time","pipeAV_B4.state_a.h","pipeAV_B4.state_b.h","pipeAV_B2.state_a.h","pipeAV_B2.state_b.h","pipeAV_B3.state_a.h","pipeAV_B3.state_b.h","pipeA_VB4.state_a.h","pipeA_VB4.state_b.h","pipeA_VB2.state_a.h","pipeA_VB2.state_b.h","pipeA_VB3.state_a.h","pipeA_VB3.state_b.h","pipeAV_VB4.state_a.h","pipeAV_VB4.state_b.h","pipeAV_VB2.state_a.h","pipeAV_VB2.state_b.h","pipeAV_VB3.state_a.h","pipeAV_VB3.state_b.h","pipeA_V_B4.state_a.h","pipeA_V_B4.state_b.h","pipeA_V_B2.state_a.h","pipeA_V_B2.state_b.h","pipeA_V_B3.state_a.h","pipeA_V_B3.state_b.h"
0,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000
0.00019999999,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000
0.00039999999,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000
0.00060000003,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000
0.00079999998,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000
0.001,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000
0.0012000001,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000
0.0014,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000
0.0016,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000
0.0018,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000
