"Time","aimc.is[1]","aimc.is[2]","aimc.idq_sr[1]","aimc.idq_sr[2]","aimc.idq_rr[1]","aimc.idq_rr[2]","powerSensor.flange_a.phi","loadInertia.w","PI.x"
4.5,-6.77776,-0.84188414,-5.147893,-6.5415506,-0.18918434,0.15851752,706.68787,157.0419,0.00028713819
4.5001001,-6.620966,-1.1025658,-5.1478434,-6.5415893,-0.18918556,0.15851612,706.70355,157.0419,0.0014173606
4.5001998,-6.4576373,-1.3621594,-5.1477942,-6.5416284,-0.1891868,0.15851474,706.71924,157.0419,0.004798044
4.5002999,-6.2879357,-1.6204088,-5.1477447,-6.541667,-0.18918808,0.15851338,706.73499,157.0419,0.010419799
4.5004001,-6.1120291,-1.8770591,-5.1476951,-6.5417061,-0.18918942,0.15851207,706.75067,157.0419,0.018273087
4.5005002,-5.9300904,-2.1318572,-5.1476455,-6.5417452,-0.18919085,0.15851085,706.76636,157.0419,0.028347567
4.5005999,-5.7422991,-2.3845513,-5.1475959,-6.5417843,-0.18919238,0.1585097,706.7821,157.04189,0.04063303
4.5007,-5.548841,-2.6348925,-5.1475458,-6.5418234,-0.18919404,0.15850866,706.79779,157.04189,0.055119433
4.5008001,-5.3499064,-2.8826334,-5.1474957,-6.541863,-0.18919584,0.15850773,706.81348,157.04187,0.071796663
4.5008998,-5.1456919,-3.1275296,-5.1474457,-6.5419025,-0.18919779,0.15850694,706.82922,157.04187,0.090654567
4.5009999,-4.9363995,-3.3693397,-5.1473956,-6.5419421,-0.18919995,0.15850632,706.84491,157.04185,0.11168303
4.5011001,-4.7222347,-3.6078248,-5.1473451,-6.5419817,-0.18920231,0.15850586,706.8606,157.04185,0.13487196
4.5012002,-4.5034094,-3.8427498,-5.147294,-6.5420218,-0.18920489,0.15850557,706.87628,157.04184,0.16021121
4.5012999,-4.2801394,-4.0738826,-5.147243,-6.5420623,-0.1892077,0.15850551,706.89203,157.04182,0.18769068
4.5014,-4.0526457,-4.3009953,-5.1471915,-6.5421028,-0.1892108,0.15850566,706.90771,157.04181,0.21730021
4.5015001,-3.8211515,-4.5238633,-5.14714,-6.5421433,-0.18921418,0.15850605,706.9234,157.04179,0.24902943
4.5015998,-3.585886,-4.7422676,-5.1470881,-6.5421844,-0.18921787,0.15850669,706.93915,157.04178,0.2828683
4.5016999,-3.3470812,-4.9559917,-5.1470361,-6.5422254,-0.18922187,0.15850759,706.95483,157.04176,0.31880668
4.5018001,-3.1049728,-5.1648254,-5.1469831,-6.5422673,-0.18922623,0.15850878,706.97052,157.04175,0.35683432
4.5019002,-2.8597996,-5.3685617,-5.1469302,-6.5423088,-0.18923095,0.15851027,706.98627,157.04173,0.39694077
4.5019999,-2.6118035,-5.5670009,-5.1468768,-6.5423512,-0.18923604,0.15851207,707.00195,157.04172,0.43911594
4.5021,-2.3612294,-5.7599459,-5.1468229,-6.5423937,-0.18924156,0.1585142,707.01764,157.04169,0.48334968
4.5022001,-2.1083245,-5.9472065,-5.1467686,-6.5424366,-0.18924749,0.15851669,707.03333,157.04167,0.52963173
4.5022998,-1.853338,-6.1285987,-5.1467142,-6.54248,-0.18925387,0.15851952,707.04907,157.04164,0.57795149
4.5023999,-1.596522,-6.3039422,-5.1466589,-6.5425234,-0.18926071,0.15852274,707.06476,157.04163,0.62829882
