"Time","meanPower.y","vRMS.y","iH01.y_arg","iH01.y_rms","multiSensor.v","voltageSensor.v","vH01.y_arg","multiSensor.power","iRMS.y","vH01.y_rms","multiSensor.i"
2.9000001,891.23431,103.84573,1.7658483,8.2587357,3.0545128e-13,1.2621953e-05,1.7658483,7.7107825e-27,8.5822916,99.930695,2.5243906e-14
2.9001999,891.23431,103.84573,1.7658483,8.2587357,2.3638347e-07,9.7679129,1.7658483,4.6179461e-15,8.5822916,99.930695,1.9535824e-08
2.9003999,891.23431,103.84573,1.7658483,8.2587357,4.7183406e-07,19.497276,1.7658483,1.8398957e-14,8.5822916,99.930695,3.899455e-08
2.9006,891.23431,103.84573,1.7658483,8.2587357,7.0542251e-07,29.149693,1.7658483,4.1125696e-14,8.5822916,99.930695,5.8299381e-08
2.9008,891.23431,103.84573,1.7658483,8.2587357,9.3622702e-07,38.687069,1.7658483,7.2439755e-14,8.5822916,99.930695,7.7374132e-08
2.901,891.23431,103.84573,1.7658483,8.2587357,1.1633366e-06,48.071762,1.7658483,1.1184728e-13,8.5822916,99.930695,9.6143523e-08
2.9012001,891.23431,103.84573,1.7658483,8.2587357,1.3858551e-06,57.266743,1.7658483,1.5872681e-13,8.5822916,99.930695,1.1453348e-07
2.9014001,891.23431,103.84573,1.7658483,8.2587357,1.6029043e-06,66.23571,1.7658483,2.12339e-13,8.5822916,99.930695,1.3247143e-07
2.9015999,891.23431,103.84573,1.7658483,8.2587357,1.8136275e-06,74.943283,1.7658483,2.7183838e-13,8.5822916,99.930695,1.4988656e-07
2.9017999,891.23431,103.84573,1.7658483,8.2587357,2.0171931e-06,83.355087,1.7658483,3.3628661e-13,8.5822916,99.930695,1.6671017e-07
2.902,891.23431,103.84573,1.7658483,8.2587357,2.2127977e-06,91.437927,1.7658483,4.0466727e-13,8.5822916,99.930695,1.8287585e-07
2.9022,891.23431,103.84573,1.7658483,8.2587357,2.3996695e-06,99.159904,1.7658483,4.7590198e-13,8.5822916,99.930695,1.983198e-07
2.9024,891.23431,103.84573,1.7658483,8.2587357,2.577071e-06,106.49054,1.7658483,5.4886732e-13,8.5822916,99.930695,2.1298108e-07
2.902539,891.23431,103.84573,1.7658483,8.2587357,2.6944822e-06,111.34224,1.7658483,6.0001933e-13,8.5822916,99.930695,2.2268448e-07
2.902539,891.23431,103.84573,1.7658483,8.2587357,111.34224,111.34224,1.7658483,1024.5532,8.5822916,99.930695,9.2018375
2.9026,891.23431,103.84573,1.7658483,8.2587357,113.4009,113.4009,1.7658483,1062.7905,8.5822916,99.930695,9.3719759
2.9028001,891.23431,103.84573,1.7658483,8.2587357,119.86373,119.86373,1.7658483,1187.3813,8.5822916,99.930695,9.9060936
2.9030001,891.23431,103.84573,1.7658483,8.2587357,125.85351,125.85351,1.7658483,1309.017,8.5822916,99.930695,10.401116
2.9031999,891.23431,103.84573,1.7658483,8.2587357,131.3466,131.3466,1.7658483,1425.7793,8.5822916,99.930695,10.855091
2.9033999,891.23431,103.84573,1.7658483,8.2587357,136.32132,136.32132,1.7658483,1535.8268,8.5822916,99.930695,11.266226
2.9036,891.23431,103.84573,1.7658483,8.2587357,140.75806,140.75806,1.7658483,1637.424,8.5822916,99.930695,11.632897
2.9038,891.23431,103.84573,1.7658483,8.2587357,144.63928,144.63928,1.7658483,1728.9686,8.5822916,99.930695,11.953659
