"Time","hbridge.vDC1","hbridge.iDC1","hbridge.vDC2","hbridge.iDC2","meanCurrent.y","meanVoltage.y"
0,100,1.0039998,99.999977,-0.99999982,0,0
9.9999997e-05,100,1.0039998,99.999977,-0.99999982,0,0
0.00019999999,100,1.0039998,99.999977,-0.99999982,0,0
0.00030000001,100,1.0039998,99.999977,-0.99999982,0,0
0.00039999999,100,1.0039998,99.999977,-0.99999982,0,0
0.00050000002,100,1.0039998,99.999977,-0.99999982,0,0
0.00060000003,100,1.0039998,99.999977,-0.99999982,0,0
0.00060000003,100,1.0039998,-99.999977,0.99999982,0,0
0.00069999998,100,1.0039998,-99.999977,0.99999982,0,0
0.00079999998,100,1.0039998,-99.999977,0.99999982,0,0
0.00089999998,100,1.0039998,-99.999977,0.99999982,0,0
0.001,100,1.0039998,-99.999977,0.99999982,0,0
0.001,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0011,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0012000001,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0013,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0014,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0015,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0016,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0016,100,1.0039998,-99.999977,0.99999982,0.19999996,19.999996
0.0017,100,1.0039998,-99.999977,0.99999982,0.19999996,19.999996
0.0018,100,1.0039998,-99.999977,0.99999982,0.19999996,19.999996
0.0019,100,1.0039998,-99.999977,0.99999982,0.19999996,19.999996
0.0020000001,100,1.0039998,-99.999977,0.99999982,0.19999996,19.999996
0.0020000001,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0020999999,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0022,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0023000001,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0024000001,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0024999999,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0026,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0026,100,1.0039998,-99.999977,0.99999982,0.19999996,19.999996
0.0027000001,100,1.0039998,-99.999977,0.99999982,0.19999996,19.999996
0.0027999999,100,1.0039998,-99.999977,0.99999982,0.19999996,19.999996
0.0029,100,1.0039998,-99.999977,0.99999982,0.19999996,19.999996
0.003,100,1.0039998,-99.999977,0.99999982,0.19999996,19.999996
0.003,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0031000001,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0031999999,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0033,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0034,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0035000001,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0035999999,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0035999999,100,1.0039998,-99.999977,0.99999982,0.19999996,19.999996
0.0037,100,1.0039998,-99.999977,0.99999982,0.19999996,19.999996
0.0038000001,100,1.0039998,-99.999977,0.99999982,0.19999996,19.999996
0.0038999999,100,1.0039998,-99.999977,0.99999982,0.19999996,19.999996
0.0040000002,100,1.0039998,-99.999977,0.99999982,0.19999996,19.999996
0.0040000002,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0041,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0041999999,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0043000001,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0044,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0044999998,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0046000001,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0046000001,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0046000001,100,1.0039998,-99.999977,0.99999982,0.19999996,19.999996
0.0046999999,100,1.0039998,-99.999977,0.99999982,0.19999996,19.999996
0.0048000002,100,1.0039998,-99.999977,0.99999982,0.19999996,19.999996
0.0049000001,100,1.0039998,-99.999977,0.99999982,0.19999996,19.999996
0.0049999999,100,1.0039998,-99.999977,0.99999982,0.19999996,19.999996
0.0049999999,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0051000002,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0052,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0052999998,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0054000001,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0055,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0055999998,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0055999998,100,1.0039998,99.999977,-0.99999982,0.19999996,19.999996
0.0055999998,100,1.0039998,-99.999977,0.99999982,0.19999996,19.999996
