"Time","line1.v1","line1.v2","line1.i1","line1.i2","line2.v1","line2.v2","line2.i1","line2.i2","line3.v1","line3.v2","line3.i1","line3.i2"
0,0,0,0,0,0,0,0,0,0,0,0,-0
1e-10,0,0,0,0,0,0,0,0,0,0,0,-0
2e-10,0,0,0,0,0,0,0,0,0,0,0,-0
3e-10,0,0,0,0,0,0,0,0,0,0,0,-0
4.0000001e-10,0,0,0,0,0,0,0,0,0,0,0,-0
4.9999999e-10,0,0,0,0,0,0,0,0,0,0,0,-0
5.9999999e-10,0,0,0,0,0,0,0,0,0,0,0,-0
7e-10,0,0,0,0,0,0,0,0,0,0,0,-0
8.0000001e-10,0,0,0,0,0,0,0,0,0,0,0,-0
9.0000002e-10,0,0,0,0,0,0,0,0,0,0,0,-0
9.9999997e-10,0,0,0,0,0,0,0,0,0,0,0,-0
1.1e-09,0,0,0,0,0,0,0,0,0,0,0,-0
1.2e-09,0,0,0,0,0,0,0,0,0,0,0,-0
1.3e-09,0,0,0,0,0,0,0,0,0,0,0,-0
1.4e-09,0,0,0,0,0,0,0,0,0,0,0,-0
1.5e-09,0,0,0,0,0,0,0,0,0,0,0,-0
1.6e-09,0,0,0,0,0,0,0,0,0,0,0,-0
1.7e-09,0,0,0,0,0,0,0,0,0,0,0,-0
1.8e-09,0,0,0,0,0,0,0,0,0,0,0,-0
1.8999999e-09,0,0,0,0,0,0,0,0,0,0,0,-0
1.9999999e-09,0,0,0,0,0,0,0,0,0,0,0,-0
2.1e-09,0,0,0,0,0,0,0,0,0,0,0,-0
2.2e-09,0,0,0,0,0,0,0,0,0,0,0,-0
2.3e-09,0,0,0,0,0,0,0,0,0,0,0,-0
2.4e-09,0,0,0,0,0,0,0,0,0,0,0,-0
2.5e-09,0,0,0,0,0,0,0,0,0,0,0,-0
2.5e-09,5,0,0.1,0,5,0,0.1,0,5,0,0.1,-0
2.6e-09,5,0,0.1,0,5,0,0.1,0,5,0,0.1,-0
2.7e-09,5,0,0.1,0,5,0,0.1,0,5,0,0.1,-0
2.8e-09,5,0,0.1,0,5,0,0.1,0,5,0,0.1,-0
2.9e-09,5,0,0.1,0,5,0,0.1,0,5,0,0.1,-0
3e-09,5,0,0.1,0,5,0,0.1,0,5,0,0.1,-0
3.1e-09,5,0,0.1,0,5,0,0.1,0,5,0,0.1,-0
3.2e-09,5,0,0.1,0,5,0,0.1,0,5,0,0.1,-0
3.3000001e-09,5,0,0.1,0,5,0,0.1,0,5,0,0.1,-0
3.4000001e-09,5,0,0.1,0,5,0,0.1,0,5,0,0.1,-0
3.5000001e-09,5,0,0.1,0,5,0,0.1,0,5,0,0.1,-0
3.6000001e-09,5,0,0.1,0,5,0,0.1,0,5,0,0.1,-0
3.7000001e-09,5,0,0.1,0,5,0,0.1,0,5,0,0.1,-0
3.7999999e-09,5,0,0.1,0,5,0,0.1,0,5,0,0.1,-0
3.8999999e-09,5,0,0.1,0,5,0,0.1,0,5,0,0.1,-0
3.9999999e-09,5,0,0.1,0,5,0,0.1,0,5,0,0.1,-0
4.0999999e-09,5,0,0.1,0,5,0,0.1,0,5,0,0.1,-0
4.1999999e-09,5,0,0.1,0,5,0,0.1,0,5,0,0.1,-0
4.2999999e-09,5,0,0.1,0,5,0,0.1,0,5,0,0.1,-0
4.3999999e-09,5,0,0.1,0,5,0,0.1,0,5,0,0.1,-0
4.4999999e-09,5,0,0.1,0,5,0,0.1,0,5,0,0.1,-0
4.5999999e-09,5,0,0.1,0,5,0,0.1,0,5,0,0.1,-0
4.6999999e-09,5,0,0.1,0,5,0,0.1,0,5,0,0.1,-0
4.8e-09,5,0,0.1,0,5,0,0.1,0,5,0,0.1,-0
4.9e-09,5,0,0.1,0,5,0,0.1,0,5,0,0.1,-0
5e-09,5,0,0.1,0,5,0,0.1,0,5,0,0.1,-0
5e-09,0,0,0,0,0,0,0,0,0,0,0,-0
5.1e-09,0,0,0,0,0,0,0,0,0,0,0,-0
5.2e-09,0,0,0,0,0,0,0,0,0,0,0,-0
5.3e-09,0,0,0,0,0,0,0,0,0,0,0,-0
5.4e-09,0,0,0,0,0,0,0,0,0,0,0,-0
5.5e-09,0,0,0,0,0,0,0,0,0,0,0,-0
5.6e-09,0,0,0,0,0,0,0,0,0,0,0,-0
5.7e-09,0,0,0,0,0,0,0,0,0,0,0,-0
5.8e-09,0,0,0,0,0,0,0,0,0,0,0,-0
5.9e-09,0,0,0,0,0,0,0,0,0,0,0,-0
6.0000001e-09,0,0,0,0,0,0,0,0,0,0,0,-0
6.1000001e-09,0,0,0,0,0,0,0,0,0,0,0,-0
6.2000001e-09,0,0,0,0,0,0,0,0,0,0,0,-0
6.3000001e-09,0,0,0,0,0,0,0,0,0,0,0,-0
6.4000001e-09,0,0,0,0,0,0,0,0,0,0,0,-0
6.5000001e-09,0,0,0,0,0,0,0,0,0,0,0,-0
6.6000001e-09,0,0,0,0,0,0,0,0,0,0,0,-0
6.7000001e-09,0,0,0,0,0,0,0,0,0,0,0,-0
6.8000001e-09,0,0,0,0,0,0,0,0,0,0,0,-0
6.9000001e-09,0,0,0,0,0,0,0,0,0,0,0,-0
7.0000001e-09,0,0,0,0,0,0,0,0,0,0,0,-0
7.1000001e-09,0,0,0,0,0,0,0,0,0,0,0,-0
7.2000002e-09,0,0,0,0,0,0,0,0,0,0,0,-0
7.3000002e-09,0,0,0,0,0,0,0,0,0,0,0,-0
7.4000002e-09,0,0,0,0,0,0,0,0,0,0,0,-0
7.4999997e-09,0,0,0,0,0,0,0,0,0,0,0,-0
7.4999997e-09,0,10,0,0,0,5,0,-0.1,0,0,0,-0.2
7.5999997e-09,0,10,0,0,0,5,0,-0.1,0,0,0,-0.2
7.6999997e-09,0,10,0,0,0,5,0,-0.1,0,0,0,-0.2
7.7999998e-09,0,10,0,0,0,5,0,-0.1,0,0,0,-0.2
7.8999998e-09,0,10,0,0,0,5,0,-0.1,0,0,0,-0.2
7.9999998e-09,0,10,0,0,0,5,0,-0.1,0,0,0,-0.2
8.0999998e-09,0,10,0,0,0,5,0,-0.1,0,0,0,-0.2
8.1999998e-09,0,10,0,0,0,5,0,-0.1,0,0,0,-0.2
8.2999998e-09,0,10,0,0,0,5,0,-0.1,0,0,0,-0.2
8.3999998e-09,0,10,0,0,0,5,0,-0.1,0,0,0,-0.2
8.4999998e-09,0,10,0,0,0,5,0,-0.1,0,0,0,-0.2
8.5999998e-09,0,10,0,0,0,5,0,-0.1,0,0,0,-0.2
8.6999998e-09,0,10,0,0,0,5,0,-0.1,0,0,0,-0.2
