"Time","mean.x","yMean","yRectifiedMean","yRootMeanSquare","yHarmonicCos","yHarmonicSin","yHarmonicAbs","yHarmonicArg"
0,0,0,0,0,0,0,0,0
0.00022,0.00026534821,0,0,0,0,0,0,0
0.00044,0.00053026492,0,0,0,0,0,0,0
0.00066000002,0.00079474831,0,0,0,0,0,0,0
0.00088000001,0.0010587982,0,0,0,0,0,0,0
0.0011,0.0013224102,0,0,0,0,0,0,0
0.00132,0.0015855851,0,0,0,0,0,0,0
0.00154,0.0018483232,0,0,0,0,0,0,0
0.00176,0.0021106245,0,0,0,0,0,0,0
0.0019799999,0.0023724826,0,0,0,0,0,0,0
0.0022,0.0026338995,0,0,0,0,0,0,0
0.00242,0.0028948763,0,0,0,0,0,0,0
0.0026400001,0.0031554131,0,0,0,0,0,0,0
0.0028599999,0.0034154959,0,0,0,0,0,0,0
0.0030799999,0.0036751265,0,0,0,0,0,0,0
0.0033,0.0039343089,0,0,0,0,0,0,0
0.00352,0.0041930429,0,0,0,0,0,0,0
0.0037400001,0.0044513294,0,0,0,0,0,0,0
0.0039599999,0.0047091674,0,0,0,0,0,0,0
0.0041800002,0.0049665575,0,0,0,0,0,0,0
0.0044,0.0052234991,0,0,0,0,0,0,0
0.0046199998,0.0054799807,0,0,0,0,0,0,0
0.0048400001,0.005735999,0,0,0,0,0,0,0
0.0050599999,0.0059915632,0,0,0,0,0,0,0
0.0052800002,0.0062466743,0,0,0,0,0,0,0
0.0055,0.0065013319,0,0,0,0,0,0,0
0.0057199998,0.006755536,0,0,0,0,0,0,0
0.0059400001,0.0070092864,0,0,0,0,0,0,0
0.0061599999,0.0072625787,0,0,0,0,0,0,0
0.0063800002,0.0075153862,0,0,0,0,0,0,0
0.0066,0.0077677313,0,0,0,0,0,0,0
0.0068199998,0.008019615,0,0,0,0,0,0,0
0.0070400001,0.0082710367,0,0,0,0,0,0,0
0.0072599999,0.0085219964,0,0,0,0,0,0,0
0.0074800001,0.0087724952,0,0,0,0,0,0,0
0.0077,0.0090225311,0,0,0,0,0,0,0
0.0079199998,0.0092720799,0,0,0,0,0,0,0
0.0081399996,0.0095211538,0,0,0,0,0,0,0
0.0083600003,0.0097697563,0,0,0,0,0,0,0
0.0085800001,0.01001789,0,0,0,0,0,0,0
0.0088,0.010265554,0,0,0,0,0,0,0
0.0090199998,0.010512748,0,0,0,0,0,0,0
0.0092399996,0.010759472,0,0,0,0,0,0,0
0.0094600003,0.011005715,0,0,0,0,0,0,0
0.0096800001,0.011251464,0,0,0,0,0,0,0
0.0098999999,0.011496735,0,0,0,0,0,0,0
0.01012,0.011741529,0,0,0,0,0,0,0
0.01034,0.011985846,0,0,0,0,0,0,0
0.01056,0.012229685,0,0,0,0,0,0,0
0.01078,0.012473046,0,0,0,0,0,0,0
0.011,0.012715929,0,0,0,0,0,0,0
0.01122,0.012958314,0,0,0,0,0,0,0
0.01144,0.013200215,0,0,0,0,0,0,0
0.01166,0.013441629,0,0,0,0,0,0,0
0.01188,0.013682556,0,0,0,0,0,0,0
0.0121,0.013922995,0,0,0,0,0,0,0
0.01232,0.014162945,0,0,0,0,0,0,0
0.01254,0.014402404,0,0,0,0,0,0,0
0.01276,0.014641373,0,0,0,0,0,0,0
0.01298,0.014879852,0,0,0,0,0,0,0
0.0132,0.015117836,0,0,0,0,0,0,0
0.01342,0.015355327,0,0,0,0,0,0,0
0.01364,0.015592324,0,0,0,0,0,0,0
0.01386,0.015828824,0,0,0,0,0,0,0
0.01408,0.016064828,0,0,0,0,0,0,0
0.0143,0.016300336,0,0,0,0,0,0,0
0.01452,0.016535338,0,0,0,0,0,0,0
0.01474,0.016769841,0,0,0,0,0,0,0
0.01496,0.017003842,0,0,0,0,0,0,0
0.01518,0.017237341,0,0,0,0,0,0,0
0.0154,0.017470337,0,0,0,0,0,0,0
0.01562,0.017702827,0,0,0,0,0,0,0
0.01584,0.017934812,0,0,0,0,0,0,0
0.01606,0.018166292,0,0,0,0,0,0,0
0.016279999,0.018397264,0,0,0,0,0,0,0
0.0165,0.018627727,0,0,0,0,0,0,0
0.016720001,0.01885768,0,0,0,0,0,0,0
0.01694,0.019087123,0,0,0,0,0,0,0
0.01716,0.019316055,0,0,0,0,0,0,0
0.017379999,0.019544473,0,0,0,0,0,0,0
0.0176,0.019772381,0,0,0,0,0,0,0
0.017820001,0.019999776,0,0,0,0,0,0,0
0.01804,0.020226657,0,0,0,0,0,0,0
0.01826,0.020453023,0,0,0,0,0,0,0
0.018479999,0.020678872,0,0,0,0,0,0,0
0.0187,0.020904202,0,0,0,0,0,0,0
0.018920001,0.021129014,0,0,0,0,0,0,0
0.01914,0.021353308,0,0,0,0,0,0,0
0.01936,0.021577081,0,0,0,0,0,0,0
0.019579999,0.021800332,0,0,0,0,0,0,0
0.0198,0.022023059,0,0,0,0,0,0,0
0.020020001,0.022245266,0,0,0,0,0,0,0
0.02024,0.022466946,0,0,0,0,0,0,0
0.02046,0.022688102,0,0,0,0,0,0,0
0.020679999,0.022908732,0,0,0,0,0,0,0
0.0209,0.023128839,0,0,0,0,0,0,0
0.021120001,0.023348421,0,0,0,0,0,0,0
0.02134,0.023567475,0,0,0,0,0,0,0
0.02156,0.023785999,0,0,0,0,0,0,0
0.021779999,0.024003994,0,0,0,0,0,0,0
0.022,0.024221459,0,0,0,0,0,0,0
0.022220001,0.024438392,0,0,0,0,0,0,0
0.02244,0.024654793,0,0,0,0,0,0,0
0.02266,0.024870662,0,0,0,0,0,0,0
0.022879999,0.025085995,0,0,0,0,0,0,0
0.0231,0.025300793,0,0,0,0,0,0,0
0.023320001,0.025515057,0,0,0,0,0,0,0
