"Time","imcQS.rotorCage.port_p.reference.gamma","loadInertiaQS.phi","loadInertiaQS.w","imc.stator.port_p.V_m.re","imc.stator.port_p.V_m.im","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","imc.airGap.V_msr.re","imc.airGap.V_msr.im","imc.airGap.V_mrr.re","imc.airGap.V_mrr.im","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","loadInertia.phi","loadInertia.w"
0.44999999,1.5707964,69.900436,157.07964,45.013466,0.45018747,-0.45011318,-0.0045016548,45.013458,0.45086256,-0.0022227317,-2.2826916e-05,0.43484133,0.0043554399,70.685829,157.07962
0.4501,1.5707964,69.916145,157.07964,44.977116,1.8638725,-0.44974968,-0.01863783,45.013458,0.45086274,-0.0022227485,-2.2821332e-05,0.43484133,0.0043554418,70.701538,157.07962
0.45019999,1.5707964,69.931854,157.07964,44.896374,3.275718,-0.44894233,-0.032755613,45.013458,0.45086285,-0.0022227638,-2.28153e-05,0.43484133,0.0043554432,70.717239,157.07962
0.45030001,1.5707964,69.947563,157.07964,44.771328,4.6843309,-0.44769192,-0.04684107,45.013458,0.45086306,-0.0022227778,-2.2803935e-05,0.43484133,0.004355445,70.732948,157.07962
0.45039999,1.5707964,69.963272,157.07964,44.602097,6.0883207,-0.44599971,-0.0608803,45.013458,0.45086321,-0.0022227892,-2.2784496e-05,0.43484133,0.0043554469,70.748657,157.07962
0.45050001,1.5707964,69.978973,157.07964,44.388851,7.4863024,-0.44386733,-0.074859448,45.013458,0.45086333,-0.0022227978,-2.2755132e-05,0.43484133,0.0043554483,70.764366,157.07962
0.4506,1.5707964,69.994682,157.07964,44.131798,8.8768959,-0.44129694,-0.08876472,45.013458,0.45086351,-0.0022228044,-2.272171e-05,0.43484133,0.0043554502,70.780075,157.07962
0.45070001,1.5707964,70.010391,157.07964,43.831192,10.258729,-0.43829101,-0.10258239,45.013458,0.45086363,-0.0022228088,-2.2684246e-05,0.43484133,0.0043554516,70.795784,157.07962
0.4508,1.5707964,70.0261,157.07964,43.487328,11.630438,-0.43485254,-0.11629882,45.013458,0.45086375,-0.0022228113,-2.2643884e-05,0.43484133,0.0043554534,70.811493,157.07962
0.45089999,1.5707964,70.041809,157.07964,43.100548,12.990668,-0.43098494,-0.12990049,45.013458,0.4508639,-0.0022228127,-2.2602995e-05,0.43484133,0.0043554553,70.827202,157.07962
0.45100001,1.5707964,70.057518,157.07964,42.671234,14.338079,-0.42669201,-0.14337395,45.013458,0.45086399,-0.0022228139,-2.2566439e-05,0.43484133,0.0043554567,70.842903,157.07962
0.45109999,1.5707964,70.073227,157.07964,42.19981,15.67134,-0.42197797,-0.15670593,45.013458,0.45086417,-0.0022228144,-2.2531083e-05,0.43484133,0.0043554585,70.858612,157.07962
0.45120001,1.5707964,70.088936,157.07964,41.686737,16.989136,-0.4168475,-0.16988325,45.013458,0.45086434,-0.0022228153,-2.2499211e-05,0.43484133,0.0043554604,70.874321,157.07962
0.4513,1.5707964,70.104637,157.07964,41.132526,18.290165,-0.41130564,-0.18289292,45.013458,0.45086443,-0.0022228167,-2.2470518e-05,0.43484133,0.0043554618,70.89003,157.07962
0.45140001,1.5707964,70.120346,157.07964,40.537724,19.573143,-0.40535787,-0.19572209,45.013458,0.45086461,-0.0022228174,-2.2444277e-05,0.43484133,0.0043554637,70.905739,157.07962
0.4515,1.5707964,70.136055,157.07964,39.902912,20.836805,-0.39901009,-0.20835811,45.013458,0.45086476,-0.0022228169,-2.2417584e-05,0.43484133,0.0043554655,70.921448,157.07962
0.45159999,1.5707964,70.151764,157.07964,39.228722,22.079905,-0.39226851,-0.22078851,45.013458,0.45086488,-0.0022228153,-2.2390537e-05,0.43484133,0.0043554669,70.937157,157.07962
0.4517,1.5707964,70.167473,157.07964,38.51582,23.301214,-0.38513982,-0.23300102,45.013458,0.45086506,-0.0022228127,-2.2363298e-05,0.43484133,0.0043554688,70.952866,157.07962
0.45179999,1.5707964,70.183182,157.07964,37.764904,24.499527,-0.37763104,-0.24498358,45.013458,0.45086515,-0.0022228083,-2.2334107e-05,0.43484133,0.0043554702,70.968567,157.07962
