"Time","total_AV_B_a","total_AV_B_b","total_A_VB_a","total_A_VB_b","total_AV_VB_a","total_AV_VB_b","total_A_V_B_a","total_A_V_B_b"
0,295003,715103.62,294924.5,0,294965.78,0,294925.66,805067.94
0.1,293763.91,2632358.2,293922.56,899883.5,293755.72,887777.38,293927.75,2697062.8
0.2,293690.19,2060349.4,293746.38,963711.25,293676.81,954941.75,293756.47,2087400.5
0.30000001,293664.78,1594640.5,293686.84,940265.25,293650.62,934010.19,293698.59,1601304.8
0.40000001,293653.09,1253294.8,293660.12,899499.75,293639.03,894608.31,293672.25,1249171.1
0.5,293646.69,1005252.1,293645.97,857227.88,293632.91,853166.06,293658.16,995873.88
0.60000002,293642.78,824610.88,293637.62,816885.44,293629.28,813428.88,293649.81,813204.62
0.69999999,293640.16,692614.31,293632.41,779100.94,293627.03,776139.38,293644.47,681011.88
0.80000001,293638.28,595848.38,293628.94,743872.69,293625.53,741336,293640.88,585023.69
0.89999998,293636.88,524652.12,293626.59,711063.75,293624.53,708897.88,293638.34,515061.66
1,293635.78,472085.09,293624.97,680508.19,293623.88,678667.88,293636.47,463881.56
1.1,293634.84,433107.59,293623.84,652045.12,293623.41,650490.31,293635.06,426270.69
1.2,293634.06,404065.22,293623.03,625527.81,293623.09,624222.81,293633.94,398486.94
1.3,293633.38,382299.28,293622.47,600817.75,293622.88,599730.69,293633,377830.53
1.4,293632.72,365863.69,293622.09,577789.69,293622.72,576891.56,293632.22,362346.25
1.5,293632.12,353346.62,293621.81,556329.81,293622.62,555594.81,293631.53,350629.47
1.6,293631.56,343707.06,293621.62,536331.81,293622.53,535736.44,293630.91,341652.06
1.7,293631.03,336187.34,293621.47,517699.44,293622.47,517222.19,293630.34,334675.47
1.8,293630.5,330236.06,293621.34,500344.47,293622.41,499966.06,293629.81,329165.97
1.9,293630,325441.19,293621.28,484183.28,293622.34,483886.25,293629.31,324728.25
2,293629.53,321506.59,293621.19,469140.78,293622.25,468909.09,293628.81,321082.5
2.0999999,293629.06,318214.97,293621.12,455145.31,293622.19,454964.75,293628.34,318023.34
2.2,293628.59,315401.59,293621.06,442129.75,293622.09,441987.28,293627.91,315397.28
