"Time","h","rho","mu","cp","k"
0,234557.14,1208.7318,0.00020959736,1420.7164,0.081438288
0.00019999999,234557.16,1208.7341,0.00020959896,1420.7119,0.081438616
0.00039999999,234557.17,1208.7366,0.00020960056,1420.7074,0.081438936
0.00060000003,234557.19,1208.739,0.00020960218,1420.7028,0.081439257
0.00079999998,234557.2,1208.7413,0.00020960378,1420.6982,0.081439577
0.001,234557.22,1208.7438,0.00020960538,1420.6936,0.081439905
0.0012000001,234557.23,1208.7461,0.00020960699,1420.6891,0.081440225
0.0014,234557.25,1208.7485,0.0002096086,1420.6846,0.081440546
0.0016,234557.27,1208.751,0.0002096102,1420.6799,0.081440866
0.0018,234557.28,1208.7533,0.00020961181,1420.6754,0.081441194
0.0020000001,234557.3,1208.7557,0.00020961341,1420.6708,0.081441514
0.0022,234557.31,1208.7581,0.00020961503,1420.6663,0.081441835
0.0024000001,234557.33,1208.7605,0.00020961663,1420.6617,0.081442155
0.0026,234557.34,1208.7629,0.00020961823,1420.6571,0.081442483
0.0027999999,234557.36,1208.7653,0.00020961984,1420.6526,0.081442803
0.003,234557.38,1208.7677,0.00020962144,1420.6479,0.081443124
0.0031999999,234557.39,1208.77,0.00020962305,1420.6434,0.081443444
0.0034,234557.41,1208.7725,0.00020962466,1420.6389,0.081443772
0.0035999999,234557.42,1208.7749,0.00020962626,1420.6343,0.081444092
0.0038000001,234557.44,1208.7772,0.00020962786,1420.6298,0.081444412
0.0040000002,234557.45,1208.7797,0.00020962948,1420.6252,0.081444733
0.0041999999,234557.47,1208.782,0.00020963108,1420.6206,0.081445061
0.0044,234557.48,1208.7844,0.00020963268,1420.6161,0.081445381
0.0046000001,234557.5,1208.7869,0.00020963429,1420.6115,0.081445701
0.0048000002,234557.52,1208.7892,0.00020963589,1420.6069,0.081446022
0.0049999999,234557.53,1208.7916,0.0002096375,1420.6024,0.08144635
0.0052,234557.55,1208.7939,0.00020963911,1420.5978,0.08144667
0.0054000001,234557.56,1208.7964,0.00020964071,1420.5933,0.08144699
0.0055999998,234557.58,1208.7988,0.00020964231,1420.5887,0.081447311
0.0057999999,234557.59,1208.8011,0.00020964393,1420.5841,0.081447639
0.0060000001,234557.61,1208.8036,0.00020964553,1420.5796,0.081447959
0.0062000002,234557.62,1208.8059,0.00020964713,1420.5751,0.081448279
0.0063999998,234557.64,1208.8083,0.00020964874,1420.5704,0.0814486
0.0066,234557.66,1208.8108,0.00020965034,1420.5659,0.081448928
0.0068000001,234557.67,1208.8131,0.00020965195,1420.5614,0.081449248
0.0070000002,234557.69,1208.8156,0.00020965356,1420.5568,0.081449568
0.0071999999,234557.7,1208.8179,0.00020965516,1420.5522,0.081449889
0.0074,234557.72,1208.8203,0.00020965676,1420.5477,0.081450216
0.0076000001,234557.73,1208.8228,0.00020965838,1420.5431,0.081450537
0.0077999998,234557.75,1208.8251,0.00020965998,1420.5386,0.081450857
0.0080000004,234557.77,1208.8275,0.00020966158,1420.5341,0.081451178
0.0082,234557.78,1208.8298,0.00020966318,1420.5294,0.081451498
