"Time","fieldWeakeningController.vs","fieldWeakeningController.is","fieldWeakeningController.id","fieldWeakeningController.iq"
0,0,0,0,0
9.9999997e-05,0.00089999975,0.029999999,0,0.029999999
0.00019999999,0.0017999995,0.059999999,0,0.059999999
0.00030000001,0.0026999991,0.090000004,0,0.090000004
0.00039999999,0.003599999,0.12,0,0.12
0.00050000002,0.0044999989,0.15000001,0,0.15000001
0.00060000003,0.0053999983,0.18000001,0,0.18000001
0.00069999998,0.0062999981,0.20999999,0,0.20999999
0.00079999998,0.007199998,0.23999999,0,0.23999999
0.00089999998,0.0080999974,0.27000001,0,0.27000001
0.001,0.0089999977,0.30000001,0,0.30000001
0.0011,0.0098999972,0.33000001,0,0.33000001
0.0012000001,0.010799997,0.36000001,0,0.36000001
0.0013,0.011699997,0.38999999,0,0.38999999
0.0014,0.012599996,0.41999999,0,0.41999999
0.0015,0.013499996,0.44999999,0,0.44999999
0.0016,0.014399996,0.47999999,0,0.47999999
0.0017,0.015299995,0.50999999,0,0.50999999
0.0018,0.016199995,0.54000002,0,0.54000002
0.0019,0.017099995,0.56999999,0,0.56999999
0.0020000001,0.017999995,0.60000002,0,0.60000002
0.0020999999,0.018899994,0.63,0,0.63
0.0022,0.019799994,0.66000003,0,0.66000003
0.0023000001,0.020699995,0.69,0,0.69
0.0024000001,0.021599993,0.72000003,0,0.72000003
0.0024999999,0.022499993,0.75,0,0.75
0.0026,0.023399994,0.77999997,0,0.77999997
0.0027000001,0.024299992,0.81,0,0.81
0.0027999999,0.025199993,0.83999997,0,0.83999997
0.0029,0.026099993,0.87,0,0.87
0.003,0.026999991,0.89999998,0,0.89999998
0.0031000001,0.027899992,0.93000001,0,0.93000001
0.0031999999,0.028799992,0.95999998,0,0.95999998
0.0033,0.029699991,0.99000001,0,0.99000001
0.0034,0.030599991,1.02,0,1.02
0.0035000001,0.031499989,1.05,0,1.05
0.0035999999,0.03239999,1.08,0,1.08
0.0037,0.03329999,1.11,0,1.11
0.0038000001,0.03419999,1.14,0,1.14
0.0038999999,0.035099991,1.17,0,1.17
0.0040000002,0.035999991,1.2,0,1.2
0.0041,0.036899988,1.23,0,1.23
0.0041999999,0.037799988,1.26,0,1.26
0.0043000001,0.038699988,1.29,0,1.29
0.0044,0.039599989,1.3200001,0,1.3200001
0.0044999998,0.040499989,1.35,0,1.35
0.0046000001,0.041399989,1.38,0,1.38
0.0046999999,0.042299986,1.41,0,1.41
0.0048000002,0.043199986,1.4400001,0,1.4400001
0.0049000001,0.044099987,1.47,0,1.47
0.0049999999,0.044999987,1.5,0,1.5
0.0051000002,0.045899987,1.53,0,1.53
0.0052,0.046799988,1.5599999,0,1.5599999
0.0052999998,0.047699984,1.59,0,1.59
0.0054000001,0.048599984,1.62,0,1.62
0.0055,0.049499985,1.65,0,1.65
0.0055999998,0.050399985,1.6799999,0,1.6799999
0.0057000001,0.051299985,1.71,0,1.71
0.0057999999,0.052199986,1.74,0,1.74
0.0059000002,0.053099982,1.77,0,1.77
0.0060000001,0.053999983,1.8,0,1.8
0.0060999999,0.054899983,1.83,0,1.83
0.0062000002,0.055799983,1.86,0,1.86
0.0063,0.056699984,1.89,0,1.89
0.0063999998,0.057599984,1.92,0,1.92
0.0065000001,0.058499981,1.95,0,1.95
0.0066,0.059399981,1.98,0,1.98
0.0066999998,0.060299981,2.01,0,2.01
0.0068000001,0.061199982,2.04,0,2.04
0.0068999999,0.062099982,2.0699999,0,2.0699999
0.0070000002,0.062999979,2.0999999,0,2.0999999
0.0071,0.063899979,2.1300001,0,2.1300001
0.0071999999,0.064799979,2.1600001,0,2.1600001
0.0073000002,0.06569998,2.1900001,0,2.1900001
0.0074,0.06659998,2.22,0,2.22
0.0074999998,0.06749998,2.25,0,2.25
0.0076000001,0.068399981,2.28,0,2.28
0.0077,0.069299981,2.3099999,0,2.3099999
0.0077999998,0.070199981,2.3399999,0,2.3399999
0.0078999996,0.071099982,2.3699999,0,2.3699999
0.0080000004,0.071999982,2.4000001,0,2.4000001
0.0081000002,0.072899975,2.4300001,0,2.4300001
0.0082,0.073799975,2.46,0,2.46
0.0082999999,0.074699976,2.49,0,2.49
0.0083999997,0.075599976,2.52,0,2.52
0.0085000005,0.076499976,2.55,0,2.55
0.0086000003,0.077399977,2.5799999,0,2.5799999
0.0087000001,0.078299977,2.6099999,0,2.6099999
0.0088,0.079199977,2.6400001,0,2.6400001
0.0088999998,0.080099978,2.6700001,0,2.6700001
0.0089999996,0.080999978,2.7,0,2.7
0.0091000004,0.081899978,2.73,0,2.73
0.0092000002,0.082799979,2.76,0,2.76
0.0093,0.083699971,2.79,0,2.79
0.0093999999,0.084599972,2.8199999,0,2.8199999
0.0094999997,0.085499972,2.8499999,0,2.8499999
0.0096000005,0.086399972,2.8800001,0,2.8800001
0.0097000003,0.087299973,2.9100001,0,2.9100001
0.0098000001,0.088199973,2.9400001,0,2.9400001
0.0098999999,0.089099973,2.97,0,2.97
0.0099999998,0.089999974,3,0,3
0.0101,0.090899974,3.03,0,3.03
0.0102,0.091799974,3.0599999,0,3.0599999
0.0103,0.092699975,3.0899999,0,3.0899999
0.0104,0.093599975,3.1199999,0,3.1199999
0.0105,0.094499968,3.1500001,0,3.1500001
0.0106,0.095399968,3.1800001,0,3.1800001
0.0107,0.096299969,3.21,0,3.21
0.0108,0.097199969,3.24,0,3.24
0.0109,0.098099969,3.27,0,3.27
0.011,0.09899997,3.3,0,3.3
0.0111,0.09989997,3.3299999,0,3.3299999
0.0112,0.10079997,3.3599999,0,3.3599999
0.0113,0.10169997,3.3900001,0,3.3900001
0.0114,0.10259997,3.4200001,0,3.4200001
0.0115,0.10349997,3.45,0,3.45
0.0116,0.10439997,3.48,0,3.48
0.0117,0.10529997,3.51,0,3.51
0.0118,0.10619996,3.54,0,3.54
0.0119,0.10709997,3.5699999,0,3.5699999
0.012,0.10799997,3.5999999,0,3.5999999
0.0121,0.10889997,3.6300001,0,3.6300001
0.0122,0.10979997,3.6600001,0,3.6600001
0.0123,0.11069997,3.6900001,0,3.6900001
0.0124,0.11159997,3.72,0,3.72
0.0125,0.11249997,3.75,0,3.75
0.0126,0.11339997,3.78,0,3.78
0.0127,0.11429997,3.8099999,0,3.8099999
0.0128,0.11519997,3.8399999,0,3.8399999
0.0129,0.11609997,3.8699999,0,3.8699999
0.013,0.11699996,3.9000001,0,3.9000001
0.0131,0.11789996,3.9300001,0,3.9300001
0.0132,0.11879996,3.96,0,3.96
0.0133,0.11969996,3.99,0,3.99
0.0134,0.12059996,4.02,0,4.02
0.0135,0.12149996,4.0500002,0,4.0500002
0.0136,0.12239996,4.0799999,0,4.0799999
0.0137,0.12329996,4.1100001,0,4.1100001
0.0138,0.12419996,4.1399999,0,4.1399999
0.0139,0.12509996,4.1700001,0,4.1700001
0.014,0.12599996,4.1999998,0,4.1999998
0.0141,0.12689996,4.23,0,4.23
0.0142,0.12779996,4.2600002,0,4.2600002
0.0143,0.12869996,4.29,0,4.29
0.0144,0.12959996,4.3200002,0,4.3200002
0.0145,0.13049996,4.3499999,0,4.3499999
0.0146,0.13139996,4.3800001,0,4.3800001
0.0147,0.13229996,4.4099998,0,4.4099998
0.0148,0.13319996,4.4400001,0,4.4400001
0.0149,0.13409996,4.4699998,0,4.4699998
0.015,0.13499996,4.5,0,4.5
0.0151,0.13589996,4.5300002,0,4.5300002
0.0152,0.13679996,4.5599999,0,4.5599999
0.0153,0.13769996,4.5900002,0,4.5900002
0.0154,0.13859996,4.6199999,0,4.6199999
0.0155,0.13949996,4.6500001,0,4.6500001
0.0156,0.14039996,4.6799998,0,4.6799998
0.015699999,0.14129996,4.71,0,4.71
0.015799999,0.14219996,4.7399998,0,4.7399998
0.015900001,0.14309996,4.77,0,4.77
0.016000001,0.14399996,4.8000002,0,4.8000002
0.016100001,0.14489995,4.8299999,0,4.8299999
0.0162,0.14579995,4.8600001,0,4.8600001
0.0163,0.14669995,4.8899999,0,4.8899999
0.0164,0.14759995,4.9200001,0,4.9200001
0.0165,0.14849995,4.9499998,0,4.9499998
0.0166,0.14939995,4.98,0,4.98
0.0167,0.15029995,5.0100002,0,5.0100002
0.016799999,0.15119995,5.04,0,5.04
0.016899999,0.15209995,5.0700002,0,5.0700002
0.017000001,0.15299995,5.0999999,0,5.0999999
0.017100001,0.15389995,5.1300001,0,5.1300001
0.017200001,0.15479995,5.1599998,0,5.1599998
0.0173,0.15569995,5.1900001,0,5.1900001
0.0174,0.15659995,5.2199998,0,5.2199998
0.0175,0.15749995,5.25,0,5.25
0.0176,0.15839995,5.2800002,0,5.2800002
0.0177,0.15929995,5.3099999,0,5.3099999
0.0178,0.16019996,5.3400002,0,5.3400002
0.017899999,0.16109996,5.3699999,0,5.3699999
0.017999999,0.16199996,5.4000001,0,5.4000001
0.018100001,0.16289996,5.4299998,0,5.4299998
0.018200001,0.16379996,5.46,0,5.46
0.018300001,0.16469996,5.4899998,0,5.4899998
0.0184,0.16559996,5.52,0,5.52
0.0185,0.16649996,5.5500002,0,5.5500002
0.0186,0.16739994,5.5799999,0,5.5799999
0.0187,0.16829994,5.6100001,0,5.6100001
0.0188,0.16919994,5.6399999,0,5.6399999
0.0189,0.17009994,5.6700001,0,5.6700001
0.018999999,0.17099994,5.6999998,0,5.6999998
0.019099999,0.17189994,5.73,0,5.73
0.019200001,0.17279994,5.7600002,0,5.7600002
0.019300001,0.17369995,5.79,0,5.79
