"Time","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re"
0,-0,-0
9.9999997e-05,4.4458127e-07,-2.7560631e-07
0.00019999999,4.3823511e-07,-2.9101872e-07
0.00030000001,4.3144863e-07,-3.0624614e-07
0.00039999999,4.2420243e-07,-3.2125999e-07
0.00050000002,4.1655974e-07,-3.3607205e-07
0.00060000003,4.0839655e-07,-3.5057184e-07
0.00069999998,3.9978579e-07,-3.6480316e-07
0.00079999998,3.9074379e-07,-3.7872977e-07
0.00089999998,3.8126726e-07,-3.9235903e-07
0.001,3.7135462e-07,-4.0569438e-07
0.0011,3.6100585e-07,-4.1873588e-07
0.0012000001,3.5023476e-07,-4.3146684e-07
0.0013,3.3913878e-07,-4.4376972e-07
0.0014,3.2764825e-07,-4.5572855e-07
0.0015,3.157632e-07,-4.6734337e-07
0.0016,3.0348357e-07,-4.7861414e-07
0.0017,2.9086505e-07,-4.8948675e-07
0.0018,2.7797566e-07,-4.9989495e-07
0.0019,2.6474666e-07,-5.099057e-07
0.0020000001,2.5117799e-07,-5.1951895e-07
0.0020999999,2.3726973e-07,-5.2873474e-07
0.0022,2.2313192e-07,-5.3747294e-07
0.0023000001,2.087648e-07,-5.4573337e-07
0.0024000001,1.9412062e-07,-5.5355076e-07
0.0024999999,1.7919936e-07,-5.6092512e-07
0.0026,1.6400104e-07,-5.6785649e-07
0.0027000001,1.4865616e-07,-5.7428139e-07
0.0027999999,1.3312651e-07,-5.802184e-07
0.0029,1.1741717e-07,-5.8566502e-07
0.003,1.0154279e-07,-5.9061421e-07
0.0031000001,8.551897e-08,-5.9506095e-07
0.0031999999,6.9366401e-08,-5.9901146e-07
0.0033,5.3097022e-08,-6.024527e-07
0.0034,3.6726203e-08,-6.0537917e-07
0.0035000001,2.0269313e-08,-6.0778535e-07
0.0035999999,3.7439456e-09,-6.096738e-07
0.0037,-1.2831435e-08,-6.1105033e-07
0.0038000001,-2.9443012e-08,-6.1190377e-07
0.0038999999,-4.607481e-08,-6.1223085e-07
0.0040000002,-6.2710839e-08,-6.1202832e-07
0.0041,-7.9332914e-08,-6.1130874e-07
0.0041999999,-9.5924605e-08,-6.1007216e-07
0.0043000001,-1.1247033e-07,-6.083124e-07
0.0044,-1.2895376e-07,-6.0602866e-07
0.0044999998,-1.4535856e-07,-6.0322026e-07
0.0046000001,-1.6166881e-07,-5.9990987e-07
0.0046999999,-1.7786802e-07,-5.9608868e-07
0.0048000002,-1.939399e-07,-5.9175744e-07
0.0049000001,-2.0986816e-07,-5.8691791e-07
