"Time","dcPowerSupply.v","dcPowerSupply.i","dcPowerSupply.P"
0,59.999939,-0.059999939,-3.5999928
9.9999997e-05,59.999939,-0.06008289,-3.6049697
0.00019999999,59.999939,-0.060165957,-3.6099536
0.00030000001,59.999939,-0.060249135,-3.6149445
0.00039999999,59.999939,-0.060332429,-3.6199422
0.00050000002,59.999939,-0.060415838,-3.6249466
0.00060000003,59.999939,-0.060499363,-3.6299582
0.00069999998,59.999939,-0.060583007,-3.6349766
0.00079999998,59.999939,-0.060666762,-3.640002
0.00089999998,59.999939,-0.060750633,-3.6450343
0.001,59.999939,-0.06083462,-3.6500735
0.0011,59.999939,-0.060918726,-3.6551199
0.0012000001,59.999939,-0.061002947,-3.6601729
0.0013,59.999939,-0.061087284,-3.6652331
0.0014,59.999939,-0.061171737,-3.6703005
0.0015,59.999939,-0.061256308,-3.6753747
0.0016,59.999939,-0.061340995,-3.6804559
0.0017,59.999939,-0.061425798,-3.685544
0.0018,59.999939,-0.061510719,-3.6906393
0.0019,59.999939,-0.061595757,-3.6957417
0.0020000001,59.999939,-0.061680913,-3.700851
0.0020999999,59.999939,-0.061766189,-3.7059674
0.0022,59.999939,-0.06185158,-3.711091
0.0023000001,59.999939,-0.06193709,-3.7162216
0.0024000001,59.999939,-0.06202272,-3.7213593
0.0024999999,59.999939,-0.062108465,-3.7265041
0.0026,59.999939,-0.062194332,-3.7316561
0.0027000001,59.999939,-0.062280316,-3.736815
0.0027999999,59.999939,-0.062366419,-3.7419813
0.0029,59.999939,-0.06245264,-3.7471545
0.003,59.999939,-0.062538981,-3.7523348
0.0031000001,59.999939,-0.062625438,-3.7575226
0.0031999999,59.999939,-0.062712021,-3.7627172
0.0033,59.999939,-0.062798724,-3.7679193
0.0034,59.999939,-0.062885538,-3.7731285
0.0035000001,59.999935,-0.062972479,-3.7783449
0.0035999999,59.999935,-0.063059539,-3.7835684
0.0037,59.999935,-0.063146718,-3.7887993
0.0038000001,59.999935,-0.063234024,-3.7940371
0.0038999999,59.999935,-0.063321441,-3.7992826
0.0040000002,59.999935,-0.063408986,-3.8045349
0.0041,59.999935,-0.063496649,-3.8097947
0.0041999999,59.999935,-0.063584432,-3.8150618
0.0043000001,59.999935,-0.063672334,-3.8203361
0.0044,59.999935,-0.063760363,-3.8256178
