"Time","mass.v","massQS.v"
0,0,0
9.9999997e-05,-1.1568376e-24,1.0823988e-10
0.00019999999,-2.3753465e-22,1.3942405e-09
0.00030000001,1.5951979e-20,6.6151706e-09
0.00039999999,5.0007879e-20,1.5976125e-08
0.00050000002,1.4207408e-18,3.707455e-08
0.00060000003,3.8877857e-18,6.851527e-08
0.00069999998,7.3595558e-18,1.097667e-07
0.00079999998,1.1836052e-17,1.6082882e-07
0.00089999998,4.9607004e-17,2.3579273e-07
0.001,1.1072635e-16,3.3031802e-07
0.0011,1.8912489e-16,4.417561e-07
0.0012000001,2.8480263e-16,5.7010698e-07
0.0013,7.4059696e-16,7.3395086e-07
0.0014,1.5229488e-15,9.3146889e-07
0.0015,2.5225541e-15,1.1567374e-06
0.0016,3.7394129e-15,1.4097564e-06
0.0017,5.1735248e-15,1.6905257e-06
0.0018,6.82489e-15,1.9990455e-06
0.0019,8.6935091e-15,2.3353159e-06
0.0020000001,1.0779381e-14,2.6993366e-06
0.0020999999,1.6148615e-14,3.1046827e-06
0.0022,2.5581374e-14,3.5548085e-06
0.0023000001,3.6582252e-14,4.0386653e-06
0.0024000001,4.9151252e-14,4.5562538e-06
0.0024999999,6.3288371e-14,5.1075731e-06
0.0026,7.8993601e-14,5.6926242e-06
0.0027000001,9.6266961e-14,6.3114067e-06
0.0027999999,1.1829948e-13,6.9651196e-06
0.0029,1.6352832e-13,7.660693e-06
0.003,2.1605111e-13,8.3921504e-06
0.0031000001,2.7586787e-13,9.1594911e-06
0.0031999999,3.429786e-13,9.9627159e-06
0.0033,4.1738328e-13,1.0801824e-05
0.0034,4.9908195e-13,1.1676815e-05
0.0035000001,5.8807451e-13,1.258769e-05
0.0035999999,7.3407816e-13,1.3522956e-05
0.0037,9.1574719e-13,1.4487547e-05
0.0038000001,1.1204481e-12,1.5484384e-05
0.0038999999,1.348181e-12,1.6513466e-05
0.0040000002,1.5989457e-12,1.7574794e-05
0.0041,1.8727424e-12,1.8668366e-05
0.0041999999,2.1695709e-12,1.9794184e-05
0.0043000001,2.5444462e-12,2.0942696e-05
0.0044,3.0486375e-12,2.2105e-05
0.0044999998,3.6110097e-12,2.3293445e-05
0.0046000001,4.231563e-12,2.4508034e-05
0.0046999999,4.910297e-12,2.5748765e-05
0.0048000002,5.6472119e-12,2.7015638e-05
0.0049000001,6.4423081e-12,2.8308654e-05
0.0049999999,7.3014424e-12,2.9627357e-05
0.0051000002,8.4523569e-12,3.0954092e-05
0.0052,9.7520542e-12,3.2299944e-05
0.0052999998,1.1211318e-11,3.3664077e-05
0.0054000001,1.2840931e-11,3.5045654e-05
0.0055,1.4651674e-11,3.6443846e-05
0.0055999998,1.6654332e-11,3.7857804e-05
0.0057000001,1.8859688e-11,3.9286704e-05
0.0057999999,2.1278522e-11,4.0729705e-05
0.0059000002,2.3921618e-11,4.218597e-05
0.0060000001,2.679976e-11,4.3654665e-05
0.0060999999,2.992373e-11,4.5134955e-05
0.0062000002,3.3304307e-11,4.6625999e-05
0.0063,3.6952282e-11,4.8126967e-05
0.0063999998,4.0878429e-11,4.9637016e-05
0.0065000001,4.528931e-11,5.1157913e-05
0.0066,5.0594001e-11,5.2694093e-05
0.0066999998,5.6375821e-11,5.4239063e-05
0.0068000001,6.265783e-11,5.5792141e-05
0.0068999999,6.9463081e-11,5.7352659e-05
0.0070000002,7.6814631e-11,5.8919944e-05
0.0071,8.4735545e-11,6.0493319e-05
0.0071999999,9.3248881e-11,6.2072111e-05
0.0073000002,1.0237769e-10,6.3655651e-05
0.0074,1.1214504e-10,6.5243265e-05
0.0074999998,1.2257398e-10,6.6834269e-05
0.0076000001,1.3368756e-10,6.8428002e-05
0.0077,1.4550885e-10,7.0023787e-05
0.0077999998,1.580803e-10,7.1621165e-05
0.0078999996,1.7302834e-10,7.3236879e-05
0.0080000004,1.8910387e-10,7.4856427e-05
0.0081000002,2.0635368e-10,7.6479402e-05
0.0082,2.2482458e-10,7.810539e-05
0.0082999999,2.4456331e-10,7.9733967e-05
0.0083999997,2.656167e-10,8.1364728e-05
0.0085000005,2.8803152e-10,8.2997249e-05
0.0086000003,3.1185457e-10,8.4631116e-05
0.0087000001,3.371326e-10,8.6265922e-05
0.0088,3.6391246e-10,8.7901237e-05
0.0088999998,3.9224088e-10,8.9536654e-05
0.0089999996,4.2216466e-10,9.1171758e-05
0.0091000004,4.5373061e-10,9.2806134e-05
0.0092000002,4.8888488e-10,9.4449017e-05
0.0093,5.2692822e-10,9.6096199e-05
0.0093999999,5.6735705e-10,9.7744472e-05
0.0094999997,6.1025834e-10,9.9393619e-05
0.0096000005,6.5571909e-10,0.00010104343
0.0097000003,7.0382616e-10,0.0001026937
0.0098000001,7.5466661e-10,0.0001043442
0.0098999999,8.0832729e-10,0.00010599474
0.0099999998,8.6489521e-10,0.0001076451
0.0101,9.2445734e-10,0.00010929506
0.0102,9.8710062e-10,0.00011094443
0.0103,1.052912e-09,0.00011259298
0.0104,1.1219783e-09,0.0001142405
0.0105,1.1960579e-09,0.00011588987
0.0106,1.2760301e-09,0.00011754234
0.0107,1.3603634e-09,0.00011919471
0.0108,1.4492023e-09,0.00012084687
0.0109,1.5426911e-09,0.00012249872
0.011,1.6409739e-09,0.00012415016
0.0111,1.7441951e-09,0.00012580107
0.0112,1.8524992e-09,0.00012745136
0.0113,1.9660302e-09,0.00012910091
0.0114,2.0849324e-09,0.00013074963
0.0115,2.2093503e-09,0.0001323974
0.0116,2.3394282e-09,0.00013404412
0.0117,2.4753102e-09,0.00013568968
0.0118,2.6180813e-09,0.00013733469
0.0119,2.771352e-09,0.00013898159
0.012,2.9319933e-09,0.00014062785
0.0121,3.1002276e-09,0.00014227342
