"Time","eddyCurrentForce.lossPower","mass.s","heatCapacitor.T"
0.078500003,0,1.5700001,293.14999
0.079000004,0,1.58,293.14999
0.079499997,0,1.59,293.14999
0.079999998,0,1.6,293.14999
0.080499999,0,1.61,293.14999
0.081,0,1.62,293.14999
0.081500001,0,1.63,293.14999
0.082000002,0,1.64,293.14999
0.082500003,0,1.65,293.14999
0.082999997,0,1.66,293.14999
0.083499998,0,1.67,293.14999
0.083999999,0,1.6799999,293.14999
0.0845,0,1.6900001,293.14999
0.085000001,0,1.7,293.14999
0.085500002,0,1.71,293.14999
0.086000003,0,1.72,293.14999
0.086499996,0,1.73,293.14999
0.086999997,0,1.74,293.14999
0.087499999,0,1.75,293.14999
0.088,0,1.76,293.14999
0.088500001,0,1.77,293.14999
0.089000002,0,1.78,293.14999
0.089500003,0,1.79,293.14999
0.090000004,0,1.8,293.14999
0.090499997,0,1.8099999,293.14999
0.090999998,0,1.8200001,293.14999
0.091499999,0,1.83,293.14999
0.092,0,1.84,293.14999
0.092500001,0,1.85,293.14999
0.093000002,0,1.86,293.14999
0.093500003,0,1.87,293.14999
0.093999997,0,1.88,293.14999
0.094499998,0,1.89,293.14999
0.094999999,0,1.9,293.14999
0.0955,0,1.91,293.14999
0.096000001,0,1.92,293.14999
0.096500002,0,1.9299999,293.14999
0.097000003,0,1.9400001,293.14999
0.097499996,0,1.95,293.14999
0.097999997,0,1.96,293.14999
0.098499998,0,1.97,293.14999
0.098999999,0,1.98,293.14999
0.0995,0,1.99,293.14999
0.1,0,2,293.14999
0.1005,0.039999999,2.01,293.14999
0.101,0.16000001,2.02,293.15005
0.1015,0.36000007,2.03,293.15018
0.102,0.64000034,2.04,293.15042
0.1025,1.0000011,2.05,293.15085
0.103,1.4400028,2.0599999,293.15143
0.1035,1.9600061,2.0699999,293.15228
0.104,2.5600119,2.0799997,293.15341
0.1045,3.2400212,2.0899997,293.15485
0.105,4.0000362,2.0999994,293.15668
0.1055,4.8400578,2.1099992,293.15887
0.106,5.7600899,2.1199989,293.16153
0.1065,6.7601337,2.1299984,293.16464
0.107,7.8401937,2.139998,293.1683
0.1075,9.0002737,2.1499975,293.17252
0.108,10.240377,2.1599967,293.17731
0.1085,11.560512,2.169996,293.18274
0.109,12.960681,2.1799948,293.18887
0.1095,14.440892,2.1899936,293.19574
0.11,16.001152,2.1999922,293.20334
0.1105,17.641472,2.2099907,293.21173
0.111,19.361856,2.2199888,293.22098
0.1115,21.162317,2.2299869,293.23111
0.112,23.042868,2.2399845,293.24216
0.1125,25.003515,2.2499821,293.25418
0.113,27.044277,2.2599792,293.26718
0.1135,29.165163,2.2699759,293.28125
0.114,31.366192,2.2799723,293.29636
0.1145,33.647377,2.2899683,293.31262
0.115,36.008739,2.2999637,293.33002
0.1155,38.450294,2.3099589,293.34863
0.116,40.972061,2.3199534,293.3685
0.1165,43.574062,2.3299477,293.38962
0.117,46.256321,2.3399413,293.41208
0.1175,49.01886,2.3499343,293.43591
0.118,51.861706,2.3599267,293.46112
0.1185,54.784885,2.3699183,293.48776
0.119,57.788422,2.3799093,293.51593
0.1195,60.872353,2.3898997,293.54559
0.12,64.036705,2.3998892,293.57681
0.1205,67.281509,2.409878,293.60965
0.121,70.606796,2.4198661,293.6441
0.1215,74.012619,2.429853,293.68027
0.122,77.498993,2.4398391,293.71814
0.1225,81.065971,2.4498241,293.75778
0.123,84.713593,2.4598083,293.79922
0.1235,88.441902,2.4697914,293.8425
0.124,92.250938,2.4797733,293.88766
0.1245,96.140747,2.489754,293.93478
0.125,100.11137,2.4997337,293.98383
0.12549999,104.16288,2.5097122,294.03491
0.126,108.29531,2.5196893,294.08801
0.1265,112.50871,2.529665,294.14322
0.127,116.80315,2.5396392,294.20053
0.1275,121.17868,2.549612,294.26004
0.12800001,125.63536,2.5595834,294.32175
0.1285,130.17325,2.5695534,294.38568
0.12899999,134.7924,2.5795214,294.45193
0.1295,139.49289,2.589488,294.52051
0.13,144.2748,2.5994527,294.59143
0.1305,149.13815,2.6094158,294.66479
0.131,154.08307,2.6193767,294.7406
0.13150001,159.10959,2.6293359,294.81888
0.132,164.21779,2.6392932,294.89972
0.13249999,169.40776,2.6492481,294.98312
0.133,174.67957,2.6592011,295.06915
0.13349999,180.03329,2.669152,295.15781
0.134,185.46902,2.6791005,295.24918
0.1345,190.98683,2.6890466,295.34329
0.13500001,196.58681,2.6989906,295.44019
0.1355,202.26903,2.7089319,295.53992
0.13600001,208.0336,2.7188706,295.64249
0.1365,213.8806,2.7288067,295.74796
0.13699999,219.81012,2.7387404,295.85638
0.1375,225.82225,2.7486711,295.96777
0.138,231.91708,2.758599,296.08221
0.13850001,238.09471,2.7685239,296.19971
0.139,244.35526,2.778446,296.32031
0.13950001,250.69879,2.7883646,296.44409
0.14,257.1254,2.7982805,296.57104
0.14049999,263.63522,2.808193,296.70123
0.141,270.22836,2.8181021,296.83469
0.1415,276.90488,2.8280077,296.97147
0.142,283.66489,2.8379099,297.1116
0.1425,290.50851,2.8478086,297.25516
0.14300001,297.43582,2.8577037,297.40213
0.1435,304.44696,2.867595,297.55261
0.14399999,311.54202,2.8774822,297.7066
0.1445,318.72113,2.8873656,297.86417
0.145,325.98434,2.8972452,298.02533
0.1455,333.33179,2.9071205,298.19016
0.146,340.76358,2.9169915,298.35867
0.14650001,348.27982,2.9268582,298.53094
0.147,355.88062,2.9367204,298.70697
0.14749999,363.56607,2.9465783,298.88684
0.148,371.33627,2.9564314,299.07056
0.1485,379.19135,2.96628,299.25818
0.149,387.13138,2.9761236,299.44977
0.1495,395.15649,2.9859624,299.64532
0.15000001,403.26675,2.9957962,299.84494
0.1505,411.46228,3.0056248,300.04861
0.15099999,419.74316,3.0154481,300.25641
0.1515,428.1095,3.0252662,300.46835
0.152,436.56134,3.0350788,300.68454
0.1525,445.09885,3.0448856,300.90494
0.153,453.72205,3.054687,301.12964
0.15350001,462.43103,3.0644827,301.35867
0.154,471.22589,3.0742724,301.59207
0.15449999,480.10672,3.0840559,301.82993
0.155,489.07352,3.0938334,302.0722
0.15549999,498.12643,3.1036046,302.319
0.156,507.26544,3.1133695,302.57034
0.1565,516.49066,3.1231279,302.82626
0.15700001,525.80212,3.1328797,303.08685
0.1575,535.19989,3.1426246,303.35208
0.15800001,544.68396,3.1523628,303.62204
0.1585,554.25439,3.1620939,303.89679
0.15899999,563.91119,3.171818,304.1763
0.1595,573.65442,3.1815348,304.46069
0.16,583.48401,3.1912441,304.74997
0.1605,593.40002,3.2009461,305.04419
0.161,603.4024,3.2106404,305.34335
0.16150001,613.49115,3.2203267,305.64758
0.162,623.6662,3.2300053,305.95685
0.16249999,633.92761,3.2396758,306.27124
0.163,644.27521,3.2493382,306.59079
0.1635,654.70905,3.258992,306.9155
0.164,665.22894,3.2686374,307.24548
0.1645,675.8349,3.2782743,307.58072
0.16500001,686.52673,3.2879024,307.9213
0.1655,697.30438,3.2975214,308.26724
0.16599999,708.16772,3.3071315,308.61859
0.1665,719.11652,3.3167324,308.97537
0.167,730.15076,3.3263237,309.33768
0.1675,741.27014,3.3359058,309.70551
0.168,752.47449,3.3454781,310.07892
0.16850001,763.76361,3.3550406,310.45795
0.169,775.13727,3.364593,310.84265
0.16949999,786.59515,3.3741353,311.23306
0.17,798.13708,3.3836672,311.62921
0.1705,809.7627,3.393189,312.03119
0.171,821.47174,3.4026997,312.43896
0.1715,833.26373,3.4122,312.85266
0.17200001,845.13837,3.421689,313.27222
0.1725,857.09528,3.4311669,313.69775
0.17299999,869.13397,3.4406335,314.12927
0.1735,881.25409,3.4500887,314.56683
0.17399999,893.45508,3.4595323,315.01047
0.1745,905.73645,3.4689641,315.46024
0.175,918.0976,3.4783838,315.91614
0.17550001,930.53809,3.4877913,316.37827
0.176,943.05719,3.4971864,316.84662
0.17649999,955.65436,3.5065689,317.32126
0.177,968.3288,3.5159388,317.80222
0.17749999,981.0799,3.5252957,318.28955
0.178,993.9068,3.5346394,318.78326
0.1785,1006.8088,3.5439699,319.28345
0.17900001,1019.785,3.5532868,319.79007
0.1795,1032.8346,3.5625901,320.30319
0.18000001,1045.9564,3.5718796,320.82285
0.1805,1059.1498,3.5811548,321.34909
0.18099999,1072.4136,3.590416,321.88193
0.1815,1085.7467,3.5996625,322.42142
