"Time","hbridge.vDC1","hbridge.iDC1","hbridge.vDC2","hbridge.iDC2","meanCurrent.y","meanVoltage.y","dcpm.inertiaRotor.phi","dcpm.inertiaRotor.w","inductor.i"
4,120,0.0048000002,-0.00053442782,-26.72139,26.710314,71.855469,54.187878,110.86301,26.72139
4,120,0.0048000002,-0.00053442782,-26.72139,26.718735,71.927467,54.187878,110.86301,26.72139
4.0001001,120,0.0048000002,-0.00051046524,-25.52326,26.718735,71.927467,54.198967,110.87409,25.52326
4.0001001,120,25.528061,119.99949,-25.52326,26.718735,71.927467,54.198967,110.87409,25.52326
4.0001998,120,26.329979,119.99947,-26.32518,26.718735,71.927467,54.210052,110.88509,26.32518
4.0004001,120,27.931452,119.99944,-27.926651,26.718735,71.927467,54.232235,110.90812,27.926651
4.0004001,120,27.931452,119.99944,-27.926651,26.718735,71.927467,54.232235,110.90812,27.926651
4.0004001,120,0.0048000002,-0.00055853301,-27.926651,26.718735,71.927467,54.232235,110.90812,27.926651
4.0005002,120,0.0048000002,-0.00053454074,-26.727037,26.718735,71.927467,54.243324,110.91972,26.727037
4.0005002,120,0.0048000002,-0.00053454074,-26.727037,26.718735,71.927467,54.243324,110.91972,26.727037
4.0005999,120,0.0048000002,-0.00051056605,-25.528301,26.718735,71.927467,54.254417,110.93081,25.528301
4.0005999,120,25.533102,119.99949,-25.528301,26.718735,71.927467,54.254417,110.93081,25.528301
4.0008001,120,27.134941,119.99946,-27.13014,26.718735,71.927467,54.276604,110.95316,27.13014
4.0008998,120,27.934677,119.99944,-27.929876,26.718735,71.927467,54.287701,110.96484,27.929876
4.0008998,120,0.0048000002,-0.00055859756,-27.929876,26.718735,71.927467,54.287701,110.96484,27.929876
4.0009999,120,0.0048000002,-0.00053459313,-26.729658,26.718735,71.927467,54.298798,110.97644,26.729658
4.0009999,120,0.0048000002,-0.00053459313,-26.729658,26.727055,71.999466,54.298798,110.97644,26.729658
4.0011001,120,0.0048000002,-0.00051060633,-25.530317,26.727055,71.999466,54.309898,110.98753,25.530317
4.0011001,120,25.535118,119.99949,-25.530317,26.727055,71.999466,54.309898,110.98753,25.530317
4.0012002,120,26.335829,119.99947,-26.331028,26.727055,71.999466,54.320995,110.99854,26.331028
4.0014,120,27.934885,119.99944,-27.930084,26.727055,71.999466,54.343197,111.02156,27.930084
4.0014,120,27.934885,119.99944,-27.930084,26.727055,71.999466,54.343197,111.02156,27.930084
4.0014,120,0.0048000002,-0.00055860169,-27.930084,26.727055,71.999466,54.343197,111.02156,27.930084
4.0015001,120,0.0048000002,-0.00053458527,-26.729263,26.727055,71.999466,54.354301,111.03316,26.729263
4.0015001,120,0.0048000002,-0.00053458527,-26.729263,26.727055,71.999466,54.354301,111.03316,26.729263
4.0015998,120,0.0048000002,-0.00051058648,-25.529324,26.727055,71.999466,54.365406,111.04425,25.529324
4.0015998,120,0.0048000002,-0.00051058648,-25.529324,26.727055,71.999466,54.365406,111.04425,25.529324
4.0015998,120,25.534124,119.99949,-25.529324,26.727055,71.999466,54.365406,111.04425,25.529324
4.0018001,120,27.133556,119.99946,-27.128756,26.727055,71.999466,54.387615,111.0666,27.128756
4.0019002,120,27.932091,119.99944,-27.92729,26.727055,71.999466,54.398724,111.07829,27.92729
4.0019002,120,0.0048000002,-0.00055854581,-27.92729,26.727055,71.999466,54.398724,111.07829,27.92729
4.0019999,120,0.0048000002,-0.0005345174,-26.72587,26.727055,71.999466,54.409832,111.08988,26.72587
4.0019999,120,0.0048000002,-0.0005345174,-26.72587,26.729286,71.999466,54.409832,111.08988,26.72587
4.0021,120,0.0048000002,-0.00051050662,-25.52533,26.729286,71.999466,54.42094,111.10097,25.52533
4.0021,120,25.53013,119.99949,-25.52533,26.729286,71.999466,54.42094,111.10097,25.52533
4.0022001,120,26.329641,119.99947,-26.324841,26.729286,71.999466,54.432053,111.11197,26.324841
4.0023999,120,27.926304,119.99944,-27.921503,26.729286,71.999466,54.454277,111.13499,27.921503
4.0023999,120,27.926304,119.99944,-27.921503,26.729286,71.999466,54.454277,111.13499,27.921503
4.0023999,120,0.0048000002,-0.0005584301,-27.921503,26.729286,71.999466,54.454277,111.13499,27.921503
