"Time","inertia2.phi","inertia2.w","revolute1.phi","revolute1.w","revolute2.phi","revolute2.w","revolute3.phi","revolute3.w"
0,0,0,0,0,0,0,0,0
0.00019999999,1.1588011e-09,1.2758908e-05,9.7317559e-07,0.0098313503,-5.8985887e-07,-0.0059545883,-1.2289129e-06,-0.011561132
0.00039999999,7.0765562e-09,4.0066581e-05,4.1003659e-06,0.020900235,-2.4762041e-06,-0.012605041,-3.3977949e-06,-0.014076908
0.00060000003,2.0185174e-08,8.1921738e-05,9.5884543e-06,0.033206705,-5.7753628e-06,-0.019951366,-4.994708e-06,-0.0075484528
0.00079999998,4.3029541e-08,0.00013832234,1.7653996e-05,0.046750996,-1.0609086e-05,-0.02799359,-4.4375552e-06,0.0080224564
0.001,7.863072e-08,0.00020926533,2.8554181e-05,0.061533675,-1.7121936e-05,-0.036731798,1.5168523e-07,0.032633156
0.0012000001,1.2979423e-07,0.00029474703,4.2528063e-05,0.077555716,-2.5448224e-05,-0.04616617,1.0516872e-05,0.066280447
0.0014,1.9938888e-07,0.00039476293,5.9820406e-05,0.094818667,-3.5725374e-05,-0.056297041,2.8440991e-05,0.10896032
0.0016,2.9034899e-07,0.00050930766,8.0681995e-05,0.11332477,-4.8094083e-05,-0.067124933,5.5747532e-05,0.16066803
0.0018,4.0553684e-07,0.00063837512,0.00010535808,0.13307704,-6.2691768e-05,-0.078650594,9.4214854e-05,0.22139816
0.0020000001,5.4782123e-07,0.00078195869,0.0001340952,0.15407939,-7.9656369e-05,-0.090875037,0.0001456251,0.29114464
0.0022,7.2024778e-07,0.00094005035,0.00016715621,0.17633711,-9.9134682e-05,-0.10379969,0.00021186976,0.36990014
0.0024000001,9.2579705e-07,0.0011126415,0.00020479976,0.19985668,-0.00012127079,-0.11742637,0.00029479939,0.4576568
0.0026,1.1670746e-06,0.0012997241,0.00024725334,0.22464497,-0.00014619107,-0.13175704,0.00039603128,0.554407
0.0027999999,1.4469969e-06,0.0015012884,0.0002947732,0.25071102,-0.00017403749,-0.1467943,0.00051737501,0.66014147
0.003,1.7686069e-06,0.0017173234,0.00034762878,0.27806586,-0.00020495882,-0.16254142,0.00066071842,0.77484995
0.0031999999,2.134866e-06,0.001947818,0.00040608487,0.30672199,-0.00023910067,-0.17900211,0.00082789734,0.89852148
0.0034,2.5486797e-06,0.0021927604,0.00047040445,0.33669361,-0.00027660688,-0.19618069,0.0010207125,1.0311446
0.0035999999,3.0129304e-06,0.0024521383,0.00054085167,0.36799696,-0.00031762125,-0.21408205,0.0012409496,1.1727072
0.0038000001,3.5305022e-06,0.0027259388,0.00061769458,0.4006502,-0.00036228882,-0.23271178,0.0014903939,1.3231962
0.0040000002,4.1042849e-06,0.0030141484,0.00070120592,0.43467385,-0.00041075624,-0.25207615,0.0017708335,1.4825979
0.0041999999,4.73715e-06,0.0033167528,0.00079166138,0.47009072,-0.00046317073,-0.27218217,0.0020840438,1.650898
0.0044,5.4319639e-06,0.0036337378,0.00088934059,0.50692594,-0.00051968067,-0.29303756,0.0024317962,1.828081
0.0046000001,6.191608e-06,0.0039650877,0.00099453132,0.54520744,-0.00058043736,-0.31465098,0.0028158701,2.0141311
0.0048000002,7.0189567e-06,0.0043107863,0.001107525,0.58496547,-0.00064559322,-0.33703166,0.0032380391,2.2090311
0.0049999999,7.9168767e-06,0.0046708183,0.0012286212,0.62623376,-0.00071530283,-0.36018991,0.0037000699,2.4127641
0.0052,8.8882343e-06,0.0050451658,0.0013581244,0.66904813,-0.00078972254,-0.38413674,0.0042037293,2.6253109
0.0054000001,9.9358922e-06,0.0054338113,0.0014963493,0.71344841,-0.00086901174,-0.40888408,0.004750778,2.8466527
0.0055999998,1.1062709e-05,0.0058367378,0.0016436155,0.75947666,-0.0009533313,-0.43444473,0.0053429734,3.0767696
0.0057999999,1.2271536e-05,0.0062539252,0.001800255,0.80717921,-0.0010428458,-0.46083242,0.0059820679,3.3156407
0.0060000001,1.3565227e-05,0.0066853557,0.0019666057,0.85660499,-0.0011377214,-0.48806167,0.0066698105,3.5632441
0.0062000002,1.4946627e-05,0.0071310089,0.0021430184,0.90780711,-0.0012381283,-0.51614803,0.0074079456,3.8195577
0.0063999998,1.6418579e-05,0.0075908648,0.0023298529,0.96084207,-0.0013442393,-0.54510778,0.0081982128,4.0845575
0.0066,1.7983919e-05,0.0080649024,0.0025274826,1.0157703,-0.001456231,-0.57495821,0.0090423459,4.3582201
0.0068000001,1.9645482e-05,0.0085530998,0.0027362921,1.0726564,-0.0015742832,-0.6057173,0.0099420762,4.6405196
0.0070000002,2.14061e-05,0.0090554357,0.00295668,1.1315687,-0.0016985796,-0.63740408,0.010899127,4.9314308
0.0071999999,2.3268598e-05,0.0095718866,0.0031890592,1.1925801,-0.0018293079,-0.6700381,0.011915221,5.2309256
0.0074,2.5235795e-05,0.01010243,0.0034338571,1.2557677,-0.0019666592,-0.70363992,0.012992068,5.5389767
0.0076000001,2.7310507e-05,0.010647041,0.0036915168,1.321213,-0.0021108296,-0.73823059,0.014131379,5.8555555
0.0077999998,2.9495546e-05,0.011205696,0.0039624991,1.3890022,-0.0022620189,-0.7738319,0.015334857,6.1806316
0.0080000004,3.1793719e-05,0.011778368,0.0042472803,1.4592261,-0.0024204312,-0.81046629,0.016604196,6.5141745
0.0082,3.4207827e-05,0.01236503,0.0045463583,1.5319806,-0.0025862758,-0.84815657,0.017941089,6.8561516
0.0083999997,3.6740661e-05,0.012965657,0.0048602484,1.6073664,-0.0027597658,-0.88692623,0.019347217,7.2065301
0.0086000003,3.9395018e-05,0.01358022,0.0051894877,1.6854897,-0.0029411197,-0.92679882,0.020824259,7.5652761
0.0088,4.2173677e-05,0.014208689,0.0055346345,1.7664613,-0.0031305603,-0.96779835,0.022373883,7.9323545
0.0089999996,4.5079418e-05,0.014851036,0.0058962703,1.8503979,-0.0033283154,-1.0099488,0.023997754,8.3077278
0.0092000002,4.8115016e-05,0.015507228,0.0062749996,1.9374219,-0.0035346178,-1.0532745,0.025697526,8.6913595
0.0093999999,5.128323e-05,0.016177231,0.0066714534,2.0276611,-0.0037497049,-1.0977993,0.027474845,9.083209
0.0096000005,5.4586828e-05,0.016861016,0.0070862877,2.1212487,-0.0039738188,-1.1435469,0.029331354,9.4832373
0.0098000001,5.8028552e-05,0.017558545,0.0075201858,2.2183247,-0.0042072064,-1.1905407,0.031268682,9.8914032
0.0099999998,6.1611157e-05,0.018269783,0.00797386,2.3190346,-0.0044501196,-1.2388034,0.033288453,10.307662
0.0102,6.5337379e-05,0.018994691,0.0084480522,2.4235301,-0.0047028139,-1.2883569,0.035392284,10.73197
0.0104,6.9209942e-05,0.019733232,0.0089435354,2.5319695,-0.0049655493,-1.3392224,0.037581775,11.164281
0.0106,7.3231575e-05,0.02048536,0.0094611142,2.6445172,-0.0052385912,-1.3914198,0.039858527,11.604548
0.0108,7.7404991e-05,0.021251038,0.010001628,2.7613444,-0.0055222069,-1.4449673,0.04222412,12.052719
0.011,8.1732891e-05,0.022030216,0.01056595,2.8826289,-0.0058166687,-1.4998819,0.044680137,12.508747
0.0112,8.6217973e-05,0.022822849,0.011154989,3.0085552,-0.0061222515,-1.5561786,0.047228139,12.972577
0.0114,9.0862923e-05,0.023628891,0.011769694,3.1393147,-0.0064392327,-1.61387,0.049869686,13.444155
0.0116,9.5670417e-05,0.024448287,0.01241105,3.2751062,-0.0067678927,-1.6729666,0.052606314,13.923425
0.0118,0.00010064313,0.02528098,0.013080086,3.4161351,-0.0071085133,-1.733476,0.055439565,14.410326
0.012,0.00010578369,0.026126919,0.013777868,3.5626144,-0.007461377,-1.7954026,0.058370952,14.9048
0.0122,0.00011109477,0.026986042,0.014505509,3.7147639,-0.0078267679,-1.8587476,0.061401986,15.406785
0.0124,0.00011657899,0.027858287,0.015264167,3.8728113,-0.0082049696,-1.9235082,0.064534158,15.916213
0.0126,0.00012223895,0.028743586,0.016055044,4.0369916,-0.0085962648,-1.9896775,0.067768961,16.43302
0.0128,0.00012807728,0.029641869,0.016879389,4.2075467,-0.0090009337,-2.0572443,0.071107857,16.957134
0.013,0.00013409657,0.030553065,0.017738504,4.384727,-0.009419254,-2.1261923,0.074552298,17.488483
0.0132,0.00014029937,0.031477094,0.018633738,4.56879,-0.0098515004,-2.1964996,0.078103729,18.026993
0.0134,0.00014668825,0.032413881,0.019566497,4.7600007,-0.010297942,-2.2681384,0.081763566,18.572586
0.0136,0.00015326576,0.033363331,0.020538233,4.9586315,-0.010758841,-2.3410752,0.085533224,19.125183
0.0138,0.00016003443,0.034325361,0.021550462,5.1649628,-0.011234455,-2.4152687,0.089414097,19.684698
0.014,0.00016699675,0.035299875,0.022604752,5.379283,-0.011725028,-2.4906712,0.093407564,20.251045
0.0142,0.0001741552,0.036286768,0.023702728,5.6018867,-0.012230799,-2.5672266,0.097514965,20.824137
0.0144,0.00018151227,0.037285939,0.024846079,5.833077,-0.012751991,-2.6448708,0.10173766,21.403877
