"Time","aimc.stator.core.Phi.im","aimc.stator.core.Phi.re"
0,0.91599607,1.5487649
9.9999997e-05,0.96419102,1.5192292
0.00019999999,1.011434,1.4881943
0.00030000001,1.05768,1.4556903
0.00039999999,1.1028825,1.4217494
0.00050000002,1.1469965,1.3864053
0.00060000003,1.1899785,1.3496933
0.00069999998,1.2317859,1.3116492
0.00079999998,1.2723778,1.2723106
0.00089999998,1.3117142,1.2317164
0.001,1.349756,1.1899066
0.0011,1.3864658,1.1469226
0.0012000001,1.4218073,1.1028067
0.0013,1.4557456,1.0576024
0.0014,1.4882472,1.0113546
0.0015,1.5192802,0.96410847
0.0016,1.5488138,0.9159109
0.0017,1.5768191,0.86680937
0.0018,1.6032681,0.81685239
0.0019,1.628135,0.76608938
0.0020000001,1.6513951,0.71457022
0.0020999999,1.6730254,0.66234607
0.0022,1.6930046,0.60946816
0.0023000001,1.711313,0.55598885
0.0024000001,1.7279326,0.50196093
0.0024999999,1.7428468,0.44743761
0.0026,1.7560412,0.39247289
0.0027000001,1.7675024,0.33712071
0.0027999999,1.7772194,0.28143609
0.0029,1.7851826,0.22547354
0.003,1.7913839,0.16928864
0.0031000001,1.7958173,0.11293679
0.0031999999,1.7984785,0.056473561
0.0033,1.7993647,-4.5230281e-05
0.0034,1.7984753,-0.056563884
0.0035000001,1.7958109,-0.11302664
0.0035999999,1.7913743,-0.16937777
0.0037,1.78517,-0.22556171
0.0038000001,1.7772039,-0.28152302
0.0038999999,1.7674839,-0.33720645
0.0040000002,1.7560198,-0.39255705
0.0041,1.7428228,-0.44752023
0.0041999999,1.7279058,-0.5020417
0.0043000001,1.7112836,-0.55606759
0.0044,1.6929725,-0.60954469
0.0044999998,1.6729909,-0.66242015
0.0046000001,1.6513582,-0.71464187
0.0046999999,1.628096,-0.76615822
0.0048000002,1.603227,-0.81691843
0.0049000001,1.576776,-0.86687243
0.0049999999,1.548769,-0.91597092
0.0051000002,1.5192336,-0.96416533
0.0052,1.488199,-1.0114082
0.0052999998,1.4556957,-1.057653
0.0054000001,1.4217561,-1.1028538
0.0055,1.3864135,-1.1469662
0.0055999998,1.3497026,-1.1899467
0.0057000001,1.3116599,-1.2317528
0.0057999999,1.2723229,-1.2723433
0.0059000002,1.2317303,-1.3116782
0.0060000001,1.1899223,-1.3497185
0.0060999999,1.1469401,-1.3864267
0.0062000002,1.1028262,-1.4217668
0.0063,1.057624,-1.4557036
0.0063999998,1.0113783,-1.4882039
0.0065000001,0.96413451,-1.5192355
0.0066,0.91593939,-1.5487677
0.0066999998,0.86684054,-1.5767715
0.0068000001,0.81688631,-1.6032193
0.0068999999,0.7661261,-1.6280849
0.0070000002,0.71460998,-1.6513437
0.0071,0.6623888,-1.6729729
0.0071999999,0.60951406,-1.6929511
0.0073000002,0.5560379,-1.7112585
0.0074,0.50201327,-1.7278773
0.0074999998,0.44749331,-1.7427908
0.0076000001,0.3925319,-1.7559844
0.0077,0.3371833,-1.7674452
0.0077999998,0.2815021,-1.7771618
0.0078999996,0.22554326,-1.7851247
0.0080000004,0.16936199,-1.7913258
0.0081000002,0.11301377,-1.7957592
0.0082,0.056554176,-1.7984204
0.0082999999,3.8946269e-05,-1.799307
0.0083999997,-0.05647615,-1.7984178
0.0085000005,-0.11293533,-1.7957541
0.0086000003,-0.1692829,-1.7913182
