"Time","inertia2.phi","inertia2.w","damper.phi_rel","damper.w_rel","springDamper.phi_rel","springDamper.w_rel","inertia3.phi","inertia3.w","elastoBacklash.phi_rel","elastoBacklash.w_rel","bearingFriction.mode","clutch.phi_rel","clutch.w_rel","clutch.mode","brake.mode","lossyGear.mode","gear2_1.phi_rel","gear2_1.w_rel","gear2_1.lossyGear.mode","inertia8.phi","inertia8.w","position.phi","position.w","speed.phi","speed.w","accelerate.phi","accelerate.w","inertia13.phi","inertia13.w","inertia14.phi","inertia14.w","inertia15.phi"
0,0,0,0,0,0,0,0.017453292,2,0,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2242688e-11,7.3848163e-25,4.1026756e-18,-2.5640875e-19,-1.4244931e-12,2.8846083e-19,1.6025602e-12,0.017453292,2,-2.3959909e-18,-1.3311061e-11,1,1.7096995e-26,9.4983302e-20,2,2,2,0,0,0,0,0,3.9797776e-19,2.2109877e-12,7.829373e-22,4.3496514e-15,2.4923076e-24,1.3846154e-17,8.3076924e-25,4.6153845e-18,1.6160348e-17,8.9779711e-11,1.3466957e-10
1.2242688e-11,7.3848163e-25,4.1026756e-18,-2.5640875e-19,-1.4244931e-12,2.8846083e-19,1.6025602e-12,0.017453292,2,-2.3959909e-18,-1.3311061e-11,1,1.7096995e-26,9.4983302e-20,1,1,2,0,0,0,0,0,3.9797776e-19,2.2109877e-12,7.829373e-22,4.3496514e-15,2.4923076e-24,1.3846154e-17,8.3076924e-25,4.6153845e-18,1.6160348e-17,8.9779711e-11,1.3466957e-10
5.5299242e-06,3.7211167e-17,1.6590212e-11,-1.7923833e-12,-6.4339537e-07,2.0164725e-12,7.2383824e-07,0.017464353,1.9999998,-1.6749487e-11,-6.0124789e-06,1,-2.2430687e-16,-1e-10,1,1,2,0,0,0,0,0,3.4624262e-11,1.5434185e-05,6.8164387e-14,3.0387195e-08,2.1711449e-16,9.6793608e-11,7.2371494e-17,3.2264535e-11,1.1297133e-10,4.0552779e-05,6.0829167e-05
5.5299242e-06,3.7211167e-17,1.6590212e-11,-1.7923833e-12,-6.4339537e-07,2.0164725e-12,7.2383824e-07,0.017464353,1.9999998,-1.6749487e-11,-6.0124789e-06,1,-2.2430687e-16,-1e-10,0,1,2,0,0,0,0,0,3.4624262e-11,1.5434185e-05,6.8164387e-14,3.0387195e-08,2.1711449e-16,9.6793608e-11,7.2371494e-17,3.2264535e-11,1.1297133e-10,4.0552779e-05,6.0829167e-05
0.00018,1.0768132e-12,1.7715655e-08,-1.8819435e-09,-2.0893463e-05,2.1188005e-09,2.3531773e-05,0.017813291,1.9999921,-1.7612592e-08,-0.00019568342,1,-1.7671315e-14,-1e-10,0,1,2,0,0,0,0,0,9.5964765e-07,0.015584458,1.9219164e-09,3.1374369e-05,6.2089309e-12,1.0178964e-07,2.0696437e-12,3.3929879e-08,1.1880239e-07,0.00132,0.0019799999
0.00036000001,8.586536e-12,7.19428e-08,-7.5150774e-09,-4.1677711e-05,8.4674312e-09,4.6996614e-05,0.01817329,1.9999843,-7.0443086e-08,-0.00039131238,1,-3.5671315e-14,-1e-10,0,1,2,0,0,0,0,0,7.3435372e-06,0.05983201,1.4951981e-08,0.00012321335,4.8959396e-11,4.0715227e-07,1.63198e-11,1.3571743e-07,4.752024e-07,0.0026400001,0.0039599999
0.00040069304,1.1863745e-11,8.943109e-08,-9.3063584e-09,-4.6360034e-05,1.0487602e-08,5.229106e-05,0.018254675,1.9999826,-8.7266464e-08,-0.0004355303,1,-3.9740617e-14,-1e-10,0,1,2,0,0,0,0,0,1.0051033e-05,0.073432274,2.0542611e-08,0.00015200824,6.7473395e-11,5.0439991e-07,2.2491132e-11,1.681333e-07,5.887037e-07,0.0029384156,0.0044076233
0.00040069304,1.1863745e-11,8.943109e-08,-9.3063584e-09,-4.6360034e-05,1.0487602e-08,5.229106e-05,0.018254675,1.9999826,-8.7266464e-08,-0.0004355303,1,-3.9740617e-14,-1e-10,0,1,2,0,0,0,0,0,1.0051033e-05,0.073432274,2.0542611e-08,0.00015200824,6.7473395e-11,5.0439991e-07,2.2491132e-11,1.681333e-07,5.887037e-07,0.0029384156,0.0044076233
0.00053999998,2.9276255e-11,1.6431281e-07,-1.6875667e-08,-6.2277322e-05,1.9030756e-08,7.0337315e-05,0.018533286,1.9999765,-1.5847689e-07,-0.00058678427,1,-5.3671314e-14,-1e-10,0,1,2,0,0,0,0,0,2.4007717e-05,0.12915398,4.971935e-08,0.00027217824,1.650531e-10,9.1608956e-07,5.5017699e-11,3.0536319e-07,1.0692024e-06,0.0039599999,0.0059400001
