"Time","meanVoltage.x","meanCurrent.y","pulse2m.twomPulse.timerNegative[2].entryTime","rectifier.thyristor_p.idealThyristor[3].off","pulse2m.twomPulse.timerNegative[1].entryTime","rectifier.pre_p[1].u","pulse2m.twomPulse.timerPositive[3].entryTime","rectifier.thyristor_n.idealThyristor[2].off","rectifier.thyristor_n.idealThyristor[1].off","meanVoltage.y","rectifier.thyristor_p.idealThyristor[2].off","rootMeanSquareVoltage.mean.y","rectifier.pre_p[3].u","rectifier.thyristor_n.idealThyristor[3].off","pulse2m.twomPulse.timerPositive[2].entryTime","pulse2m.twomPulse.timerNegative[3].entryTime","rectifier.pre_n[2].u","rectifier.thyristor_p.idealThyristor[1].off","rootMeanSquareVoltage.mean.x","rectifier.pre_n[1].u","rectifier.pre_p[2].u","pulse2m.twomPulse.timerPositive[1].entryTime","rectifier.pre_n[3].u","meanCurrent.x"
0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
0.00019999999,1.7822341e-17,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,2.1395049e-30,0,0,0,0,-2.8247493e-22
0.00039999999,5.8510859e-17,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1.0475369e-29,0,0,0,0,-9.6838464e-22
0.00060000003,7.9407923e-17,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1.2760566e-29,0,0,0,0,-1.2489761e-21
0.00079999998,9.9303119e-17,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1.4739661e-29,0,0,0,0,-1.5091847e-21
0.001,1.1405398e-16,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1.5841492e-29,0,0,0,0,-1.730145e-21
0.0012000001,1.2826484e-16,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1.6851232e-29,0,0,0,0,-1.9469855e-21
0.0014,1.4247569e-16,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1.7860975e-29,0,0,0,0,-2.1638259e-21
0.0016,1.5668655e-16,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1.8870717e-29,0,0,0,0,-2.3806664e-21
0.0016666667,1.6029839e-16,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1.9091879e-29,0,0,0,0,-2.4541039e-21
0.0016666667,1.6029839e-16,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1.9091879e-29,0,0,0.0016666667,0,-2.4541039e-21
0.0018,0.027932741,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,5.8521013,0,0,0.0016666667,0,0.0013966371
0.0020000001,0.068442717,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,14.058651,0,0,0.0016666667,0,0.0034221357
0.0022,0.10714409,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,21.549116,0,0,0.0016666667,0,0.0053572045
0.0024000001,0.14388414,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,28.299999,0,0,0.0016666667,0,0.007194207
0.0026,0.17851788,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,34.299454,0,0,0.0016666667,0,0.0089258943
0.0027999999,0.21090861,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,39.547466,0,0,0.0016666667,0,0.010545431
0.003,0.2409285,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,44.055882,0,0,0.0016666667,0,0.012046425
0.0031999999,0.26845905,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,47.848221,0,0,0.0016666667,0,0.013422953
0.0033333334,0.28537574,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,49.995373,0,0,0.0016666667,0,0.014268787
0.0033333334,0,4.2806358,0,0,0,0,0,0,1,85.612724,1,14998.612,1,1,0,0,1,1,0,0,0,0.0016666667,0,0
0.0033333334,1.2267296e-10,4.2806358,0,0,0,0,0,0,1,85.612724,1,14998.612,1,1,0,0,1,1,1.5023611e-08,0,0,0.0016666667,0,6.1336483e-12
0.0033333334,1.2267296e-10,4.2806358,0,1,0,1,0,0,1,85.612724,1,14998.612,1,1,0,0,1,0,1.5023611e-08,0,0,0.0016666667,0,6.1336483e-12
0.0034,0.01632796,4.2806358,0,1,0,1,0,0,1,85.612724,1,14998.612,1,1,0,0,1,0,3.9990346,0,0,0.0016666667,0,0.00081639807
0.0035999999,0.065240309,4.2806358,0,1,0,1,0,0,1,85.612724,1,14998.612,1,1,0,0,1,0,15.961136,0,0,0.0016666667,0,0.0032620153
0.0038000001,0.11389519,4.2806358,0,1,0,1,0,0,1,85.612724,1,14998.612,1,1,0,0,1,0,27.797689,0,0,0.0016666667,0,0.0056947591
0.0040000002,0.16210057,4.2806358,0,1,0,1,0,0,1,85.612724,1,14998.612,1,1,0,0,1,0,39.416626,0,0,0.0016666667,0,0.0081050284
0.0041999999,0.20966622,4.2806358,0,1,0,1,0,0,1,85.612724,1,14998.612,1,1,0,0,1,0,50.729317,0,0,0.0016666667,0,0.010483311
0.0044,0.25640443,4.2806358,0,1,0,1,0,0,1,85.612724,1,14998.612,1,1,0,0,1,0,61.651985,0,0,0.0016666667,0,0.012820221
0.0046000001,0.3021307,4.2806358,0,1,0,1,0,0,1,85.612724,1,14998.612,1,1,0,0,1,0,72.106979,0,0,0.0016666667,0,0.015106536
