"Time","inductor.inductor[2].i","inductor.inductor[3].i","capacitor.v","aimc.is[1]","aimc.is[2]","aimc.idq_sr[1]","aimc.idq_sr[2]","aimc.idq_rr[1]","aimc.idq_rr[2]","loadInertia.phi","loadInertia.w","vfController.x"
0.85000002,33.503567,-33.503571,531.31622,3.8381364,-30.246731,-21.021152,-25.353193,7.3410573,26.064886,31.820456,107.0014,94.575058
0.85000002,33.503567,-33.503571,531.31622,3.8381364,-30.246731,-21.021152,-25.353193,7.3410573,26.064886,31.820456,107.0014,94.575058
0.85001731,34.084961,-34.084431,531.43146,3.3754058,-29.504408,-21.004452,-24.533621,7.3243928,25.271257,31.822306,107.00368,94.578911
0.85001731,34.084961,-34.084431,531.43146,3.3754058,-29.504408,-21.004452,-24.533621,7.3243928,25.271257,31.822306,107.00368,94.578911
0.85004997,35.184505,-35.182972,531.28625,2.4960771,-29.807037,-22.402315,-24.328075,8.6737375,25.069237,31.825806,107.00786,94.586189
0.85006166,35.576733,-35.574837,531.23389,2.1816559,-29.914946,-22.901239,-24.250069,9.1552992,24.992653,31.827053,107.00935,94.588783
0.85006166,35.576733,-35.574837,531.23389,2.1816559,-29.914946,-22.901239,-24.250069,9.1552992,24.992653,31.827053,107.00935,94.588783
0.85009998,36.862507,-36.859436,531.25702,3.1385615,-30.270348,-22.349092,-24.671921,8.6204567,25.396149,31.831156,107.0143,94.597313
0.85014999,38.52367,-38.519062,531.28687,4.3658485,-30.735636,-21.666039,-25.231987,7.9588404,25.931839,31.836508,107.02096,94.608444
0.8502,40.160858,-40.154709,531.31635,5.5700445,-31.203207,-21.024881,-25.802534,7.3378339,26.477541,31.841858,107.02785,94.619576
0.85023272,41.215824,-41.208672,531.33545,6.3456531,-31.510517,-20.628004,-26.181147,6.9534411,26.839655,31.84536,107.0325,94.626854
0.85023272,41.215824,-41.208672,531.33545,6.3456531,-31.510517,-20.628004,-26.181147,6.9534411,26.839655,31.84536,107.0325,94.626854
0.85025001,41.765907,-41.758224,531.47729,5.8511915,-30.773069,-20.616436,-25.360889,6.9417624,26.045311,31.84721,107.03491,94.630699
