"Time","aimc.is[1]","aimc.is[2]","aimc.idq_sr[1]","aimc.idq_sr[2]","aimc.idq_rr[1]","aimc.idq_rr[2]","loadInertia.phi","loadInertia.w","inductor.inductor[1].i","inductor.inductor[3].i"
2.02,0.0015077869,-0.0025679038,-0.00088475854,0.0024244867,-6.0162358,-16.126579,149.36266,126.33875,0.0009777284,0.0026976224
2.02,0.0015077869,-0.0025679038,-0.00088475854,0.0024244867,-6.0162358,-16.126579,149.36266,126.33875,0.0009777284,0.0026976224
2.0201001,17.571831,-25.46677,-11.112145,23.585815,4.7183223,-38.898365,149.37529,126.31847,9.6769152,33.362404
2.0202,35.545624,-50.506035,-21.638083,47.158279,14.883038,-61.650066,149.38791,126.29668,20.58526,65.467125
2.0202999,53.900238,-75.10228,-31.581923,70.70591,24.481262,-84.368248,149.40054,126.27344,32.698265,96.304993
2.0204,72.612869,-99.237953,-40.947212,94.214943,33.516666,-107.03963,149.41318,126.24879,45.987885,125.86369
2.0204999,91.660606,-122.89602,-49.73785,117.67178,41.993244,-129.65111,149.4258,126.22277,60.425312,154.13208
2.0206001,111.02042,-146.06001,-57.958046,141.06294,49.915295,-152.1897,149.43842,126.19545,75.980988,181.10022
2.0207,130.66925,-168.714,-65.612358,164.37518,57.287457,-174.64259,149.45103,126.16685,92.624687,206.75935
2.0208001,150.58395,-190.84264,-72.705643,187.59537,64.114655,-196.99719,149.46365,126.13704,110.32547,231.10191
2.0209,170.74135,-212.43114,-79.243065,210.7106,70.402107,-219.24104,149.47626,126.10605,129.05177,254.12151
2.0209999,191.11823,-233.4653,-85.23011,233.70815,76.155319,-241.36191,149.48888,126.07393,148.77141,275.81293
2.0211,211.69142,-253.93153,-90.672516,256.57547,81.380081,-263.34772,149.50148,126.04072,169.45158,296.17218
2.0211999,232.43774,-273.8168,-95.57634,279.30023,86.082451,-285.18665,149.51408,126.00647,191.05898,315.19638
2.0213001,253.33408,-293.10873,-99.947906,301.8703,90.268753,-306.86703,149.52667,125.97122,213.55974,332.88388
2.0214,274.35733,-311.7955,-103.7938,324.27383,93.945572,-328.37744,149.53928,125.93502,236.91951,349.23416
2.0215001,295.48456,-329.86597,-107.12087,346.49911,97.119736,-349.7067,149.55186,125.8979,261.10352,364.24783
2.0216,316.69284,-347.30957,-109.93623,368.5347,99.798317,-370.84381,149.56445,125.85991,286.07651,377.92673
2.0216999,337.95944,-364.11639,-112.24722,390.36935,101.98863,-391.77798,149.57704,125.82109,311.80286,390.27377
2.0218,359.26169,-380.27716,-114.06142,411.99219,103.6982,-412.49878,149.58961,125.78148,338.24664,401.29303
2.0218999,380.57715,-395.78323,-115.38667,433.39236,104.93476,-432.99588,149.60219,125.74111,365.37149,410.98969
2.0220001,401.88348,-410.62659,-116.23096,454.55951,105.70628,-453.25928,149.61476,125.70002,393.14087,419.37
2.0221,423.1586,-424.79987,-116.60257,475.48331,106.02092,-473.27917,149.62733,125.65826,421.51785,426.44141
2.0222001,444.38062,-438.29633,-116.50993,496.15384,105.88702,-493.04608,149.63989,125.61585,450.46539,432.21234
