"Time","smpm.is[1]","smpm.is[2]","smpm.idq_sr[1]","smpm.idq_sr[2]","inertiaLoad.phi","inertiaLoad.w"
0,-0,-0,-0,-0,0,157.07964
1.8514618e-15,-6.4896481e-20,-2e-10,-6.5030827e-20,-2.3094011e-10,2.9082693e-13,157.07964
1.8514618e-15,-6.4896481e-20,-2e-10,-6.5030827e-20,-2.3094011e-10,2.9082693e-13,157.07964
7.5057035e-12,1.0198312e-14,-8.1078679e-07,-1.2922843e-16,-9.36216e-07,1.1789931e-09,157.07964
7.5057035e-12,1.0198312e-14,-8.1078679e-07,-1.2922843e-16,-9.36216e-07,1.1789931e-09,157.07964
3.4513926e-06,4.5941444e-05,-0.37252516,-0.00042049232,-0.43012834,0.00054214348,157.07964
3.4513926e-06,4.5941444e-05,-0.37252516,-0.00042049232,-0.43012834,0.00054214348,157.07964
4.9999999e-05,0.0057573812,-5.3357587,-0.090967767,-6.1572118,0.0078539746,157.07922
9.9999997e-05,0.024339436,-10.542709,-0.35761568,-12.154387,0.01570791,157.07803
0.00015000001,0.05776858,-15.623749,-0.79055601,-17.990133,0.023561765,157.07605
0.00019999999,0.10797381,-20.581659,-1.3805658,-23.663328,0.031415503,157.07333
0.00025000001,0.17681295,-25.419125,-2.1185691,-29.173111,0.039269086,157.06987
0.00030000001,0.26607421,-30.138731,-2.9956403,-34.518879,0.047122478,157.0657
0.00034999999,0.37747782,-34.74297,-4.0030065,-39.700279,0.054975647,157.06085
0.00039999999,0.51267761,-39.234241,-5.13205,-44.717205,0.062828556,157.05534
0.00044999999,0.67326254,-43.614864,-6.3743124,-49.569778,0.07068117,157.04918
0.00050000002,0.8607583,-47.887066,-7.7214947,-54.258366,0.078533463,157.04239
0.00055,1.0766286,-52.053001,-9.1654615,-58.78355,0.086385399,157.03499
0.00060000003,1.3222767,-56.114742,-10.698244,-63.146133,0.094236948,157.02702
0.00065,1.5990472,-60.074284,-12.312041,-67.34713,0.10208809,157.01849
0.00069999998,1.9082263,-63.933556,-13.999221,-71.387764,0.10993879,157.00941
0.00075000001,2.2510438,-67.694412,-15.752325,-75.269447,0.11778902,156.99983
0.00079999998,2.6286747,-71.358643,-17.56407,-78.993813,0.12563877,156.98975
0.00085000001,3.0422401,-74.927971,-19.427349,-82.562653,0.13348798,156.97919
0.00089999998,3.4928083,-78.404068,-21.335234,-85.977943,0.14133668,156.96815
0.00095000002,3.981396,-81.788528,-23.280973,-89.241859,0.14918479,156.95671
0.001,4.5089693,-85.082901,-25.258005,-92.356712,0.15703234,156.94484
