"Time","hbridge.vDC1","hbridge.iDC1","hbridge.vDC2","hbridge.iDC2","meanCurrent.y","meanVoltage.y","inductor.i"
0,100,0.0040000002,100,-0,0,0,0
9.9999997e-05,100,0.013950195,100,-0.0099501954,0,0,0.0099501954
0.00019999999,100,0.023801403,100,-0.019801402,0,0,0.019801402
0.00030000001,100,0.033554565,100,-0.029554565,0,0,0.029554565
0.00039999999,100,0.043210655,100,-0.039210655,0,0,0.039210655
0.00050000002,100,0.052770663,100,-0.048770662,0,0,0.048770662
0.00060000003,100,0.062235538,100,-0.058235537,0,0,0.058235537
0.00060000003,100,-0.054235537,-100,-0.058235537,0,0,0.058235537
0.00069999998,100,-0.043705888,-100,-0.047705885,0,0,0.047705885
0.00079999998,100,-0.033280984,-100,-0.037280984,0,0,0.037280984
0.00089999998,100,-0.02295984,-100,-0.026959838,0,0,0.026959838
0.001,100,-0.012741417,-100,-0.016741417,0,0,0.016741417
0.001,100,0.020741416,100,-0.016741417,0.032585826,20,0.016741417
0.0011,100,0.030525032,100,-0.026525032,0.032585826,20,0.026525032
0.0012000001,100,0.04021132,100,-0.036211319,0.032585826,20,0.036211319
0.0013,100,0.049801201,100,-0.0458012,0.032585826,20,0.0458012
0.0014,100,0.059295636,100,-0.055295635,0.032585826,20,0.055295635
0.0015,100,0.068695597,100,-0.064695597,0.032585826,20,0.064695597
0.0016,100,0.078002013,100,-0.074002013,0.032585826,20,0.074002013
0.0016,100,-0.070002012,-100,-0.074002013,0.032585826,20,0.074002013
0.0017,100,-0.059315484,-100,-0.063315481,0.032585826,20,0.063315481
0.0018,100,-0.048735261,-100,-0.052735262,0.032585826,20,0.052735262
0.0019,100,-0.038260344,-100,-0.042260345,0.032585826,20,0.042260345
0.0020000001,100,-0.027889678,-100,-0.031889677,0.032585826,20,0.031889677
0.0020000001,100,0.035889678,100,-0.031889677,0.048517369,19.999998,0.031889677
0.0020999999,100,0.045522567,100,-0.041522566,0.048517369,19.999998,0.041522566
0.0022,100,0.055059627,100,-0.051059626,0.048517369,19.999998,0.051059626
0.0023000001,100,0.064501762,100,-0.060501765,0.048517369,19.999998,0.060501765
0.0024000001,100,0.073849931,100,-0.069849931,0.048517369,19.999998,0.069849931
0.0024999999,100,0.083105072,100,-0.079105072,0.048517369,19.999998,0.079105072
0.0026,100,0.092268109,100,-0.088268116,0.048517369,19.999998,0.088268116
0.0026,100,-0.084268115,-100,-0.088268116,0.048517369,19.999998,0.088268116
0.0027000001,100,-0.073439628,-100,-0.077439629,0.048517369,19.999998,0.077439629
0.0027999999,100,-0.062718868,-100,-0.066718869,0.048517369,19.999998,0.066718869
0.0029,100,-0.052104812,-100,-0.056104813,0.048517369,19.999998,0.056104813
0.003,100,-0.041596394,-100,-0.045596395,0.048517369,19.999998,0.045596395
0.003,100,0.049596395,100,-0.045596395,0.062932827,19.999998,0.045596395
0.0031000001,100,0.059092898,100,-0.055092897,0.062932827,19.999998,0.055092897
0.0031999999,100,0.068494931,100,-0.06449493,0.062932827,19.999998,0.06449493
0.0033,100,0.077803388,100,-0.073803388,0.062932827,19.999998,0.073803388
0.0034,100,0.087019198,100,-0.083019197,0.062932827,19.999998,0.083019197
0.0035000001,100,0.096143305,100,-0.092143305,0.062932827,19.999998,0.092143305
0.0035999999,100,0.10517661,100,-0.10117661,0.062932827,19.999998,0.10117661
0.0035999999,100,-0.097176611,-100,-0.10117661,0.062932827,19.999998,0.10117661
0.0037,100,-0.086219691,-100,-0.090219691,0.062932827,19.999998,0.090219691
0.0038000001,100,-0.075371765,-100,-0.079371765,0.062932827,19.999998,0.079371765
0.0038999999,100,-0.064631812,-100,-0.068631813,0.062932827,19.999998,0.068631813
0.0040000002,100,-0.053998746,-100,-0.057998747,0.062932827,19.999998,0.057998747
0.0040000002,100,0.061998744,100,-0.057998747,0.075976476,19.999998,0.057998747
0.0041,100,0.071371846,100,-0.067371845,0.075976476,19.999998,0.067371845
0.0041999999,100,0.0806517,100,-0.0766517,0.075976476,19.999998,0.0766517
0.0043000001,100,0.089839198,100,-0.085839197,0.075976476,19.999998,0.085839197
0.0044,100,0.098935246,100,-0.094935246,0.075976476,19.999998,0.094935246
0.0044999998,100,0.10794079,100,-0.10394078,0.075976476,19.999998,0.10394078
0.0046000001,100,0.11685671,100,-0.11285671,0.075976476,19.999998,0.11285671
0.0046000001,100,0.11685671,100,-0.11285671,0.075976476,19.999998,0.11285671
0.0046000001,100,-0.10885671,-100,-0.11285671,0.075976476,19.999998,0.11285671
0.0046999999,100,-0.097783566,-100,-0.10178357,0.075976476,19.999998,0.10178357
0.0048000002,100,-0.08682058,-100,-0.090820581,0.075976476,19.999998,0.090820581
0.0049000001,100,-0.075966708,-100,-0.079966709,0.075976476,19.999998,0.079966709
