"Time","imc.is[2]","tauElectrical","imc.idq_sr[1]","loadInertia.w","loadInertia.phi","imc.idq_sr[2]","imc.is[1]","tauShaft","wMechanical","imc.idq_rr[1]","imc.idq_rr[2]"
16,-17.224648,-106.30727,-7.3740091,6.1076727,1673.8588,142.27548,131.08681,-85.045807,6.1076727,-20.59926,-123.45609
16.000999,-17.174103,-106.57758,-5.6958961,6.0342641,1673.8649,142.34644,131.06154,-85.26207,6.0342641,-22.130938,-123.00843
16.002001,-17.119686,-106.84468,-4.0419006,5.96067,1673.8708,142.39644,131.03433,-85.475746,5.96067,-23.632961,-122.54246
16.003,-17.061304,-107.10837,-2.4124358,5.8868928,1673.8768,142.42636,131.00514,-85.686699,5.8868928,-25.105059,-122.05906
16.004,-16.998859,-107.36845,-0.80789608,5.8129349,1673.8827,142.43703,130.97392,-85.89476,5.8129349,-26.546972,-121.55914
16.004999,-16.932253,-107.62473,0.77134377,5.7387991,1673.8884,142.42931,130.94061,-86.099785,5.7387991,-27.958469,-121.04356
16.006001,-16.861385,-107.87699,2.3249273,5.6644878,1673.8942,142.40401,130.90518,-86.301598,5.6644878,-29.339333,-120.5132
16.007,-16.786154,-108.12503,3.8525162,5.5900044,1673.8998,142.36198,130.86757,-86.500023,5.5900044,-30.689362,-119.96893
16.007999,-16.706459,-108.36861,5.3537903,5.5153513,1673.9053,142.30405,130.82771,-86.694893,5.5153513,-32.008381,-119.4116
16.009001,-16.622196,-108.60752,6.8284459,5.4405313,1673.9108,142.23105,130.78558,-86.886017,5.4405313,-33.296223,-118.84207
16.01,-16.53326,-108.84152,8.2761965,5.3655486,1673.9161,142.14378,130.74112,-87.073219,5.3655486,-34.552742,-118.26117
16.011,-16.439548,-109.07037,9.6967726,5.2904062,1673.9215,142.04306,130.69426,-87.256302,5.2904062,-35.777817,-117.66974
16.011999,-16.340952,-109.29382,11.089921,5.2151079,1673.9268,141.9297,130.64496,-87.435059,5.2151079,-36.971321,-117.06859
16.013,-16.237364,-109.51162,12.455401,5.1396575,1673.9319,141.80449,130.59317,-87.609299,5.1396575,-38.133167,-116.45853
16.014,-16.128675,-109.7235,13.792991,5.0640588,1673.937,141.66823,130.53882,-87.778801,5.0640588,-39.263268,-115.84036
16.014999,-16.014778,-109.9292,15.102482,4.9883165,1673.942,141.52168,130.48187,-87.943359,4.9883165,-40.361557,-115.21487
16.016001,-15.895561,-110.12843,16.383677,4.9124341,1673.947,141.36565,130.42227,-88.102745,4.9124341,-41.427975,-114.58283
16.017,-15.770915,-110.32092,17.636398,4.8364167,1673.9519,141.20085,130.35994,-88.256737,4.8364167,-42.462482,-113.94501
16.018,-15.640728,-110.50637,18.860476,4.7602692,1673.9567,141.02806,130.29485,-88.40509,4.7602692,-43.46505,-113.30215
