"time","inductor.i","meanCurrent.x","meanVoltage.x","rootMeanSquareVoltage.mean.x","meanCurrent.y","meanVoltage.y","pulsem.twomPulse.timerNegative[1].entryTime","pulsem.twomPulse.timerNegative[2].entryTime","pulsem.twomPulse.timerNegative[3].entryTime","pulsem.twomPulse.timerPositive[1].entryTime","pulsem.twomPulse.timerPositive[2].entryTime","pulsem.twomPulse.timerPositive[3].entryTime","rectifier.thyristor.idealThyristor[1].off","rectifier.thyristor.idealThyristor[2].off","rectifier.thyristor.idealThyristor[3].off","rootMeanSquareVoltage.mean.y"
0.029700000000000001,3.3924739157229356,0.010090939113528609,0.24538929773005444,23.634174260021283,2.8109688017336349,111.41410639784782,0.01166666666666703,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,0,1,1,14601.649240257288
0.0298,3.3919099339841097,0.010430162358197905,0.24660978088461449,23.649267120798676,2.8109688017336349,111.41410639784782,0.01166666666666703,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,0,1,1,14601.649240257288
0.029900000000000003,3.390859853739383,0.010769304898457677,0.24734255144508313,23.654834949463201,2.8109688017336349,111.41410639784782,0.01166666666666703,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,0,1,1,14601.649240257288
0.030000000000000002,3.389323923782301,0.011108318133784781,0.24758688619454355,23.655630760428931,2.8109688017336349,111.41410639784782,0.01166666666666703,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,0,1,1,14601.649240257288
0.03000000000001507,3.3893239237820332,0.011108318133835851,0.24758688619454353,23.655630760428927,2.8109688017336349,111.41410639784782,0.01166666666666703,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,0,1,1,14601.649240257288
0.03000000000001507,3.3893239237820332,0.011108318133835851,0.24758688619454353,23.655630760428927,2.8109688017336349,111.41410639784782,0.01166666666666703,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
0.030100000000000002,3.4011256387631579,0.011447838849807353,0.26117901549585354,25.503138760147824,2.8109688017336349,111.41410639784782,0.01166666666666703,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
0.030200000000000001,3.4131344816855069,0.011788550169829118,0.27500208481863736,27.413951064787721,2.8109688017336349,111.41410639784782,0.01166666666666703,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
0.030300000000000001,3.4253363909451742,0.012130472148862733,0.28904243365897664,29.385300078468283,2.8109688017336349,111.41410639784782,0.01166666666666703,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
0.0304,3.4377171443043819,0.012473623392284918,0.30328621188662858,31.414184474324529,2.8109688017336349,111.41410639784782,0.01166666666666703,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
0.030500000000000003,3.450262339797542,0.012818021056096016,0.31771936065601009,33.497370489600137,2.8109688017336349,111.41410639784782,0.01166666666666703,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
0.030600000000000002,3.4629574185146481,0.013163680855420612,0.33232763535960846,35.631411425100623,2.8109688017336349,111.41410639784782,0.01166666666666703,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
