"Time","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","loadInertia.w","loadInertiaQS.w","loadInertiaQS.phi","loadInertia.phi","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","imcQS.rotorCage.port_p.reference.gamma","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re"
2,0.12831283,0.015946077,129.8611,130.78711,151.36919,146.95238,0.12108966,325.58014,0.24208692
2.0000999,0.1276363,0.027502188,129.86241,130.83208,151.38228,146.96536,0.12177306,325.58539,0.23434943
2.0002,0.12692402,0.038790587,129.86362,130.877,151.39536,146.97835,0.12241571,325.59064,0.22628644
2.0002999,0.12617564,0.049801894,129.86473,130.92189,151.40845,146.99133,0.12301861,325.59589,0.21790576
2.0004001,0.12539081,0.060526926,129.8658,130.96677,151.42154,147.00432,0.12358277,325.6011,0.20921551
2.0005,0.12456921,0.070955887,129.86684,131.0116,151.43465,147.0173,0.1241093,325.60632,0.20022477
2.0006001,0.12371052,0.081079587,129.86789,131.0564,151.44774,147.03029,0.12459927,325.61154,0.19094284
2.0007,0.12281451,0.090889364,129.86897,131.10117,151.46085,147.04327,0.12505376,325.61673,0.18137923
2.0007999,0.1218809,0.10037652,129.87012,131.1459,151.47397,147.05627,0.12547384,325.62192,0.17154354
2.0009,0.12090948,0.10953259,129.87134,131.19061,151.48708,147.06926,0.12586059,325.62711,0.16144559
2.0009999,0.11990007,0.11834975,129.87268,131.23529,151.5002,147.08224,0.12621509,325.63229,0.15109561
2.0011001,0.11885249,0.12682019,129.87416,131.27992,151.51334,147.09523,0.1265384,325.63745,0.14050387
2.0012,0.11776664,0.13493703,129.87581,131.32454,151.52646,147.10822,0.12683159,325.64261,0.1296813
2.0013001,0.11664239,0.14269283,129.87764,131.36911,151.5396,147.1212,0.12709574,325.64774,0.11863848
2.0014,0.11547967,0.15008144,129.87968,131.41365,151.55273,147.13419,0.12733191,325.65289,0.10738681
2.0014999,0.11427841,0.15709616,129.88196,131.45816,151.56587,147.14719,0.12754118,325.65802,0.095937327
2.0016,0.11303861,0.1637314,129.88449,131.50264,151.57903,147.16017,0.12772462,325.66315,0.084301755
2.0016999,0.11176025,0.16998127,129.88728,131.54707,151.59218,147.17316,0.12788326,325.66824,0.072491579
2.0018001,0.11044335,0.17584084,129.89038,131.59149,151.60533,147.18614,0.12801817,325.67334,0.060518753
2.0019,0.10908797,0.1813051,129.89378,131.63586,151.6185,147.19914,0.12813041,325.67844,0.048395228
2.0020001,0.10769418,0.18636948,129.89752,131.68021,151.63167,147.21213,0.12822102,325.68353,0.036133159
2.0021,0.10626207,0.19103016,129.90161,131.72452,151.64484,147.22511,0.12829103,325.6886,0.023744907
2.0021999,0.10479179,0.19528335,129.90605,131.76878,151.658,147.2381,0.12834147,325.69366,0.011242975
2.0023,0.10328348,0.19912572,129.91087,131.81302,151.67119,147.2511,0.12837338,325.69873,-0.0013599496
2.0023999,0.10173731,0.20255442,129.91609,131.85722,151.68437,147.26408,0.12838778,325.70377,-0.014051456
2.0025001,0.10015348,0.20556691,129.92172,131.9014,151.69756,147.27708,0.12838566,325.7088,-0.026818702
2.0026,0.098532222,0.20816109,129.92776,131.94553,151.71075,147.29007,0.12836803,325.71384,-0.039648701
2.0027001,0.096873768,0.21033521,129.93423,131.98962,151.72395,147.30307,0.12833589,325.71887,-0.052528705
2.0028,0.095178381,0.21208799,129.94115,132.03369,151.73715,147.31606,0.12829021,325.72388,-0.065445878
2.0028999,0.093446366,0.21341847,129.94852,132.07771,151.75035,147.32906,0.12823196,325.72888,-0.078387052
2.003,0.091678023,0.21432613,129.95634,132.1217,151.76357,147.34204,0.12816212,325.73389,-0.091339253
2.0030999,0.089873679,0.21481088,129.96463,132.16565,151.77678,147.35504,0.12808159,325.73886,-0.10428969
2.0032001,0.088033698,0.21487299,129.9734,132.20958,151.78999,147.36804,0.12799136,325.74384,-0.11722513
2.0033,0.086158454,0.21451312,129.98265,132.25346,151.80322,147.38104,0.12789233,325.74881,-0.13013254
2.0034001,0.084248327,0.21373242,129.99239,132.2973,151.81645,147.39404,0.12778541,325.75378,-0.14299923
2.0035,0.08230374,0.21253236,130.00261,132.34111,151.82968,147.40704,0.12767151,325.75873,-0.15581203
2.0035999,0.080325134,0.21091484,130.01332,132.38489,151.84291,147.42004,0.12755151,325.76367,-0.16855793
2.0037,0.078312948,0.20888215,130.02454,132.42862,151.85616,147.43304,0.12742627,325.76862,-0.18122444
2.0037999,0.076267667,0.20643702,130.03625,132.47232,151.8694,147.44604,0.12729666,325.77353,-0.19379862
2.0039001,0.074189775,0.20358256,130.04846,132.51598,151.88264,147.45905,0.12716353,325.77844,-0.20626764
2.0039999,0.072079785,0.20032221,130.06117,132.5596,151.8959,147.47205,0.12702771,325.78336,-0.21861909
2.0041001,0.06993822,0.19665988,130.07437,132.60318,151.90916,147.48506,0.12688999,325.78827,-0.23084052
2.0042,0.067765616,0.19259985,130.08807,132.64673,151.92242,147.49806,0.12675118,325.79315,-0.24291952
2.0043001,0.065562539,0.18814676,130.10226,132.69023,151.93568,147.51108,0.12661207,325.79803,-0.25484386
2.0044,0.06332957,0.18330562,130.11694,132.7337,151.94896,147.52409,0.12647341,325.80292,-0.26660156
2.0044999,0.061067283,0.17808187,130.13211,132.77715,151.96223,147.53709,0.12633596,325.80777,-0.27818069
2.0046,0.058776293,0.17248125,130.14775,132.82053,151.97552,147.55011,0.12620044,325.81262,-0.28956956
2.0046999,0.056457218,0.1665099,130.16386,132.86389,151.9888,147.56313,0.12606758,325.81747,-0.3007566
2.0048001,0.054110691,0.1601743,130.18045,132.9072,152.00209,147.57614,0.12593806,325.82233,-0.31173047
2.0049,0.051737353,0.1534813,130.19749,132.95047,152.01538,147.58917,0.12581256,325.82715,-0.32248008
2.0050001,0.049337871,0.14643808,130.21498,132.99371,152.02869,147.60219,0.12569176,325.83197,-0.33299443
2.0051,0.046912916,0.13905217,130.23293,133.03691,152.04198,147.6152,0.12557627,325.83679,-0.34326285
2.0051999,0.044463169,0.13133141,130.2513,133.08006,152.05528,147.62823,0.12546675,325.84158,-0.35327488
2.0053,0.041989326,0.12328399,130.27008,133.12318,152.0686,147.64127,0.1253638,325.84637,-0.3630203
2.0053999,0.039492093,0.11491839,130.28929,133.16626,152.08191,147.65428,0.12526798,325.85117,-0.37248915
2.0055001,0.036972184,0.10624342,130.3089,133.20929,152.09523,147.66731,0.1251799,325.85596,-0.3816717
2.0056,0.034430332,0.097268179,130.32889,133.25229,152.10855,147.68034,0.12510008,325.86072,-0.39055851
2.0057001,0.031867266,0.088002041,130.34926,133.29524,152.12189,147.69339,0.12502906,325.86548,-0.39914051
2.0058,0.029283732,0.078454696,130.36998,133.33817,152.13521,147.70642,0.12496734,325.87024,-0.40740883
2.0058999,0.026680486,0.068636075,130.39107,133.38104,152.14854,147.71945,0.12491544,325.87497,-0.41535491
2.006,0.024058286,0.058556374,130.41248,133.42387,152.1619,147.7325,0.12487381,325.8797,-0.42297053
2.0060999,0.021417899,0.048226062,130.43422,133.46666,152.17523,147.74554,0.12484291,325.88443,-0.43024781
2.0062001,0.018760098,0.037655838,130.45625,133.50941,152.18858,147.75859,0.12482318,325.88916,-0.43717921
2.0063,0.016085666,0.02685662,130.47859,133.55212,152.20193,147.77164,0.12481501,325.89386,-0.44375739
2.0064001,0.013395388,0.015839566,130.50119,133.59479,152.21529,147.78468,0.12481882,325.89856,-0.44997552
2.0065,0.010690054,0.0046160482,130.52405,133.63741,152.22865,147.79773,0.12483497,325.90326,-0.45582706
2.0065999,0.0079704598,-0.0068023885,130.54715,133.67999,152.24202,147.81079,0.12486382,325.90793,-0.46130577
2.0067,0.0052374061,-0.018403983,130.57048,133.72253,152.25539,147.82384,0.12490569,325.91263,-0.46640581
2.0067999,0.0024916956,-0.030176798,130.59401,133.76503,152.26877,147.8369,0.12496091,325.9173,-0.47112179
2.0069001,-0.00026586585,-0.042108752,130.61772,133.80748,152.28215,147.84996,0.12502977,325.92194,-0.47544852
2.007,-0.0030344692,-0.054187596,130.64162,133.84988,152.29553,147.86302,0.12511253,325.92661,-0.47938132
2.0071001,-0.0058133039,-0.06640093,130.66565,133.89226,152.30891,147.87608,0.12520947,325.93124,-0.48291591
2.0072,-0.0086015584,-0.078736231,130.68983,133.93459,152.32231,147.88916,0.12532079,325.93585,-0.48604825
2.0072999,-0.011398418,-0.091180868,130.71413,133.97687,152.33571,147.90222,0.12544674,325.94049,-0.48877484
2.0074,-0.014203072,-0.10372209,130.73851,134.0191,152.34911,147.9153,0.12558748,325.9451,-0.49109253
2.0074999,-0.017014705,-0.11634705,130.76297,134.06129,152.3625,147.92838,0.12574321,325.94971,-0.49299851
2.0076001,-0.019832503,-0.12904285,130.78751,134.10344,152.37592,147.94145,0.12591407,325.95432,-0.49449044
2.0077,-0.022655657,-0.14179647,130.81206,134.14555,152.38933,147.95453,0.12610018,325.95889,-0.49556637
2.0078001,-0.025483357,-0.15459488,130.83665,134.18761,152.40274,147.96762,0.12630169,325.9635,-0.49622476
2.0079,-0.028314792,-0.16742501,130.86124,134.22963,152.41617,147.9807,0.12651868,325.96805,-0.4964644
2.0079999,-0.031149156,-0.1802737,130.8858,134.27161,152.42958,147.99379,0.12675123,325.97263,-0.4962846
2.0081,-0.033985652,-0.19312783,130.91034,134.31352,152.44302,148.00688,0.12699938,325.97717,-0.49568504
2.0081999,-0.036823474,-0.20597427,130.93483,134.35541,152.45645,148.01997,0.12726319,325.98172,-0.49466574
2.0083001,-0.039661832,-0.21879987,130.95923,134.39725,152.46989,148.03307,0.12754266,325.98627,-0.49322721
2.0084,-0.04249993,-0.23159152,130.98355,134.43904,152.48334,148.04616,0.12783781,325.99081,-0.49137035
2.0085001,-0.045336988,-0.24433613,131.00775,134.48079,152.49678,148.05927,0.1281486,325.99533,-0.48909646
2.0086,-0.048172217,-0.25702068,131.03183,134.52248,152.51022,148.07236,0.12847503,325.99985,-0.48640725
2.0086999,-0.051004853,-0.26963216,131.05576,134.56413,152.52368,148.08546,0.12881699,326.00436,-0.48330486
2.0088,-0.053834118,-0.28215769,131.07951,134.60574,152.53714,148.09857,0.12917446,326.00885,-0.47979173
2.0088999,-0.056659251,-0.29458442,131.10309,134.64731,152.5506,148.11168,0.12954731,326.01334,-0.47587085
2.0090001,-0.059479501,-0.30689967,131.12646,134.68883,152.56407,148.12479,0.12993547,326.01782,-0.47154549
2.0091,-0.062294118,-0.31909078,131.14961,134.73029,152.57755,148.13791,0.13033879,326.02231,-0.46681941
2.0092001,-0.065102361,-0.33114526,131.17253,134.77171,152.59102,148.15102,0.13075714,326.02676,-0.46169665
2.0093,-0.067903504,-0.34305072,131.19521,134.81308,152.60449,148.16414,0.13119034,326.03122,-0.45618176
2.0093999,-0.070696816,-0.35479498,131.21761,134.85442,152.61798,148.17726,0.13163824,326.03568,-0.45027956
2.0095,-0.073481582,-0.36636597,131.23972,134.89569,152.63147,148.19038,0.13210064,326.0401,-0.44399533
2.0095999,-0.07625711,-0.37775177,131.26154,134.93694,152.64496,148.20351,0.13257733,326.04456,-0.43733469
2.0097001,-0.079022691,-0.38894066,131.28302,134.97812,152.65845,148.21664,0.13306808,326.04898,-0.43030363
2.0098,-0.081777647,-0.39992115,131.3042,135.01926,152.67195,148.22977,0.13357267,326.05338,-0.42290851
2.0099001,-0.084521301,-0.4106819,131.32501,135.06033,152.68546,148.2429,0.13409083,326.0578,-0.41515601
2.01,-0.087252989,-0.42121181,131.34547,135.10138,152.69896,148.25603,0.13462229,326.06219,-0.40705326
2.0100999,-0.089972064,-0.43149999,131.36555,135.14238,152.71248,148.26917,0.13516678,326.06659,-0.39860761
2.0102,-0.092677884,-0.44153577,131.38527,135.18332,152.726,148.2823,0.13572399,326.07098,-0.3898268
2.0102999,-0.095369808,-0.45130879,131.40457,135.22421,152.73952,148.29544,0.13629363,326.07535,-0.38071892
2.0104001,-0.098047234,-0.46080887,131.42346,135.26506,152.75304,148.30858,0.13687536,326.07971,-0.37129235
2.0105,-0.10070955,-0.47002614,131.44193,135.30586,152.76657,148.32173,0.13746883,326.08408,-0.36155578
2.0106001,-0.10335617,-0.47895101,131.45996,135.3466,152.78011,148.33487,0.13807371,326.08841,-0.35151827
2.0107,-0.1059865,-0.48757413,131.47755,135.38731,152.79364,148.34802,0.13868964,326.09277,-0.34118906
2.0107999,-0.10859998,-0.4958865,131.49469,135.42796,152.80717,148.36118,0.13931623,326.09711,-0.33057776
2.0109,-0.11119606,-0.50387937,131.51137,135.46857,152.82072,148.37431,0.13995311,326.10141,-0.31969425
2.0109999,-0.1137742,-0.51154441,131.52757,135.50911,152.83427,148.38747,0.14059986,326.10574,-0.30854866
2.0111001,-0.11633388,-0.51887339,131.54329,135.54961,152.84782,148.40062,0.14125608,326.11005,-0.29715133
2.0112,-0.11887458,-0.52585864,131.55853,135.59006,152.86137,148.41377,0.14192137,326.11435,-0.28551298
2.0113001,-0.1213958,-0.53249276,131.57327,135.63046,152.87494,148.42694,0.14259528,326.11865,-0.27364445
2.0114,-0.12389706,-0.53876853,131.58751,135.67081,152.8885,148.44009,0.14327738,326.12292,-0.2615568
2.0114999,-0.1263779,-0.54467934,131.60124,135.71111,152.90207,148.45325,0.14396721,326.1272,-0.24926142
2.0116,-0.12883785,-0.55021876,131.61446,135.75136,152.91565,148.46642,0.14466433,326.13147,-0.23676983
2.0116999,-0.13127649,-0.55538076,131.62717,135.79155,152.92923,148.47958,0.14536826,326.13574,-0.22409369
2.0118001,-0.13369338,-0.56015974,131.63934,135.8317,152.94281,148.49274,0.14607854,326.13998,-0.21124496
2.0118999,-0.13608813,-0.56455034,131.651,135.8718,152.95639,148.50591,0.14679468,326.14426,-0.19823569
2.0120001,-0.13846032,-0.56854773,131.66214,135.91183,152.96999,148.51907,0.14751619,326.14847,-0.1850781
2.0121,-0.1408096,-0.57214731,131.67274,135.95183,152.98358,148.53224,0.14824258,326.15271,-0.17178459
2.0122001,-0.14313559,-0.5753451,131.68282,135.99178,152.99718,148.54541,0.14897335,326.15692,-0.15836768
2.0123,-0.14543796,-0.57813722,131.69237,136.03166,153.01077,148.55858,0.14970797,326.16113,-0.14483999
2.0123999,-0.14771634,-0.58052039,131.70139,136.0715,153.02438,148.57175,0.15044595,326.16534,-0.13121428
2.0125,-0.14997047,-0.5824917,131.70987,136.11128,153.03798,148.58492,0.15118676,326.16956,-0.11750338
2.0125999,-0.15220001,-0.58404857,131.71782,136.15102,153.05161,148.59808,0.15192989,326.17374,-0.10372026
2.0127001,-0.15440468,-0.58518887,131.72527,136.19069,153.06522,148.61125,0.15267479,326.17792,-0.089877896
2.0128,-0.15658425,-0.58591086,131.73216,136.23032,153.07884,148.62444,0.15342094,326.1821,-0.075989366
2.0129001,-0.15873842,-0.58621329,131.73856,136.26988,153.09247,148.6376,0.15416782,326.18625,-0.062067796
2.013,-0.16086698,-0.58609521,131.74443,136.3094,153.10609,148.65077,0.15491486,326.19043,-0.048126325
2.0130999,-0.16296971,-0.58555615,131.74979,136.34888,153.11972,148.66396,0.15566152,326.19458,-0.03417813
2.0132,-0.16504639,-0.58459598,131.75465,136.38829,153.13336,148.67712,0.1564073,326.1987,-0.020236399
2.0132999,-0.16709685,-0.58321506,131.759,136.42764,153.147,148.69031,0.15715159,326.20285,-0.0063143107
2.0134001,-0.16912091,-0.5814141,131.76286,136.46695,153.16064,148.70348,0.1578939,326.20697,0.0075749718
2.0135,-0.17111841,-0.57919425,131.76624,136.50621,153.1743,148.71666,0.15863365,326.21109,0.021418311
2.0136001,-0.17308922,-0.57655716,131.76913,136.54541,153.18794,148.72983,0.1593703,326.21521,0.035202611
2.0137,-0.1750332,-0.57350469,131.77155,136.58455,153.2016,148.74301,0.16010331,326.2193,0.048914839
2.0137999,-0.17695025,-0.57003927,131.7735,136.62364,153.21527,148.7562,0.16083211,326.22339,0.062542014
2.0139,-0.17884026,-0.56616366,131.77501,136.66267,153.22893,148.76936,0.16155615,326.22748,0.076071255
2.0139999,-0.18070319,-0.56188101,131.77606,136.70166,153.2426,148.78255,0.16227491,326.23157,0.089489751
2.0141001,-0.18253894,-0.55719495,131.77669,136.74059,153.25627,148.79572,0.16298783,326.23563,0.10278481
2.0142,-0.18434748,-0.55210942,131.77689,136.77945,153.26994,148.8089,0.16369437,326.23972,0.11594386
2.0143001,-0.18612877,-0.54662883,131.77669,136.81827,153.28363,148.82208,0.16439398,326.24374,0.12895446
2.0144,-0.18788278,-0.54075789,131.77608,136.85703,153.2973,148.83525,0.16508611,326.2478,0.14180428
2.0144999,-0.18960951,-0.53450173,131.77507,136.89574,153.311,148.84843,0.16577025,326.25183,0.15448119
2.0146,-0.19130901,-0.52786589,131.77371,136.93439,153.32469,148.8616,0.16644585,326.25589,0.1669732
