"Time","vC[2]","iL[1]","iL[2]","vC[3]","vC[1]","iL[3]"
0,15.915494,15.915494,15.915494,15.915494,15.915494,15.915494
0.00019999999,15.886204,15.886204,15.886204,15.886204,15.886204,15.886204
0.00039999999,15.856967,15.856967,15.856967,15.856967,15.856967,15.856967
0.00060000003,15.827785,15.827785,15.827785,15.827785,15.827785,15.827785
0.00079999998,15.798656,15.798656,15.798656,15.798656,15.798656,15.798656
0.001,15.76958,15.76958,15.76958,15.76958,15.76958,15.76958
0.0012000001,15.740559,15.740559,15.740559,15.740559,15.740559,15.740559
0.0014,15.71159,15.71159,15.71159,15.71159,15.71159,15.71159
0.0016,15.682674,15.682674,15.682674,15.682674,15.682674,15.682674
0.0018,15.653812,15.653812,15.653812,15.653812,15.653812,15.653812
0.0020000001,15.625004,15.625004,15.625004,15.625004,15.625004,15.625004
0.0022,15.596248,15.596248,15.596248,15.596248,15.596248,15.596248
0.0024000001,15.567545,15.567545,15.567545,15.567545,15.567545,15.567545
0.0026,15.538895,15.538895,15.538895,15.538895,15.538895,15.538895
0.0027999999,15.510298,15.510298,15.510298,15.510298,15.510298,15.510298
0.003,15.481753,15.481753,15.481753,15.481753,15.481753,15.481753
0.0031999999,15.45326,15.45326,15.45326,15.45326,15.45326,15.45326
0.0034,15.424821,15.424821,15.424821,15.424821,15.424821,15.424821
0.0035999999,15.396434,15.396434,15.396434,15.396434,15.396434,15.396434
0.0038000001,15.368098,15.368098,15.368098,15.368098,15.368098,15.368098
0.0040000002,15.339815,15.339815,15.339815,15.339815,15.339815,15.339815
0.0041999999,15.311584,15.311584,15.311584,15.311584,15.311584,15.311584
0.0044,15.283405,15.283405,15.283405,15.283405,15.283405,15.283405
0.0046000001,15.255279,15.255279,15.255279,15.255279,15.255279,15.255279
0.0048000002,15.227202,15.227202,15.227202,15.227202,15.227202,15.227202
0.0049999999,15.199179,15.199179,15.199179,15.199179,15.199179,15.199179
0.0052,15.171206,15.171206,15.171206,15.171206,15.171206,15.171206
0.0054000001,15.143287,15.143287,15.143287,15.143287,15.143287,15.143287
0.0055999998,15.115417,15.115417,15.115417,15.115417,15.115417,15.115417
0.0057999999,15.087599,15.087599,15.087599,15.087599,15.087599,15.087599
0.0060000001,15.059833,15.059833,15.059833,15.059833,15.059833,15.059833
0.0062000002,15.032117,15.032117,15.032117,15.032117,15.032117,15.032117
0.0063999998,15.004452,15.004452,15.004452,15.004452,15.004452,15.004452
0.0066,14.976838,14.976838,14.976838,14.976838,14.976838,14.976838
0.0068000001,14.949275,14.949275,14.949275,14.949275,14.949275,14.949275
0.0070000002,14.921762,14.921762,14.921762,14.921762,14.921762,14.921762
0.0071999999,14.894301,14.894301,14.894301,14.894301,14.894301,14.894301
0.0074,14.86689,14.86689,14.86689,14.86689,14.86689,14.86689
0.0076000001,14.839529,14.839529,14.839529,14.839529,14.839529,14.839529
0.0077999998,14.81222,14.81222,14.81222,14.81222,14.81222,14.81222
0.0080000004,14.784959,14.784959,14.784959,14.784959,14.784959,14.784959
0.0082,14.75775,14.75775,14.75775,14.75775,14.75775,14.75775
0.0083999997,14.73059,14.73059,14.73059,14.73059,14.73059,14.73059
0.0086000003,14.70348,14.70348,14.70348,14.70348,14.70348,14.70348
0.0088,14.67642,14.67642,14.67642,14.67642,14.67642,14.67642
0.0089999996,14.64941,14.64941,14.64941,14.64941,14.64941,14.64941
0.0092000002,14.62245,14.62245,14.62245,14.62245,14.62245,14.62245
0.0093999999,14.595539,14.595539,14.595539,14.595539,14.595539,14.595539
0.0096000005,14.568678,14.568678,14.568678,14.568678,14.568678,14.568678
0.0098000001,14.541865,14.541865,14.541865,14.541865,14.541865,14.541865
0.0099999998,14.515103,14.515103,14.515103,14.515103,14.515103,14.515103
0.0102,14.48839,14.48839,14.48839,14.48839,14.48839,14.48839
0.0104,14.461726,14.461726,14.461726,14.461726,14.461726,14.461726
0.0106,14.435111,14.435111,14.435111,14.435111,14.435111,14.435111
0.0108,14.408545,14.408545,14.408545,14.408545,14.408545,14.408545
0.011,14.382028,14.382028,14.382028,14.382028,14.382028,14.382028
0.0112,14.355559,14.355559,14.355559,14.355559,14.355559,14.355559
0.0114,14.329141,14.329141,14.329141,14.329141,14.329141,14.329141
0.0116,14.30277,14.30277,14.30277,14.30277,14.30277,14.30277
0.0118,14.276446,14.276446,14.276446,14.276446,14.276446,14.276446
0.012,14.250173,14.250173,14.250173,14.250173,14.250173,14.250173
0.0122,14.223948,14.223948,14.223948,14.223948,14.223948,14.223948
0.0124,14.19777,14.19777,14.19777,14.19777,14.19777,14.19777
0.0126,14.17164,14.17164,14.17164,14.17164,14.17164,14.17164
0.0128,14.145559,14.145559,14.145559,14.145559,14.145559,14.145559
0.013,14.119527,14.119527,14.119527,14.119527,14.119527,14.119527
0.0132,14.093541,14.093541,14.093541,14.093541,14.093541,14.093541
0.0134,14.067604,14.067604,14.067604,14.067604,14.067604,14.067604
0.0136,14.041715,14.041715,14.041715,14.041715,14.041715,14.041715
0.0138,14.015872,14.015872,14.015872,14.015872,14.015872,14.015872
0.014,13.990078,13.990078,13.990078,13.990078,13.990078,13.990078
0.0142,13.964331,13.964331,13.964331,13.964331,13.964331,13.964331
0.0144,13.938631,13.938631,13.938631,13.938631,13.938631,13.938631
0.0146,13.912979,13.912979,13.912979,13.912979,13.912979,13.912979
0.0148,13.887374,13.887374,13.887374,13.887374,13.887374,13.887374
0.015,13.861816,13.861816,13.861816,13.861816,13.861816,13.861816
0.0152,13.836306,13.836306,13.836306,13.836306,13.836306,13.836306
0.0154,13.810842,13.810842,13.810842,13.810842,13.810842,13.810842
0.0156,13.785424,13.785424,13.785424,13.785424,13.785424,13.785424
0.015799999,13.760054,13.760054,13.760054,13.760054,13.760054,13.760054
0.016000001,13.73473,13.73473,13.73473,13.73473,13.73473,13.73473
0.0162,13.709454,13.709454,13.709454,13.709454,13.709454,13.709454
0.0164,13.684222,13.684222,13.684222,13.684222,13.684222,13.684222
0.0166,13.659039,13.659039,13.659039,13.659039,13.659039,13.659039
0.016799999,13.633901,13.633901,13.633901,13.633901,13.633901,13.633901
0.017000001,13.608809,13.608809,13.608809,13.608809,13.608809,13.608809
0.017200001,13.583764,13.583764,13.583764,13.583764,13.583764,13.583764
0.0174,13.558765,13.558765,13.558765,13.558765,13.558765,13.558765
0.0176,13.533812,13.533812,13.533812,13.533812,13.533812,13.533812
0.0178,13.508904,13.508904,13.508904,13.508904,13.508904,13.508904
0.017999999,13.484043,13.484043,13.484043,13.484043,13.484043,13.484043
0.018200001,13.459228,13.459228,13.459228,13.459228,13.459228,13.459228
0.0184,13.434458,13.434458,13.434458,13.434458,13.434458,13.434458
0.0186,13.409733,13.409733,13.409733,13.409733,13.409733,13.409733
0.0188,13.385055,13.385055,13.385055,13.385055,13.385055,13.385055
0.018999999,13.36042,13.36042,13.36042,13.36042,13.36042,13.36042
0.019200001,13.335833,13.335833,13.335833,13.335833,13.335833,13.335833
0.019400001,13.31129,13.31129,13.31129,13.31129,13.31129,13.31129
0.0196,13.286792,13.286792,13.286792,13.286792,13.286792,13.286792
0.0198,13.26234,13.26234,13.26234,13.26234,13.26234,13.26234
0.02,13.237931,13.237931,13.237931,13.237931,13.237931,13.237931
0.020199999,13.213569,13.213569,13.213569,13.213569,13.213569,13.213569
0.020400001,13.189251,13.189251,13.189251,13.189251,13.189251,13.189251
0.0206,13.164978,13.164978,13.164978,13.164978,13.164978,13.164978
0.0208,13.140749,13.140749,13.140749,13.140749,13.140749,13.140749
0.021,13.116566,13.116566,13.116566,13.116566,13.116566,13.116566
0.021199999,13.092426,13.092426,13.092426,13.092426,13.092426,13.092426
0.021400001,13.068331,13.068331,13.068331,13.068331,13.068331,13.068331
0.021600001,13.044281,13.044281,13.044281,13.044281,13.044281,13.044281
0.0218,13.020274,13.020274,13.020274,13.020274,13.020274,13.020274
0.022,12.996312,12.996312,12.996312,12.996312,12.996312,12.996312
0.0222,12.972394,12.972394,12.972394,12.972394,12.972394,12.972394
0.022399999,12.94852,12.94852,12.94852,12.94852,12.94852,12.94852
0.022600001,12.92469,12.92469,12.92469,12.92469,12.92469,12.92469
0.0228,12.900904,12.900904,12.900904,12.900904,12.900904,12.900904
0.023,12.877161,12.877161,12.877161,12.877161,12.877161,12.877161
0.0232,12.853462,12.853462,12.853462,12.853462,12.853462,12.853462
0.023399999,12.829807,12.829807,12.829807,12.829807,12.829807,12.829807
0.023600001,12.806195,12.806195,12.806195,12.806195,12.806195,12.806195
0.023800001,12.782627,12.782627,12.782627,12.782627,12.782627,12.782627
0.024,12.759103,12.759103,12.759103,12.759103,12.759103,12.759103
0.0242,12.735621,12.735621,12.735621,12.735621,12.735621,12.735621
0.0244,12.712183,12.712183,12.712183,12.712183,12.712183,12.712183
0.024599999,12.688787,12.688787,12.688787,12.688787,12.688787,12.688787
0.024800001,12.665436,12.665436,12.665436,12.665436,12.665436,12.665436
0.025,12.642126,12.642126,12.642126,12.642126,12.642126,12.642126
0.0252,12.61886,12.61886,12.61886,12.61886,12.61886,12.61886
0.0254,12.595637,12.595637,12.595637,12.595637,12.595637,12.595637
0.025599999,12.572456,12.572456,12.572456,12.572456,12.572456,12.572456
0.025800001,12.549318,12.549318,12.549318,12.549318,12.549318,12.549318
0.026000001,12.526223,12.526223,12.526223,12.526223,12.526223,12.526223
0.0262,12.50317,12.50317,12.50317,12.50317,12.50317,12.50317
0.0264,12.48016,12.48016,12.48016,12.48016,12.48016,12.48016
0.0266,12.457191,12.457191,12.457191,12.457191,12.457191,12.457191
0.026799999,12.434265,12.434265,12.434265,12.434265,12.434265,12.434265
0.027000001,12.411382,12.411382,12.411382,12.411382,12.411382,12.411382
0.0272,12.38854,12.38854,12.38854,12.38854,12.38854,12.38854
0.0274,12.365741,12.365741,12.365741,12.365741,12.365741,12.365741
0.0276,12.342983,12.342983,12.342983,12.342983,12.342983,12.342983
0.027799999,12.320268,12.320268,12.320268,12.320268,12.320268,12.320268
0.028000001,12.297593,12.297593,12.297593,12.297593,12.297593,12.297593
0.028200001,12.274961,12.274961,12.274961,12.274961,12.274961,12.274961
0.0284,12.252371,12.252371,12.252371,12.252371,12.252371,12.252371
0.0286,12.229822,12.229822,12.229822,12.229822,12.229822,12.229822
0.0288,12.207314,12.207314,12.207314,12.207314,12.207314,12.207314
0.028999999,12.184849,12.184849,12.184849,12.184849,12.184849,12.184849
0.029200001,12.162424,12.162424,12.162424,12.162424,12.162424,12.162424
0.0294,12.14004,12.14004,12.14004,12.14004,12.14004,12.14004
0.0296,12.117699,12.117699,12.117699,12.117699,12.117699,12.117699
0.0298,12.095397,12.095397,12.095397,12.095397,12.095397,12.095397
0.029999999,12.073137,12.073137,12.073137,12.073137,12.073137,12.073137
0.030200001,12.050918,12.050918,12.050918,12.050918,12.050918,12.050918
0.030400001,12.02874,12.02874,12.02874,12.02874,12.02874,12.02874
0.0306,12.006602,12.006602,12.006602,12.006602,12.006602,12.006602
0.0308,11.984506,11.984506,11.984506,11.984506,11.984506,11.984506
0.030999999,11.96245,11.96245,11.96245,11.96245,11.96245,11.96245
0.031199999,11.940434,11.940434,11.940434,11.940434,11.940434,11.940434
0.031399999,11.91846,11.91846,11.91846,11.91846,11.91846,11.91846
0.031599998,11.896525,11.896525,11.896525,11.896525,11.896525,11.896525
0.031800002,11.874631,11.874631,11.874631,11.874631,11.874631,11.874631
0.032000002,11.852777,11.852777,11.852777,11.852777,11.852777,11.852777
0.032200001,11.830964,11.830964,11.830964,11.830964,11.830964,11.830964
0.032400001,11.809191,11.809191,11.809191,11.809191,11.809191,11.809191
0.032600001,11.787457,11.787457,11.787457,11.787457,11.787457,11.787457
0.0328,11.765764,11.765764,11.765764,11.765764,11.765764,11.765764
0.033,11.74411,11.74411,11.74411,11.74411,11.74411,11.74411
0.033199999,11.722497,11.722497,11.722497,11.722497,11.722497,11.722497
0.033399999,11.700923,11.700923,11.700923,11.700923,11.700923,11.700923
0.033599999,11.679389,11.679389,11.679389,11.679389,11.679389,11.679389
0.033799998,11.657895,11.657895,11.657895,11.657895,11.657895,11.657895
0.034000002,11.63644,11.63644,11.63644,11.63644,11.63644,11.63644
0.034200002,11.615025,11.615025,11.615025,11.615025,11.615025,11.615025
0.034400001,11.593649,11.593649,11.593649,11.593649,11.593649,11.593649
0.034600001,11.572312,11.572312,11.572312,11.572312,11.572312,11.572312
0.0348,11.551015,11.551015,11.551015,11.551015,11.551015,11.551015
0.035,11.529757,11.529757,11.529757,11.529757,11.529757,11.529757
0.0352,11.508537,11.508537,11.508537,11.508537,11.508537,11.508537
0.035399999,11.487357,11.487357,11.487357,11.487357,11.487357,11.487357
0.035599999,11.466216,11.466216,11.466216,11.466216,11.466216,11.466216
0.035799999,11.445114,11.445114,11.445114,11.445114,11.445114,11.445114
0.035999998,11.424051,11.424051,11.424051,11.424051,11.424051,11.424051
0.036200002,11.403027,11.403027,11.403027,11.403027,11.403027,11.403027
0.036400001,11.382041,11.382041,11.382041,11.382041,11.382041,11.382041
0.036600001,11.361094,11.361094,11.361094,11.361094,11.361094,11.361094
0.036800001,11.340185,11.340185,11.340185,11.340185,11.340185,11.340185
0.037,11.319315,11.319315,11.319315,11.319315,11.319315,11.319315
0.0372,11.298483,11.298483,11.298483,11.298483,11.298483,11.298483
0.0374,11.277689,11.277689,11.277689,11.277689,11.277689,11.277689
0.037599999,11.256934,11.256934,11.256934,11.256934,11.256934,11.256934
0.037799999,11.236217,11.236217,11.236217,11.236217,11.236217,11.236217
0.037999999,11.215539,11.215539,11.215539,11.215539,11.215539,11.215539
0.038199998,11.194898,11.194898,11.194898,11.194898,11.194898,11.194898
0.038400002,11.174295,11.174295,11.174295,11.174295,11.174295,11.174295
0.038600001,11.15373,11.15373,11.15373,11.15373,11.15373,11.15373
0.038800001,11.133204,11.133204,11.133204,11.133204,11.133204,11.133204
0.039000001,11.112714,11.112714,11.112714,11.112714,11.112714,11.112714
0.0392,11.092262,11.092262,11.092262,11.092262,11.092262,11.092262
0.0394,11.071849,11.071849,11.071849,11.071849,11.071849,11.071849
0.0396,11.051472,11.051472,11.051472,11.051472,11.051472,11.051472
0.039799999,11.031134,11.031134,11.031134,11.031134,11.031134,11.031134
0.039999999,11.010832,11.010832,11.010832,11.010832,11.010832,11.010832
0.040199999,10.990568,10.990568,10.990568,10.990568,10.990568,10.990568
0.040399998,10.970341,10.970341,10.970341,10.970341,10.970341,10.970341
0.040600002,10.950151,10.950151,10.950151,10.950151,10.950151,10.950151
0.040800001,10.929999,10.929999,10.929999,10.929999,10.929999,10.929999
0.041000001,10.909883,10.909883,10.909883,10.909883,10.909883,10.909883
0.041200001,10.889806,10.889806,10.889806,10.889806,10.889806,10.889806
0.0414,10.869764,10.869764,10.869764,10.869764,10.869764,10.869764
0.0416,10.84976,10.84976,10.84976,10.84976,10.84976,10.84976
0.0418,10.829792,10.829792,10.829792,10.829792,10.829792,10.829792
0.041999999,10.809861,10.809861,10.809861,10.809861,10.809861,10.809861
0.042199999,10.789968,10.789968,10.789968,10.789968,10.789968,10.789968
0.042399999,10.77011,10.77011,10.77011,10.77011,10.77011,10.77011
0.042599998,10.750289,10.750289,10.750289,10.750289,10.750289,10.750289
0.042800002,10.730504,10.730504,10.730504,10.730504,10.730504,10.730504
0.043000001,10.710756,10.710756,10.710756,10.710756,10.710756,10.710756
0.043200001,10.691045,10.691045,10.691045,10.691045,10.691045,10.691045
0.043400001,10.671369,10.671369,10.671369,10.671369,10.671369,10.671369
0.0436,10.65173,10.65173,10.65173,10.65173,10.65173,10.65173
0.0438,10.632127,10.632127,10.632127,10.632127,10.632127,10.632127
0.044,10.612559,10.612559,10.612559,10.612559,10.612559,10.612559
0.044199999,10.593028,10.593028,10.593028,10.593028,10.593028,10.593028
0.044399999,10.573533,10.573533,10.573533,10.573533,10.573533,10.573533
0.044599999,10.554074,10.554074,10.554074,10.554074,10.554074,10.554074
0.044799998,10.534651,10.534651,10.534651,10.534651,10.534651,10.534651
0.045000002,10.515263,10.515263,10.515263,10.515263,10.515263,10.515263
0.045200001,10.495911,10.495911,10.495911,10.495911,10.495911,10.495911
0.045400001,10.476594,10.476594,10.476594,10.476594,10.476594,10.476594
0.045600001,10.457314,10.457314,10.457314,10.457314,10.457314,10.457314
