"Time","meanError_y","sigmaError_y","mean.y","variance.mu","variance.var","standardDeviation.variance.mu","standardDeviation.variance.var"
0,0.59178275,-1,3.5917828,3.5917828,0,3.5917828,0
0.001,0.59178275,-1,3.5917828,3.5917828,0,3.5917828,0
0.001,0.59178275,-1,3.5917828,3.5917828,0,3.5917828,0
0.0020000001,0.52133024,-0.92954749,3.5213304,3.5213304,0.0049635554,3.5213304,0.0049635554
0.0020000001,0.52133024,-0.92954749,3.5213304,3.5213304,0.0049635554,3.5213304,0.0049635554
0.003,0.62385046,-0.84401977,3.6238506,3.6238506,0.024329837,3.6238506,0.024329837
0.003,0.62385046,-0.84401977,3.6238506,3.6238506,0.024329837,3.6238506,0.024329837
0.0040000002,0.24928132,-0.33731338,3.2492814,3.2492814,0.43915355,3.2492814,0.43915355
0.0040000002,0.24928132,-0.33731338,3.2492814,3.2492814,0.43915355,3.2492814,0.43915355
0.0049999999,0.25830138,-0.4070006,3.2583015,3.2583015,0.3516483,3.2583015,0.3516483
0.0049999999,0.25830138,-0.4070006,3.2583015,3.2583015,0.3516483,3.2583015,0.3516483
0.0060000001,-0.0044265278,-0.20114456,2.9955735,2.9955735,0.63817,2.9955735,0.63817
0.0060000001,-0.0044265278,-0.20114456,2.9955735,2.9955735,0.63817,2.9955735,0.63817
0.0070000002,-0.070899554,-0.24269237,2.9291005,2.9291005,0.57351488,2.9291005,0.57351488
0.0070000002,-0.070899554,-0.24269237,2.9291005,2.9291005,0.57351488,2.9291005,0.57351488
0.0080000004,-0.24187413,-0.15949322,2.7581258,2.7581258,0.70645165,2.7581258,0.70645165
0.0080000004,-0.24187413,-0.15949322,2.7581258,2.7581258,0.70645165,2.7581258,0.70645165
0.0089999996,-0.24161629,-0.20756228,2.7583838,2.7583838,0.62795752,2.7583838,0.62795752
0.0089999996,-0.24161629,-0.20756228,2.7583838,2.7583838,0.62795752,2.7583838,0.62795752
0.0099999998,-0.14008632,-0.18886696,2.8599136,2.8599136,0.65793681,2.8599136,0.65793681
0.0099999998,-0.14008632,-0.18886696,2.8599136,2.8599136,0.65793681,2.8599136,0.65793681
0.011,-0.23447339,-0.17101654,2.7655265,2.7655265,0.68721354,2.7655265,0.68721354
0.011,-0.23447339,-0.17101654,2.7655265,2.7655265,0.68721354,2.7655265,0.68721354
0.012,-0.19304103,-0.19450089,2.8069589,2.8069589,0.6488288,2.8069589,0.6488288
0.012,-0.19304103,-0.19450089,2.8069589,2.8069589,0.6488288,2.8069589,0.6488288
0.013,-0.20443884,-0.22509496,2.7955611,2.7955611,0.60047781,2.7955611,0.60047781
0.013,-0.20443884,-0.22509496,2.7955611,2.7955611,0.60047781,2.7955611,0.60047781
0.014,-0.10688967,-0.17459556,2.8931103,2.8931103,0.68129247,2.8931103,0.68129247
0.014,-0.10688967,-0.17459556,2.8931103,2.8931103,0.68129247,2.8931103,0.68129247
0.015,-0.10187177,-0.20236255,2.8981283,2.8981283,0.63622552,2.8981283,0.63622552
0.015,-0.10187177,-0.20236255,2.8981283,2.8981283,0.63622552,2.8981283,0.63622552
0.016000001,-0.047080908,-0.19906805,2.952919,2.952919,0.64149201,2.952919,0.64149201
0.016000001,-0.047080908,-0.19906805,2.952919,2.952919,0.64149201,2.952919,0.64149201
0.017000001,-0.081153274,-0.21111979,2.9188466,2.9188466,0.62233198,2.9188466,0.62233198
0.017000001,-0.081153274,-0.21111979,2.9188466,2.9188466,0.62233198,2.9188466,0.62233198
0.017999999,-0.014712776,-0.18587361,2.9852872,2.9852872,0.66280174,2.9852872,0.66280174
0.017999999,-0.014712776,-0.18587361,2.9852872,2.9852872,0.66280174,2.9852872,0.66280174
0.018999999,0.036306389,-0.17855574,3.0363064,3.0363064,0.67477065,3.0363064,0.67477065
0.018999999,0.036306389,-0.17855574,3.0363064,3.0363064,0.67477065,3.0363064,0.67477065
0.02,0.032251589,-0.19916011,3.0322516,3.0322516,0.64134449,3.0322516,0.64134449
0.02,0.032251589,-0.19916011,3.0322516,3.0322516,0.64134449,3.0322516,0.64134449
0.021,0.025132136,-0.21781202,3.0251322,3.0251322,0.61181802,3.0251322,0.61181802
0.021,0.025132136,-0.21781202,3.0251322,3.0251322,0.61181802,3.0251322,0.61181802
0.022,0.09707842,-0.16770814,3.0970783,3.0970783,0.69270974,3.0970783,0.69270974
0.022,0.09707842,-0.16770814,3.0970783,3.0970783,0.69270974,3.0970783,0.69270974
0.023,0.073349349,-0.17842866,3.0733492,3.0733492,0.67497945,3.0733492,0.67497945
0.023,0.073349349,-0.17842866,3.0733492,3.0733492,0.67497945,3.0733492,0.67497945
0.024,0.08161144,-0.19475138,3.0816114,3.0816114,0.64842534,3.0816114,0.64842534
0.024,0.08161144,-0.19475138,3.0816114,3.0816114,0.64842534,3.0816114,0.64842534
0.025,0.077113122,-0.210713,3.0771132,3.0771132,0.62297398,3.0771132,0.62297398
0.025,0.077113122,-0.210713,3.0771132,3.0771132,0.62297398,3.0771132,0.62297398
0.026000001,0.058790728,-0.22063732,3.0587907,3.0587907,0.6074062,3.0587907,0.6074062
0.026000001,0.058790728,-0.22063732,3.0587907,3.0587907,0.6074062,3.0587907,0.6074062
0.027000001,0.05567896,-0.23504156,3.0556788,3.0556788,0.58516139,3.0556788,0.58516139
0.027000001,0.05567896,-0.23504156,3.0556788,3.0556788,0.58516139,3.0556788,0.58516139
0.028000001,0.11374591,-0.19049361,3.1137459,3.1137459,0.65530062,3.1137459,0.65530062
0.028000001,0.11374591,-0.19049361,3.1137459,3.1137459,0.65530062,3.1137459,0.65530062
0.028999999,0.089992926,-0.19470394,3.089993,3.089993,0.64850175,3.089993,0.64850175
0.028999999,0.089992926,-0.19470394,3.089993,3.089993,0.64850175,3.089993,0.64850175
0.029999999,0.097891279,-0.20709763,3.0978913,3.0978913,0.62869418,3.0978913,0.62869418
0.029999999,0.097891279,-0.20709763,3.0978913,3.0978913,0.62869418,3.0978913,0.62869418
0.030999999,0.06469065,-0.19907419,3.0646906,3.0646906,0.64148217,3.0646906,0.64148217
0.030999999,0.06469065,-0.19907419,3.0646906,3.0646906,0.64148217,3.0646906,0.64148217
0.032000002,0.069156691,-0.21129592,3.0691566,3.0691566,0.62205416,3.0691566,0.62205416
0.032000002,0.069156691,-0.21129592,3.0691566,3.0691566,0.62205416,3.0691566,0.62205416
0.033,0.10979351,-0.19003257,3.1097934,3.1097934,0.65604722,3.1097934,0.65604722
0.033,0.10979351,-0.19003257,3.1097934,3.1097934,0.65604722,3.1097934,0.65604722
0.034000002,0.14452188,-0.17747237,3.144522,3.144522,0.6765517,3.144522,0.6765517
0.034000002,0.14452188,-0.17747237,3.144522,3.144522,0.6765517,3.144522,0.6765517
0.035,0.15541549,-0.18682322,3.1554155,3.1554155,0.66125649,3.1554155,0.66125649
0.035,0.15541549,-0.18682322,3.1554155,3.1554155,0.66125649,3.1554155,0.66125649
0.035999998,0.18798317,-0.17537214,3.1879833,3.1879833,0.68001109,3.1879833,0.68001109
0.035999998,0.18798317,-0.17537214,3.1879833,3.1879833,0.68001109,3.1879833,0.68001109
0.037,0.15956187,-0.16890907,3.1595619,3.1595619,0.69071215,3.1595619,0.69071215
0.037,0.15956187,-0.16890907,3.1595619,3.1595619,0.69071215,3.1595619,0.69071215
0.037999999,0.16614833,-0.17893934,3.1661484,3.1661484,0.67414063,3.1661484,0.67414063
0.037999999,0.16614833,-0.17893934,3.1661484,3.1661484,0.67414063,3.1661484,0.67414063
0.039000001,0.10850918,-0.1150699,3.1085091,3.1085091,0.78310126,3.1085091,0.78310126
0.039000001,0.10850918,-0.1150699,3.1085091,3.1085091,0.78310126,3.1085091,0.78310126
0.039999999,0.11292648,-0.1257662,3.1129265,3.1129265,0.76428473,3.1129265,0.76428473
0.039999999,0.11292648,-0.1257662,3.1129265,3.1129265,0.76428473,3.1129265,0.76428473
0.041000001,0.11087967,-0.13639638,3.1108797,3.1108797,0.74581122,3.1108797,0.74581122
0.041000001,0.11087967,-0.13639638,3.1108797,3.1108797,0.74581122,3.1108797,0.74581122
0.041999999,0.11658547,-0.14595748,3.1165855,3.1165855,0.72938859,3.1165855,0.72938859
0.041999999,0.11658547,-0.14595748,3.1165855,3.1165855,0.72938859,3.1165855,0.72938859
0.043000001,0.11972866,-0.15570086,3.1197286,3.1197286,0.71284103,3.1197286,0.71284103
0.043000001,0.11972866,-0.15570086,3.1197286,3.1197286,0.71284103,3.1197286,0.71284103
0.044,0.1324538,-0.1611895,3.1324539,3.1324539,0.70360309,3.1324539,0.70360309
0.044,0.1324538,-0.1611895,3.1324539,3.1324539,0.70360309,3.1324539,0.70360309
0.045000002,0.13162968,-0.17054395,3.1316297,3.1316297,0.68799734,3.1316297,0.68799734
0.045000002,0.13162968,-0.17054395,3.1316297,3.1316297,0.68799734,3.1316297,0.68799734
0.046,0.12867439,-0.17936982,3.1286743,3.1286743,0.6734339,3.1286743,0.6734339
