"Time","suddenExpansion1.m_flow","suddenExpansion1.dp","suddenExpansion1.port_b_T","suddenExpansion2.m_flow","suddenExpansion2.dp","suddenExpansion2.port_b_T"
0,57.305725,-10000,293.17093,-29.302643,-9346.335,293.17331
0.00022,57.305725,-10000,293.17093,-29.302643,-9346.335,293.17331
0.00044,57.305725,-10000,293.17093,-29.302643,-9346.335,293.17331
0.00066000002,57.305725,-10000,293.17093,-29.302643,-9346.335,293.17331
0.00088000001,57.305725,-10000,293.17093,-29.302643,-9346.335,293.17331
0.0011,57.305725,-10000,293.17093,-29.302643,-9346.335,293.17331
0.00132,57.305725,-10000,293.17093,-29.302643,-9346.335,293.17331
0.00154,57.305725,-10000,293.17093,-29.302643,-9346.335,293.17331
0.00176,57.305725,-10000,293.17093,-29.302643,-9346.335,293.17331
0.0019799999,57.305725,-10000,293.17093,-29.302643,-9346.335,293.17331
0.0022,57.305725,-10000,293.17093,-29.302643,-9346.335,293.17331
0.00242,57.305725,-10000,293.17093,-29.302643,-9346.335,293.17331
0.0026400001,57.305725,-10000,293.17093,-29.302643,-9346.335,293.17331
0.0028599999,57.305725,-10000,293.17093,-29.302643,-9346.335,293.17331
0.0030799999,57.305725,-10000,293.17093,-29.302643,-9346.335,293.17331
0.0033,57.305725,-10000,293.17093,-29.302643,-9346.335,293.17331
0.00352,57.305725,-10000,293.17093,-29.302643,-9346.335,293.17331
0.0037400001,57.305725,-10000,293.17093,-29.302643,-9346.335,293.17331
0.0039599999,57.305725,-10000,293.17093,-29.302643,-9346.335,293.17331
0.0041800002,57.305725,-10000,293.17093,-29.302643,-9346.335,293.17331
0.0044,57.305725,-10000,293.17093,-29.302643,-9346.335,293.17331
0.0046199998,57.305725,-10000,293.17093,-29.302643,-9346.335,293.17331
0.0048400001,57.305725,-10000,293.17093,-29.302643,-9346.335,293.17331
0.0050599999,57.305725,-10000,293.17093,-29.302643,-9346.335,293.17331
0.0052800002,57.305725,-10000,293.17093,-29.302643,-9346.335,293.17331
0.0055,57.305725,-10000,293.17093,-29.302643,-9346.335,293.17331
0.0057199998,57.305725,-10000,293.17093,-29.302643,-9346.335,293.17331
0.0059400001,57.305725,-10000,293.17093,-29.302643,-9346.335,293.17331
0.0061599999,57.305725,-10000,293.17093,-29.302643,-9346.335,293.17331
0.0063800002,57.305725,-10000,293.17093,-29.302643,-9346.335,293.17331
0.0066,57.305725,-10000,293.17093,-29.302643,-9346.335,293.17331
0.0068199998,57.305725,-10000,293.17093,-29.302643,-9346.335,293.17331
