"Time","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","loadInertia.w","loadInertiaQS.w","transformer.l2sigma.inductor[1].i","loadInertiaQS.phi","loadInertia.phi","transformer.l2sigma.inductor[3].i","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","imcQS.rotorCage.port_p.reference.gamma","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re"
2,0.10899087,0.12938024,120.69535,122.27148,364.61066,135.9632,132.17853,-455.24289,-0.098452188,356.39212,0.19486366
2.0000999,0.10971025,0.14070565,120.69817,122.3195,0.00054446066,135.97543,132.1906,0.014661201,-0.09763816,356.39908,0.18734454
2.0002,0.11042121,0.15176618,120.70148,122.36752,0.0010858211,135.98767,132.20267,0.014368239,-0.09678179,356.40604,0.17949226
2.0002999,0.11112427,0.16255027,120.70528,122.41553,0.001626111,135.99991,132.21474,0.014061096,-0.095883138,356.41296,0.17131203
2.0004001,0.11182001,0.17304836,120.70961,122.46355,0.0021647892,136.01215,132.22681,0.013740082,-0.094942614,356.41989,0.16281217
2.0005,0.11250906,0.18325067,120.71445,122.51154,0.0027013277,136.0244,132.23888,0.013405511,-0.09396068,356.42682,0.15400176
2.0006001,0.11319199,0.19314761,120.7198,122.55954,0.0032351967,136.03665,132.25095,0.013057714,-0.092937805,356.43372,0.14489023
2.0007,0.11386941,0.20273033,120.72569,122.60753,0.0037658701,136.0489,132.26302,0.012697035,-0.09187448,356.44061,0.13548738
2.0007999,0.11454187,0.21198992,120.73209,122.65552,0.0042928229,136.06117,132.27509,0.012323826,-0.090771176,356.44751,0.12580296
2.0009,0.11520995,0.22091775,120.73904,122.7035,0.0048155366,136.07344,132.28717,0.011938459,-0.089628406,356.45441,0.11584708
2.0009999,0.11587419,0.22950561,120.74651,122.75146,0.0053334944,136.08571,132.29924,0.011541312,-0.088446677,356.46127,0.10563001
2.0011001,0.11653513,0.23774573,120.75452,122.79943,0.0058461842,136.09799,132.31131,0.011132776,-0.087226517,356.46814,0.095162362
2.0012,0.11719329,0.24563076,120.76307,122.84739,0.0063531036,136.11028,132.32339,0.010713259,-0.085968465,356.47498,0.084455118
2.0013001,0.11784917,0.25315329,120.77216,122.89535,0.0068537472,136.12256,132.33546,0.010283167,-0.084673047,356.48181,0.073519155
2.0014,0.11850327,0.26030689,120.78178,122.94329,0.0073476275,136.13486,132.34755,0.0098429359,-0.083340853,356.48865,0.062366046
2.0014999,0.11915609,0.26708475,120.79194,122.99123,0.0078342501,136.14714,132.35962,0.0093929879,-0.081972428,356.49548,0.051007051
2.0016,0.11980809,0.27348104,120.80264,123.03916,0.0083131408,136.15945,132.3717,0.008933777,-0.080568351,356.50229,0.03945408
2.0016999,0.12045974,0.27948982,120.81387,123.08709,0.008783821,136.17175,132.38379,0.0084657464,-0.079129212,356.50909,0.027718838
2.0018001,0.12111148,0.28510591,120.82565,123.13501,0.0092458325,136.18407,132.39587,0.0079893665,-0.077655606,356.5159,0.015813494
2.0019,0.12176376,0.29032421,120.83795,123.18292,0.009698716,136.19638,132.40794,0.0075051049,-0.07614813,356.52267,0.0037502011
2.0020001,0.12241698,0.29514003,120.85078,123.23083,0.010142023,136.20871,132.42003,0.0070134415,-0.074607402,356.52945,-0.00845866
2.0021,0.12307157,0.2995494,120.86414,123.27872,0.010575322,136.22102,132.43211,0.0065148557,-0.073034048,356.53622,-0.020800518
2.0021999,0.1237279,0.30354843,120.87802,123.32661,0.01099818,136.23335,132.44421,0.0060098423,-0.071428686,356.54297,-0.033262644
2.0023,0.12438639,0.30713364,120.89242,123.3745,0.01141018,136.2457,132.4563,0.0054989038,-0.069791965,356.54971,-0.045832139
2.0023999,0.12504737,0.31030217,120.90733,123.42237,0.01181092,136.25803,132.46838,0.0049825353,-0.068124525,356.55646,-0.05849646
2.0025001,0.12571122,0.31305128,120.92274,123.47024,0.012200002,136.27037,132.48048,0.0044612526,-0.066427007,356.56317,-0.071242414
2.0026,0.12637827,0.31537884,120.93866,123.5181,0.012577035,136.28273,132.49257,0.0039355746,-0.064700082,356.56989,-0.084056832
2.0027001,0.12704886,0.317283,120.95507,123.56595,0.012941659,136.29507,132.50467,0.0034060099,-0.062944397,356.5766,-0.096926913
2.0028,0.12772331,0.31876242,120.97197,123.61379,0.013293508,136.30743,132.51675,0.0028730852,-0.061160631,356.58328,-0.10983939
2.0028999,0.12840191,0.31981605,120.98935,123.66163,0.013632233,136.31981,132.52885,0.0023373319,-0.059349455,356.59,-0.12278095
2.003,0.12908494,0.32044336,121.0072,123.70946,0.013957503,136.33217,132.54095,0.0017992713,-0.057511538,356.59665,-0.13573855
2.0030999,0.12977271,0.32064414,121.02552,123.75727,0.014268999,136.34454,132.55305,0.0012594342,-0.055647563,356.60333,-0.14869899
2.0032001,0.13046545,0.32041866,121.0443,123.80508,0.014566408,136.35692,132.56517,0.00071835937,-0.053758226,356.60999,-0.16164888
2.0033,0.13116342,0.3197675,121.06351,123.85288,0.014849439,136.36931,132.57727,0.00017657707,-0.051844206,356.61664,-0.17457512
2.0034001,0.13186687,0.31869179,121.08318,123.90067,0.015117817,136.3817,132.58937,-0.00036538174,-0.049906198,356.62329,-0.18746462
2.0035,0.13257599,0.317193,121.10326,123.94846,0.01537127,136.39409,132.60149,-0.00090697495,-0.047944903,356.62991,-0.20030406
