"Time","junction1.port_2.C_outflow[1]","junction1.medium.p","junction1.medium.Xi[1]","junction1.medium.T"
0,9.9999997e-05,101325,0.0099999998,293.14999
0.000202,0.00010000006,100474.59,0.0099999998,292.44659
0.00040399999,0.00010000006,100061.91,0.0099999998,292.10364
0.00060600002,9.9995319e-05,100002.62,0.010000477,292.05371
0.00080799998,9.9982528e-05,100002.3,0.010001769,292.05191
0.00101,9.9969722e-05,100002.31,0.01000307,292.05035
0.001212,9.995696e-05,100002.31,0.01000437,292.0488
0.0014140001,9.9944271e-05,100002.31,0.010005671,292.04724
0.001616,9.9931618e-05,100002.31,0.010006969,292.04568
0.001818,9.9919009e-05,100002.31,0.010008268,292.04413
0.00202,9.9906443e-05,100002.31,0.010009566,292.04257
0.0022219999,9.9893921e-05,100002.31,0.010010864,292.04102
0.0024240001,9.9881443e-05,100002.31,0.010012161,292.03946
0.002626,9.9869016e-05,100002.31,0.010013457,292.0379
0.0028280001,9.9856617e-05,100002.3,0.010014754,292.03635
0.00303,9.9844256e-05,100002.3,0.01001605,292.03479
0.0032319999,9.9831937e-05,100002.3,0.010017346,292.03323
0.0034340001,9.9819648e-05,100002.3,0.010018641,292.03168
0.003636,9.9807396e-05,100002.3,0.010019936,292.03012
0.0038379999,9.9795194e-05,100002.3,0.01002123,292.02856
0.00404,9.9783036e-05,100002.3,0.010022525,292.02701
0.0042420002,9.9770921e-05,100002.3,0.010023817,292.02548
0.0044439998,9.9758843e-05,100002.3,0.010025111,292.02393
0.004646,9.9746816e-05,100002.3,0.010026404,292.02237
0.0048480001,9.9734825e-05,100002.3,0.010027695,292.02081
0.0050499998,9.9722885e-05,100002.3,0.010028987,292.01926
0.0052519999,9.9710982e-05,100002.3,0.010030279,292.01773
0.0054540001,9.9699129e-05,100002.3,0.010031569,292.01617
0.0056560002,9.9687313e-05,100002.3,0.01003286,292.01462
0.0058579999,9.9675548e-05,100002.3,0.01003415,292.01309
0.00606,9.9663826e-05,100002.3,0.010035438,292.01154
0.0062620002,9.9652141e-05,100002.29,0.010036727,292.00998
0.0064639999,9.9640507e-05,100002.29,0.010038016,292.00845
0.006666,9.9628916e-05,100002.29,0.010039304,292.0069
0.0068680001,9.9617362e-05,100002.29,0.010040591,292.00534
0.0070699998,9.9605859e-05,100002.29,0.010041879,292.00381
0.007272,9.9594399e-05,100002.29,0.010043165,292.00226
0.0074740001,9.9582983e-05,100002.29,0.010044451,292.00073
0.0076759998,9.9571604e-05,100002.29,0.010045737,291.99918
0.0078779999,9.9560275e-05,100002.29,0.010047022,291.99765
0.0080800001,9.954899e-05,100002.28,0.010048307,291.99609
0.0082820002,9.9537741e-05,100002.28,0.010049591,291.99457
0.0084840003,9.9526544e-05,100002.28,0.010050875,291.99301
0.0086859995,9.951539e-05,100002.28,0.010052158,291.99149
0.0088879997,9.9504272e-05,100002.28,0.010053441,291.98996
0.0090899998,9.9493205e-05,100002.28,0.010054723,291.9884
0.009292,9.9482175e-05,100002.28,0.010056006,291.98688
0.0094940001,9.9471195e-05,100002.28,0.010057287,291.98535
0.0096960003,9.9460252e-05,100002.27,0.010058568,291.9838
0.0098980004,9.944936e-05,100002.27,0.010059848,291.98227
0.0101,9.9438505e-05,100002.27,0.010061129,291.98074
0.010302,9.94277e-05,100002.27,0.010062409,291.97919
0.010504,9.9416931e-05,100002.27,0.010063687,291.97766
0.010706,9.9406207e-05,100002.27,0.010064966,291.97614
0.010908,9.9395533e-05,100002.27,0.010066245,291.97461
0.01111,9.9384895e-05,100002.27,0.010067523,291.97305
0.011312,9.9374301e-05,100002.27,0.010068799,291.97153
0.011514,9.9363751e-05,100002.27,0.010070076,291.97
0.011716,9.9353245e-05,100002.27,0.010071353,291.96848
0.011918,9.9342782e-05,100002.27,0.010072629,291.96695
0.01212,9.9332363e-05,100002.27,0.010073905,291.96542
0.012322,9.9321987e-05,100002.27,0.01007518,291.9639
0.012524,9.9311648e-05,100002.27,0.010076454,291.96237
0.012726,9.930136e-05,100002.27,0.010077728,291.96082
0.012928,9.9291115e-05,100002.27,0.010079002,291.95929
0.01313,9.9280907e-05,100002.26,0.010080275,291.95776
0.013332,9.927075e-05,100002.26,0.010081548,291.95624
0.013534,9.9260629e-05,100002.26,0.01008282,291.95471
0.013736,9.9250552e-05,100002.26,0.010084092,291.95319
0.013938,9.9240526e-05,100002.26,0.010085364,291.95166
0.01414,9.9230536e-05,100002.26,0.010086634,291.95016
0.014342,9.922059e-05,100002.26,0.010087905,291.94864
0.014544,9.9210687e-05,100002.26,0.010089175,291.94711
0.014746,9.9200828e-05,100002.26,0.010090444,291.94559
0.014948,9.9191006e-05,100002.25,0.010091714,291.94406
0.01515,9.9181234e-05,100002.25,0.010092982,291.94254
0.015352,9.9171499e-05,100002.25,0.010094251,291.94101
0.015554,9.9161807e-05,100002.25,0.010095518,291.93951
0.015756,9.9152159e-05,100002.25,0.010096786,291.93799
0.015958,9.9142555e-05,100002.25,0.010098052,291.93646
0.01616,9.9132994e-05,100002.25,0.010099318,291.93494
0.016362,9.9123477e-05,100002.25,0.010100584,291.93344
0.016564,9.9114004e-05,100002.24,0.010101849,291.93192
0.016766001,9.9104567e-05,100002.24,0.010103115,291.93039
0.016968001,9.9095181e-05,100002.24,0.010104379,291.92886
0.017170001,9.9085832e-05,100002.24,0.010105643,291.92737
0.017371999,9.9076526e-05,100002.24,0.010106906,291.92584
0.017573999,9.9067263e-05,100002.24,0.01010817,291.92435
0.017775999,9.9058045e-05,100002.24,0.010109432,291.92282
0.017978,9.904887e-05,100002.24,0.010110695,291.9213
0.01818,9.9039731e-05,100002.24,0.010111956,291.9198
0.018382,9.9030636e-05,100002.23,0.010113218,291.91827
0.018584,9.9021585e-05,100002.23,0.010114479,291.91678
0.018786,9.9012577e-05,100002.23,0.010115739,291.91525
0.018988,9.9003613e-05,100002.23,0.010116999,291.91376
