"Time","aimc.idq_rr[2]","loadInertia.w","powerSensor.flange_a.phi","aimc.idq_sr[1]","aimc.is[1]","aimc.idq_rr[1]","aimc.is[2]","aimc.idq_sr[2]","PI.x"
0,-2.7397643e-16,157.07964,0,-7.1637049,-6.9023285,1.050353e-15,-0.6008054,-4.2368765,0
9.9999997e-05,9.7612583e-06,157.07886,0.015707925,-7.1636992,-6.7519517,-5.7734442e-06,-0.86176324,-4.2368865,0.57169312
0.00019999999,3.8939361e-05,157.07806,0.031415772,-7.163681,-6.5948987,-2.3033719e-05,-1.1218926,-4.236917,1.1408169
0.00030000001,8.7372842e-05,157.07729,0.047123536,-7.1636515,-6.4313226,-5.1692063e-05,-1.3809363,-4.2369671,1.7073321
0.00039999999,0.00015488864,157.07649,0.062831223,-7.16361,-6.2613835,-9.1657734e-05,-1.6386383,-4.2370367,2.2711978
0.00050000002,0.00024131454,157.07571,0.078538835,-7.1635571,-6.0852475,-0.00014284556,-1.8947436,-4.2371264,2.8323743
0.00060000003,0.00034647691,157.07492,0.094246365,-7.1634927,-5.9030871,-0.00020517239,-2.1489987,-4.2372351,3.3908226
0.00069999998,0.00047020032,157.07413,0.10995382,-7.1634169,-5.7150817,-0.00027856237,-2.4011521,-4.2373633,3.9465051
0.00079999998,0.00061230909,157.07335,0.12566119,-7.1633291,-5.5214143,-0.00036294045,-2.6509542,-4.2375107,4.4993839
0.00089999998,0.00077262725,157.07256,0.14136849,-7.1632304,-5.3222756,-0.00045823172,-2.8981571,-4.2376766,5.0494223
0.001,0.00095097581,157.07176,0.1570757,-7.1631207,-5.1178617,-0.00056436803,-3.1425159,-4.2378616,5.5965829
0.0011,0.0011471788,157.07097,0.17278284,-7.1629996,-4.9083724,-0.00068127475,-3.3837881,-4.2380648,6.1408286
0.0012000001,0.0013610526,157.07018,0.1884899,-7.1628671,-4.6940145,-0.00080890203,-3.6217349,-4.2382865,6.6821265
0.0013,0.0015924198,157.0694,0.20419689,-7.162724,-4.4749985,-0.00094717846,-3.8561194,-4.2385263,7.2204399
0.0014,0.0018410978,157.0686,0.21990378,-7.1625695,-4.2515402,-0.0010960551,-4.0867095,-4.2387838,7.7557364
0.0015,0.0021069057,157.06781,0.2356106,-7.1624045,-4.0238595,-0.0012554756,-4.3132753,-4.2390594,8.287981
0.0016,0.0023896617,157.06702,0.25131735,-7.1622281,-3.7921808,-0.0014253893,-4.535593,-4.2393527,8.8171415
0.0017,0.0026891844,157.06622,0.26702401,-7.1620412,-3.5567324,-0.0016057516,-4.7534404,-4.2396631,9.3431864
0.0018,0.0030052918,157.06543,0.28273058,-7.1618433,-3.3177466,-0.0017965131,-4.9666009,-4.2399912,9.8660812
0.0019,0.0033378028,157.06464,0.29843709,-7.1616349,-3.0754592,-0.001997639,-5.1748629,-4.2403359,10.385798
0.0020000001,0.0036865361,157.06384,0.31414351,-7.1614156,-2.8301096,-0.0022090818,-5.3780184,-4.2406979,10.902303
0.0020999999,0.0040513119,157.06305,0.32984987,-7.1611853,-2.5819397,-0.002430812,-5.5758657,-4.241076,11.415567
0.0022,0.0044319504,157.06226,0.34555611,-7.1609445,-2.3311951,-0.0026627926,-5.7682076,-4.2414713,11.925561
0.0023000001,0.0048282715,157.06146,0.36126229,-7.1606932,-2.0781233,-0.0029049926,-5.9548516,-4.2418823,12.432256
0.0024000001,0.0052400958,157.06067,0.37696841,-7.1604314,-1.822975,-0.0031573831,-6.1356115,-4.24231,12.935621
0.0024999999,0.0056672473,157.05988,0.39267445,-7.1601586,-1.5660024,-0.003419939,-6.310308,-4.242753,13.435631
0.0026,0.0061095483,157.05908,0.40838039,-7.1598759,-1.3074597,-0.0036926377,-6.4787655,-4.2432122,13.932256
0.0027000001,0.0065668216,157.05829,0.42408624,-7.1595821,-1.0476031,-0.0039754584,-6.6408162,-4.2436872,14.42547
0.0027999999,0.0070388913,157.05751,0.43979204,-7.1592779,-0.78668982,-0.0042683841,-6.7962976,-4.2441773,14.915248
0.0029,0.0075255833,157.05672,0.45549774,-7.1589632,-0.52497846,-0.0045713983,-6.9450545,-4.2446828,15.401562
0.003,0.0080267331,157.05592,0.47120339,-7.158638,-0.26272839,-0.00488448,-7.0869379,-4.2452035,15.884386
0.0031000001,0.0085421642,157.05513,0.48690894,-7.1583023,-0.0001996589,-0.0052076215,-7.2218056,-4.245739,16.363695
0.0031999999,0.0090717077,157.05435,0.50261444,-7.1579561,0.26234731,-0.0055408133,-7.3495221,-4.2462893,16.839466
0.0033,0.0096151931,157.05356,0.51831979,-7.1575994,0.524652,-0.0058840485,-7.4699593,-4.2468538,17.311674
0.0034,0.010172461,157.05278,0.53402513,-7.1572328,0.78645408,-0.0062373132,-7.5829964,-4.2474332,17.780294
0.0035000001,0.010743349,157.05199,0.54973036,-7.1568551,1.0474936,-0.0066006025,-7.6885195,-4.2480264,18.245304
