"Time","h","rho","mu","cp","k"
0,511478.03,33.033932,1.5971309e-05,1063.9188,0.021954553
0.00019999999,511474.38,33.048206,1.5971433e-05,1063.9467,0.021954775
0.00039999999,511470.72,33.062481,1.5971555e-05,1063.9745,0.021954998
0.00060000003,511467.06,33.076756,1.5971676e-05,1064.0024,0.021955222
0.00079999998,511463.38,33.091034,1.5971798e-05,1064.0303,0.021955445
0.001,511459.72,33.105309,1.597192e-05,1064.0582,0.021955669
0.0012000001,511456.06,33.119587,1.5972042e-05,1064.0861,0.021955892
0.0014,511452.41,33.133865,1.5972164e-05,1064.114,0.021956116
0.0016,511448.75,33.148148,1.5972286e-05,1064.1418,0.021956339
0.0018,511445.09,33.162426,1.5972408e-05,1064.1698,0.021956563
0.0020000001,511441.41,33.176708,1.597253e-05,1064.1976,0.021956787
0.0022,511437.75,33.190994,1.5972653e-05,1064.2256,0.02195701
0.0024000001,511434.09,33.205276,1.5972775e-05,1064.2535,0.021957235
0.0026,511430.44,33.219563,1.5972897e-05,1064.2814,0.021957459
0.0027999999,511426.78,33.233849,1.5973019e-05,1064.3093,0.021957682
0.003,511423.09,33.248135,1.5973141e-05,1064.3373,0.021957906
0.0031999999,511419.44,33.262421,1.5973264e-05,1064.3652,0.021958129
0.0034,511415.78,33.276711,1.5973386e-05,1064.3932,0.021958355
0.0035999999,511412.12,33.291,1.5973508e-05,1064.421,0.021958578
0.0038000001,511408.44,33.30529,1.597363e-05,1064.449,0.021958802
0.0040000002,511404.78,33.31958,1.5973754e-05,1064.4769,0.021959027
0.0041999999,511401.12,33.333874,1.5973876e-05,1064.5049,0.021959251
0.0044,511397.47,33.348167,1.5973998e-05,1064.5328,0.021959474
0.0046000001,511393.78,33.362461,1.5974119e-05,1064.5608,0.0219597
0.0048000002,511390.12,33.376759,1.5974243e-05,1064.5887,0.021959923
0.0049999999,511386.47,33.391052,1.5974365e-05,1064.6167,0.021960149
0.0052,511382.78,33.40535,1.5974489e-05,1064.6448,0.021960372
0.0054000001,511379.12,33.419647,1.5974611e-05,1064.6727,0.021960597
0.0055999998,511375.47,33.433949,1.5974732e-05,1064.7007,0.021960821
0.0057999999,511371.81,33.44825,1.5974856e-05,1064.7286,0.021961046
0.0060000001,511368.12,33.462547,1.5974978e-05,1064.7566,0.021961272
0.0062000002,511364.47,33.476852,1.5975102e-05,1064.7847,0.021961495
0.0063999998,511360.81,33.491154,1.5975224e-05,1064.8126,0.021961721
0.0066,511357.12,33.505459,1.5975345e-05,1064.8406,0.021961946
0.0068000001,511353.47,33.519764,1.5975469e-05,1064.8687,0.02196217
0.0070000002,511349.81,33.534069,1.5975591e-05,1064.8966,0.021962395
0.0071999999,511346.12,33.548374,1.5975715e-05,1064.9247,0.02196262
0.0074,511342.47,33.562683,1.5975837e-05,1064.9526,0.021962846
0.0076000001,511338.81,33.576992,1.597596e-05,1064.9807,0.021963071
0.0077999998,511335.12,33.591301,1.5976082e-05,1065.0087,0.021963296
0.0080000004,511331.47,33.605614,1.5976206e-05,1065.0367,0.02196352
0.0082,511327.78,33.619923,1.5976329e-05,1065.0648,0.021963745
0.0083999997,511324.12,33.634235,1.5976451e-05,1065.0928,0.021963971
0.0086000003,511320.47,33.648552,1.5976575e-05,1065.1208,0.021964196
0.0088,511316.78,33.662865,1.5976697e-05,1065.1489,0.021964421
0.0089999996,511313.12,33.677181,1.5976821e-05,1065.1769,0.021964647
0.0092000002,511309.44,33.691498,1.5976944e-05,1065.205,0.021964872
0.0093999999,511305.78,33.705814,1.5977066e-05,1065.233,0.021965098
0.0096000005,511302.12,33.720131,1.597719e-05,1065.2611,0.021965325
0.0098000001,511298.44,33.734451,1.5977314e-05,1065.2892,0.02196555
0.0099999998,511294.78,33.748772,1.5977435e-05,1065.3173,0.021965776
0.0102,511291.09,33.763092,1.5977559e-05,1065.3453,0.021966001
0.0104,511287.44,33.777416,1.5977683e-05,1065.3734,0.021966226
0.0106,511283.75,33.79174,1.5977805e-05,1065.4015,0.021966454
0.0108,511280.09,33.806065,1.5977928e-05,1065.4296,0.021966679
0.011,511276.44,33.820389,1.5978052e-05,1065.4576,0.021966904
0.0112,511272.75,33.834713,1.5978176e-05,1065.4857,0.021967132
0.0114,511269.09,33.849041,1.5978298e-05,1065.5138,0.021967357
0.0116,511265.41,33.863369,1.5978421e-05,1065.5419,0.021967582
0.0118,511261.75,33.877697,1.5978545e-05,1065.5701,0.02196781
0.012,511258.06,33.892029,1.5978669e-05,1065.5981,0.021968035
0.0122,511254.41,33.906361,1.5978792e-05,1065.6262,0.021968262
0.0124,511250.72,33.920692,1.5978914e-05,1065.6543,0.021968488
0.0126,511247.06,33.935024,1.5979038e-05,1065.6825,0.021968715
0.0128,511243.38,33.949356,1.5979162e-05,1065.7106,0.02196894
0.013,511239.72,33.963692,1.5979285e-05,1065.7388,0.021969168
0.0132,511236.03,33.978027,1.5979409e-05,1065.7668,0.021969393
0.0134,511232.38,33.992363,1.5979533e-05,1065.795,0.02196962
0.0136,511228.69,34.006702,1.5979656e-05,1065.8231,0.021969847
0.0138,511225.03,34.021042,1.597978e-05,1065.8513,0.021970073
0.014,511221.34,34.035381,1.5979904e-05,1065.8794,0.0219703
0.0142,511217.66,34.049721,1.5980027e-05,1065.9076,0.021970527
0.0144,511214,34.064064,1.5980151e-05,1065.9358,0.021970754
0.0146,511210.31,34.078403,1.5980275e-05,1065.9639,0.02197098
0.0148,511206.66,34.092747,1.5980399e-05,1065.9921,0.021971207
0.015,511202.97,34.107094,1.5980522e-05,1066.0203,0.021971434
0.0152,511199.31,34.121437,1.5980646e-05,1066.0485,0.021971662
0.0154,511195.62,34.135784,1.598077e-05,1066.0765,0.021971889
0.0156,511191.94,34.150131,1.5980893e-05,1066.1047,0.021972116
0.015799999,511188.28,34.164478,1.5981017e-05,1066.1329,0.021972343
0.016000001,511184.59,34.178829,1.5981141e-05,1066.1611,0.021972571
0.0162,511180.94,34.19318,1.5981264e-05,1066.1893,0.021972798
0.0164,511177.25,34.207531,1.5981388e-05,1066.2175,0.021973025
0.0166,511173.56,34.221882,1.5981512e-05,1066.2457,0.021973252
0.016799999,511169.91,34.236237,1.5981635e-05,1066.2739,0.02197348
0.017000001,511166.22,34.250591,1.5981761e-05,1066.3021,0.021973707
0.017200001,511162.56,34.264946,1.5981885e-05,1066.3303,0.021973934
0.0174,511158.88,34.279301,1.5982008e-05,1066.3586,0.021974163
0.0176,511155.19,34.293659,1.5982132e-05,1066.3868,0.02197439
0.0178,511151.53,34.308014,1.5982256e-05,1066.415,0.021974618
0.017999999,511147.84,34.322376,1.5982381e-05,1066.4432,0.021974845
0.018200001,511144.16,34.336735,1.5982505e-05,1066.4716,0.021975074
0.0184,511140.5,34.351093,1.5982629e-05,1066.4998,0.021975301
0.0186,511136.81,34.365456,1.5982752e-05,1066.528,0.021975528
0.0188,511133.12,34.379818,1.5982878e-05,1066.5563,0.021975758
0.018999999,511129.47,34.394184,1.5983002e-05,1066.5845,0.021975985
0.019200001,511125.78,34.408546,1.5983125e-05,1066.6128,0.021976214
0.019400001,511122.09,34.422913,1.5983249e-05,1066.641,0.021976441
0.0196,511118.41,34.437279,1.5983374e-05,1066.6693,0.02197667
0.0198,511114.75,34.451649,1.5983498e-05,1066.6975,0.021976897
0.02,511111.06,34.466015,1.5983624e-05,1066.7258,0.021977127
0.020199999,511107.38,34.480385,1.5983747e-05,1066.7542,0.021977354
0.020400001,511103.72,34.494755,1.5983871e-05,1066.7823,0.021977583
0.0206,511100.03,34.509129,1.5983996e-05,1066.8107,0.02197781
0.0208,511096.34,34.523502,1.598412e-05,1066.839,0.021978039
0.021,511092.66,34.537872,1.5984246e-05,1066.8672,0.021978268
0.021199999,511089,34.55225,1.5984369e-05,1066.8955,0.021978498
0.021400001,511085.31,34.566624,1.5984493e-05,1066.9238,0.021978725
0.021600001,511081.62,34.581001,1.5984619e-05,1066.9521,0.021978954
0.0218,511077.94,34.595379,1.5984742e-05,1066.9805,0.021979183
0.022,511074.25,34.609756,1.5984868e-05,1067.0088,0.021979412
