"time","freeMotion.r_rel_a[1]","freeMotion.r_rel_a[2]","freeMotion.r_rel_a[3]","freeMotion.v_rel_a[1]","freeMotion.v_rel_a[2]","freeMotion.v_rel_a[3]","referenceSystem.pointMass1.w_a[1]","referenceSystem.pointMass1.w_a[2]","referenceSystem.pointMass1.w_a[3]","referenceSystem.pointMass3.v_0[1]","referenceSystem.pointMass6.frame_a.r_0[1]","referenceSystem.pointMass6.frame_a.r_0[2]","referenceSystem.pointMass6.frame_a.r_0[3]","referenceSystem.pointMass6.v_0[2]","referenceSystem.pointMass6.v_0[3]"
0,2,0,0,0,0,-1,0,0,0,0,2,0,-1,0,-1
0.00059999999999999995,1.9999997260018711,-1.7956412696923719e-28,-0.00059999995038257563,-0.00091332645769637288,-5.4747078401320006e-25,-0.99999980687834067,2.3553692713666603e-47,1.6836772674232451e-07,-2.2016863604513097e-34,-0.00091332645769640346,1.9999997259586135,-4.416937686539555e-38,-1.0005999999503823,-1.12779339497468e-34,-0.99999980687834067
0.0011999999999999999,1.9999989040079602,2.3279244066346888e-25,-0.0011999996030808652,-0.0018266530698279667,4.2228291286711681e-22,-0.99999922751343917,-2.2720861018811053e-46,6.7347068707587219e-07,-2.6479450364906569e-34,-0.0018266530698277952,1.9999989036619175,-1.3814949206688919e-37,-1.0011999996030807,-1.8642873065123438e-34,-0.99999922751343895
0.0018,1.9999975340179199,9.7838536339542562e-25,-0.0017999987107145806,-0.0027399799647346711,1.6501486877547334e-21,-0.99999826190442598,3.5346132248298269e-44,1.5153092690177013e-06,-1.9478431128729065e-34,-0.0027399799647334646,1.9999975328938928,-2.8591397105043305e-37,-1.0017999987107147,-2.9757925782559487e-34,-0.99999826190442376
0.0023999999999999998,1.9999956160312089,1.707028722252268e-24,-0.0023999968247227295,-0.003653307375122363,2.0630357720547862e-21,-0.99999691004917513,2.9924047070019142e-43,2.6938842921902956e-06,-1.9338491259092287e-34,-0.0036533073751208512,1.9999956132629351,-4.4139697985536448e-37,-1.0023999968247226,-3.4641829121643206e-34,-0.99999691004916691
0.0029999999999999996,1.999993150047952,2.5310724402153124e-24,-0.0029999940497029793,-0.0045666352467274712,2.0141477412137404e-21,-0.99999517194817522,7.478471319142808e-43,4.2091955679793141e-06,-2.2122634496662537e-34,-0.0045666352467260488,1.999993144860359,-6.1471954587903395e-37,-1.0029999940497027,-3.5501109421268564e-34,-0.99999517194815268
0.0035999999999999999,1.9999901360665175,3.5103357889650944e-24,-0.003599989685950526,-0.0054799639425776279,1.8921181676993174e-21,-0.99999304759491914,1.6249454588560834e-34,6.0612455960989151e-06,-4.5843399504144356e-28,-0.0054799639425763512,1.9999901270745239,-5.428316683784188e-31,-1.0035999896859504,-2.4485719373625149e-28,-0.99999304759486396
0.0041999999999999997,1.9999865740852671,4.7048739129888658e-24,-0.0041999830310015642,-0.0063932938271319198,2.0871130413582561e-21,-0.99999053698287343,6.5061891092484724e-34,8.2500368861198492e-06,-1.83554287723346e-27,-0.0063932938271305051,1.9999865592913779,-2.1734648961312848e-30,-1.0041999830310013,-9.8113641394533413e-28,-0.99999053698275064
0.0047999999999999996,1.9999824641053978,6.0708224368238732e-24,-0.0047999745979368019,-0.0073066246341888345,2.3141544869801075e-21,-0.99998764011681007,1.3452188248330188e-33,1.0775567605047546e-05,-3.7951658262078618e-27,-0.0073066246341872481,1.9999824419594259,-4.4938523763569852e-30,-1.0047999745979361,-2.0303690298996348e-27,-0.9999876401165706
0.0053999999999999994,1.9999778061269091,7.6081813604701195e-24,-0.0053999643867562409,-0.0082199563637483722,2.5732425045648716e-21,-0.99998435699672905,2.2462942876101231e-33,1.3637837752882006e-05,-6.3373028419646546e-27,-0.0082199563637465785,1.9999777750786671,-7.503994109055527e-30,-1.0053999643867551,-3.3937376547559729e-27,-0.99998435699630472
0.0059999999999999993,1.9999726001498013,9.3169506839276025e-24,-0.0059999523974598795,-0.0091332890158105379,2.8643770941125487e-21,-0.99998068762263037,3.3538452992561601e-33,1.6836847329623227e-05,-9.4619539245038341e-27,-0.0091332890158085014,1.9999725586491022,-1.1203890094226909e-29,-1.0059999523974581,-5.0726426132841369e-27,-0.9999806876219306
0.0065999999999999991,1.9999668461740743,1.1197130407196322e-23,-0.0065999386300477194,-0.010046622590375325,3.1875582556231389e-21,-0.99997663199451414,4.6678718597711284e-33,2.0372596335271217e-05,-1.3169119073825401e-26,-0.010046622590373011,1.999966792670731,-1.5593540331871128e-29,-1.0065999386300453,-7.0687019418668852e-27,-0.9999766319934229
