"Time","basicTransformer.i2","basicTransformer.i1"
0,0,0
0.00022,-6.9059672,6.9067483
0.00044,-13.778885,13.78206
0.00066000002,-20.585936,20.593094
0.00088000001,-27.294617,27.307322
0.0011,-33.872894,33.892681
0.00132,-40.289352,40.317719
0.00154,-46.513363,46.551765
0.00176,-52.515198,52.565048
0.0019799999,-58.266201,58.328857
0.0022,-63.738911,63.81567
0.00242,-68.907196,68.999283
0.0026400001,-73.746376,73.85495
0.0028599999,-78.233345,78.359482
0.0030799999,-82.34668,82.491364
0.0033,-86.066742,86.230873
0.00352,-89.375763,89.56015
0.0037400001,-92.257942,92.463295
0.0039599999,-94.699516,94.92646
0.0041800002,-96.688828,96.937874
0.0044,-98.216385,98.48793
0.0046199998,-99.274879,99.569229
0.0048400001,-99.859268,100.17661
0.0050599999,-99.966759,100.30717
0.0052800002,-99.59684,99.960297
0.0055,-98.751274,99.137619
0.0057199998,-97.434097,97.843102
0.0059400001,-95.651604,96.082893
0.0061599999,-93.4123,93.865417
0.0063800002,-90.726883,91.201263
0.0066,-87.60817,88.103134
0.0068199998,-84.07106,84.585846
0.0070400001,-80.132439,80.666183
0.0072599999,-75.811111,76.362854
0.0074800001,-71.127716,71.696426
0.0077,-66.104614,66.689163
0.0079199998,-60.765793,61.364983
0.0081399996,-55.136742,55.749313
0.0083600003,-49.244343,49.868958
0.0085800001,-43.11673,43.752007
0.0088,-36.783161,37.427658
0.0090199998,-30.27388,30.926115
0.0092399996,-23.61997,24.278425
0.0094600003,-16.853203,17.516327
0.0096800001,-10.005889,10.672109
0.0098999999,-3.1107244,3.7784557
0.01012,3.799366,-3.1317174
0.01034,10.691387,-10.025413
0.01056,17.532429,-16.869715
0.01078,24.289827,-23.631945
0.011,30.931313,-30.27981
0.01122,37.425175,-36.78157
0.01144,43.740406,-43.106178
0.01166,49.846848,-49.223431
0.01188,55.715343,-55.104122
0.0121,61.317875,-60.720173
0.01232,66.627686,-66.044762
0.01254,71.619415,-71.052467
0.01276,76.269241,-75.719376
0.01298,80.554962,-80.023209
0.0132,84.456093,-83.943405
0.01342,87.954033,-87.461258
0.01364,91.032059,-90.559959
0.01386,93.675476,-93.224716
0.01408,95.871674,-95.44281
0.0143,97.610153,-97.203636
0.01452,98.882622,-98.498802
0.01474,99.682999,-99.322121
0.01496,100.00746,-99.669647
0.01518,99.854462,-99.539734
0.0154,99.224731,-98.932999
0.01562,98.121277,-97.852341
0.01584,96.549362,-96.302917
0.01606,94.51651,-94.29213
0.016279999,92.032402,-91.829575
0.0165,89.108917,-88.927017
0.016720001,85.760017,-85.598312
0.01694,82.001678,-81.859352
0.01716,77.85186,-77.727997
0.017379999,73.330368,-73.223969
0.0176,68.458801,-68.368782
0.017820001,63.260418,-63.185612
0.01804,57.760036,-57.699207
0.01826,51.983925,-51.935772
0.018479999,45.95966,-45.922821
0.0187,39.716015,-39.689072
0.018920001,33.282795,-33.264282
0.01914,26.690725,-26.67914
0.01936,19.971279,-19.965084
0.019579999,13.156544,-13.154173
0.0198,6.2790575,-6.2789311
0.020020001,-0.62833822,0.62781358
0.02024,-7.5326614,7.5330806
0.02046,-14.400944,14.403898
0.020679999,-21.20039,21.207457
0.0209,-27.898531,27.911272
0.021120001,-34.463387,34.48333
0.02134,-40.863605,40.892254
0.02156,-47.06863,47.107437
0.021779999,-53.048828,53.099201
0.022,-58.77565,58.83894
0.022220001,-64.221741,64.29924
0.02244,-69.361107,69.454041
0.02266,-74.169197,74.278709
0.022879999,-78.623062,78.750221
0.0231,-82.701431,82.847229
0.023320001,-86.384827,86.550156
0.023539999,-89.655663,89.841331
0.02376,-92.498322,92.705032
0.023979999,-94.899231,95.127586
0.0242,-96.846931,97.097435
0.024420001,-98.332108,98.605164
0.024639999,-99.347679,99.64357
0.02486,-99.888802,100.2077
0.025079999,-99.952873,100.29486
0.0253,-99.539604,99.904633
0.025520001,-98.650963,99.038887
0.025739999,-97.291191,97.701744
0.02596,-95.466782,95.899605
0.026179999,-93.186447,93.64106
0.0264,-90.461075,90.936905
0.026620001,-87.30368,87.800049
0.026839999,-83.729347,84.245461
0.02706,-79.755127,80.290123
0.027279999,-75.400002,75.952927
0.0275,-70.684776,71.254578
0.027720001,-65.631958,66.217506
0.027939999,-60.265678,60.865761
0.02816,-54.611553,55.224907
0.028379999,-48.69659,49.321877
0.0286,-42.549026,43.184853
0.028820001,-36.198223,36.843143
0.029039999,-29.674498,30.327026
0.02926,-23.009007,23.66762
0.029479999,-16.233574,16.896719
0.0297,-9.3805542,10.046657
0.029920001,-2.4826698,3.150142
0.030139999,4.4271412,-3.7598948
0.03036,11.315886,-10.650458
0.030579999,18.150669,-17.488646
0.0308,24.898855,-24.241806
0.031020001,31.528221,-30.877691
0.031239999,38.007114,-37.364616
0.031459998,44.304596,-43.671604
0.031679999,50.390594,-49.768539
0.0319,56.236053,-55.626308
0.032120001,61.813057,-61.216942
0.032340001,67.094978,-66.513748
0.032559998,72.056595,-71.491425
0.032779999,76.67421,-76.126213
0.033,80.925781,-80.395981
0.033220001,84.791008,-84.280334
0.033440001,88.251427,-87.760735
0.033659998,91.29052,-90.820549
0.033879999,93.893776,-93.44519
0.0341,96.048759,-95.622101
0.034320001,97.745186,-97.340897
0.034540001,98.97496,-98.593376
0.034759998,99.732193,-99.373543
0.034979999,100.01328,-99.677689
0.0352,99.816879,-99.504349
0.035420001,99.143929,-98.854362
0.035640001,97.997635,-97.730827
0.035859998,96.383476,-96.139099
0.036079999,94.309158,-94.0868
0.0363,91.784592,-91.583702
0.036520001,88.821831,-88.641785
0.036740001,85.435013,-85.275078
0.036959998,81.64032,-81.499672
0.037179999,77.455864,-77.33358
0.0374,72.901634,-72.7967
0.037620001,67.999367,-67.910706
0.037840001,62.77248,-62.698917
0.038059998,57.245926,-57.186222
0.038279999,51.446098,-51.398945
0.0385,45.400684,-45.364712
0.038720001,39.138557,-39.112343
0.038940001,32.689617,-32.671692
0.039159998,26.084658,-26.073513
0.039379999,19.355215,-19.349314
0.0396,12.533424,-12.531203
0.039820001,5.6518593,-5.6517339
0.040040001,-1.2566212,1.2562416
0.040259998,-8.159029,8.1597385
0.040479999,-15.022405,15.025793
0.0407,-21.813976,21.821619
0.040920001,-28.501314,28.514771
0.041140001,-35.052486,35.073284
0.041359998,-41.436211,41.465847
0.041579999,-47.622005,47.66193
0.0418,-53.580334,53.63195
0.042020001,-59.282742,59.347397
0.042240001,-64.702003,64.780983
0.042459998,-69.812248,69.906761
0.042679999,-74.589058,74.700256
0.0429,-79.009644,79.13858
0.043120001,-83.052879,83.200546
0.043340001,-86.699463,86.866745
0.043559998,-89.931992,90.119675
0.043779999,-92.735023,92.94381
0.044,-95.095177,95.325653
0.044220001,-97.001175,97.253845
0.044440001,-98.443924,98.71917
0.044659998,-99.416527,99.714638
0.044879999,-99.914352,100.23548
0.0451,-99.935013,100.27923
0.04532,-99.478409,99.845665
0.045540001,-98.54673,98.936859
0.045759998,-97.144409,97.557152
0.045979999,-95.27816,95.713127
0.0462,-92.956886,93.413597
0.04642,-90.191673,90.66954
0.046640001,-86.995728,87.494057
0.046859998,-83.3843,83.902313
0.047079999,-79.374641,79.911461
0.0473,-74.985893,75.540543
0.04752,-70.239021,70.810448
0.047740001,-65.156685,65.743752
0.047959998,-59.763157,60.364655
0.048179999,-54.084187,54.698833
0.0484,-48.146893,48.773346
