"Time","aimc.is[1]","aimc.is[2]","aimc.idq_sr[1]","aimc.idq_sr[2]","aimc.idq_rr[1]","aimc.idq_rr[2]","transformer.l2sigma.inductor[2].i","transformer.l2sigma.inductor[3].i","loadInertia.phi","loadInertia.w"
2,-91.320938,-181.96873,-199.09007,-194.39494,180.91907,198.10623,90.631889,-455.24301,132.17836,120.6953
2,-91.320938,-181.96873,-199.09007,-194.39494,180.91907,198.10623,90.631889,-455.24301,132.17836,120.6953
2.0000999,-77.755295,-198.26508,-196.87784,-205.58997,178.70656,208.83623,-0.015205663,0.0146612,132.19043,120.69811
2.0002,-63.907612,-214.25377,-194.82669,-216.68172,176.65057,219.46198,-0.01545406,0.014368238,132.2025,120.70142
2.0002999,-49.795124,-229.92041,-192.93449,-227.66666,174.74898,229.9801,-0.015687207,0.014061096,132.21457,120.70523
2.0004001,-35.434937,-245.25098,-191.19864,-238.54123,172.99919,240.38724,-0.015904872,0.013740082,132.22664,120.70956
2.0005,-20.844303,-260.23166,-189.61639,-249.30186,171.3985,250.67996,-0.01610684,0.013405511,132.23871,120.71439
2.0006001,-6.040576,-274.84924,-188.185,-259.94522,169.94417,260.8551,-0.016292913,0.013057715,132.25079,120.71976
2.0007,8.9587059,-289.09079,-186.90166,-270.46796,168.63347,270.90948,-0.016462905,0.012697035,132.26286,120.72564
2.0007999,24.13586,-302.94379,-185.76355,-280.86676,167.46358,280.83994,-0.016616646,0.012323824,132.27493,120.73205
2.0009,39.473221,-316.39633,-184.76776,-291.13855,166.43166,290.64355,-0.016753994,0.011938458,132.287,120.73898
2.0009999,54.952946,-329.43674,-183.91139,-301.28021,165.53482,300.31738,-0.016874803,0.011541311,132.29907,120.74646
2.0011001,70.557198,-342.05396,-183.19145,-311.28879,164.77013,309.85858,-0.016978959,0.011132774,132.31116,120.75447
2.0012,86.268135,-354.23734,-182.60487,-321.16141,164.13458,319.26453,-0.01706636,0.010713258,132.32323,120.76302
2.0013001,102.06781,-365.97668,-182.14864,-330.8952,163.62517,328.53244,-0.017136917,0.010283168,132.33531,120.7721
2.0014,117.93832,-377.26227,-181.81963,-340.48752,163.23886,337.65979,-0.017190557,0.0098429322,132.34738,120.78173
2.0014999,133.86177,-388.08493,-181.61467,-349.9357,162.97255,346.64407,-0.017227236,0.0093929861,132.35947,120.79189
2.0016,149.8203,-398.43591,-181.53059,-359.23715,162.8231,355.48294,-0.017246913,0.0089337733,132.37154,120.80259
2.0016999,165.79607,-408.30701,-181.56421,-368.38943,162.78738,364.17401,-0.017249567,0.0084657473,132.38362,120.81383
2.0018001,181.77135,-417.69055,-181.71225,-377.39023,162.86218,372.71509,-0.017235199,0.0079893675,132.39571,120.8256
2.0019,197.72849,-426.57932,-181.97141,-386.23721,163.0443,381.10403,-0.017203821,0.0075051063,132.40779,120.83791
2.0020001,213.6499,-434.96661,-182.33836,-394.92819,163.33046,389.33881,-0.017155465,0.0070134425,132.41988,120.85074
2.0021,229.51816,-442.84637,-182.80983,-403.46109,163.71745,397.41745,-0.017090177,0.0065148557,132.43196,120.86409
2.0021999,245.31592,-450.21295,-183.38242,-411.83389,164.20193,405.33804,-0.017008021,0.0060098432,132.44405,120.87798
2.0023,261.02603,-457.06125,-184.05272,-420.04465,164.78059,413.09885,-0.016909083,0.0054989047,132.45613,120.89237
2.0023999,276.63147,-463.38678,-184.8174,-428.09158,165.45016,420.69815,-0.016793456,0.0049825371,132.46823,120.90728
2.0025001,292.11545,-469.18549,-185.67297,-435.97293,166.20726,428.13434,-0.016661255,0.0044612554,132.48032,120.92269
2.0026,307.46127,-474.45395,-186.61601,-443.68701,167.04851,435.40585,-0.01651261,0.0039355778,132.49242,120.93861
2.0027001,322.65259,-479.18927,-187.6431,-451.2323,167.9706,442.51129,-0.016347669,0.0034060124,132.5045,120.95502
2.0028,337.67316,-483.3891,-188.75076,-458.60733,168.97011,449.44931,-0.016166594,0.0028730889,132.5166,120.97192
2.0028999,352.50708,-487.05154,-189.93549,-465.8107,170.04364,456.2186,-0.015969565,0.0023373358,132.5287,120.9893
2.003,367.13861,-490.17542,-191.19385,-472.84113,171.18785,462.81805,-0.015756775,0.0017992724,132.5408,121.00716
2.0030999,381.5524,-492.75995,-192.52231,-479.69745,172.39929,469.24652,-0.015528434,0.0012594364,132.5529,121.02547
2.0032001,395.73328,-494.80496,-193.91739,-486.37848,173.67455,475.50302,-0.015284768,0.00071836356,132.565,121.04425
2.0033,409.66641,-496.31085,-195.37558,-492.88327,175.01024,481.58667,-0.015026017,0.00017657902,132.5771,121.06347
2.0034001,423.33734,-497.27853,-196.89337,-499.21088,176.40295,487.49664,-0.014752435,-0.00036537909,132.58922,121.08313
2.0035,436.73181,-497.70944,-198.46727,-505.36044,177.84926,493.23218,-0.014464295,-0.00090697611,132.60132,121.10321
2.0035999,449.83606,-497.60559,-200.09378,-511.33124,179.34578,498.79263,-0.014161878,-0.0014476754,132.61343,121.12372
2.0037,462.63657,-496.96945,-201.76938,-517.12256,180.88908,504.17746,-0.013845486,-0.0019869427,132.62555,121.14463
2.0037999,475.12021,-495.80414,-203.49057,-522.73395,182.47578,509.38614,-0.01351543,-0.0025242446,132.63766,121.16594
2.0039001,487.27426,-494.11316,-205.25389,-528.16479,184.10251,514.41833,-0.013172034,-0.0030590547,132.64978,121.18763
2.0039999,499.08636,-491.9007,-207.05583,-533.41473,185.76585,519.27368,-0.012815638,-0.003590845,132.6619,121.20969
2.0041001,510.54456,-489.17133,-208.89294,-538.48352,187.46248,523.95197,-0.012446595,-0.0041190912,132.67403,121.23212
2.0042,521.63733,-485.93015,-210.76176,-543.37085,189.18901,528.45306,-0.012065267,-0.0046432712,132.68614,121.25491
2.0043001,532.35358,-482.1828,-212.65884,-548.07666,190.94211,532.77698,-0.011672031,-0.0051628682,132.69827,121.27802
2.0044,542.68256,-477.93542,-214.58073,-552.60083,192.71846,536.92358,-0.011267276,-0.0056773699,132.7104,121.30147
2.0044999,552.61414,-473.19461,-216.52405,-556.94342,194.51472,540.89313,-0.010851399,-0.0061862669,132.72253,121.32522
2.0046,562.13837,-467.96744,-218.48535,-561.10455,196.32765,544.68573,-0.010424813,-0.0066890558,132.73466,121.34927
2.0046999,571.24609,-462.26144,-220.4613,-565.08441,198.15395,548.3017,-0.0099879391,-0.0071852398,132.74681,121.37361
2.0048001,579.92834,-456.08469,-222.44852,-568.88336,199.99036,551.74133,-0.009541207,-0.0076743318,132.75894,121.39822
2.0049,588.17682,-449.44562,-224.44366,-572.50165,201.83366,555.00507,-0.0090850582,-0.0081558479,132.77109,121.4231
2.0050001,595.98346,-442.35312,-226.44345,-575.93976,203.68066,558.09338,-0.0086199427,-0.0086293146,132.78323,121.44821
2.0051,603.341,-434.81659,-228.44456,-579.19824,205.52818,561.00696,-0.0081463186,-0.0090942653,132.79538,121.47356
2.0051999,610.24249,-426.84573,-230.44376,-582.27771,207.37308,563.7464,-0.0076646544,-0.0095502445,132.80753,121.49913
2.0053,616.6814,-418.45078,-232.43779,-585.17883,209.21222,566.31238,-0.0071754251,-0.0099968025,132.81967,121.5249
2.0053999,622.65198,-409.64227,-234.42348,-587.9024,211.04251,568.70581,-0.0066791121,-0.010433487,132.83183,121.55086
2.0055001,628.14868,-400.43118,-236.39763,-590.44916,212.8609,570.92749,-0.0061762067,-0.010859873,132.84398,121.57699
2.0056,633.16663,-390.82883,-238.35712,-592.82013,214.66437,572.97845,-0.0056672054,-0.011275542,132.85614,121.60329
2.0057001,637.70154,-380.84695,-240.29883,-595.0163,216.44992,574.85968,-0.0051526106,-0.011680081,132.8683,121.62972
2.0058,641.74945,-370.49756,-242.21971,-597.0387,218.2146,576.57233,-0.0046329321,-0.012073092,132.88048,121.6563
2.0058999,645.30707,-359.79303,-244.11673,-598.88843,219.95549,578.11749,-0.0041086818,-0.012454187,132.89264,121.68298
2.006,648.37158,-348.74609,-245.98686,-600.56677,221.66969,579.4964,-0.0035803714,-0.012822988,132.9048,121.70978
2.0060999,650.94067,-337.36975,-247.82719,-602.07495,223.35437,580.71039,-0.0030485261,-0.013179136,132.91698,121.73666
2.0062001,653.01257,-325.67734,-249.6348,-603.41431,225.00674,581.76086,-0.0025136713,-0.013522275,132.92915,121.76361
2.0063,654.58612,-313.68243,-251.4068,-604.5863,226.62404,582.64923,-0.0019763357,-0.01385207,132.94133,121.79063
2.0064001,655.66052,-301.39886,-253.14038,-605.59241,228.20354,583.37695,-0.0014370503,-0.014168198,132.95351,121.81769
2.0065,656.23566,-288.84079,-254.83275,-606.43414,229.74258,583.94568,-0.00089634699,-0.014470345,132.9657,121.84478
2.0065999,656.31177,-276.02246,-256.48114,-607.11316,231.23851,584.35693,-0.0003547536,-0.014758202,132.97787,121.87189
2.0067,655.88971,-262.95853,-258.08289,-607.6311,232.68875,584.61249,0.00018719127,-0.015031495,132.99007,121.89899
2.0067999,654.97101,-249.6637,-259.63535,-607.98969,234.09079,584.71399,0.00072895241,-0.015289953,133.00226,121.92609
2.0069001,653.55737,-236.15297,-261.13593,-608.19073,235.44212,584.66333,0.0012699945,-0.015533322,133.01445,121.95317
2.007,651.65137,-222.44145,-262.58209,-608.23615,236.74031,584.46234,0.0018097832,-0.015761366,133.02666,121.98022
2.0071001,649.2558,-208.54442,-263.97134,-608.12781,237.98299,584.11292,0.0023477857,-0.015973859,133.03885,122.0072
2.0072,646.37408,-194.47729,-265.30118,-607.86761,239.16779,583.617,0.0028834757,-0.016170574,133.05106,122.03413
2.0072999,643.01019,-180.25565,-266.56924,-607.45764,240.29242,582.97656,0.0034163217,-0.016351333,133.06326,122.06097
2.0074,639.16846,-165.89511,-267.77322,-606.90002,241.35468,582.19379,0.0039457972,-0.016515953,133.07547,122.08774
2.0074999,634.85382,-151.41147,-268.91086,-606.19678,242.35239,581.27075,0.0044713803,-0.016664276,133.08768,122.11439
2.0076001,630.07172,-136.82053,-269.97986,-605.35016,243.28342,580.20959,0.0049925507,-0.016796159,133.09988,122.14093
2.0077,624.82788,-122.13819,-270.97809,-604.36237,244.14571,579.01257,0.0055087954,-0.016911469,133.11211,122.16735
2.0078001,619.12866,-107.38036,-271.90344,-603.23566,244.93721,577.68182,0.0060196058,-0.017010076,133.12433,122.19363
2.0079,612.98083,-92.563004,-272.75381,-601.97241,245.65599,576.21973,0.0065244767,-0.017091896,133.13654,122.21976
2.0079999,606.3916,-77.702103,-273.52728,-600.57489,246.30017,574.62854,0.0070229103,-0.017156849,133.14877,122.24573
2.0081,599.36871,-62.813606,-274.22186,-599.04553,246.8679,572.91077,0.0075144153,-0.017204871,133.161,122.27152
2.0081999,591.92023,-47.913467,-274.83572,-597.38684,247.35742,571.06879,0.0079985065,-0.017235922,133.17322,122.29714
2.0083001,584.05463,-33.017582,-275.36703,-595.60126,247.767,569.10498,0.0084747057,-0.017249964,133.18546,122.32256
2.0084,575.78088,-18.141773,-275.814,-593.69128,248.09496,567.02179,0.0089425417,-0.017246969,133.19768,122.34779
2.0085001,567.10828,-3.3018336,-276.17499,-591.65948,248.33971,564.8219,0.0094015524,-0.017226953,133.20992,122.3728
2.0086,558.04657,11.486546,-276.44833,-589.50848,248.49973,562.50775,0.0098512881,-0.017189937,133.22215,122.39759
2.0086999,548.6059,26.207775,-276.63251,-587.24084,248.57355,560.08191,0.010291304,-0.017135959,133.23441,122.42216
2.0088,538.79669,40.846382,-276.72601,-584.85925,248.55977,557.547,0.010721167,-0.017065076,133.24664,122.44648
2.0088999,528.62988,55.387032,-276.72742,-582.36639,248.45702,554.9057,0.011140452,-0.016977355,133.2589,122.47056
2.0090001,518.11646,69.814568,-276.63531,-579.76489,248.26401,552.16064,0.01154874,-0.016872864,133.27113,122.49439
2.0091,507.2681,84.113945,-276.44843,-577.05762,247.97952,549.31451,0.011945631,-0.016751722,133.28339,122.51796
2.0092001,496.09656,98.270325,-276.16553,-574.24719,247.60242,546.36993,0.012330737,-0.016614048,133.29564,122.54126
2.0093,484.61401,112.26904,-275.78543,-571.33649,247.13161,543.32977,0.012703677,-0.016459981,133.30789,122.56429
2.0093999,472.83292,126.09566,-275.30707,-568.32825,246.56607,540.19666,0.013064084,-0.016289676,133.32016,122.58704
2.0095,460.76593,139.73596,-274.7294,-565.22534,245.90483,536.97339,0.013411602,-0.016103299,133.33241,122.6095
2.0095999,448.42599,153.17598,-274.05139,-562.03052,245.14697,533.66278,0.013745879,-0.015901016,133.34468,122.63168
2.0097001,435.82642,166.40198,-273.27216,-558.7467,244.29167,530.26752,0.014066591,-0.015683038,133.35693,122.65356
2.0098,422.98065,179.40045,-272.3909,-555.37671,243.33818,526.79047,0.014373424,-0.015449584,133.3692,122.67514
2.0099001,409.90237,192.15825,-271.40686,-551.9234,242.28581,523.23438,0.014666076,-0.015200885,133.38147,122.69642
2.01,396.6055,204.66241,-270.31931,-548.38971,241.13391,519.60217,0.014944261,-0.014937192,133.39375,122.71739
2.0100999,383.10413,216.90038,-269.12766,-544.7785,239.88193,515.89655,0.015207701,-0.014658762,133.40602,122.73806
2.0102,369.41248,228.85985,-267.83124,-541.09259,238.5293,512.12042,0.015456125,-0.014365849,133.41829,122.75842
2.0102999,355.54501,240.52885,-266.42963,-537.33496,237.07562,508.27655,0.015689299,-0.014058759,133.43057,122.77845
2.0104001,341.51636,251.89577,-264.92239,-533.50854,235.52052,504.36783,0.01590699,-0.013737795,133.44286,122.79818
2.0105,327.34119,262.94928,-263.30917,-529.61615,233.86372,500.39703,0.016108986,-0.013403276,133.45512,122.81759
2.0106001,313.03439,273.6785,-261.58966,-525.66071,232.10495,496.36703,0.016295094,-0.013055536,133.46741,122.83669
2.0107,298.61087,284.07285,-259.76364,-521.64514,230.24403,492.28061,0.016465126,-0.012694915,133.47969,122.85547
2.0107999,284.08566,294.12216,-257.8309,-517.57227,228.28082,488.14062,0.016618896,-0.012321752,133.49199,122.87393
2.0109,269.47385,303.81662,-255.79137,-513.44513,226.2153,483.94986,0.01675627,-0.011936428,133.50427,122.89207
2.0109999,254.79059,313.14688,-253.64503,-509.26645,224.04747,479.71115,0.016877109,-0.011539326,133.51656,122.90991
2.0111001,240.05112,322.10388,-251.39192,-505.03918,221.77744,475.42725,0.0169813,-0.01113084,133.52885,122.92743
2.0112,225.27063,330.67911,-249.03217,-500.76614,219.40532,471.10095,0.01706874,-0.010711375,133.54115,122.94464
2.0113001,210.46432,338.86438,-246.56586,-496.45023,216.93129,466.73502,0.017139329,-0.010281329,133.55344,122.96155
2.0114,195.64745,346.65198,-243.99324,-492.09427,214.35562,462.33224,0.017193001,-0.0098411338,133.56573,122.97814
2.0114999,180.83519,354.03461,-241.31464,-487.70105,211.67865,457.89532,0.017229708,-0.0093912268,133.57803,122.99444
2.0116,166.04272,361.00543,-238.53038,-483.27338,208.90077,453.427,0.017249417,-0.0089320531,133.59033,123.01044
2.0116999,151.28516,367.55798,-235.6409,-478.81406,206.02242,448.92996,0.01725211,-0.0084640682,133.60265,123.02614
2.0118001,136.57753,373.6864,-232.64667,-474.32584,203.04408,444.40692,0.017237777,-0.0079877293,133.61494,123.04156
2.0118999,121.93477,379.38513,-229.5482,-469.81149,199.96634,439.8605,0.017206427,-0.0075035007,133.62724,123.05669
2.0120001,107.37176,384.64917,-226.34613,-465.27368,196.78979,435.2934,0.017158099,-0.0070118671,133.63956,123.07154
2.0121,92.903236,389.47394,-223.04111,-460.71518,193.51514,430.70816,0.017092841,-0.0065133143,133.65187,123.08612
2.0122001,78.543831,393.85538,-219.63385,-456.13861,190.14311,426.10739,0.01701072,-0.0060083359,133.66417,123.10043
2.0123,64.308006,397.78979,-216.12514,-451.54663,186.67451,421.49365,0.01691182,-0.0054974309,133.67648,123.11449
2.0123999,50.210056,401.27414,-212.51579,-446.94183,183.11017,416.86951,0.01679622,-0.0049810931,133.6888,123.12828
