"Time","source.i","load.v","load.i"
0,-0,0,-0
1e-06,-0.37751436,0,-0
2e-06,-0.75502867,0,-0
3.0000001e-06,-1.1325428,0,-0
4e-06,-1.510057,0,-0
4.9999999e-06,-1.887571,0,-0
6.0000002e-06,-2.2650847,0,-0
7.0000001e-06,-2.6425984,0,-0
8e-06,-3.0201116,0,-0
9.0000003e-06,-3.3976247,0,-0
9.9999997e-06,-3.7751374,0,-0
1.1e-05,-4.1526494,0,-0
1.2e-05,-4.5301614,0,-0
1.3e-05,-4.9076729,0,-0
1.4e-05,-5.2851839,0,-0
1.5e-05,-5.6626945,0,-0
1.6e-05,-6.040204,0,-0
1.7e-05,-6.4177136,0,-0
1.8000001e-05,-6.7952223,0,-0
1.8999999e-05,-7.17273,0,-0
1.9999999e-05,-7.5502372,0,-0
2.1e-05,-7.9277439,0,-0
2.2e-05,-8.3052492,0,-0
2.3000001e-05,-8.6827545,0,-0
2.4000001e-05,-9.0602589,0,-0
2.4999999e-05,-9.4377623,0,-0
2.6e-05,-9.8152637,0,-0
2.7e-05,-10.192765,0,-0
2.8e-05,-10.570266,0,-0
2.9000001e-05,-10.947764,0,-0
2.9999999e-05,-11.325263,0,-0
3.1e-05,-11.70276,0,-0
3.2e-05,-12.080256,0,-0
3.3e-05,-12.45775,0,-0
3.4000001e-05,-12.835244,0,-0
3.5000001e-05,-13.212736,0,-0
3.6000001e-05,-13.590227,0,-0
3.7000002e-05,-13.967716,0,-0
3.7999998e-05,-14.345204,0,-0
3.8999999e-05,-14.722692,0,-0
3.9999999e-05,-15.100177,0,-0
4.0999999e-05,-15.47766,0,-0
4.2e-05,-15.855143,0,-0
4.3e-05,-16.232624,0,-0
4.4e-05,-16.610102,0,-0
4.5000001e-05,-16.987579,0,-0
4.6000001e-05,-17.365055,0,-0
4.7000001e-05,-17.742531,0,-0
4.8000002e-05,-18.120003,0,-0
4.8999998e-05,-18.497473,0,-0
4.9999999e-05,-18.874941,0,-0
5.0999999e-05,-19.252409,0,-0
5.1999999e-05,-19.629873,0,-0
5.3e-05,-20.007336,0,-0
5.4e-05,-20.384798,0,-0
5.5e-05,-20.762257,0,-0
5.6000001e-05,-21.139713,0,-0
5.7000001e-05,-21.517168,0,-0
5.8000001e-05,-21.894621,0,-0
5.9000002e-05,-22.272072,0,-0
5.9999998e-05,-22.649521,0,-0
6.0999999e-05,-23.026966,0,-0
