"Time","greaterThreshold.y","greaterEqualThreshold.y","lessThreshold.y","lessEqualThreshold.y","ramp.y"
0,1,1,1,1,1
0.00019999999,1,1,1,1,1
0.00039999999,1,1,1,1,1
0.00060000003,1,1,1,1,1
0.00079999998,1,1,1,1,1
0.001,1,1,1,1,1
0.0012000001,1,1,1,1,1
0.0014,1,1,1,1,1
0.0016,1,1,1,1,1
0.0018,1,1,1,1,1
0.0020000001,1,1,1,1,1
0.0022,1,1,1,1,1
0.0024000001,1,1,1,1,1
0.0026,1,1,1,1,1
0.0027999999,1,1,1,1,1
0.003,1,1,1,1,1
0.0031999999,1,1,1,1,1
0.0034,1,1,1,1,1
0.0035999999,1,1,1,1,1
0.0038000001,1,1,1,1,1
0.0040000002,1,1,1,1,1
0.0041999999,1,1,1,1,1
0.0044,1,1,1,1,1
0.0046000001,1,1,1,1,1
0.0048000002,1,1,1,1,1
0.0049999999,1,1,1,1,1
0.0052,1,1,1,1,1
0.0054000001,1,1,1,1,1
0.0055999998,1,1,1,1,1
0.0057999999,1,1,1,1,1
0.0060000001,1,1,1,1,1
0.0062000002,1,1,1,1,1
0.0063999998,1,1,1,1,1
0.0066,1,1,1,1,1
0.0068000001,1,1,1,1,1
0.0070000002,1,1,1,1,1
0.0071999999,1,1,1,1,1
0.0074,1,1,1,1,1
0.0076000001,1,1,1,1,1
0.0077999998,1,1,1,1,1
0.0080000004,1,1,1,1,1
0.0082,1,1,1,1,1
0.0083999997,1,1,1,1,1
0.0086000003,1,1,1,1,1
0.0088,1,1,1,1,1
0.0089999996,1,1,1,1,1
0.0092000002,1,1,1,1,1
0.0093999999,1,1,1,1,1
0.0096000005,1,1,1,1,1
0.0098000001,1,1,1,1,1
0.0099999998,1,1,1,1,1
0.0102,1,1,1,1,1
0.0104,1,1,1,1,1
0.0106,1,1,1,1,1
0.0108,1,1,1,1,1
0.011,1,1,1,1,1
0.0112,1,1,1,1,1
0.0114,1,1,1,1,1
0.0116,1,1,1,1,1
0.0118,1,1,1,1,1
0.012,1,1,1,1,1
0.0122,1,1,1,1,1
0.0124,1,1,1,1,1
0.0126,1,1,1,1,1
0.0128,1,1,1,1,1
0.013,1,1,1,1,1
0.0132,1,1,1,1,1
0.0134,1,1,1,1,1
0.0136,1,1,1,1,1
0.0138,1,1,1,1,1
0.014,1,1,1,1,1
0.0142,1,1,1,1,1
0.0144,1,1,1,1,1
0.0146,1,1,1,1,1
0.0148,1,1,1,1,1
0.015,1,1,1,1,1
0.0152,1,1,1,1,1
0.0154,1,1,1,1,1
0.0156,1,1,1,1,1
0.015799999,1,1,1,1,1
0.016000001,1,1,1,1,1
0.0162,1,1,1,1,1
0.0164,1,1,1,1,1
0.0166,1,1,1,1,1
0.016799999,1,1,1,1,1
0.017000001,1,1,1,1,1
0.017200001,1,1,1,1,1
0.0174,1,1,1,1,1
0.0176,1,1,1,1,1
0.0178,1,1,1,1,1
0.017999999,1,1,1,1,1
0.018200001,1,1,1,1,1
0.0184,1,1,1,1,1
0.0186,1,1,1,1,1
0.0188,1,1,1,1,1
0.018999999,1,1,1,1,1
0.019200001,1,1,1,1,1
0.019400001,1,1,1,1,1
0.0196,1,1,1,1,1
0.0198,1,1,1,1,1
0.02,1,1,1,1,1
0.020199999,1,1,1,1,1
0.020400001,1,1,1,1,1
0.0206,1,1,1,1,1
0.0208,1,1,1,1,1
0.021,1,1,1,1,1
0.021199999,1,1,1,1,1
0.021400001,1,1,1,1,1
0.021600001,1,1,1,1,1
0.0218,1,1,1,1,1
0.022,1,1,1,1,1
0.0222,1,1,1,1,1
0.022399999,1,1,1,1,1
0.022600001,1,1,1,1,1
0.0228,1,1,1,1,1
0.023,1,1,1,1,1
0.0232,1,1,1,1,1
0.023399999,1,1,1,1,1
0.023600001,1,1,1,1,1
0.023800001,1,1,1,1,1
0.024,1,1,1,1,1
0.0242,1,1,1,1,1
0.0244,1,1,1,1,1
0.024599999,1,1,1,1,1
0.024800001,1,1,1,1,1
0.025,1,1,1,1,1
0.0252,1,1,1,1,1
0.0254,1,1,1,1,1
