"time","inductor.inductor[2].i","inductor.inductor[3].i","inductor.inductor[4].i","inductor.inductor[5].i","inductor.inductor[6].i","fundamentalWaveCurrent[1].mean1.y","fundamentalWaveCurrent[1].mean2.y","fundamentalWaveCurrent[2].mean1.y","fundamentalWaveCurrent[2].mean2.y","fundamentalWaveCurrent[3].mean1.y","fundamentalWaveCurrent[3].mean2.y","fundamentalWaveCurrent[4].mean1.y","fundamentalWaveCurrent[4].mean2.y","fundamentalWaveCurrent[5].mean1.y","fundamentalWaveCurrent[5].mean2.y","fundamentalWaveCurrent[6].mean1.y","fundamentalWaveCurrent[6].mean2.y","fundamentalWaveVoltage[1].mean1.y","fundamentalWaveVoltage[1].mean2.y","fundamentalWaveVoltage[2].mean1.y","fundamentalWaveVoltage[2].mean2.y","fundamentalWaveVoltage[3].mean1.y","fundamentalWaveVoltage[3].mean2.y","fundamentalWaveVoltage[4].mean1.y","fundamentalWaveVoltage[4].mean2.y","fundamentalWaveVoltage[5].mean1.y","fundamentalWaveVoltage[5].mean2.y","fundamentalWaveVoltage[6].mean1.y","fundamentalWaveVoltage[6].mean2.y","inverter.ac.pin[1].v","inverter.ac.pin[1].i","inverter.ac.pin[2].v","inverter.ac.pin[2].i","inverter.ac.pin[3].v","inverter.ac.pin[3].i","inverter.ac.pin[4].v","inverter.ac.pin[4].i","inverter.ac.pin[5].v","inverter.ac.pin[5].i","inverter.ac.pin[6].v","inverter.ac.pin[6].i","currentSensor.i[1]","currentSensor.i[2]","currentSensor.i[3]","voltageSensor.v[1]","voltageSensor.v[2]","voltageSensor.v[3]"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.999999979999998,0,49.999999979999998,0,49.999999979999998,0,49.999999979999998,0,-49.999999979999998,0,49.999999979999998,0,0,0,0,16.666666659999997,16.666666659999997,16.666666659999997
1.0000000000000001e-05,0.00016658336889994511,0.00016658336889994544,0.00016658336889994557,-0.00083291684449972726,0.00016658336889994546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.999999978334174,-0.00016658336889994568,49.999999978334174,-0.00016658336889994511,49.999999978334174,-0.00016658336889994544,49.999999978334174,-0.00016658336889994557,-49.999999971670832,0.00083291684449972726,49.999999978334174,-0.00016658336889994546,0.00016658336889994568,0.00016658336889994511,0.00016658336889994544,16.666666658334165,16.666666658334165,16.666666658334165
2.0000000000000002e-05,0.00033300028524454659,0.00033300028524454718,0.00033300028524454751,-0.0016650014262227365,0.00033300028524454729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.999999976669997,-0.00033300028524454783,49.999999976669997,-0.00033300028524454659,49.999999976669997,-0.00033300028524454718,49.999999976669997,-0.00033300028524454751,-49.999999963349985,0.0016650014262227365,49.999999976669997,-0.00033300028524454729,0.00033300028524454783,0.00033300028524454659,0.00033300028524454718,16.666666656670003,16.666666656670003,16.666666656670003
3.0000000000000004e-05,0.00049925091986099447,0.00049925091986099555,0.00049925091986099577,-0.0024962545993049787,0.00049925091986099555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.999999975007483,-0.0004992509198609975,49.999999975007483,-0.00049925091986099447,49.999999975007483,-0.00049925091986099555,49.999999975007483,-0.00049925091986099577,-49.999999955037453,0.0024962545993049787,49.999999975007483,-0.00049925091986099555,0.0004992509198609975,0.00049925091986099447,0.00049925091986099555,16.666666655007482,16.666666655007482,16.666666655007482
4.0000000000000003e-05,0.00066533561468596247,0.00066533561468596367,0.00066533561468596421,-0.00332667807342982,0.00066533561468596378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.999999973346632,-0.00066533561468596594,49.999999973346632,-0.00066533561468596247,49.999999973346632,-0.00066533561468596367,49.999999973346632,-0.00066533561468596421,-49.999999946733219,0.00332667807342982,49.999999973346632,-0.00066533561468596378,0.00066533561468596594,0.00066533561468596247,0.00066533561468596367,16.666666653346638,16.666666653346638,16.666666653346638
5.0000000000000002e-05,0.00083125429175577874,0.00083125429175578025,0.0008312542917557808,-0.0041562714587789033,0.00083125429175578047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.999999971687458,-0.00083125429175578329,49.999999971687458,-0.00083125429175577874,49.999999971687458,-0.00083125429175578025,49.999999971687458,-0.0008312542917557808,-49.999999938437284,0.0041562714587789033,49.999999971687458,-0.00083125429175578047,0.00083125429175578329,0.00083125429175577874,0.00083125429175578025,16.666666651687457,16.666666651687457,16.666666651687457
6.0000000000000008e-05,0.00099700714770389453,0.00099700714770389648,0.00099700714770389691,-0.0049850357385194822,0.00099700714770389648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.999999970029918,-0.00099700714770389778,49.999999970029918,-0.00099700714770389453,49.999999970029918,-0.00099700714770389648,49.999999970029918,-0.00099700714770389691,-49.999999930149642,0.0049850357385194822,49.999999970029918,-0.00099700714770389648,0.00099700714770389778,0.00099700714770389453,0.00099700714770389648,16.666666650029931,16.666666650029931,16.666666650029931
6.6987298107836851e-05,0.0011127254181071528,0.0011127254181071548,0.0011127254181071556,-0.0055636270905357757,0.001112725418107155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.999999968872743,-0.0011127254181071576,49.999999968872743,-0.0011127254181071528,49.999999968872743,-0.0011127254181071548,49.999999968872743,-0.0011127254181071556,-49.999999924363728,0.0055636270905357757,49.999999968872743,-0.001112725418107155,0.0011127254181071576,0.0011127254181071528,0.0011127254181071548,16.666666648872742,16.666666648872742,16.666666648872742
6.6987298107836851e-05,0.0011127254181071528,0.0011127254181071548,0.0011127254181071556,-0.0055636270905357757,0.001112725418107155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.999999968872743,-0.0011127254181071576,-49.999999991127254,-0.0011127254181071528,49.999999968872743,-0.0011127254181071548,49.999999968872743,-0.0011127254181071556,-49.999999924363728,0.0055636270905357757,49.999999968872743,-0.001112725418107155,0.0011127254181071576,0.0011127254181071528,0.0011127254181071548,33.333333308872739,-66.666666651127258,33.333333308872739
7.0000000000000007e-05,0.00091157369580895922,0.0012127985084473922,0.0012127985084473931,-0.0057627677295985329,0.0012127985084473927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.999999967872014,-0.0012127985084473957,-49.999999989115736,-0.00091157369580895922,49.999999967872014,-0.0012127985084473922,49.999999967872014,-0.0012127985084473931,-49.999999922372325,0.0057627677295985329,49.999999967872014,-0.0012127985084473927,0.0012127985084473957,0.00091157369580895922,0.0012127985084473922,33.333333307872003,-66.66666664911574,33.333333307872003
