"Time","gearConstraint.actuatedRevolute_b.phi","gearConstraint.actuatedRevolute_b.w","revolute1.phi","revolute1.w","revolute2.phi","revolute2.w","revolute3.phi","revolute3.w"
0,0,0,0,0,0,0,0,0
0.00019999999,-2.5679941e-07,-0.00254339,1.9545414e-06,0.020262208,2.6753776e-07,0.0036694093,4.2067131e-07,0.005298893
0.00039999999,-9.8035707e-07,-0.0047407751,9.1828633e-06,0.050605409,2.9627042e-06,0.021319134,3.7620146e-06,0.025957642
0.00060000003,-2.1085189e-06,-0.0065922504,2.3495973e-05,0.091027819,1.059716e-05,0.052948076,1.2783265e-05,0.061972681
0.00079999998,-3.5734824e-06,-0.0080979718,4.6869623e-05,0.141526,2.5911466e-05,0.098554648,3.0494497e-05,0.11333783
0.001,-5.3128961e-06,-0.0092581362,8.1120888e-05,0.20209487,5.1426836e-05,0.15813711,5.9663929e-05,0.18004479
0.0012000001,-7.2520284e-06,-0.010073036,0.00012842767,0.27272588,9.0166526e-05,0.23169331,0.00010360943,0.26208067
0.0014,-9.3196468e-06,-0.010543017,0.0001908658,0.35340765,0.00014501455,0.31922129,0.0001654935,0.35942957
0.0016,-1.1446387e-05,-0.010668474,0.00027045616,0.44412535,0.00021878196,0.42071944,0.0002483954,0.47207212
0.0018,-1.3563221e-05,-0.010449867,0.00036920904,0.54486012,0.00031426965,0.53618675,0.00035537919,0.59998518
0.0020000001,-1.5602112e-05,-0.0098877056,0.00048910436,0.65558869,0.00043424193,0.66562283,0.00048946397,0.74314147
0.0022,-1.7494585e-05,-0.0089825606,0.00063213293,0.77628297,0.00058148534,0.80902833,0.00065368728,0.90150958
0.0024000001,-1.917205e-05,-0.0077350559,0.00080028654,0.90690964,0.00075879612,0.96640491,0.00085109071,1.0750536
0.0026,-2.0565925e-05,-0.0061458689,0.00099555275,1.0474294,0.00096897583,1.1377555,0.001084713,1.263733
0.0027999999,-2.1607884e-05,-0.004215729,0.0012199074,1.1977971,0.0012148224,1.3230847,0.0013575797,1.4675022
0.003,-2.2229695e-05,-0.001945417,0.001475319,1.3579608,0.0014991366,1.5223987,0.0016727091,1.686311
0.0031999999,-2.2363454e-05,0.0006642362,0.0017637393,1.5278615,0.0018247144,1.7357056,0.0020331014,1.9201035
0.0034,-2.1941307e-05,0.0036123516,0.0020871109,1.707433,0.0021943585,1.9630153,0.0024417504,2.1688187
0.0035999999,-2.0895555e-05,0.0068980027,0.0024473635,1.8966011,0.0026108741,2.2043402,0.0029016384,2.4323902
0.0038000001,-1.9158668e-05,0.010520216,0.0028464121,2.0952835,0.0030770712,2.4596949,0.003415735,2.7107453
0.0040000002,-1.6663838e-05,0.014477978,0.0032861382,2.3033893,0.0035957405,2.7290962,0.003986971,3.0038059
0.0041999999,-1.3344218e-05,0.018770227,0.0037684126,2.5208182,0.0041696872,3.0125642,0.0046182722,3.3114874
0.0044,-9.1332595e-06,0.023395868,0.0042950832,2.7474611,0.0048017171,3.3101211,0.0053125438,3.6336994
0.0046000001,-3.9638426e-06,0.028353764,0.0048679947,2.9831986,0.0054946728,3.6217923,0.0060727061,3.970345
0.0048000002,2.2302715e-06,0.033642739,0.0054889526,3.2279019,0.0062513761,3.9476061,0.0069016321,4.321321
0.0049999999,9.51527e-06,0.039261594,0.0061597391,3.481431,0.007074662,4.2875938,0.0078021809,4.6865177
0.0052,1.7956732e-05,0.045209099,0.0068820943,3.7436357,0.0079673575,4.6417894,0.0087771723,5.0658193
0.0054000001,2.7620466e-05,0.051483981,0.0076577463,4.0143542,0.0089323176,5.010231,0.0098294253,5.4591017
0.0055999998,3.8571856e-05,0.058084965,0.0084883804,4.2934136,0.0099723944,5.3929591,0.010961724,5.8662362
0.0057999999,5.0875966e-05,0.065010749,0.0093756458,4.5806298,0.01109045,5.7900176,0.012176825,6.287087
0.0060000001,6.4597647e-05,0.072260015,0.010321155,4.8758054,0.012289356,6.2014537,0.013477458,6.7215104
0.0062000002,7.9801466e-05,0.079831436,0.01132648,5.1787324,0.013571993,6.6273184,0.014866322,7.1693568
0.0063999998,9.6551725e-05,0.08772368,0.012393148,5.4891891,0.014941253,7.0676641,0.016346088,7.6304712
0.0066,0.00011491239,0.095935404,0.013522641,5.806941,0.016400034,7.5225482,0.01791939,8.1046906
0.0068000001,0.00013494724,0.10446529,0.014716393,6.1317415,0.01795125,7.9920301,0.01958883,8.5918455
0.0070000002,0.00015671981,0.11331203,0.01597579,6.4633307,0.019597827,8.4761724,0.021356983,9.0917616
0.0071999999,0.00018029324,0.12247431,0.017302159,6.801434,0.021342704,8.9750404,0.023226378,9.6042566
0.0074,0.00020573058,0.13195086,0.018696776,7.1457658,0.023188829,9.4887018,0.025199514,10.129145
0.0076000001,0.00023309454,0.14174046,0.020160858,7.4960241,0.025139173,10.017227,0.027278852,10.666234
0.0077999998,0.0002624476,0.15184189,0.021695556,7.8518944,0.027196715,10.560688,0.029466808,11.215323
0.0080000004,0.00029385206,0.16225405,0.023301963,8.2130489,0.029364446,11.11916,0.031765766,11.776214
0.0082,0.00032736993,0.17297581,0.024981102,8.5791445,0.03164538,11.692718,0.034178067,12.348696
0.0083999997,0.00036306301,0.18400617,0.026733924,8.9498253,0.034042541,12.28144,0.036706004,12.932557
0.0086000003,0.00040099298,0.19534421,0.028561309,9.3247194,0.036558967,12.885404,0.039351836,13.527584
0.0088,0.00044122126,0.20698908,0.030464064,9.7034416,0.039197721,13.504688,0.042117771,14.133556
0.0089999996,0.00048380913,0.21894005,0.032442912,10.085593,0.041961867,14.139375,0.045005977,14.750254
0.0092000002,0.00052881776,0.23119651,0.034498502,10.470761,0.044854496,14.789539,0.048018578,15.377452
0.0093999999,0.00057630823,0.24375795,0.03663139,10.858516,0.047878716,15.455263,0.051157653,16.014927
