"time","pump.medium.T","N_pump.y","Source.ports[1].m_flow","Source.ports[1].p","Source.ports[1].h_outflow","Sink.ports[1].m_flow","Sink.ports[1].p","Sink.ports[1].h_outflow","pump.port_b.m_flow","pump.port_b.p","pump.port_b.h_outflow","V1.port_b.m_flow","V1.port_b.p","V1.port_b.h_outflow","V1.minLimiter.y","V2.port_b.m_flow","V2.port_b.p","V2.port_b.h_outflow","V2.minLimiter.y","V1_Opening.y","V2_Opening.y"
0,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.002,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.0040000000000000001,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.0060000000000000001,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.0080000000000000002,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.01,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.012,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.014,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.016,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.018000000000000002,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.02,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.021999999999999999,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.024,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.026000000000000002,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.028000000000000001,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.029999999999999999,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.032000000000000001,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.034000000000000002,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.036000000000000004,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.037999999999999999,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.040000000000000001,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.042000000000000003,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.043999999999999997,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.045999999999999999,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.048000000000000001,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.050000000000000003,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.052000000000000005,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.053999999999999999,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.056000000000000001,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.058000000000000003,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.059999999999999998,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.062,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.064000000000000001,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.066000000000000003,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.068000000000000005,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.070000000000000007,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.072000000000000008,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.073999999999999996,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.075999999999999998,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.078,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.080000000000000002,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.082000000000000003,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.084000000000000005,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.086000000000000007,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.087999999999999995,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.089999999999999997,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.091999999999999998,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.094,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.096000000000000002,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.098000000000000004,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.10000000000000001,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.10200000000000001,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.10400000000000001,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
0.106,293.14999999999998,0,0,100000,83680,0,100000,83680,-6.0634526334233448e-10,100000.00000043387,83680,-6.0634526334233448e-10,100000,83680,1,0,100000,83680,0.001,1,0
