"Time","inertiaLoad.w","inertiaLoadQS.w"
0,0,0
9.9999997e-05,0.031284086,0.031284079
0.00019999999,0.062568173,0.06256815
0.00030000001,0.093852252,0.093852222
0.00039999999,0.12513632,0.12513629
0.00050000002,0.15642038,0.15642034
0.00060000003,0.18770443,0.18770437
0.00069999998,0.21898843,0.21898837
0.00079999998,0.25027242,0.25027236
0.00089999998,0.2815564,0.28155631
0.001,0.31284037,0.31284025
0.0011,0.34412429,0.3441242
0.0012000001,0.3754082,0.37540808
0.0013,0.40669206,0.40669194
0.0014,0.43797588,0.43797576
0.0015,0.46925968,0.46925953
0.0016,0.50054348,0.5005433
0.0017,0.53182721,0.53182703
0.0018,0.56311089,0.56311071
0.0019,0.59439451,0.59439433
0.0020000001,0.62567806,0.62567788
0.0020999999,0.65696162,0.65696138
0.0022,0.68824512,0.68824488
0.0023000001,0.71952856,0.71952832
0.0024000001,0.75081193,0.7508117
0.0024999999,0.78209525,0.78209496
0.0026,0.81337851,0.81337821
0.0027000001,0.84466165,0.84466141
0.0027999999,0.87594479,0.8759445
0.0029,0.90722787,0.90722758
0.003,0.93851084,0.93851054
0.0031000001,0.96979374,0.96979344
0.0031999999,1.0010766,1.0010762
0.0033,1.0323594,1.032359
0.0034,1.063642,1.0636417
0.0035000001,1.0949246,1.0949242
0.0035999999,1.1262071,1.1262068
0.0037,1.1574895,1.1574892
0.0038000001,1.1887718,1.1887715
0.0038999999,1.2200541,1.2200537
0.0040000002,1.2513362,1.2513359
0.0041,1.2826183,1.2826179
0.0041999999,1.3139002,1.3138999
0.0043000001,1.3451821,1.3451817
0.0044,1.3764639,1.3764634
0.0044999998,1.4077455,1.407745
0.0046000001,1.439027,1.4390265
0.0046999999,1.4703084,1.4703079
0.0048000002,1.5015897,1.5015892
0.0049000001,1.5328709,1.5328703
0.0049999999,1.5641519,1.5641514
0.0051000002,1.5954329,1.5954323
0.0052,1.6267136,1.626713
0.0052999998,1.6579943,1.6579937
0.0054000001,1.6892748,1.6892742
0.0055,1.7205553,1.7205546
0.0055999998,1.7518355,1.7518349
0.0057000001,1.7831156,1.783115
0.0057999999,1.8143957,1.814395
0.0059000002,1.8456755,1.8456748
0.0060000001,1.8769552,1.8769546
0.0060999999,1.9082347,1.908234
0.0062000002,1.9395142,1.9395134
0.0063,1.9707934,1.9707927
0.0063999998,2.0020726,2.0020716
0.0065000001,2.0333514,2.0333507
0.0066,2.0646303,2.0646293
0.0066999998,2.0959089,2.0959079
0.0068000001,2.1271873,2.1271863
0.0068999999,2.1584654,2.1584647
0.0070000002,2.1897435,2.1897428
0.0071,2.2210214,2.2210207
0.0071999999,2.2522993,2.2522984
0.0073000002,2.2835767,2.283576
0.0074,2.3148541,2.3148534
0.0074999998,2.3461313,2.3461306
0.0076000001,2.3774085,2.3774076
0.0077,2.4086852,2.4086843
0.0077999998,2.4399619,2.439961
0.0078999996,2.4712384,2.4712374
0.0080000004,2.5025146,2.5025136
0.0081000002,2.5337906,2.5337896
0.0082,2.5650666,2.5650656
0.0082999999,2.5963421,2.5963411
0.0083999997,2.6276176,2.6276166
0.0085000005,2.6588929,2.6588919
0.0086000003,2.6901679,2.690167
0.0087000001,2.7214427,2.7214417
0.0088,2.7527173,2.7527163
0.0088999998,2.7839916,2.7839906
0.0089999996,2.8152659,2.8152647
0.0091000004,2.8465397,2.8465385
0.0092000002,2.8778136,2.8778124
0.0093,2.9090869,2.9090858
0.0093999999,2.9403603,2.9403591
0.0094999997,2.9716332,2.971632
0.0096000005,3.0029061,3.0029049
0.0097000003,3.0341785,3.0341773
0.0098000001,3.0654509,3.0654497
0.0098999999,3.0967228,3.0967216
0.0099999998,3.1279948,3.1279933
0.0101,3.1592662,3.159265
0.0102,3.1905377,3.1905363
0.0103,3.2218087,3.2218072
0.0104,3.2530794,3.2530782
0.0105,3.2843499,3.2843487
0.0106,3.3156204,3.315619
0.0107,3.3468904,3.346889
0.0108,3.37816,3.3781588
0.0109,3.4094296,3.4094281
0.011,3.4406989,3.4406974
0.0111,3.4719677,3.4719663
0.0112,3.5032365,3.5032349
0.0113,3.5345049,3.5345032
0.0114,3.565773,3.5657713
0.0115,3.5970407,3.5970392
0.0116,3.6283083,3.6283069
0.0117,3.6595755,3.659574
0.0118,3.6908426,3.690841
0.0119,3.7221093,3.7221076
0.012,3.7533755,3.7533741
0.0121,3.7846417,3.7846401
0.0122,3.8159075,3.8159058
0.0123,3.847173,3.8471713
0.0124,3.8784382,3.8784366
0.0125,3.909703,3.9097013
0.0126,3.9409676,3.9409659
0.0127,3.9722319,3.9722302
0.0128,4.0034957,4.0034938
0.0129,4.0347595,4.0347576
0.013,4.0660229,4.066021
0.0131,4.0972857,4.0972838
0.0132,4.1285481,4.1285462
0.0133,4.1598105,4.1598086
0.0134,4.1910725,4.1910706
0.0135,4.2223344,4.2223325
0.0136,4.2535958,4.2535939
0.0137,4.2848568,4.2848549
