"time","tank.level","tank.medium.h","tank.aboveLevel[1]","tank.aboveLevel[2]","tank.aboveLevel[3]","tank.aboveLevel[4]","tank.ports_m_flow_out[1]","tank.ports_m_flow_out[2]","tank.ports_m_flow_out[3]","tank.ports_m_flow_out[4]"
0,1,84013.058152596903,0,0,0,0,1,1,1,1
1,1.0075135144915073,84013.058152596903,0,0,0,0,1,1,1,1
2,1.0150270289830146,84013.058152596903,0,0,0,0,1,1,1,1
3,1.0225405434745218,84013.058152596903,0,0,0,0,1,1,1,1
4,1.0300540579660289,84013.058152596903,0,0,0,0,1,1,1,1
5,1.0375675724575362,84013.058152596903,0,0,0,0,1,1,1,1
6,1.0450810869490434,84013.058152596903,0,0,0,0,1,1,1,1
7,1.0525946014405507,84013.058152596903,0,0,0,0,1,1,1,1
8,1.060108115932058,84013.058152596903,0,0,0,0,1,1,1,1
9,1.0676216304235653,84013.058152596903,0,0,0,0,1,1,1,1
10,1.0751351449150726,84013.058152596903,0,0,0,0,1,1,1,1
11,1.0826486594065798,84013.058152596903,0,0,0,0,1,1,1,1
12,1.0901621738980871,84013.058152596903,0,0,0,0,1,1,1,1
13,1.0976756883895944,84013.058152596903,0,0,0,0,1,1,1,1
14,1.1051892028811015,84013.058152596903,0,0,0,0,1,1,1,1
15,1.1127027173726087,84013.058152596903,0,0,0,0,1,1,1,1
16,1.120216231864116,84013.058152596903,0,0,0,0,1,1,1,1
17,1.1277297463556233,84013.058152596903,0,0,0,0,1,1,1,1
18,1.1352432608471306,84013.058152596903,0,0,0,0,1,1,1,1
19,1.1427567753386378,84013.058152596903,0,0,0,0,1,1,1,1
20,1.1502702898301451,84013.058152596903,0,0,0,0,1,1,1,1
21,1.1577838043216524,84013.058152596903,0,0,0,0,1,1,1,1
22,1.1652973188131595,84013.058152596903,0,0,0,0,1,1,1,1
23,1.1728108333046667,84013.058152596903,0,0,0,0,1,1,1,1
24,1.180324347796174,84013.058152596903,0,0,0,0,1,1,1,1
25,1.1878378622876813,84013.058152596903,0,0,0,0,1,1,1,1
26,1.1953513767791886,84013.058152596903,0,0,0,0,1,1,1,1
