"Time","Ptr","Pqs"
0,2.845409e-12,-2.1043868e-12
0.001,5.4138918,1.1444826
0.0020000001,10.68775,2.3596375
0.003,15.179519,3.6454649
0.0040000002,18.608269,5.0019646
0.0049999999,20.783348,6.4291368
0.0060000001,21.651789,7.9269819
0.0070000002,21.295134,9.4954996
0.0080000004,19.916931,11.13469
0.0089999996,17.827595,12.844553
0.0099999998,15.405007,14.62509
0.011,13.065062,16.476299
0.012,11.212686,18.398182
0.013,10.209229,20.390738
0.014,10.333902,22.453966
0.015,11.759048,24.587868
0.016000001,14.536356,26.792442
0.017000001,18.589899,29.067692
0.017999999,23.730736,31.413612
0.018999999,29.670221,33.830208
0.02,36.057049,36.317474
0.021,42.504181,38.875416
0.022,48.635372,41.504032
0.023,54.113449,44.20332
0.024,58.679359,46.973282
0.025,62.171715,49.813915
0.026000001,64.542831,52.725224
0.027000001,65.862686,55.707203
0.028000001,66.307129,58.759857
0.028999999,66.144394,61.883186
0.029999999,65.701187,65.077187
0.030999999,65.337593,68.341858
0.032000002,65.403481,71.677208
0.033,66.213081,75.083221
0.034000002,68.006737,78.559914
0.035,70.935684,82.107277
0.035999998,75.043655,85.725319
0.037,80.266479,89.414024
0.037999999,86.440331,93.173409
0.039000001,93.316177,97.003456
0.039999999,100.59002,100.90418
0.041000001,107.92696,104.87558
0.041999999,115.0015,108.91765
0.043000001,121.52107,113.0304
0.044,127.26236,117.21381
0.045000002,132.08372,121.46789
0.046,135.94518,125.79265
0.046999998,138.90529,130.18806
0.048,141.117,134.65417
0.048999999,142.81134,139.19093
0.050000001,144.27136,143.79837
0.050999999,145.80836,148.47649
0.052000001,147.7252,153.22527
0.052999999,150.2942,158.04471
0.054000001,153.72311,162.93483
0.055,158.14424,167.89561
0.056000002,163.59438,172.92708
0.057,170.02011,178.02921
0.057999998,177.27841,183.202
0.059,185.15526,188.44547
0.059999999,193.38689,193.7596
0.061000001,201.68408,199.14439
0.061999999,209.76483,204.59987
0.063000001,217.37579,210.12601
0.064000003,224.32358,215.72281
0.064999998,230.48482,221.39029
0.066,235.82547,227.12842
0.067000002,240.39445,232.93723
0.068000004,244.32559,238.8167
0.068999998,247.81679,244.76683
0.07,251.11412,250.78764
0.071000002,254.48605,256.87909
0.071999997,258.19528,263.04123
0.072999999,262.47736,269.27405
0.074000001,267.51239,275.57748
0.075000003,273.41528,281.95163
0.075999998,280.21786,288.39642
0.077,287.87509,294.91187
0.078000002,296.26215,301.49799
0.079000004,305.19589,308.15475
0.079999998,314.44644,314.8822
0.081,323.76489,321.6803
0.082000002,332.90616,328.54907
0.082999997,341.65149,335.48849
0.083999999,349.83298,342.4986
0.085000001,357.3436,349.57932
0.086000003,364.15372,356.73074
0.086999997,370.30499,363.95279
0.088,375.9136,371.24551
0.089000002,381.14944,378.60892
0.090000004,386.22711,386.04297
0.090999998,391.37698,393.54767
0.092,396.82791,401.12302
0.093000002,402.78278,408.76901
0.093999997,409.39844,416.48569
0.094999999,416.77417,424.27301
0.096000001,424.93796,432.13101
0.097000003,433.8512,440.05963
0.097999997,443.40585,448.05893
0.098999999,453.44424,456.12888
0.1,463.76642,464.26947
0.1,463.76642,464.26947
0.101,470.59686,473.51208
0.102,477.7536,482.75467
0.103,485.37036,491.99722
0.104,493.47726,501.23975
0.105,502.28134,510.48227
0.106,511.81155,519.72473
0.107,522.03107,528.96722
0.108,532.83508,538.20966
0.109,544.06348,547.45203
0.11,555.51703,556.6944
0.111,566.97766,565.93677
0.112,578.22961,575.17908
0.113,589.08069,584.42139
0.114,599.38013,593.66364
0.115,609.0332,602.90588
0.116,618.00922,612.14807
0.117,626.34375,621.39026
0.118,634.13428,630.63239
0.119,641.52972,639.87451
0.12,648.71509,649.11658
0.121,655.89343,658.35864
0.122,663.26538,667.60065
0.123,671.00989,676.84259
0.124,679.26715,686.08453
0.125,688.12549,695.32642
0.126,697.61365,704.5683
0.127,707.69849,713.81006
0.12800001,718.28967,723.05188
0.12899999,729.2486,732.29364
0.13,740.40326,741.53534
0.131,751.56482,750.77698
0.132,762.54663,760.01862
0.133,773.18201,769.26019
0.134,783.3407,778.50171
0.13500001,792.94019,787.74323
0.13600001,801.95386,796.98462
0.13699999,810.41211,806.22607
0.138,818.39923,815.46741
0.139,826.0437,824.70874
0.14,833.50574,833.95001
0.141,840.96082,843.19122
0.142,848.58276,852.43237
0.14300001,856.52637,861.67352
0.14399999,864.91333,870.91455
0.145,873.82007,880.15558
0.146,883.27185,889.39655
0.147,893.24011,898.63751
0.148,903.64697,907.87836
0.149,914.37262,917.1192
0.15000001,925.26831,926.35999
0.15099999,936.17065,935.60065
0.152,946.91809,944.84131
0.153,957.36639,954.08191
0.154,967.40253,963.32251
0.155,976.95502,972.56299
0.156,986.00049,981.80341
