"Time","rectifier.thyristor_p.idealThyristor[1].off","rectifier.thyristor_p.idealThyristor[2].off","rectifier.thyristor_p.idealThyristor[3].off","rectifier.thyristor_n.idealThyristor[1].off","rectifier.thyristor_n.idealThyristor[2].off","rectifier.thyristor_n.idealThyristor[3].off","meanVoltage.y","meanVoltage.x","rootMeanSquareVoltage.mean.y","rootMeanSquareVoltage.mean.x","meanCurrent.y","meanCurrent.x","pulse2m.twomPulse.timerPositive[1].entryTime","pulse2m.twomPulse.timerPositive[2].entryTime","pulse2m.twomPulse.timerPositive[3].entryTime","pulse2m.twomPulse.timerNegative[1].entryTime","pulse2m.twomPulse.timerNegative[2].entryTime","pulse2m.twomPulse.timerNegative[3].entryTime","inductor.i"
4.9499998,0,1,1,1,1,1,2.5691125,0.0080447141,2099.3718,6.9955497,13.2449,0.044123739,4.9433331,4.9299998,4.9366665,4.9333334,4.9400001,4.9466667,13.255518
4.9499998,0,1,1,1,1,1,2.5691125,0.0080447141,2099.3718,6.9955497,13.2449,0.044123758,4.9433331,4.9299998,4.9366665,4.9333334,4.9400001,4.9466667,13.255518
4.9499998,0,1,1,1,1,1,2.4134142,0,2098.6648,0,13.237127,0,4.9433331,4.9499998,4.9366665,4.9333334,4.9400001,4.9466667,13.255518
4.9502001,0,1,1,1,1,1,2.4134142,-0.00097713422,2098.6648,0.0063645169,13.237127,0.0026509366,4.9433331,4.9499998,4.9366665,4.9333334,4.9400001,4.9466667,13.253523
4.9503999,0,1,1,1,1,1,2.4134142,-0.0039046346,2098.6648,0.050792418,13.237127,0.0053012799,4.9433331,4.9499998,4.9366665,4.9333334,4.9400001,4.9466667,13.249588
4.9506001,0,1,1,1,1,1,2.4134142,-0.0087709595,2098.6648,0.17074929,13.237127,0.007950644,4.9433331,4.9499998,4.9366665,4.9333334,4.9400001,4.9466667,13.243734
4.9507999,0,1,1,1,1,1,2.4134142,-0.015556895,2098.6648,0.40250859,13.237127,0.010598647,4.9433331,4.9499998,4.9366665,4.9333334,4.9400001,4.9466667,13.235989
4.9510002,0,1,1,1,1,1,2.4134142,-0.024235662,2098.6648,0.78058136,13.237127,0.013244916,4.9433331,4.9499998,4.9366665,4.9333334,4.9400001,4.9466667,13.226384
4.9512,0,1,1,1,1,1,2.4134142,-0.034773007,2098.6648,1.3371694,13.237127,0.01588908,4.9433331,4.9499998,4.9366665,4.9333334,4.9400001,4.9466667,13.214964
4.9513998,0,1,1,1,1,1,2.4134142,-0.04712734,2098.6648,2.1016588,13.237127,0.018530782,4.9433331,4.9499998,4.9366665,4.9333334,4.9400001,4.9466667,13.201776
4.9516001,0,1,1,1,1,1,2.4134142,-0.061249916,2098.6648,3.1001582,13.237127,0.021169676,4.9433331,4.9499998,4.9366665,4.9333334,4.9400001,4.9466667,13.186875
4.9516182,0,1,1,1,1,1,2.4134142,-0.062627405,2098.6648,3.2039318,13.237127,0.021410784,4.9433331,4.9499998,4.9366665,4.9333334,4.9400001,4.9466667,13.18543
4.9516182,1,1,1,1,1,0,2.4134142,-0.062627405,2098.6648,3.2039318,13.237127,0.021410784,4.9433331,4.9499998,4.9366665,4.9333334,4.9400001,4.9466667,13.18543
4.9516668,1,1,1,1,1,0,2.4134142,-0.058814939,2098.6648,3.5043843,13.237127,0.022048786,4.9433331,4.9499998,4.9366665,4.9333334,4.9400001,4.9466667,13.18906
4.9517999,1,1,1,1,1,0,2.4134142,-0.048823148,2098.6648,4.2535172,13.237127,0.023807988,4.9433331,4.9499998,4.9366665,4.9333334,4.9400001,4.9466667,13.198535
4.9520001,1,1,1,1,1,0,2.4134142,-0.035284162,2098.6648,5.1713352,13.237127,0.026448997,4.9433331,4.9499998,4.9366665,4.9333334,4.9400001,4.9466667,13.211254
4.9521999,1,1,1,1,1,0,2.4134142,-0.023530461,2098.6648,5.8634496,13.237127,0.029092368,4.9433331,4.9499998,4.9366665,4.9333334,4.9400001,4.9466667,13.22214
