"Time","rectifier.thyristor.idealThyristor[1].off","rectifier.thyristor.idealThyristor[2].off","rectifier.thyristor.idealThyristor[3].off","meanVoltage.y","meanVoltage.x","rootMeanSquareVoltage.mean.y","rootMeanSquareVoltage.mean.x","meanCurrent.y","meanCurrent.x","pulsem.twomPulse.timerPositive[1].entryTime","pulsem.twomPulse.timerPositive[2].entryTime","pulsem.twomPulse.timerPositive[3].entryTime","pulsem.twomPulse.timerNegative[1].entryTime","pulsem.twomPulse.timerNegative[2].entryTime","pulsem.twomPulse.timerNegative[3].entryTime","inductor.i"
4.9499998,0,1,1,2.1576195,0.2475868,7099.4922,23.655661,2.7156224,0.0090341689,4.9416666,4.9483333,4.9349999,4.9316669,4.9383335,4.9450002,2.7875905
4.9502001,0,1,1,2.1576195,0.2466097,7099.4922,23.662128,2.7156224,0.0095915068,4.9416666,4.9483333,4.9349999,4.9316669,4.9383335,4.9450002,2.7854667
4.9503999,0,1,1,2.1576195,0.24368231,7099.4922,23.706532,2.7156224,0.010148226,4.9416666,4.9483333,4.9349999,4.9316669,4.9383335,4.9450002,2.781405
4.9506001,0,1,1,2.1576195,0.23881614,7099.4922,23.826466,2.7156224,0.010703941,4.9416666,4.9483333,4.9349999,4.9316669,4.9383335,4.9450002,2.7754245
4.9507999,0,1,1,2.1576195,0.23203033,7099.4922,24.058201,2.7156224,0.01125827,4.9416666,4.9483333,4.9349999,4.9316669,4.9383335,4.9450002,2.7675521
4.9510002,0,1,1,2.1576195,0.2233516,7099.4922,24.436262,2.7156224,0.011810838,4.9416666,4.9483333,4.9349999,4.9316669,4.9383335,4.9450002,2.757822
4.9512,0,1,1,2.1576195,0.21281426,7099.4922,24.99284,2.7156224,0.012361278,4.9416666,4.9483333,4.9349999,4.9316669,4.9383335,4.9450002,2.7462759
4.9513998,0,1,1,2.1576195,0.20045994,7099.4922,25.757318,2.7156224,0.012909231,4.9416666,4.9483333,4.9349999,4.9316669,4.9383335,4.9450002,2.7329626
4.9516001,0,1,1,2.1576195,0.1863374,7099.4922,26.755812,2.7156224,0.013454349,4.9416666,4.9483333,4.9349999,4.9316669,4.9383335,4.9450002,2.7179375
4.9516668,0,1,1,2.1576195,0.18124638,7099.4922,27.144634,2.7156224,0.013635365,4.9416666,4.9483333,4.9349999,4.9316669,4.9383335,4.9450002,2.7125595
4.9516668,0,1,1,2.1576195,0.18124636,7099.4922,27.144636,2.7156224,0.013635366,4.9416666,4.9483333,4.9349999,4.9316669,4.9383335,4.9450002,2.7125595
