"Time","smee.is[1]","smee.is[2]","smee.idq_sr[1]","smee.idq_sr[2]","smee.idq_rr[2]","smee.lesigma.i","smee.idq_dr[1]","speed.phi","speed.w","voltageController.I.y"
4,-113.49691,129.81351,-132.31609,-49.919983,0.00019321665,23.513407,-0.00019443619,549.27869,157.07964,117.56694
4,-113.49691,129.81351,-132.31609,-49.919983,0.00019321665,23.513407,-0.00019443619,549.27869,157.07964,117.56694
4.0001001,-115.2164,126.24664,-130.58061,-50.05167,0.12758464,23.407528,-0.71337926,549.29443,157.07964,117.56516
4.0001998,-116.82129,122.56004,-128.86125,-50.287685,0.35579994,23.302473,-1.4178932,549.31012,157.07964,117.5635
4.0002999,-118.30935,118.75584,-127.16289,-50.627064,0.68381345,23.198542,-2.1117713,549.32587,157.07964,117.56197
4.0003085,-118.42941,118.42975,-127.02079,-50.66037,0.71599859,23.18984,-2.1697342,549.32715,157.07964,117.56184
4.0003085,-118.42941,118.42975,-127.02079,-50.66037,0.71599859,23.18984,-2.1697342,549.32715,157.07964,117.56184
4.0004001,-117.30118,117.29958,-127.2002,-46.539742,-3.2707565,23.183416,-1.9359946,549.34155,157.07964,117.55267
4.0005002,-115.94713,115.94547,-127.11475,-42.030544,-7.6300802,23.159672,-1.8005328,549.35724,157.07964,117.54238
4.0005999,-114.46638,114.46466,-126.73274,-37.531582,-11.975965,23.118269,-1.7910125,549.37299,157.07964,117.53184
4.0007,-112.85871,112.85694,-126.05341,-33.061398,-16.290489,23.059134,-1.9073943,549.38867,157.07964,117.52107
4.0008001,-111.12413,111.12231,-125.07726,-28.638685,-20.555592,22.982269,-2.1491239,549.40436,157.07964,117.51009
4.0008998,-109.26288,109.261,-123.80605,-24.282213,-24.75316,22.887758,-2.5151281,549.4201,157.07964,117.49893
4.0009999,-107.27539,107.27347,-122.24283,-20.010725,-28.865116,22.775759,-3.0038126,549.43579,157.07964,117.48762
4.0011001,-105.16235,105.16039,-120.39194,-15.842856,-32.873505,22.646511,-3.6130621,549.45148,157.07964,117.47616
4.0012002,-102.92465,102.92265,-118.25903,-11.797036,-36.760578,22.500334,-4.340241,549.46722,157.07964,117.4646
4.0012999,-100.56341,100.56136,-115.85098,-7.8914022,-40.508892,22.337624,-5.1821971,549.48291,157.07964,117.45296
4.0014,-98.079964,98.077881,-113.17596,-4.1437082,-44.101383,22.158855,-6.1352711,549.4986,157.07964,117.44127
4.0015001,-95.475876,95.473755,-110.24334,-0.57123339,-47.521465,21.964577,-7.1953077,549.51434,157.07964,117.42956
4.0015998,-92.752884,92.750732,-107.06371,2.8093045,-50.753101,21.755415,-8.3576727,549.53003,157.07964,117.41785
4.0016999,-89.912964,89.910782,-103.64882,5.9818311,-53.780899,21.532061,-9.6172667,549.54578,157.07964,117.40617
4.0018001,-86.95826,86.956055,-100.0115,8.9309988,-56.590176,21.295282,-10.968547,549.56146,157.07964,117.39456
4.0019002,-83.891121,83.888885,-96.165665,11.642263,-59.167042,21.045904,-12.405551,549.57715,157.07964,117.38304
4.0019999,-80.714066,80.711807,-92.126213,14.101956,-61.498459,20.784821,-13.921917,549.5929,157.07964,117.37164
4.0021,-77.429771,77.427498,-87.908974,16.29735,-63.572315,20.51298,-15.51092,549.60858,157.07964,117.3604
4.0022001,-74.041092,74.038795,-83.530647,18.216726,-65.377487,20.231382,-17.165491,549.62427,157.07964,117.34932
4.0022998,-70.551003,70.548698,-79.008705,19.849424,-66.903877,19.941082,-18.878258,549.64001,157.07964,117.33845
4.0023999,-66.962646,66.96032,-74.361359,21.1859,-68.142471,19.643173,-20.641573,549.6557,157.07964,117.3278
4.0025001,-63.279243,63.276913,-69.607407,22.217764,-69.085403,19.338793,-22.44755,549.67139,157.07964,117.31741
4.0026002,-59.504162,59.501823,-64.766235,22.937817,-69.725937,19.029112,-24.288094,549.68713,157.07964,117.3073
4.0026999,-55.640846,55.6385,-59.857647,23.340088,-70.058548,18.715328,-26.154943,549.70282,157.07964,117.29749
4.0028,-51.692825,51.690479,-54.901852,23.419855,-70.078918,18.398668,-28.039709,549.71857,157.07964,117.288
4.0029001,-47.663712,47.661366,-49.919315,23.17366,-69.783943,18.080372,-29.933899,549.73425,157.07964,117.27886
4.0029998,-43.557159,43.554817,-44.930717,22.599321,-69.171783,17.761698,-31.828972,549.74994,157.07964,117.27009
4.0030999,-39.398163,39.395824,-39.978428,21.707666,-68.253166,17.445189,-33.707127,549.76569,157.07964,117.2617
4.0032001,-35.210754,35.20842,-35.102333,20.512915,-67.042091,17.13324,-35.551647,549.78137,157.07964,117.2537
4.0033002,-30.997051,30.994726,-30.319149,19.019535,-65.543121,16.826878,-37.35574,549.79706,157.07964,117.24611
4.0033998,-26.75923,26.756914,-25.645376,17.232933,-63.761711,16.527115,-39.112717,549.81281,157.07964,117.23894
4.0035,-22.499535,22.497232,-21.09726,15.159441,-61.704231,16.234949,-40.816013,549.82849,157.07964,117.23218
4.0036001,-18.220264,18.217976,-16.690722,12.806312,-59.377907,15.951365,-42.459225,549.84418,157.07964,117.22585
4.0036998,-13.92375,13.921479,-12.441292,10.181676,-56.790829,15.677319,-44.036118,549.85992,157.07964,117.21995
4.0037999,-9.6123486,9.6100969,-8.3640528,7.2945251,-53.951904,15.413743,-45.540668,549.87561,157.07964,117.21449
4.0039001,-5.2884307,5.2861991,-4.4735818,4.1546764,-50.870834,15.161543,-46.967075,549.8913,157.07964,117.20946
4.0040002,-0.95437914,0.95216966,-0.78390723,0.77274644,-47.558083,14.92159,-48.309776,549.90704,157.07964,117.20486
4.0040221,-0.0028043091,0.00059991312,-0.0029487987,-0.00016388252,-46.801716,14.870689,-48.59251,549.91046,157.07964,117.20392
4.0040221,-0.0028043091,0.00059991312,-0.0029487987,-0.00016388252,-46.801716,14.870689,-48.59251,549.91046,157.07964,117.20392
4.0040221,-0.00059999997,-0.0010109453,-0.0009736357,-0.0013051707,-46.800579,14.870547,-48.593094,549.91046,157.07964,117.20391
4.0040221,-0.00059999997,-0.0010109453,-0.0009736357,-0.0013051707,-46.800579,14.870547,-48.593094,549.91046,157.07964,117.20391
4.0040998,-0.00029111371,-0.0011869483,-0.00071622682,-0.001392549,-46.770916,14.848438,-48.360977,549.92273,157.07964,117.19751
4.0042,-0.00024193578,-0.0012190028,-0.00071563211,-0.0013929938,-46.733013,14.820628,-48.068146,549.93848,157.07964,117.18929
4.0043001,-0.00019250537,-0.0012498223,-0.00071503827,-0.0013934379,-46.695137,14.793409,-47.780956,549.95416,157.07964,117.18106
4.0043998,-0.00014287267,-0.0012793756,-0.00071444525,-0.001393881,-46.657295,14.766773,-47.499306,549.96985,157.07964,117.17283
4.0044999,-9.30881e-05,-0.0013076324,-0.00071385305,-0.0013943234,-46.619484,14.740707,-47.22308,549.9856,157.07964,117.16459
4.0046,-4.3202253e-05,-0.0013345641,-0.00071326172,-0.0013947651,-46.581703,14.7152,-46.952179,550.00128,157.07964,117.15634
4.0047002,6.7342062e-06,-0.0013601431,-0.00071267114,-0.001395206,-46.543953,14.690241,-46.686493,550.01697,157.07964,117.14809
4.0047998,5.6670549e-05,-0.0013843431,-0.00071208138,-0.0013956461,-46.506233,14.665816,-46.425903,550.03271,157.07964,117.13983
