"Time","aimc.is[1]","aimc.is[2]","aimc.stator.port_p.V_m.re","aimc.stator.port_p.V_m.im","aimc.stator.core.Phi.re","aimc.stator.core.Phi.im","aimc.airGap.V_msr.re","aimc.airGap.V_msr.im","aimc.airGap.V_mrr.re","aimc.airGap.V_mrr.im","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","powerSensor.flange_a.phi","loadInertia.w","PI.x"
4.5,-6.7797809,-0.84196085,-6.7237339,-4.2443953,1.5482918,0.91572183,4.9129758,6.251893,0.1792818,-0.15303497,1.1284667,1.3487022,706.6875,157.04182,1.5162366e-06
4.5001001,-6.6229486,-1.1027123,-6.5870991,-4.4534945,1.518765,0.96390235,4.9129319,6.2519269,0.17928307,-0.1530325,1.1284573,1.3487103,706.70325,157.04182,0.0011321575
4.5001998,-6.459578,-1.3623756,-6.4439611,-4.6581979,1.4877392,1.0111316,4.9128861,6.2519588,0.17928576,-0.15302794,1.1284479,1.3487184,706.71893,157.04182,0.0045156651
4.5002999,-6.2898302,-1.6206975,-6.2944617,-4.8583059,1.4552448,1.0573639,4.912837,6.2519927,0.17928874,-0.15302265,1.1284378,1.3487271,706.73462,157.04182,0.010142836
4.5004001,-6.1138763,-1.8774201,-6.1387515,-5.0536203,1.4213144,1.1025528,4.9127893,6.2520275,0.1792912,-0.15301704,1.1284277,1.3487362,706.75031,157.04182,0.018004753
4.5005002,-5.931891,-2.1322885,-5.976985,-5.243947,1.3859813,1.1466538,4.9127431,6.2520623,0.17929274,-0.15301104,1.1284178,1.3487451,706.76605,157.04181,0.028093351
4.5005999,-5.7440529,-2.385051,-5.8093214,-5.4290977,1.3492807,1.189623,4.9126983,6.2520962,0.17929326,-0.15300435,1.1284081,1.3487542,706.78174,157.04181,0.04040141
4.5007,-5.5505476,-2.635458,-5.6359258,-5.6088891,1.3112484,1.2314184,4.9126549,6.2521291,0.17929284,-0.15299675,1.1283983,1.3487632,706.79742,157.04181,0.054922167
4.5008001,-5.3515658,-2.8832629,-5.4569693,-5.7831445,1.2719222,1.2719984,4.912612,6.252161,0.17929162,-0.15298818,1.1283885,1.3487723,706.81317,157.04179,0.07164903
4.5008998,-5.1473026,-3.1282208,-5.2726278,-5.9516912,1.2313405,1.3113229,4.912569,6.2521911,0.17928983,-0.15297872,1.1283786,1.3487811,706.82886,157.04179,0.090575114
4.5009999,-4.9379592,-3.3700907,-5.0830822,-6.1143627,1.1895435,1.3493532,4.9125257,6.2522202,0.17928794,-0.15296873,1.1283686,1.3487897,706.84454,157.04178,0.11169265
4.5011001,-4.723743,-3.6086347,-4.8885207,-6.2710004,1.1465724,1.3860518,4.9124813,6.2522483,0.17928633,-0.1529586,1.1283585,1.3487984,706.86029,157.04176,0.1349925
4.5012002,-4.5048652,-3.8436174,-4.6891346,-6.4214497,1.1024698,1.4213825,4.912437,6.2522769,0.17928514,-0.15294854,1.1283484,1.348807,706.87598,157.04176,0.1604645
4.5012999,-4.2815413,-4.0748072,-4.4851213,-6.5655618,1.0572792,1.4553105,4.9123921,6.2523055,0.17928439,-0.1529385,1.1283382,1.3488156,706.89166,157.04175,0.18809813
4.5014,-4.0539927,-4.3019757,-4.2766819,-6.7031946,1.0110453,1.4878024,4.9123468,6.2523336,0.17928404,-0.15292843,1.1283281,1.3488241,706.90735,157.04173,0.21788299
4.5015001,-3.8224435,-4.5248985,-4.0640221,-6.8342123,0.96381354,1.5188259,4.9123011,6.2523623,0.17928408,-0.15291829,1.128318,1.3488328,706.9231,157.04172,0.24980895
4.5015998,-3.587122,-4.7433558,-3.8473516,-6.9584856,0.91563064,1.5483505,4.9122548,6.2523909,0.17928457,-0.15290818,1.1283079,1.3488414,706.93878,157.0417,0.2838659
4.5016999,-3.3482604,-4.9571319,-3.6268845,-7.075892,0.86654413,1.5763471,4.9122081,6.252419,0.17928559,-0.15289809,1.1282978,1.34885,706.95447,157.04169,0.32004359
4.5018001,-3.1060944,-5.1660161,-3.4028378,-7.1863151,0.81660247,1.602788,4.9121609,6.2524476,0.17928714,-0.15288806,1.1282877,1.3488586,706.97021,157.04167,0.35833171
4.5019002,-2.8608632,-5.369802,-3.1754329,-7.2896461,0.7658549,1.6276472,4.9121132,6.2524762,0.17928927,-0.15287814,1.1282777,1.3488672,706.9859,157.04166,0.39871985
4.5019999,-2.6128087,-5.5682888,-2.9448943,-7.3857837,0.71435148,1.6509001,4.912065,6.2525048,0.17929199,-0.15286832,1.1282675,1.3488759,707.00159,157.04163,0.44119763
