"Time","volume.medium.p","volume.medium.h"
0.035753999,646291.38,84558.93
0.035955999,648312.19,84560.953
0.036157999,650323.94,84562.969
0.036359999,652326.81,84564.977
0.036561999,654320.81,84566.977
0.036764,656306,84568.961
0.036966,658282.31,84570.938
0.037168,660249.88,84572.914
0.03737,662208.69,84574.875
0.037572,664158.88,84576.828
0.037774,666100.31,84578.773
0.037976,668033.19,84580.703
0.038178001,669957.5,84582.633
0.038380001,671873.31,84584.555
0.038582001,673780.56,84586.461
0.038784001,675679.38,84588.367
0.038986001,677569.75,84590.258
0.039188001,679451.69,84592.141
0.039390001,681325.38,84594.016
0.039592002,683190.69,84595.891
0.039794002,685047.69,84597.75
0.039995998,686896.5,84599.602
0.040197998,688737.12,84601.445
0.040399998,690569.56,84603.273
0.040601999,692393.88,84605.102
0.040803999,694210.06,84606.922
0.041005999,696018.25,84608.734
0.041207999,697818.38,84610.539
0.041409999,699610.5,84612.328
0.041611999,701394.69,84614.117
0.041813999,703170.94,84615.898
0.042016,704939.31,84617.672
0.042218,706699.88,84619.43
0.04242,708452.56,84621.188
0.042622,710197.5,84622.938
0.042824,711934.75,84624.672
0.043026,713664.25,84626.406
0.043228,715386.06,84628.133
0.043430001,717100.25,84629.844
0.043632001,718806.81,84631.555
0.043834001,720505.81,84633.258
0.044036001,722197.25,84634.953
0.044238001,723881.19,84636.641
0.044440001,725557.69,84638.32
0.044642001,727226.69,84639.992
0.044844002,728888.31,84641.656
0.045046002,730542.56,84643.312
0.045248002,732189.5,84644.961
0.045449998,733829.12,84646.602
0.045651998,735461.44,84648.234
0.045853999,737086.5,84649.859
0.046055999,738704.38,84651.484
0.046257999,740315.06,84653.094
0.046459999,741918.62,84654.703
0.046661999,743515,84656.297
0.046863999,745104.38,84657.891
0.047065999,746686.62,84659.477
0.047268,748261.94,84661.055
0.04747,749830.19,84662.625
0.047672,751391.5,84664.188
0.047874,752945.88,84665.742
0.048076,754493.31,84667.297
0.048278,756033.94,84668.836
0.04848,757567.69,84670.375
0.048682,759094.69,84671.906
0.048884001,760614.88,84673.422
0.049086001,762128.31,84674.938
0.049288001,763635,84676.453
0.049490001,765135.06,84677.953
0.049692001,766628.44,84679.445
0.049894001,768115.19,84680.938
0.050096001,769595.31,84682.422
0.050298002,771068.88,84683.891
0.050500002,772535.94,84685.367
0.050701998,773996.44,84686.828
0.050903998,775450.5,84688.281
0.051105998,776898.06,84689.734
0.051307999,778339.25,84691.172
0.051509999,779774,84692.609
0.051711999,781202.38,84694.039
0.051913999,782624.44,84695.469
0.052115999,784040.19,84696.883
0.052317999,785449.62,84698.297
0.052519999,786852.81,84699.703
0.052722,788249.75,84701.102
0.052924,789640.56,84702.492
0.053126,791025.12,84703.883
0.053328,792403.56,84705.258
0.05353,793775.88,84706.633
0.053732,795142.12,84708
0.053934,796502.31,84709.367
0.054136001,797856.44,84710.719
0.054338001,799204.56,84712.07
0.054540001,800546.69,84713.414
0.054742001,801882.88,84714.75
0.054944001,803213.12,84716.086
0.055146001,804537.44,84717.414
0.055348001,805855.88,84718.734
0.055550002,807168.5,84720.047
0.055752002,808475.25,84721.352
0.055954002,809776.25,84722.656
0.056155998,811071.44,84723.953
0.056357998,812360.88,84725.242
0.056559999,813644.62,84726.531
0.056761999,814922.62,84727.812
0.056963999,816195,84729.086
0.057165999,817461.69,84730.352
0.057367999,818722.75,84731.617
0.057569999,819978.25,84732.875
0.057771999,821228.19,84734.125
0.057974,822472.5,84735.375
0.058176,823711.31,84736.609
0.058378,824944.69,84737.844
0.05858,826172.5,84739.078
0.058782,827394.94,84740.297
0.058984,828611.88,84741.516
0.059186,829823.44,84742.734
0.059388001,831029.62,84743.938
0.059590001,832230.5,84745.141
0.059792001,833426,84746.344
0.059994001,834616.19,84747.531
0.060196001,835801.06,84748.719
0.060398001,836980.75,84749.898
0.060600001,838155.12,84751.078
0.060802002,839324.31,84752.25
0.061004002,840488.31,84753.414
0.061206002,841647.19,84754.57
0.061407998,842800.88,84755.727
0.061609998,843949.44,84756.875
0.061811998,845092.88,84758.023
0.062013999,846231.25,84759.164
0.062215999,847364.62,84760.297
0.062417999,848492.88,84761.43
0.062619999,849616.19,84762.555
0.062821999,850734.5,84763.672
0.063023999,851847.81,84764.789
0.063225999,852956.19,84765.898
0.063428,854059.69,84767
0.06363,855158.25,84768.102
0.063832,856251.94,84769.195
0.064034,857340.75,84770.289
0.064236,858424.75,84771.375
0.064438,859503.94,84772.453
0.06464,860578.31,84773.531
0.064842001,861647.94,84774.602
0.065044001,862712.81,84775.664
0.065246001,863772.94,84776.727
0.065448001,864828.38,84777.789
0.065650001,865879.12,84778.836
0.065852001,866925.19,84779.883
0.066054001,867966.62,84780.93
0.066256002,869003.44,84781.969
0.066458002,870035.62,84783
0.066660002,871063.25,84784.031
0.066862002,872086.31,84785.055
0.067064002,873104.81,84786.07
0.067266002,874118.81,84787.086
0.067468002,875128.31,84788.102
0.067670003,876133.31,84789.109
0.067872003,877133.88,84790.109
0.068074003,878129.94,84791.102
0.068276003,879121.62,84792.102
0.068478003,880108.88,84793.086
0.068680003,881091.75,84794.07
0.068882003,882070.31,84795.055
0.069084004,883044.5,84796.023
0.069286004,884014.31,84797
0.069487996,884979.88,84797.961
0.069689997,885941.12,84798.93
0.069891997,886898.12,84799.883
0.070093997,887850.88,84800.836
0.070295997,888799.38,84801.789
0.070497997,889743.69,84802.734
0.070699997,890683.75,84803.68
0.070901997,891619.69,84804.609
0.071103998,892551.44,84805.547
0.071305998,893479.06,84806.477
0.071507998,894402.56,84807.398
0.071709998,895321.94,84808.32
