"Time","meanCurrent.y","meanVoltage.y"
1e-12,0,0
0.00019999999,0,0
0.00039999999,0,0
0.00060000003,0,0
0.00079999998,0,0
0.001,0,0
0.0012000001,0,0
0.0014,0,0
0.0016,0,0
0.0016679375,0,0
0.0018,0,0
0.0020000001,0,0
0.0022,0,0
0.0024000001,0,0
0.002427595,0,0
0.002427595,0,0
0.002427595,0,0
0.002427595,0,0
0.0024278879,0,0
0.0024278879,0,0
0.0026,0,0
0.0027999999,0,0
0.003,0,0
0.0031999999,0,0
0.0033333334,0,0
0.0033333334,0.88755029,97.093384
0.0034,0.88755029,97.093384
0.0035999999,0.88755029,97.093384
0.0038000001,0.88755029,97.093384
0.0040000002,0.88755029,97.093384
0.0041999999,0.88755029,97.093384
0.0044,0.88755029,97.093384
0.0046000001,0.88755029,97.093384
0.0048000002,0.88755029,97.093384
0.0049999999,0.88755029,97.093384
0.0050008865,0.88755029,97.093384
0.0051688352,0.88755029,97.093384
0.0051688352,0.88755029,97.093384
0.0051688352,0.88755029,97.093384
0.0051688352,0.88755029,97.093384
0.0052,0.88755029,97.093384
0.0052296622,0.88755029,97.093384
0.0052296622,0.88755029,97.093384
0.0054000001,0.88755029,97.093384
0.0055999998,0.88755029,97.093384
0.0057999999,0.88755029,97.093384
0.0060000001,0.88755029,97.093384
0.0062000002,0.88755029,97.093384
0.0063999998,0.88755029,97.093384
0.0066,0.88755029,97.093384
0.0066666668,0.88755029,97.093384
0.0066666668,2.9772952,99.651062
0.0068000001,2.9772952,99.651062
0.0070000002,2.9772952,99.651062
0.0071999999,2.9772952,99.651062
0.0074,2.9772952,99.651062
0.0075955098,2.9772952,99.651062
0.0075955098,2.9772952,99.651062
0.0075955098,2.9772952,99.651062
0.0075955098,2.9772952,99.651062
0.0076000001,2.9772952,99.651062
0.0077999998,2.9772952,99.651062
0.0080000004,2.9772952,99.651062
0.0082,2.9772952,99.651062
0.0083337566,2.9772952,99.651062
0.0083337566,2.9772952,99.651062
0.0083999997,2.9772952,99.651062
0.0085655265,2.9772952,99.651062
0.0085655265,2.9772952,99.651062
0.0086000003,2.9772952,99.651062
0.0088,2.9772952,99.651062
0.0089999996,2.9772952,99.651062
0.0092000002,2.9772952,99.651062
0.0093999999,2.9772952,99.651062
0.0096000005,2.9772952,99.651062
0.0098000001,2.9772952,99.651062
0.0099999998,2.9772952,99.651062
0.0099999998,6.4198408,99.686432
0.0102,6.4198408,99.686432
0.0104,6.4198408,99.686432
0.0106,6.4198408,99.686432
0.0108,6.4198408,99.686432
0.010910611,6.4198408,99.686432
0.010910611,6.4198408,99.686432
0.010910611,6.4198408,99.686432
0.010910611,6.4198408,99.686432
0.011,6.4198408,99.686432
0.0112,6.4198408,99.686432
0.0114,6.4198408,99.686432
0.0116,6.4198408,99.686432
0.011666619,6.4198408,99.686432
0.011666619,6.4198408,99.686432
0.0118,6.4198408,99.686432
0.011960098,6.4198408,99.686432
0.011960098,6.4198408,99.686432
0.012,6.4198408,99.686432
0.0122,6.4198408,99.686432
0.0124,6.4198408,99.686432
0.0126,6.4198408,99.686432
0.0128,6.4198408,99.686432
0.013,6.4198408,99.686432
0.0132,6.4198408,99.686432
0.013333334,6.4198408,99.686432
0.013333334,10.214111,99.578697
0.0134,10.214111,99.578697
0.0136,10.214111,99.578697
0.0138,10.214111,99.578697
0.014,10.214111,99.578697
0.0142,10.214111,99.578697
0.0144,10.214111,99.578697
0.0146,10.214111,99.578697
0.0148,10.214111,99.578697
0.014826283,10.214111,99.578697
0.014826283,10.214111,99.578697
0.014826283,10.214111,99.578697
0.014826283,10.214111,99.578697
0.01499948,10.214111,99.578697
0.01499948,10.214111,99.578697
0.015,10.214111,99.578697
0.0152,10.214111,99.578697
0.015347416,10.214111,99.578697
0.015347416,10.214111,99.578697
0.0154,10.214111,99.578697
0.0156,10.214111,99.578697
0.015799999,10.214111,99.578697
0.016000001,10.214111,99.578697
0.0162,10.214111,99.578697
0.0164,10.214111,99.578697
0.0166,10.214111,99.578697
0.016666668,10.214111,99.578697
0.016666668,14.287765,99.465302
0.016799999,14.287765,99.465302
0.017000001,14.287765,99.465302
0.017200001,14.287765,99.465302
0.0174,14.287765,99.465302
0.0176,14.287765,99.465302
0.0178,14.287765,99.465302
0.017999999,14.287765,99.465302
0.018200001,14.287765,99.465302
0.018332342,14.287765,99.465302
0.0184,14.287765,99.465302
0.018539509,14.287765,99.465302
0.018539509,14.287765,99.465302
0.018539509,14.287765,99.465302
0.018539509,14.287765,99.465302
0.0186,14.287765,99.465302
0.018780161,14.287765,99.465302
0.018780161,14.287765,99.465302
0.0188,14.287765,99.465302
0.018999999,14.287765,99.465302
0.019200001,14.287765,99.465302
0.019400001,14.287765,99.465302
0.0196,14.287765,99.465302
0.0198,14.287765,99.465302
0.02,14.287765,99.465302
0.02,18.563099,99.142494
0.020199999,18.563099,99.142494
0.020400001,18.563099,99.142494
0.0206,18.563099,99.142494
0.0208,18.563099,99.142494
0.021,18.563099,99.142494
0.021199999,18.563099,99.142494
0.021400001,18.563099,99.142494
0.021600001,18.563099,99.142494
0.021665214,18.563099,99.142494
0.0218,18.563099,99.142494
0.021886272,18.563099,99.142494
0.021886272,18.563099,99.142494
0.021886272,18.563099,99.142494
0.021886272,18.563099,99.142494
0.022,18.563099,99.142494
0.022159806,18.563099,99.142494
0.022159806,18.563099,99.142494
0.0222,18.563099,99.142494
0.022399999,18.563099,99.142494
0.022600001,18.563099,99.142494
0.0228,18.563099,99.142494
0.023,18.563099,99.142494
0.0232,18.563099,99.142494
0.023333333,18.563099,99.142494
0.023333333,22.988161,98.994514
0.023399999,22.988161,98.994514
0.023600001,22.988161,98.994514
0.023800001,22.988161,98.994514
0.024,22.988161,98.994514
0.0242,22.988161,98.994514
0.0244,22.988161,98.994514
0.024599999,22.988161,98.994514
0.024800001,22.988161,98.994514
0.024998089,22.988161,98.994514
0.025,22.988161,98.994514
0.025097108,22.988161,98.994514
0.025097108,22.988161,98.994514
0.025097108,22.988161,98.994514
0.025097108,22.988161,98.994514
0.0252,22.988161,98.994514
0.0254,22.988161,98.994514
0.025493883,22.988161,98.994514
0.025493883,22.988161,98.994514
0.025599999,22.988161,98.994514
0.025800001,22.988161,98.994514
0.026000001,22.988161,98.994514
0.0262,22.988161,98.994514
0.0264,22.988161,98.994514
0.0266,22.988161,98.994514
0.026666667,22.988161,98.994514
0.026666667,27.638138,99.057991
0.026799999,27.638138,99.057991
0.027000001,27.638138,99.057991
0.0272,27.638138,99.057991
0.0274,27.638138,99.057991
0.0276,27.638138,99.057991
0.027799999,27.638138,99.057991
0.028000001,27.638138,99.057991
0.028200001,27.638138,99.057991
0.028330967,27.638138,99.057991
0.028379366,27.638138,99.057991
0.028379366,27.638138,99.057991
0.028379366,27.638138,99.057991
0.028379366,27.638138,99.057991
0.0284,27.638138,99.057991
0.0286,27.638138,99.057991
0.0288,27.638138,99.057991
0.028860612,27.638138,99.057991
0.028860612,27.638138,99.057991
0.028999999,27.638138,99.057991
0.029200001,27.638138,99.057991
0.0294,27.638138,99.057991
0.0296,27.638138,99.057991
0.0298,27.638138,99.057991
0.029999999,27.638138,99.057991
0.029999999,32.518574,98.965805
0.030200001,32.518574,98.965805
0.030400001,32.518574,98.965805
0.0306,32.518574,98.965805
0.0308,32.518574,98.965805
0.030999999,32.518574,98.965805
0.031199999,32.518574,98.965805
0.031399999,32.518574,98.965805
0.031599998,32.518574,98.965805
0.031663854,32.518574,98.965805
0.031708527,32.518574,98.965805
0.031708527,32.518574,98.965805
0.031708527,32.518574,98.965805
0.031708527,32.518574,98.965805
0.031800002,32.518574,98.965805
0.032000002,32.518574,98.965805
0.032200001,32.518574,98.965805
0.032232694,32.518574,98.965805
0.032232694,32.518574,98.965805
0.032400001,32.518574,98.965805
0.032600001,32.518574,98.965805
0.0328,32.518574,98.965805
0.033,32.518574,98.965805
0.033199999,32.518574,98.965805
0.033333335,32.518574,98.965805
0.033333335,37.540195,98.837479
0.033399999,37.540195,98.837479
0.033599999,37.540195,98.837479
0.033799998,37.540195,98.837479
0.034000002,37.540195,98.837479
0.034200002,37.540195,98.837479
0.034400001,37.540195,98.837479
0.034600001,37.540195,98.837479
0.0348,37.540195,98.837479
0.034970582,37.540195,98.837479
0.034970582,37.540195,98.837479
0.034970582,37.540195,98.837479
0.034970582,37.540195,98.837479
0.034996752,37.540195,98.837479
0.034996752,37.540195,98.837479
0.035,37.540195,98.837479
0.0352,37.540195,98.837479
0.035399999,37.540195,98.837479
0.035599999,37.540195,98.837479
0.035601657,37.540195,98.837479
0.035601657,37.540195,98.837479
0.035799999,37.540195,98.837479
0.035999998,37.540195,98.837479
0.036200002,37.540195,98.837479
0.036400001,37.540195,98.837479
0.036600001,37.540195,98.837479
0.036666665,37.540195,98.837479
0.036666665,42.664124,98.715706
0.036800001,42.664124,98.715706
0.037,42.664124,98.715706
0.0372,42.664124,98.715706
0.0374,42.664124,98.715706
0.037599999,42.664124,98.715706
0.037799999,42.664124,98.715706
0.037999999,42.664124,98.715706
0.038198557,42.664124,98.715706
0.038198557,42.664124,98.715706
0.038198557,42.664124,98.715706
0.038198557,42.664124,98.715706
0.038199998,42.664124,98.715706
0.038329661,42.664124,98.715706
0.038329661,42.664124,98.715706
0.038400002,42.664124,98.715706
0.038600001,42.664124,98.715706
0.038800001,42.664124,98.715706
0.038970672,42.664124,98.715706
0.038970672,42.664124,98.715706
0.039000001,42.664124,98.715706
0.0392,42.664124,98.715706
0.0394,42.664124,98.715706
0.0396,42.664124,98.715706
0.039799999,42.664124,98.715706
0.039999999,42.664124,98.715706
0.039999999,47.862408,98.58387
0.040199999,47.862408,98.58387
0.040399998,47.862408,98.58387
