"Time","aimcM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimcM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re"
0,-2.9820452e-22,1.8355583e-22
9.9999997e-05,9.0554289e-07,-2.8414119e-08
0.00019999999,9.0930826e-07,-5.7038971e-08
0.00030000001,9.1235381e-07,-8.5785068e-08
0.00039999999,9.1376546e-07,-1.1475641e-07
0.00050000002,9.1517705e-07,-1.4372776e-07
0.00060000003,9.1530529e-07,-1.7273868e-07
0.00069999998,9.1275973e-07,-2.0183204e-07
0.00079999998,9.1021423e-07,-2.3092539e-07
0.00089999998,9.0766872e-07,-2.6001877e-07
0.001,9.0512316e-07,-2.8911211e-07
0.0011,9.0257765e-07,-3.1820548e-07
0.0012000001,8.9493693e-07,-3.4636165e-07
0.0013,8.8453754e-07,-3.740104e-07
0.0014,8.741381e-07,-4.0165915e-07
0.0015,8.6373871e-07,-4.293079e-07
0.0016,8.5333926e-07,-4.5695666e-07
0.0017,8.4293981e-07,-4.8460544e-07
0.0018,8.3254042e-07,-5.1225419e-07
0.0019,8.2214098e-07,-5.3990294e-07
0.0020000001,8.1174159e-07,-5.6755169e-07
0.0020999999,8.0134214e-07,-5.9520045e-07
0.0022,7.9094269e-07,-6.228492e-07
0.0023000001,7.7661861e-07,-6.4776304e-07
0.0024000001,7.5303024e-07,-6.6622141e-07
0.0024999999,7.2944192e-07,-6.8467972e-07
0.0026,7.0585355e-07,-7.0313803e-07
0.0027000001,6.8226524e-07,-7.2159634e-07
0.0027999999,6.5867692e-07,-7.4005465e-07
0.0029,6.3508855e-07,-7.5851301e-07
0.003,6.1150024e-07,-7.7697132e-07
0.0031000001,5.8791187e-07,-7.9542963e-07
0.0031999999,5.6432356e-07,-8.1388794e-07
0.0033,5.4073524e-07,-8.3234625e-07
0.0034,5.1714687e-07,-8.5080455e-07
0.0035000001,4.9355856e-07,-8.6926292e-07
0.0035999999,4.6997022e-07,-8.8772123e-07
0.0037,4.4638188e-07,-9.0617954e-07
0.0038000001,4.2279356e-07,-9.2463785e-07
0.0038999999,3.9920522e-07,-9.4309615e-07
0.0040000002,3.7561688e-07,-9.6155452e-07
0.0041,3.5202854e-07,-9.8001283e-07
0.0041999999,3.2844019e-07,-9.9847114e-07
0.0043000001,3.0485188e-07,-1.0169294e-06
0.0044,2.8126354e-07,-1.0353878e-06
0.0044999998,2.576752e-07,-1.0538461e-06
0.0046000001,2.3212353e-07,-1.0538303e-06
0.0046999999,2.0523682e-07,-1.0412522e-06
0.0048000002,1.7835009e-07,-1.0286741e-06
0.0049000001,1.5146337e-07,-1.016096e-06
0.0049999999,1.2457664e-07,-1.0035179e-06
0.0051000002,9.7689927e-08,-9.9093984e-07
0.0052,7.0803203e-08,-9.7836175e-07
0.0052999998,4.3916483e-08,-9.6578367e-07
0.0054000001,1.7029761e-08,-9.5320559e-07
0.0055,-9.8569615e-09,-9.406275e-07
0.0055999998,-3.6743682e-08,-9.2804942e-07
0.0057000001,-6.3630402e-08,-9.1547133e-07
0.0057999999,-9.0517126e-08,-9.0289325e-07
0.0059000002,-1.1740385e-07,-8.9031516e-07
0.0060000001,-1.4429057e-07,-8.7773708e-07
0.0060999999,-1.7117729e-07,-8.65159e-07
0.0062000002,-1.9806401e-07,-8.5258091e-07
0.0063,-2.2495074e-07,-8.4000283e-07
0.0063999998,-2.5183746e-07,-8.2742474e-07
0.0065000001,-2.7872417e-07,-8.1484666e-07
0.0066,-3.0561091e-07,-8.0226857e-07
0.0066999998,-3.3249762e-07,-7.8969049e-07
0.0068000001,-3.5938433e-07,-7.771124e-07
0.0068999999,-3.8627107e-07,-7.6453432e-07
0.0070000002,-4.1315778e-07,-7.5195618e-07
0.0071,-4.4004452e-07,-7.3937809e-07
0.0071999999,-4.6693123e-07,-7.2680001e-07
0.0073000002,-4.9381794e-07,-7.1422193e-07
0.0074,-5.2070465e-07,-7.0164384e-07
0.0074999998,-5.4759141e-07,-6.8906576e-07
0.0076000001,-5.7447812e-07,-6.7648767e-07
0.0077,-6.0136483e-07,-6.6390959e-07
0.0077999998,-6.2825154e-07,-6.513315e-07
0.0078999996,-6.5513825e-07,-6.3875342e-07
0.0080000004,-6.8202502e-07,-6.2617534e-07
0.0081000002,-7.0891173e-07,-6.1359725e-07
0.0082,-7.3579844e-07,-6.0101917e-07
0.0082999999,-7.6268515e-07,-5.8844108e-07
0.0083999997,-7.8957191e-07,-5.75863e-07
0.0085000005,-8.1645862e-07,-5.6328491e-07
0.0086000003,-8.4334533e-07,-5.5070683e-07
0.0087000001,-8.7023204e-07,-5.3812875e-07
0.0088,-8.9711875e-07,-5.2555066e-07
0.0088999998,-9.2400552e-07,-5.1297258e-07
0.0089999996,-9.5089223e-07,-5.0039449e-07
0.0091000004,-9.7102361e-07,-4.8479086e-07
0.0092000002,-9.6246163e-07,-4.5633649e-07
0.0093,-9.5389976e-07,-4.2788213e-07
0.0093999999,-9.4533777e-07,-3.9942776e-07
0.0094999997,-9.3677585e-07,-3.7097337e-07
0.0096000005,-9.2821392e-07,-3.42519e-07
0.0097000003,-9.19652e-07,-3.1406461e-07
0.0098000001,-9.1109007e-07,-2.8561024e-07
0.0098999999,-9.0252814e-07,-2.5715588e-07
0.0099999998,-8.9396622e-07,-2.287015e-07
0.0101,-8.8540429e-07,-2.0024711e-07
0.0102,-8.7684236e-07,-1.7179273e-07
0.0103,-8.6828044e-07,-1.4333835e-07
