"Time","aimsM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimsM.ir[1]","aimsE.ir[1]","aimsE.idq_rr[2]","aimsE.ir[2]","loadInertiaM.phi","loadInertiaE.phi","aimsM.ir[2]","aimsM.rotor.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimsM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimsE.idq_sr[2]","aimsE.is[1]","aimsM.is[2]","loadInertiaE.w","aimsE.idq_sr[1]","aimsE.is[2]","aimsE.idq_rr[1]","loadInertiaM.w","aimsM.rotor.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimsM.is[1]"
1,0.37903634,-84.99749,-85.003624,-52.481453,-2.9484572,99.662231,99.662285,-2.9600794,0.35841104,0.22539631,15.470899,-3.3079243,-96.200455,133.364,111.97723,-96.200417,-85.003624,133.36401,-0.22134417,-3.3078299
1.0001,0.37177122,-86.867546,-86.874474,-54.200417,-3.5017018,99.675568,99.675621,-3.5134151,0.3581976,0.23718715,17.273361,1.2163705,-100.41368,133.36429,113.95104,-100.41448,-86.874474,133.36429,-0.221688,1.2159694
1.0002,0.36414275,-88.705757,-88.714401,-55.914459,-4.0661402,99.688904,99.688957,-4.0777135,0.35797727,0.24873674,19.071474,5.8566732,-104.51563,133.36511,115.89366,-104.51855,-88.714401,133.36513,-0.22203922,5.8550234
1.0003,0.35615829,-90.513283,-90.523483,-57.623768,-4.6419034,99.70224,99.702293,-4.6534333,0.35775012,0.26003474,20.865429,10.605176,-108.50012,133.36647,117.80515,-108.50488,-90.523483,133.36649,-0.22239776,10.60239
1.0003999,0.34782583,-92.290825,-92.301804,-59.328537,-5.2291198,99.715576,99.71563,-5.2407804,0.35751611,0.27107069,22.655426,15.453929,-112.36037,133.36836,119.68555,-112.36591,-92.301804,133.36836,-0.22276346,15.450556
1.0005,0.33915395,-94.038239,-94.049438,-61.028973,-5.8279209,99.728912,99.728973,-5.8398213,0.35727531,0.28183374,24.441675,20.394857,-116.08873,133.37077,121.53498,-116.0943,-94.049438,133.37077,-0.22313622,20.39131
1.0006,0.33015171,-95.755257,-95.766502,-62.725277,-6.4384313,99.742249,99.74231,-6.4505801,0.35702771,0.29231331,26.224382,25.419758,-119.67754,133.3737,123.3535,-119.68291,-95.766502,133.3737,-0.22351591,25.416161
1.0007,0.32082841,-97.441765,-97.453087,-64.417641,-7.0607686,99.755585,99.755646,-7.0731778,0.35677332,0.30249915,28.003746,30.520311,-123.11961,133.37714,125.14121,-123.1248,-97.453087,133.37714,-0.22390242,30.516672
1.0008,0.31119356,-99.097847,-99.109306,-66.106255,-7.6950402,99.768929,99.768982,-7.7077188,0.35651219,0.31238148,29.779964,35.688091,-126.40816,133.38107,126.89822,-126.41325,-99.109306,133.38107,-0.2242956,35.684391
1.0009,0.3012569,-100.7236,-100.73529,-67.791306,-8.3413486,99.782265,99.782318,-8.354352,0.3562443,0.32195079,31.553226,40.914581,-129.53671,133.38551,128.62463,-129.54178,-100.73529,133.38551,-0.22469535,40.910835
