"time","rh1[1]","rh1[2]","rh1[3]","rv1[1]","rv1[2]","rv1[3]","rv2[1]","rv2[2]","rv2[3]","rh2[1]","rh2[2]","rh2[3]","r1.frame_b.r_0[1]","r1.frame_b.r_0[2]","r1.frame_b.r_0[3]","r1.frame_b.f[1]","r1.frame_b.f[2]","r1.frame_b.f[3]","r1.frame_b.t[1]","r1.frame_b.t[2]","r1.frame_b.t[3]","rod1.frame_b.r_0[1]","rod1.frame_b.r_0[2]","rod1.frame_b.r_0[3]","rod1.frame_b.f[1]","rod1.frame_b.f[2]","rod1.frame_b.f[3]","rod1.frame_b.t[1]","rod1.frame_b.t[2]","rod1.frame_b.t[3]","rod2.frame_b.r_0[1]","rod2.frame_b.r_0[2]","rod2.frame_b.r_0[3]","rod2.frame_b.f[1]","rod2.frame_b.f[2]","rod2.frame_b.f[3]","rod2.frame_b.t[1]","rod2.frame_b.t[2]","rod2.frame_b.t[3]","r2.frame_b.r_0[1]","r2.frame_b.r_0[2]","r2.frame_b.r_0[3]","r2.frame_b.f[1]","r2.frame_b.f[2]","r2.frame_b.f[3]","r2.frame_b.t[1]","r2.frame_b.t[2]","r2.frame_b.t[3]","bodyShape.frame_b.r_0[1]","bodyShape.frame_b.r_0[2]","bodyShape.frame_b.r_0[3]","bodyShape.frame_b.f[1]","bodyShape.frame_b.f[2]","bodyShape.frame_b.f[3]","bodyShape.frame_b.t[1]","bodyShape.frame_b.t[2]","bodyShape.frame_b.t[3]","bodyShape.frameTranslation.frame_b.r_0[1]","bodyShape.frameTranslation.frame_b.r_0[2]","bodyShape.frameTranslation.frame_b.r_0[3]","bodyShape.frameTranslation.frame_b.f[1]","bodyShape.frameTranslation.frame_b.f[2]","bodyShape.frameTranslation.frame_b.f[3]","bodyShape.frameTranslation.frame_b.t[1]","bodyShape.frameTranslation.frame_b.t[2]","bodyShape.frameTranslation.frame_b.t[3]","r3.frame_b.r_0[1]","r3.frame_b.r_0[2]","r3.frame_b.r_0[3]","r3.frame_b.f[1]","r3.frame_b.f[2]","r3.frame_b.f[3]","r3.frame_b.t[1]","r3.frame_b.t[2]","r3.frame_b.t[3]","r4.frame_b.r_0[1]","r4.frame_b.r_0[2]","r4.frame_b.r_0[3]","r4.frame_b.f[1]","r4.frame_b.f[2]","r4.frame_b.f[3]","r4.frame_b.t[1]","r4.frame_b.t[2]","r4.frame_b.t[3]","rod3.frame_b.r_0[1]","rod3.frame_b.r_0[2]","rod3.frame_b.r_0[3]","rod3.frame_b.f[1]","rod3.frame_b.f[2]","rod3.frame_b.f[3]","rod3.frame_b.t[1]","rod3.frame_b.t[2]","rod3.frame_b.t[3]","deg2rad1.y[1]","deg2rad1.y[2]","deg2rad1.y[3]","combiTimeTable.y[1]","combiTimeTable.y[2]","combiTimeTable.y[3]"
0,0.5,0,0,0,0.5,0,0.10000000000000001,0.5,0,0.59999999999999998,0,0,0,0,0,0.9793700939127401,-4.8955840508462529,0,0,0,-0.48968504695637005,0,0.5,0,0.9793700939127401,-4.8955840508462529,0,0,0,0,0.5,0,0,-0.97911624606291781,-4.8955812303145887,0,0,0,0,0,0.5,0,0.9793700939127401,-4.8955840508462529,0,0,0,0,0.59999999999999998,0.5,0,0.97911624606291781,4.8955812303145887,0,0,0,0,0.59999999999999998,0.5,0,0.97911624606291781,4.8955812303145887,0,0,0,0,0.59999999999999998,0.5,0,0.97911624606291781,4.8955812303145887,0,0,0,0,0.5,0,0,-0.97911624606291781,-4.8955812303145887,0,0,0,0,0.59999999999999998,0.5,0,-0.97911624606291781,-4.8955812303145887,0,0,0,0,0,0.17453292519943295,0,0,10,0
0.00059999999999999995,0.5,0,0,0,0.5,0,0.10000000000000001,0.5,0,0.59999999999999998,0,0,0,0,0,0.9783261028843544,-4.8956695710259579,0,0,0,-0.4891630514421772,-5.2359877464131497e-05,0.49999999725844324,0,0.9783261028843544,-4.8956695710259579,0,0,0,0,0.5,0,0,-0.97858653124341988,-4.8955984396544361,0,0,0,0,-5.2359877464131497e-05,0.49999999725844324,0,0.97875332766953205,-4.8955841771774482,0,0,0,0,0.5999476400311522,0.50001046914260017,0,0.97867197466060685,4.8955813595008175,0,0,0,0,0.5999476400311522,0.50001046914260017,0,0.97867197466060685,4.8955813595008175,0,0,0,0,0.5999476400311522,0.50001046914260017,0,0.97909918727286438,4.8954959363643216,0,0,0,0,0.5,0,0,-0.97909918727286438,-4.8954959363643216,0,0,0,0,0.5999476400311522,0.50001046914260017,0,-0.97909918727286438,-4.8954959363643216,0,0,0,0,0.00010471975511965977,0.17453292519943295,0,0.0059999999999999993,10,0
0.0011999999999999999,0.5,0,0,0,0.5,0,0.10000000000000001,0.5,0,0.59999999999999998,0,0,0,0,0,0.97728212883549348,-4.8957549451283544,0,0,0,-0.48864106441774674,-0.00010471975435407269,0.49999998903377291,0,0.97728212883549348,-4.8957549451283544,0,0,0,0,0.5,0,0,-0.97805684055477649,-4.8956156302477636,0,0,0,0,-0.00010471975435407269,0.49999998903377291,0,0.97813658735847853,-4.8955843020584053,0,0,0,0,0.5998952798801177,0.50002093261949832,0,0.97822772620164877,4.8955814872364796,0,0,0,0,0.5998952798801177,0.50002093261949832,0,0.97822772620164877,4.8955814872364796,0,0,0,0,0.5998952798801177,0.50002093261949832,0,0.9790821365419089,4.895410682709544,0,0,0,0,0.5,0,0,-0.9790821365419089,-4.895410682709544,0,0,0,0,0.5998952798801177,0.50002093261949832,0,-0.9790821365419089,-4.895410682709544,0,0,0,0,0.00020943951023931953,0.17453292519943295,0,0.011999999999999999,10,0
0.0018,0.5,0,0,0,0.5,0,0.10000000000000001,0.5,0,0.59999999999999998,0,0,0,0,0,0.97623817177546302,-4.8958401731584154,0,0,0,-0.48811908588773151,-0.00015707963009563327,0.49999997532598922,0,0.97623817177546302,-4.8958401731584154,0,0,0,0,0.5,0,0,-0.9775271739891116,-4.8956328020966406,0,0,0,0,-0.00015707963009563327,0.49999997532598922,0,0.97751987296973197,-4.895584425489214,0,0,0,0,0.59984291954748037,0.50003139043087619,0,0.97778350067915165,4.8955816135216628,0,0,0,0,0.59984291954748037,0.50003139043087619,0,0.97778350067915165,4.8955816135216628,0,0,0,0,0.59984291954748037,0.50003139043087619,0,0.9790650938690233,4.8953254693451163,0,0,0,0,0.5,0,0,-0.9790650938690233,-4.8953254693451163,0,0,0,0,0.59984291954748037,0.50003139043087619,0,-0.9790650938690233,-4.8953254693451163,0,0,0,0,0.00031415926535897931,0.17453292519943295,0,0.017999999999999999,10,0
0.0023999999999999998,0.5,0,0,0,0.5,0,0.10000000000000001,0.5,0,0.59999999999999998,0,0,0,0,0,0.97519423171356778,-4.8959252551211074,0,0,0,-0.48759711585678389,-0.00020943950411462297,0.49999995613509218,0,0.97519423171356778,-4.8959252551211074,0,0,0,0,0.5,0,0,-0.97699753153854951,-4.8956499552031358,0,0,0,0,-0.00020943950411462297,0.49999995613509218,0,0.97690318449344249,-4.8955845474699613,0,0,0,0,0.59979055903382361,0.50004184257691564,0,0.97733929808622633,4.8955817383564542,0,0,0,0,0.59979055903382361,0.50004184257691564,0,0.97733929808622633,4.8955817383564542,0,0,0,0,0.59979055903382361,0.50004184257691564,0,0.97904805925318028,4.895240296265901,0,0,0,0,0.5,0,0,-0.97904805925318028,-4.895240296265901,0,0,0,0,0.59979055903382361,0.50004184257691564,0,-0.97904805925318028,-4.895240296265901,0,0,0,0,0.00041887902047863906,0.17453292519943295,0,0.023999999999999997,10,0
0.0029999999999999996,0.5,0,0,0,0.5,0,0.10000000000000001,0.5,0,0.59999999999999998,0,0,0,0,0,0.97415030865911711,-4.8960101910214,0,0,0,-0.48707515432955856,-0.00026179937583685145,0.49999993146108213,0,0.97415030865911711,-4.8960101910214,0,0,0,0,0.5,0,0,-0.97646791319521831,-4.8956670895693142,0,0,0,0,-0.00026179937583685145,0.49999993146108213,0,0.97628652191976872,-4.8955846680007342,0,0,0,0,0.59973819833973163,0.50005228905779875,0,0.97689511841598553,4.8955818617409443,0,0,0,0,0.59973819833973163,0.50005228905779875,0,0.97689511841598553,4.8955818617409443,0,0,0,0,0.59973819833973163,0.50005228905779875,0,0.97903103269335245,4.8951551634667618,0,0,0,0,0.5,0,0,-0.97903103269335245,-4.8951551634667618,0,0,0,0,0.59973819833973163,0.50005228905779875,0,-0.97903103269335245,-4.8951551634667618,0,0,0,0,0.00052359877559829881,0.17453292519943295,0,0.029999999999999995,10,0
0.0035999999999999999,0.5,0,0,0,0.5,0,0.10000000000000001,0.5,0,0.59999999999999998,0,0,0,0,0,0.9731064026214159,-4.8960949808642598,0,0,0,-0.48655320131070795,-0.00031415924468812859,0.49999990130395922,0,0.9731064026214159,-4.8960949808642598,0,0,0,0,0.5,0,0,-0.97593831895124195,-4.8956842051972389,0,0,0,0,-0.00031415924468812859,0.49999990130395922,0,0.97566988523886311,-4.895584787081618,0,0,0,0,0.59968583746578752,0.50006272987370759,0,0.97645096166154077,4.895581983675215,0,0,0,0,0.59968583746578752,0.50006272987370759,0,0.97645096166154077,4.895581983675215,0,0,0,0,0.59968583746578752,0.50006272987370759,0,0.97901401418851186,4.895070070942559,0,0,0,0,0.5,0,0,-0.97901401418851186,-4.895070070942559,0,0,0,0,0.59968583746578752,0.50006272987370759,0,-0.97901401418851186,-4.895070070942559,0,0,0,0,0.00062831853071795862,0.17453292519943295,0,0.035999999999999997,10,0
0.0041999999999999997,0.5,0,0,0,0.5,0,0.10000000000000001,0.5,0,0.59999999999999998,0,0,0,0,0,0.97206251360977602,-4.8961796246546587,0,0,0,-0.48603125680488801,-0.00036651911009426405,0.4999998656637239,0,0.97206251360977602,-4.8961796246546587,0,0,0,0,0.5,0,0,-0.97540874879875505,-4.8957013020889741,0,0,0,0,-0.00036651911009426405,0.4999998656637239,0,0.97505327444088885,-4.8955849047127034,0,0,0,0,0.59963347641257547,0.50007316502482391,0,0.97600682781600878,4.8955821041593586,0,0,0,0,0.59963347641257547,0.50007316502482391,0,0.97600682781600878,4.8955821041593586,0,0,0,0,0.59963347641257547,0.50007316502482391,0,0.97899700373763299,4.8949850186881649,0,0,0,0,0.5,0,0,-0.97899700373763299,-4.8949850186881649,0,0,0,0,0.59963347641257547,0.50007316502482391,0,-0.97899700373763299,-4.8949850186881649,0,0,0,0,0.00073303828583761832,0.17453292519943295,0,0.041999999999999996,10,0
0.0047999999999999996,0.5,0,0,0,0.5,0,0.10000000000000001,0.5,0,0.59999999999999998,0,0,0,0,0,0.97101864163350615,-4.8962641223975618,0,0,0,-0.48550932081675308,-0.00041887897148106776,0.49999982454037645,0,0.97101864163350615,-4.8962641223975618,0,0,0,0,0.5,0,0,-0.97487920272988648,-4.8957183802465849,0,0,0,0,-0.00041887897148106776,0.49999982454037645,0,0.9744366895160026,-4.8955850208940745,0,0,0,0,0.5995811151806788,0.50008359451133,0,0.97556271687250706,4.8955822231934611,0,0,0,0,0.5995811151806788,0.50008359451133,0,0.97556271687250706,4.8955822231934611,0,0,0,0,0.5995811151806788,0.50008359451133,0,0.9789800013396891,4.8949000066984452,0,0,0,0,0.5,0,0,-0.9789800013396891,-4.8949000066984452,0,0,0,0,0.5995811151806788,0.50008359451133,0,-0.9789800013396891,-4.8949000066984452,0,0,0,0,0.00083775804095727812,0.17453292519943295,0,0.047999999999999994,10,0
0.0053999999999999994,0.5,0,0,0,0.5,0,0.10000000000000001,0.5,0,0.59999999999999998,0,0,0,0,0,0.9699747867019215,-4.8963484740979411,0,0,0,-0.48498739335096075,-0.00047123882827434946,0.49999977793391742,0,0.9699747867019215,-4.8963484740979411,0,0,0,0,0.5,0,0,-0.97434968073677375,-4.8957354396721255,0,0,0,0,-0.00047123882827434946,0.49999977793391742,0,0.9738201304543721,-4.8955851356258222,0,0,0,0,0.59952875377068149,0.50009401833340816,0,0.97511862882415778,4.895582340777608,0,0,0,0,0.59952875377068149,0.50009401833340816,0,0.97511862882415778,4.895582340777608,0,0,0,0,0.59952875377068149,0.50009401833340816,0,0.97896300699365379,4.8948150349682686,0,0,0,0,0.5,0,0,-0.97896300699365379,-4.8948150349682686,0,0,0,0,0.59952875377068149,0.50009401833340816,0,-0.97896300699365379,-4.8948150349682686,0,0,0,0,0.00094247779607693782,0.17453292519943295,0,0.053999999999999992,10,0
