"Time","multiSensorA.i","multiSensorA.v","multiSensorA.power","multiSensorM.i[1]","multiSensorM.i[2]","multiSensorM.i[3]","multiSensorM.v[1]","multiSensorM.v[2]","multiSensorM.v[3]","multiSensorM.power[1]","multiSensorM.power[2]","multiSensorM.power[3]","multiSensorM.powerTotal","multiSensorQS.i.re","multiSensorQS.i.im","multiSensorQS.v.re","multiSensorQS.v.im","multiSensorQS.apparentPower.re","multiSensorQS.apparentPower.im","multiSensorQM.i[1].re","multiSensorQM.i[1].im","multiSensorQM.i[2].re","multiSensorQM.i[2].im","multiSensorQM.i[3].re","multiSensorQM.i[3].im","multiSensorQM.v[1].re","multiSensorQM.v[1].im","multiSensorQM.v[2].re","multiSensorQM.v[2].im","multiSensorQM.v[3].re","multiSensorQM.v[3].im","multiSensorQM.apparentPower[1].re","multiSensorQM.apparentPower[1].im","multiSensorQM.apparentPower[2].re","multiSensorQM.apparentPower[2].im","multiSensorQM.apparentPower[3].re","multiSensorQM.apparentPower[3].im","multiSensorQM.apparentPowerTotal.re","multiSensorQM.apparentPowerTotal.im","rmsvA.y","rmsiA.y","meanpowerA.y","rmsvM[1].y","rmsvM[2].y","rmsvM[3].y","rmsiM[1].y","rmsiM[2].y","rmsiM[3].y","meanpowerM[1].y","meanpowerM[2].y","meanpowerM[3].y"
0.00057999999,0.22051036,25.626366,5.6508789,0.22051036,-2.1385958,1.9180856,25.626366,-133.26013,107.63377,5.6508789,284.98956,206.45078,497.09122,5,-5,100,0,500,500,5,-5,-6.8301272,-1.830127,1.830127,6.8301272,100,0,-50,-86.602539,-50,86.602539,500,500,500,500,500,500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0
0.00060000003,0.23545408,26.49972,6.2394671,0.23545408,-2.208761,1.9733068,26.49972,-133.55499,107.05527,6.2394671,294.99103,211.25288,512.4834,5,-5,100,0,500,500,5,-5,-6.8301272,-1.830127,1.830127,6.8301272,100,0,-50,-86.602539,-50,86.602539,500,500,500,500,500,500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0
0.00062000001,0.25085092,27.372028,6.8662982,0.25085092,-2.2786694,2.0278184,27.372028,-133.84457,106.47254,6.8662982,304.98752,215.907,527.7608,5,-5,100,0,500,500,5,-5,-6.8301272,-1.830127,1.830127,6.8301272,100,0,-50,-86.602539,-50,86.602539,500,500,500,500,500,500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0
0.00063999998,0.26669735,28.243256,7.5324016,0.26669735,-2.3483198,2.0816224,28.243256,-134.12888,105.88562,7.5324016,314.97748,220.41388,542.92377,5,-5,100,0,500,500,5,-5,-6.8301272,-1.830127,1.830127,6.8301272,100,0,-50,-86.602539,-50,86.602539,500,500,500,500,500,500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0
0.00066000002,0.28298986,29.113369,8.2387886,0.28298986,-2.4177103,2.1347203,29.113369,-134.40788,105.29451,8.2387886,324.95932,224.77434,557.97241,5,-5,100,0,500,500,5,-5,-6.8301272,-1.830127,1.830127,6.8301272,100,0,-50,-86.602539,-50,86.602539,500,500,500,500,500,500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0
0.00068,0.29972497,29.982332,8.9864531,0.29972497,-2.4868393,2.1871142,29.982332,-134.68158,104.69925,8.9864531,334.93143,228.98921,572.9071,5,-5,100,0,500,500,5,-5,-6.8301272,-1.830127,1.830127,6.8301272,100,0,-50,-86.602539,-50,86.602539,500,500,500,500,500,500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0
0.00069999998,0.31689915,30.850113,9.7763748,0.31689915,-2.5557051,2.238806,30.850113,-134.94997,104.09985,9.7763748,344.8923,233.05936,587.72803,5,-5,100,0,500,500,5,-5,-6.8301272,-1.830127,1.830127,6.8301272,100,0,-50,-86.602539,-50,86.602539,500,500,500,500,500,500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0
0.00072000001,0.33450893,31.716675,10.60951,0.33450893,-2.624306,2.2897971,31.716675,-135.21301,103.49634,10.60951,354.84033,236.98561,602.43542,5,-5,100,0,500,500,5,-5,-6.8301272,-1.830127,1.830127,6.8301272,100,0,-50,-86.602539,-50,86.602539,500,500,500,500,500,500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0
0.00073999999,0.35255077,32.581985,11.486804,0.35255077,-2.6926401,2.3400893,32.581985,-135.47073,102.88875,11.486804,364.77393,240.76888,617.0296,5,-5,100,0,500,500,5,-5,-6.8301272,-1.830127,1.830127,6.8301272,100,0,-50,-86.602539,-50,86.602539,500,500,500,500,500,500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0
0.00076000002,0.37102118,33.446011,12.409178,0.37102118,-2.7607062,2.3896849,33.446011,-135.7231,102.27709,12.409178,374.69162,244.41003,631.5108,5,-5,100,0,500,500,5,-5,-6.8301272,-1.830127,1.830127,6.8301272,100,0,-50,-86.602539,-50,86.602539,500,500,500,500,500,500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0
