"time","meanCurrent.x","meanVoltage.x","rootMeanSquareVoltage.mean.x","meanCurrent.y","meanVoltage.y","pulse2.twoPulse.timerNegative[1].entryTime","pulse2.twoPulse.timerPositive[1].entryTime","rectifier.thyristor_n.off","rectifier.thyristor_p.off","rootMeanSquareVoltage.mean.y"
0,0,0,0,0,0,0,0,1,1,0
1.0231867071680773e-15,-6.7708816762409795e-39,-1.3541763282417036e-37,1.7922374623564762e-59,0,0,0,0,1,1,0
1.0231867071680773e-15,-6.7708816762409795e-39,-1.3541763282417036e-37,1.7922374623564762e-59,0,0,0,1.0231867071680773e-15,1,1,0
0.0001,-6.6877656512648546e-25,-1.3375531302529711e-23,3.5945579431521547e-42,0,0,0,1.0231867071680773e-15,1,1,0
0.00020000000000000001,-6.999473775851247e-25,-1.3998947551702496e-23,3.7635352560811292e-42,0,0,0,1.0231867071680773e-15,1,1,0
0.00030000000000000003,-3.2830590535608746e-24,-6.5661181071217498e-23,3.1769688164736939e-41,0,0,0,1.0231867071680773e-15,1,1,0
0.00040000000000000002,-5.9935644847746355e-24,-1.1987128969549273e-22,6.1157046935294118e-41,0,0,0,1.0231867071680773e-15,1,1,0
0.00050000000000000001,-1.3450476699855316e-24,-2.6900953399710655e-23,1.703310847707059e-40,0,0,0,1.0231867071680773e-15,1,1,0
0.00060000000000000006,4.0759631924419916e-24,8.1519263848839791e-23,2.8788051985293471e-40,0,0,0,1.0231867071680773e-15,1,1,0
0.00069999999999999999,9.4969740548695118e-24,1.8993948109739019e-22,4.0542995493516336e-40,0,0,0,1.0231867071680773e-15,1,1,0
0.00080000000000000004,1.4917984917297036e-23,2.9835969834594068e-22,5.2297939001739222e-40,0,0,0,1.0231867071680773e-15,1,1,0
0.00090000000000000008,1.5953397991621829e-23,3.1906795983243651e-22,5.4543133210944889e-40,0,0,0,1.0231867071680773e-15,1,1,0
0.001,1.5953397991621829e-23,3.1906795983243651e-22,5.4543133210944889e-40,0,0,0,1.0231867071680773e-15,1,1,0
0.0011000000000000001,1.5953397991621832e-23,3.1906795983243651e-22,5.4543133210944889e-40,0,0,0,1.0231867071680773e-15,1,1,0
0.0012000000000000001,1.5953397991621832e-23,3.1906795983243651e-22,5.4543133210944889e-40,0,0,0,1.0231867071680773e-15,1,1,0
0.0013000000000000002,1.5953397991621832e-23,3.1906795983243651e-22,5.4543133210944889e-40,0,0,0,1.0231867071680773e-15,1,1,0
0.0014,1.5953397991621832e-23,3.1906795983243651e-22,5.4543133210944889e-40,0,0,0,1.0231867071680773e-15,1,1,0
0.0015,1.5953397991621835e-23,3.1906795983243651e-22,5.4543133210944889e-40,0,0,0,1.0231867071680773e-15,1,1,0
0.0016000000000000001,1.5953397991621835e-23,3.1906795983243651e-22,5.4543133210944889e-40,0,0,0,1.0231867071680773e-15,1,1,0
0.0016666666666676909,2.2104438320491296e-23,4.4208876640982536e-22,1.0789490351179424e-39,0,0,0,1.0231867071680773e-15,1,1,0
0.0016666666666676909,2.2104438320491296e-23,4.4208876640982536e-22,1.0789490351179424e-39,0,0,0,1.0231867071680773e-15,1,0,0
0.0017000000000000001,0.00013080943587183045,0.0026161887174366081,0.20533909457795141,0,0,0,1.0231867071680773e-15,1,0,0
0.0018000000000000002,0.00053720102258698009,0.010744020451739601,0.86610009260071008,0,0,0,1.0231867071680773e-15,1,0,0
0.0019,0.00096422278174751594,0.019284455634950324,1.5956294424266613,0,0,0,1.0231867071680773e-15,1,0,0
0.002,0.0014114532913590712,0.028229065827181422,2.3958230870166108,0,0,0,1.0231867071680773e-15,1,0,0
0.0021000000000000003,0.0018784511939479061,0.037569023878958122,3.2682983807947532,0,0,0,1.0231867071680773e-15,1,0,0
0.0022000000000000001,0.0023647556142075664,0.047295112284151328,4.2143874439401525,0,0,0,1.0231867071680773e-15,1,0,0
0.0023,0.0028698866231734893,0.057397732463469783,5.2351318267527782,0,0,0,1.0231867071680773e-15,1,0,0
0.0024000000000000002,0.0033933457252766763,0.067866914505533532,6.3312784457161282,0,0,0,1.0231867071680773e-15,1,0,0
0.0025000000000000001,0.0039346163203912076,0.078692326407824142,7.5032767102134752,0,0,0,1.0231867071680773e-15,1,0,0
0.0026000000000000003,0.0044931642460048988,0.089863284920097986,8.7512765217704178,0,0,0,1.0231867071680773e-15,1,0,0
0.0027000000000000001,0.0050684382836699996,0.10136876567340002,10.075127853896483,0,0,0,1.0231867071680773e-15,1,0,0
0.0028,0.0056598707064948123,0.11319741412989624,11.474381322859811,0,0,0,1.0231867071680773e-15,1,0,0
0.0029000000000000002,0.0062668778411045902,0.12533755682209183,12.948290035150206,0,0,0,1.0231867071680773e-15,1,0,0
0.0030000000000000001,0.00688886064431532,0.13777721288630643,14.495812482996879,0,0,0,1.0231867071680773e-15,1,0,0
0.0031000000000000003,0.0075252052945590803,0.15050410589118163,16.115616616663988,0,0,0,1.0231867071680773e-15,1,0,0
0.0032000000000000002,0.0081752837968691334,0.16350567593738266,17.806085113152793,0,0,0,1.0231867071680773e-15,1,0,0
0.0033,0.008838454602295296,0.17676909204590591,19.565321772984479,0,0,0,1.0231867071680773e-15,1,0,0
0.0034000000000000002,0.0095140632411685275,0.19028126482337057,21.391159007117459,0,0,0,1.0231867071680773e-15,1,0,0
0.0035000000000000001,0.010201442969220919,0.20402885938441839,23.281166386934594,0,0,0,1.0231867071680773e-15,1,0,0
0.0036000000000000003,0.010899915425667317,0.21799830851334631,25.232660231398263,0,0,0,1.0231867071680773e-15,1,0,0
0.0037000000000000002,0.011608791302596124,0.23217582605192241,27.242714197636385,0,0,0,1.0231867071680773e-15,1,0,0
0.0038,0.012327371025139743,0.24654742050279482,29.308170832025215,0,0,0,1.0231867071680773e-15,1,0,0
0.0039000000000000003,0.013054945441850227,0.2610989088370046,31.425654033003255,0,0,0,1.0231867071680773e-15,1,0,0
0.0040000000000000001,0.013790796524721526,0.27581593049443054,33.591582387227859,0,0,0,1.0231867071680773e-15,1,0,0
0.0041000000000000003,0.014534198077412668,0.29068396154825338,35.802183264343952,0,0,0,1.0231867071680773e-15,1,0,0
0.0042000000000000006,0.015284416452311732,0.30568832904623461,38.053507740460596,0,0,0,1.0231867071680773e-15,1,0,0
0.0043,0.016040711274485524,0.32081422548971056,40.341446179915913,0,0,0,1.0231867071680773e-15,1,0,0
0.0044000000000000003,0.016802336172264599,0.33604672344529191,42.661744448463715,0,0,0,1.0231867071680773e-15,1,0,0
0.0045000000000000005,0.017568539513831586,0.35137079027663182,45.01002070239651,0,0,0,1.0231867071680773e-15,1,0,0
0.0045999999999999999,0.018338565148999141,0.36677130297998273,47.381782681476487,0,0,0,1.0231867071680773e-15,1,0,0
0.0047000000000000002,0.019111653155439244,0.38223306310878491,49.772445437741993,0,0,0,1.0231867071680773e-15,1,0,0
0.0048000000000000004,0.019887040588631739,0.39774081177263493,52.177349430258793,0,0,0,1.0231867071680773e-15,1,0,0
0.0048999999999999998,0.020663962234796579,0.41327924469593164,54.591778914298665,0,0,0,1.0231867071680773e-15,1,0,0
0.0050000000000000001,0.021441651366144166,0.42883302732288331,57.010980559825164,0,0,0,1.0231867071680773e-15,1,0,0
0.0051000000000000004,0.022219340498802396,0.44438680997604801,59.430182335454049,0,0,0,1.0231867071680773e-15,1,0,0
0.0052000000000000006,0.022996262149238521,0.45992524298477039,61.844612243107072,0,0,0,1.0231867071680773e-15,1,0,0
0.0053,0.023771649587080581,0.4754329917416118,64.249516697217217,0,0,0,1.0231867071680773e-15,1,0,0
0.0054000000000000003,0.024544737594653643,0.4908947518930728,66.640179567317233,0,0,0,1.0231867071680773e-15,1,0,0
0.0055000000000000005,0.025314763226581563,0.50629526453163165,69.011941227818198,0,0,0,1.0231867071680773e-15,1,0,0
0.0055999999999999999,0.026080966562746419,0.52161933125492854,71.360216950337431,0,0,0,1.0231867071680773e-15,1,0,0
0.0057000000000000002,0.026842591447525158,0.53685182895050332,73.68051393888328,0,0,0,1.0231867071680773e-15,1,0,0
0.0058000000000000005,0.027598886249897793,0.55197772499795594,75.968450429431982,0,0,0,1.0231867071680773e-15,1,0,0
0.0058999999999999999,0.02834910460055946,0.56698209201118921,78.219772529611191,0,0,0,1.0231867071680773e-15,1,0,0
